,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-03-18 16:30:04,2021-03-17,CPB,Slavtcheff Craig,EVP,S - Sale,$48.88,"-7,000","36,810",-16%,"-$342,153",,,,
2,,2020-10-08 16:22:52,2020-10-08,CPB,Polomski Stanley,"VP, Controller",S - Sale,$48.07,"-6,075","31,942",-16%,"-$292,025",,,,
3,D,2020-03-06 16:15:35,2020-03-05,CPB,Ciongoli Adam G.,SVP,S - Sale+OE,$53.54,"-98,334","92,386",-52%,"-$5,264,802",,,,
4,D,2019-10-02 16:41:54,2019-09-30,CPB,Ciongoli Adam G.,SVP,S - Sale+OE,$47.16,"-16,096","95,471",-14%,"-$759,087",,,,
5,,2019-07-01 16:40:48,2019-06-28,CPB,Furbee Robert,SVP,S - Sale,$40.10,"-6,000","30,822",-16%,"-$240,630",,,,
6,D,2019-06-20 16:44:13,2019-06-20,CPB,Larrimore Randall W,Dir,S - Sale+OE,$41.36,"-3,400","15,906",-18%,"-$140,629",,,,
7,A,2019-06-19 17:36:39,2019-06-17,CPB,Polomski Stanley,"VP, Controller",S - Sale,$41.01,"-9,732","25,454",-28%,"-$399,080",,,,
8,,2019-06-18 17:08:19,2019-06-17,CPB,Polomski Stanley,"VP, Controller",S - Sale,$41.01,"-9,732","25,454",-28%,"-$399,080",,,,
9,D,2018-10-02 17:42:58,2018-10-02,CPB,Mignini Luca,SVP,P - Purchase,$36.41,"+5,494","118,862",+5%,"+$200,037",,,,
10,,2018-06-07 15:53:36,2018-06-06,CPB,Hilado Maria Teresa,Dir,P - Purchase,$33.22,"+2,000","4,330",+86%,"+$66,431",,,,
11,,2018-02-23 11:20:17,2018-02-21,CPB,Mignini Luca,SVP,P - Purchase,$45.53,"+4,400","87,814",+5%,"+$200,351",,,,
12,,2017-12-29 09:32:00,2017-12-27,CPB,Larrimore Randall W,Dir,S - Sale,$48.69,"-2,242","15,191",-13%,"-$109,163",,,,
13,,2017-12-21 16:56:59,2017-12-21,CPB,Barroso Carlos,SVP,S - Sale,$48.86,"-4,300","29,119",-13%,"-$210,098",,,,
14,,2017-12-20 16:58:32,2017-12-20,CPB,Carolan Edward,SVP,S - Sale,$48.15,"-6,500","41,510",-14%,"-$312,975",,,,
15,,2017-10-10 15:16:13,2017-10-06,CPB,Perrin Charles R,Dir,S - Sale,$46.46,"-2,304",0,-100%,"-$107,046",,,,
16,,2017-09-28 15:50:10,2017-09-27,CPB,Mignini Luca,SVP,P - Purchase,$46.47,"+4,300","88,178",+5%,"+$199,821",,,,
17,,2017-03-31 13:04:36,2017-03-30,CPB,Dorrance Bennett,"Dir, 10%",P - Purchase,$57.34,"+915,766","46,315,129",+2%,"+$52,510,022",0,-1,0,
18,D,2017-01-05 14:46:26,2017-01-04,CPB,Barroso Carlos,SVP,S - Sale+OE,$60.92,"-9,130","34,774",-21%,"-$556,180",0,-1,+4,
19,,2016-12-21 16:10:26,2016-12-21,CPB,Barroso Carlos,SVP,S - Sale,$60.31,"-1,000","33,760",-3%,"-$60,311",0,+1,+5,
20,,2016-11-28 16:21:25,2016-11-23,CPB,Barroso Carlos,SVP,S - Sale,$57.56,"-3,000","34,760",-8%,"-$172,681",0,0,+5,
21,,2016-11-28 16:18:01,2016-11-23,CPB,Travis Tracey Thomas,Dir,S - Sale,$57.04,"-2,771","11,625",-19%,"-$158,058",0,0,+5,
22,D,2016-10-04 14:40:45,2016-10-03,CPB,Carolan Edward,SVP,S - Sale+OE,$54.35,"-2,400","43,030",-5%,"-$130,443",-2,0,-2,+5
23,,2016-09-09 11:57:32,2016-09-08,CPB,Dunn Jeff,SVP,S - Sale,$56.24,"-8,459","112,775",-7%,"-$475,734",-2,-1,-3,+7
24,,2016-09-06 14:43:59,2016-09-06,CPB,Mignini Luca,SVP,S - Sale,$57.87,"-11,255","105,390",-10%,"-$651,327",0,-3,-7,+4
25,,2016-09-06 13:45:23,2016-09-06,CPB,Barroso Carlos,SVP,S - Sale,$57.68,"-1,600","46,888",-3%,"-$92,288",0,-3,-7,+4
26,,2016-09-06 11:43:13,2016-09-02,CPB,O'Shea William J,VP,S - Sale,$57.74,"-13,000","38,710",-25%,"-$750,620",0,-3,-7,+4
27,,2016-03-07 16:37:00,2016-03-04,CPB,Carolan Edward,SVP,S - Sale,$61.93,"-5,000","53,553",-9%,"-$309,650",+1,+3,+4,-7
28,,2016-03-01 16:04:09,2016-02-29,CPB,Alexander Mark R.,SVP,S - Sale,$61.94,"-90,509","175,080",-34%,"-$5,606,127",+1,+2,+5,0
29,,2016-03-01 16:03:00,2016-02-29,CPB,Perrin Charles R,Dir,S - Sale,$61.85,"-5,457",0,-100%,"-$337,515",+1,+2,+5,0
30,,2016-02-26 16:07:57,2016-02-26,CPB,Morrissey Robert W,SVP,S - Sale,$62.52,"-24,158","72,746",-25%,"-$1,510,358",0,0,+2,-1
31,,2016-02-26 16:06:49,2016-02-26,CPB,Barroso Carlos,SVP,S - Sale,$63.07,"-1,950","50,505",-4%,"-$122,987",0,0,+2,-1
32,,2015-12-10 16:37:18,2015-12-08,CPB,Disilvestro Anthony,SVP,S - Sale,$53.44,"-40,000","125,289",-24%,"-$2,137,508",-1,0,-4,+18
33,,2015-11-27 13:49:58,2015-11-27,CPB,Morrison Denise M,"Pres, CEO",S - Sale,$53.07,"-79,250","496,333",-14%,"-$4,205,512",+1,0,+2,+18
34,,2015-11-27 13:48:46,2014-12-05,CPB,Barroso Carlos,SVP,S - Sale,$43.55,"-2,500","52,455",-5%,"-$108,878",+1,0,+2,+18
35,,2015-11-27 13:46:24,2015-11-25,CPB,Carolan Edward,SVP,S - Sale,$52.70,"-5,000","58,552",-8%,"-$263,484",+1,0,+2,+18
36,D,2015-09-15 16:27:03,2015-09-14,CPB,Mathew Sara,Dir,S - Sale+OE,$49.39,"-10,336",0,-100%,"-$510,495",+3,+2,+1,+29
37,,2015-09-10 16:07:42,2015-09-09,CPB,Barroso Carlos,SVP,S - Sale,$49.32,"-1,650","44,967",-4%,"-$81,378",+1,+5,+4,+30
38,,2015-09-08 16:05:54,2015-09-04,CPB,O'Shea William J,VP,S - Sale,$47.80,"-6,000","46,138",-12%,"-$286,800",-1,0,+3,+29
39,D,2015-06-10 16:30:47,2015-06-09,CPB,Charron Paul R,Dir,S - Sale+OE,$46.56,"-3,332","22,135",-13%,"-$155,138",0,+2,+1,+15
40,D,2015-06-04 16:03:34,2015-06-02,CPB,Charron Paul R,Dir,S - Sale+OE,$47.88,"-3,238","20,299",-14%,"-$155,035",-1,0,+1,+14
41,D,2015-05-26 16:15:25,2015-05-26,CPB,Larrimore Randall W,Dir,S - Sale+OE,$47.79,"-10,336","22,101",-32%,"-$493,928",+1,+1,+1,+5
42,,2015-05-26 14:48:57,2015-05-26,CPB,Morrissey Robert W,SVP,S - Sale,$47.80,"-2,794","90,154",-3%,"-$133,553",0,+1,+1,+5
43,D,2014-12-11 16:07:57,2014-12-10,CPB,Dorrance Bennett,"Dir, 10%",S - Sale+OE,$44.32,"-12,051","46,298,683",0%,"-$534,100",-2,-3,+3,+7
44,,2014-12-01 16:18:52,2014-11-26,CPB,Morrison Denise M,"Pres, CEO",S - Sale,$44.44,"-33,700","529,246",-6%,"-$1,497,628",-1,-3,-1,+7
