,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,AD,2021-07-15 18:34:46,2021-07-12,CPRT,Cohan Steven D,Dir,S - Sale+OE,$139.46,"-80,000",24,-100%,"-$11,156,776",,,,
2,,2021-07-14 20:42:11,2021-07-12,CPRT,Adair A Jayson,CEO,S - Sale,$139.21,"-130,000","8,121,511",-2%,"-$18,096,975",,,,
3,D,2021-07-08 07:59:43,2021-07-06,CPRT,Liaw Jeffrey,"Pres, CEO North America",S - Sale+OE,$136.29,"-15,814","5,840",-73%,"-$2,155,290",,,,
4,D,2021-07-07 19:26:31,2021-07-02,CPRT,Liaw Jeffrey,"Pres, CEO North America",S - Sale+OE,$135.28,"-47,479",0,-100%,"-$6,422,986",,,,
5,,2021-07-01 17:38:25,2021-06-29,CPRT,Adair A Jayson,CEO,S - Sale,$133.18,"-300,000","8,251,511",-4%,"-$39,954,000",,,,
6,D,2021-07-01 17:34:55,2021-06-29,CPRT,Blunt Matt,Dir,S - Sale+OE,$133.01,"-20,000",0,-100%,"-$2,660,200",,,,
7,,2021-03-26 17:43:10,2021-03-24,CPRT,Johnson Willis J,COB,S - Sale,$106.66,"-374,372","15,628,411",-2%,"-$39,930,443",,,,
8,,2021-03-25 21:25:54,2021-03-23,CPRT,Johnson Willis J,COB,S - Sale,$108.10,"-234,012","16,002,783",-1%,"-$25,296,697",,,,
9,D,2021-03-17 09:48:08,2021-03-15,CPRT,Meeks James E,Dir,S - Sale+OE,$110.55,"-77,861",0,-100%,"-$8,607,681",,,,
10,D,2021-03-16 13:11:39,2021-03-12,CPRT,Meeks James E,Dir,S - Sale+OE,$110.20,"-2,139",0,-100%,"-$235,726",,,,
11,D,2021-02-24 18:35:36,2021-02-24,CPRT,Englander Daniel J,Dir,S - Sale+OE,$110.70,"-80,000",0,-100%,"-$8,855,632",,,,
12,,2021-01-06 16:59:24,2021-01-05,CPRT,Englander Daniel J,Dir,S - Sale,$119.76,"-35,000","94,700",-27%,"-$4,191,600",,,,
13,,2021-01-06 16:37:50,2021-01-04,CPRT,Englander Daniel J,Dir,S - Sale,$121.47,"-35,000","129,700",-21%,"-$4,251,450",,,,
