,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-09-15 11:11:29,2021-09-13,CRL,Girshick Birgit,Corporate EVP,S - Sale,$439.98,"-2,425","27,602",-8%,"-$1,066,943",,,,
2,D,2021-09-01 14:29:25,2021-08-31,CRL,Massaro George,Dir,S - Sale+OE,$442.48,"-2,539","4,855",-34%,"-$1,123,457",,,,
3,D,2021-08-17 15:01:39,2021-08-16,CRL,Creamer Victoria L,"EVP, Chief People Officer",S - Sale+OE,$415.24,"-6,917","6,386",-52%,"-$2,872,236",,,,
4,,2021-08-10 11:58:37,2021-08-09,CRL,Smith David Ross,"Corporate EVP, CFO",S - Sale,$407.40,"-1,750","14,425",-11%,"-$712,954",,,,
5,,2021-08-10 11:56:11,2021-08-06,CRL,Laplume Joseph W,"EVP, Corp Strategy, Develop",S - Sale,$402.21,"-3,700","8,462",-30%,"-$1,488,175",,,,
6,D,2021-08-10 11:52:31,2021-08-06,CRL,Barbo William D,"Corporate EVP, CCO",S - Sale+OE,$402.82,"-12,387","16,683",-43%,"-$4,989,752",,,,
7,D,2021-08-10 11:47:16,2021-08-06,CRL,Kochevar Deborah Turner,Dir,S - Sale+OE,$406.43,"-3,526","6,096",-37%,"-$1,433,071",,,,
8,,2021-08-10 11:42:55,2021-08-06,CRL,Foster James C,"COB, Pres, CEO",S - Sale,$401.79,"-10,000","252,231",-4%,"-$4,017,867",,,,
9,D,2021-06-07 18:23:43,2021-06-04,CRL,Knell Michael Gunnar,"CSVP, Chief Accounting Officer",S - Sale+OE,$335.24,"-1,527","4,230",-27%,"-$511,906",,,,
10,D,2021-06-04 09:34:16,2021-06-03,CRL,Knell Michael Gunnar,"CSVP, Chief Accounting Officer",S - Sale+OE,$329.76,-800,"4,230",-16%,"-$263,809",,,,
11,D,2021-06-03 12:48:40,2021-06-01,CRL,Foster James C,"COB, Pres, CEO",S - Sale+OE,$332.23,"-9,577","264,731",-3%,"-$3,181,749",,,,
12,,2021-05-12 16:45:24,2021-05-11,CRL,Massaro George,Dir,S - Sale,$320.06,-371,"5,355",-6%,"-$118,743",,,,
13,,2021-05-10 17:13:30,2021-05-07,CRL,Foster James C,"COB, Pres, CEO",S - Sale,$343.17,"-7,500","266,004",-3%,"-$2,573,770",,,,
14,,2021-05-07 13:23:09,2021-05-06,CRL,Massaro George,Dir,S - Sale,$336.96,"-3,370","5,371",-39%,"-$1,135,561",,,,
15,D,2021-05-06 13:21:36,2021-05-04,CRL,Smith David Ross,"Corporate EVP, CFO",S - Sale+OE,$340.01,"-3,305","14,862",-18%,"-$1,123,718",,,,
16,D,2021-04-26 13:09:17,2021-04-22,CRL,Smith David Ross,"Corporate EVP, CFO",S - Sale+OE,$330.00,"-3,845","14,862",-21%,"-$1,268,850",,,,
17,,2021-04-16 15:23:44,2021-04-15,CRL,Smith David Ross,"Corporate EVP, CFO",S - Sale,$320.00,"-2,000","14,862",-12%,"-$640,000",,,,
18,DM,2021-04-07 11:26:36,2021-04-05,CRL,Girshick Birgit,Corporate EVP,S - Sale+OE,$302.37,"-19,310","29,060",-40%,"-$5,838,806",,,,
19,D,2021-03-02 16:47:00,2021-03-01,CRL,Milne George M Jr,Dir,S - Sale+OE,$290.01,"-3,530","29,417",-11%,"-$1,023,730",,,,
20,D,2021-03-02 16:39:47,2021-03-01,CRL,Smith David Ross,"Corporate EVP, CFO",S - Sale+OE,$290.12,"-4,366","16,862",-21%,"-$1,266,647",,,,
21,D,2021-03-02 16:37:29,2021-03-01,CRL,Barbo William D,"Corporate EVP, CCO",S - Sale+OE,$290.18,"-4,650","20,793",-18%,"-$1,349,340",,,,
22,D,2021-02-26 16:51:37,2021-02-25,CRL,Laplume Joseph W,"EVP, Corp Strategy, Develop",S - Sale+OE,$281.70,"-8,735","11,261",-44%,"-$2,460,615",,,,
23,D,2021-02-25 16:23:09,2021-02-24,CRL,Foster James C,"COB, Pres, CEO",S - Sale+OE,$284.75,"-24,009","273,504",-8%,"-$6,836,607",,,,
