,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-21 16:36:15,2021-10-20,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$290.17,"-20,000","28,986,249",0%,"-$5,803,394",,,,
2,D,2021-10-20 19:25:54,2021-10-19,CRM,Harris Parker,"Co-Founder, CTO",S - Sale+OE,$293.29,"-4,300","1,964,598",0%,"-$1,261,139",,,,
3,D,2021-10-20 18:48:21,2021-10-19,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$293.26,"-20,000","28,986,249",0%,"-$5,865,248",,,,
4,D,2021-10-19 16:13:49,2021-10-18,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$291.44,"-20,000","28,986,249",0%,"-$5,828,820",,,,
5,D,2021-10-18 18:57:04,2021-10-15,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$291.52,"-20,000","28,986,249",0%,"-$5,830,320",,,,
6,D,2021-10-18 17:13:18,2021-10-15,CRM,Weaver Amy E,"Pres, CFO",S - Sale+OE,$292.49,"-7,650","22,728",-25%,"-$2,237,549",,,,
7,D,2021-10-15 16:08:30,2021-10-14,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$288.73,"-20,000","28,986,249",0%,"-$5,774,512",,,,
8,D,2021-10-14 17:46:10,2021-10-13,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$283.24,"-20,000","28,986,249",0%,"-$5,664,782",,,,
9,D,2021-10-13 16:53:47,2021-10-12,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$278.83,"-20,000","28,986,249",0%,"-$5,576,613",,,,
10,D,2021-10-13 16:30:01,2021-10-12,CRM,Harris Parker,"Co-Founder, CTO",S - Sale+OE,$278.76,"-4,300","1,964,598",0%,"-$1,198,676",,,,
11,DM,2021-10-12 19:12:47,2021-10-08,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$274.43,"-40,000","28,986,249",0%,"-$10,977,101",,,,
12,D,2021-10-08 17:28:07,2021-10-07,CRM,Tallapragada Srinivas,"Pres, Chief Engineering Office",S - Sale+OE,$276.19,"-20,000","39,778",-33%,"-$5,523,886",,,,
13,D,2021-10-08 17:15:40,2021-10-07,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$276.58,"-20,000","28,986,249",0%,"-$5,531,642",,,,
14,D,2021-10-07 21:31:46,2021-10-06,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$272.84,"-20,000","28,986,249",0%,"-$5,456,875",,,,
15,D,2021-10-06 17:49:32,2021-10-05,CRM,Harris Parker,"Co-Founder, CTO",S - Sale+OE,$272.51,"-4,300","1,964,598",0%,"-$1,171,798",,,,
16,D,2021-10-06 17:41:40,2021-10-05,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$272.49,"-20,000","28,986,249",0%,"-$5,449,744",,,,
17,D,2021-10-05 17:07:09,2021-10-04,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$269.30,"-20,000","28,986,249",0%,"-$5,385,971",,,,
18,D,2021-10-04 19:58:34,2021-10-01,CRM,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,$272.74,"-20,000","28,986,249",0%,"-$5,454,711",,,,
