,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-09 17:03:03,2021-09-08,CSX,Wallace Mark Kenneth,EVP - CSX,S - Sale+OE,$31.60,"-161,487","153,279",-51%,"-$5,102,989",,,,
2,,2021-08-26 17:01:56,2021-08-24,CSX,Zillmer John J,Dir,S - Sale,$33.54,"-15,000","325,000",-4%,"-$503,100",,,,
3,,2021-07-28 17:29:10,2021-07-26,CSX,Zillmer John J,Dir,S - Sale,$32.64,"-80,000","340,000",-19%,"-$2,611,200",,,,
4,,2021-07-27 18:33:43,2021-07-26,CSX,Goldman Nathan D,"EVP, CLO",S - Sale,$32.87,"-35,000","216,361",-14%,"-$1,150,450",,,,
5,D,2021-05-12 16:53:24,2021-05-10,CSX,Wallace Mark Kenneth,"EVP - Sales, Marketing",S - Sale+OE,$104.38,"-47,966","62,910",-43%,"-$5,006,691",,,,
6,,2021-05-03 20:00:11,2021-05-03,CSX,Moffett David M,Dir,S - Sale,$101.93,"-5,819","13,822",-30%,"-$593,131",,,,
7,M,2021-04-30 16:33:04,2021-04-28,CSX,Hilal Paul C,Dir,S - Sale,$100.79,"-1,911,705","610,030",-76%,"-$192,682,205",,,,
8,D,2021-04-28 20:59:10,2021-04-26,CSX,Sorfleet Diana B,"EVP, CAO",S - Sale+OE,$102.48,"-30,525","31,171",-49%,"-$3,128,259",,,,
9,,2021-04-26 17:27:03,2021-04-22,CSX,Zillmer John J,Dir,S - Sale,$102.92,"-17,217","140,000",-11%,"-$1,771,974",,,,
10,D,2021-04-26 17:22:57,2021-04-22,CSX,Goldman Nathan D,"EVP, CLO",S - Sale+OE,$103.28,"-36,254","83,787",-30%,"-$3,744,129",,,,
11,,2021-02-17 16:53:52,2021-02-12,CSX,Wallace Mark Kenneth,"EVP - Sales, Marketing",S - Sale,$89.44,"-26,527","62,910",-30%,"-$2,372,575",,,,
