,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-14 10:22:14,2021-10-12,CTAS,Schneider Todd M.,"CEO, Dir",S - Sale+OE,$403.99,"-21,154","168,835",-11%,"-$8,545,953",,,,
2,D,2021-10-08 10:36:06,2021-10-06,CTAS,Thompson Michael Lawrence,"EVP, CAO",S - Sale+OE,$389.14,"-20,227","83,361",-20%,"-$7,871,135",,,,
3,D,2021-10-08 10:33:01,2021-10-07,CTAS,Barstad Melanie W.,Dir,S - Sale+OE,$398.56,"-3,011","5,904",-34%,"-$1,200,064",,,,
4,D,2021-08-02 13:58:10,2021-07-29,CTAS,Frooman Thomas E,"SVP, Secretary, GC",S - Sale+OE,$392.46,"-16,904","96,979",-15%,"-$6,634,206",,,,
5,,2021-06-09 17:08:08,2019-04-15,CTAS,Thompson Michael Lawrence,"EVP, CAO",S - Sale,$207.98,"-2,500","71,315",-3%,"-$519,950",,,,
6,D,2020-11-10 16:06:29,2020-11-10,CTAS,Scaminace Joseph,Dir,S - Sale+OE,$363.15,"-7,955","11,619",-41%,"-$2,888,858",,,,
7,,2020-11-06 15:09:06,2020-11-04,CTAS,Frooman Thomas E,"SVP, Secretary, GC",S - Sale,$340.39,"-50,000","88,744",-36%,"-$17,019,500",,,,
8,D,2020-10-19 15:54:04,2020-10-15,CTAS,Hansen J. Michael,"VP, CFO",S - Sale+OE,$345.45,"-67,000","76,252",-47%,"-$23,145,150",,,,
9,D,2020-10-08 16:18:26,2020-10-06,CTAS,Thompson Michael Lawrence,"EVP, CAO",S - Sale+OE,$330.90,"-49,092","73,815",-40%,"-$16,244,543",,,,
10,D,2020-08-14 15:59:08,2020-08-14,CTAS,Tysoe Ronald W,Dir,S - Sale+OE,$320.18,"-3,923","5,922",-40%,"-$1,256,066",,,,
11,D,2020-08-12 12:13:03,2020-08-11,CTAS,Thompson Michael Lawrence,"EVP, CAO",S - Sale+OE,$319.31,"-17,650","73,815",-19%,"-$5,635,822",,,,
12,D,2020-08-06 14:58:22,2020-08-05,CTAS,Johnson James J,Dir,S - Sale+OE,$299.62,"-4,261","9,849",-30%,"-$1,276,681",,,,
13,,2019-10-15 09:32:36,2019-10-11,CTAS,Thompson Michael Lawrence,"EVP, CAO",S - Sale,$268.23,"-2,000","63,304",-3%,"-$536,460",,,,
14,D,2019-07-25 15:29:36,2019-07-23,CTAS,Frooman Thomas E,"VP, Secretary, Gen. Counsel",S - Sale+OE,$260.79,"-5,373","127,793",-4%,"-$1,401,225",,,,
15,D,2019-07-25 15:24:35,2019-07-23,CTAS,Thompson Michael Lawrence,"EVP, CAO",S - Sale+OE,$260.79,"-4,888","69,451",-7%,"-$1,274,742",,,,
16,,2019-05-06 10:49:29,2019-05-03,CTAS,Scaminace Joseph,Dir,S - Sale,$222.20,"-6,255","7,973",-44%,"-$1,389,861",,,,
