,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-25 18:03:41,2021-08-23,LUMN,Clontz Steven T,Dir,P - Purchase,$11.98,"+5,000","300,015",+2%,"+$59,880",,,,
2,,2021-03-10 17:58:47,2021-03-09,LUMN,Boulet Virginia,Dir,S - Sale,$14.22,"-6,500","76,529",-8%,"-$92,430",,,,
3,,2020-12-21 18:29:19,2020-12-17,LUMN,Bejar Martha Helena,Dir,S - Sale,$10.21,"-10,000","55,880",-15%,"-$102,100",,,,
4,,2020-06-22 17:03:03,2020-06-18,CTL,Jones Hal,Dir,P - Purchase,$10.14,+265,"16,439",+2%,"+$2,687",,,,
5,,2020-06-22 17:03:03,2020-06-18,CTL,Jones Hal,Dir,S - Sale,$10.14,-265,"16,439",-2%,"-$2,687",,,,
6,,2020-03-16 17:15:44,2020-03-12,CTL,Glenn T Michael,Dir,P - Purchase,$9.64,"+25,000","144,068",+21%,"+$240,933",,,,
7,,2020-03-16 17:14:48,2020-03-13,CTL,Clontz Steven T,Dir,P - Purchase,$9.77,"+10,000","314,540",+3%,"+$97,697",,,,
8,,2020-03-12 18:28:42,2020-03-12,CTL,Hanks William Bruce,Lead Independent Director,P - Purchase,$9.25,"+10,000","102,172",+11%,"+$92,499",,,,
9,,2020-03-12 18:27:46,2020-03-12,CTL,Dev Indraneel,"EVP, CFO",P - Purchase,$9.00,"+30,000","779,157",+4%,"+$270,000",,,,
10,,2019-12-11 20:33:21,2019-12-10,CTL,Siegel Laurie,Dir,S - Sale,$14.00,"-3,072","59,358",-5%,"-$43,017",,,,
11,,2019-05-30 17:28:56,2019-05-30,CTL,Hanks William Bruce,Lead Independent Director,P - Purchase,$10.63,"+10,000","92,172",+12%,"+$106,300",,,,
12,,2019-05-24 18:05:11,2019-05-23,CTL,Glenn T Michael,Dir,P - Purchase,$9.83,"+20,000","119,068",+20%,"+$196,600",,,,
13,,2019-05-23 18:03:05,2019-05-23,CTL,Storey Jeffrey K,"Pres, CEO",P - Purchase,$9.83,"+50,000","3,245,655",+2%,"+$491,480",,,,
14,,2019-05-23 18:02:14,2019-05-23,CTL,Dev Indraneel,"EVP, CFO",P - Purchase,$9.81,"+15,000","479,358",+3%,"+$147,155",,,,
15,,2019-05-15 17:23:33,2019-05-15,CTL,Perry Harvey P,Chairman,P - Purchase,$10.92,"+10,000","125,002",+9%,"+$109,192",,,,
16,,2019-05-13 17:10:53,2019-05-10,CTL,Clontz Steven T,Dir,P - Purchase,$10.93,"+37,000","289,834",+15%,"+$404,250",,,,
17,,2019-03-14 16:21:15,2019-03-12,CTL,Chilton Kevin P.,Dir,P - Purchase,$12.30,"+2,000","52,807",+4%,"+$24,608",,,,
18,,2019-03-07 17:43:20,2019-03-06,CTL,Clontz Steven T,Dir,P - Purchase,$11.95,"+8,000","252,834",+3%,"+$95,600",,,,
19,,2019-03-06 17:07:34,2019-03-06,CTL,Dev Indraneel,"EVP, CFO",P - Purchase,$11.75,"+50,000","464,354",+12%,"+$587,500",,,,
20,,2019-03-06 17:07:00,2019-03-06,CTL,Storey Jeffrey K,"Pres, CEO",P - Purchase,$11.94,"+83,000","3,481,896",+2%,"+$991,261",,,,
21,,2019-01-18 06:05:41,2019-01-16,CTL,Temasek Holdings (Private) Ltd,10%,S - Sale,$15.90,"-16,000,000","107,201,207",-13%,"-$254,400,000",,,,
22,,2018-12-13 17:27:54,2018-12-11,CTL,Clontz Steven T,Dir,P - Purchase,$17.20,"+8,207","229,470",+4%,"+$141,160",,,,
23,,2018-12-06 17:20:10,2018-12-04,CTL,Trezise Scott,"EVP, HR",S - Sale,$18.88,"-53,164","187,867",-22%,"-$1,003,784",,,,
24,,2018-08-22 17:19:32,2018-08-21,CTL,Post Glen F III,Dir,S - Sale,$24.00,"-150,000","1,425,859",-10%,"-$3,600,075",,,,
25,,2018-08-15 17:37:22,2018-08-13,CTL,Post Glen F III,Dir,S - Sale,$22.00,"-150,000","1,575,912",-9%,"-$3,300,000",,,,
26,,2018-05-15 17:34:51,2018-05-11,CTL,Clontz Steven T,Dir,P - Purchase,$19.44,"+41,000","212,519",+24%,"+$796,936",,,,
27,,2018-04-09 06:51:59,2018-04-05,CTL,Temasek Holdings (Private) Ltd,10%,P - Purchase,$17.41,"+5,036,884","123,201,207",+4%,"+$87,700,209",,,,
28,M,2018-04-05 12:04:28,2018-04-03,CTL,Temasek Holdings (Private) Ltd,10%,P - Purchase,$16.72,"+7,620,118","118,164,323",+7%,"+$127,373,456",,,,
29,,2017-12-12 16:58:07,2017-12-11,CTL,Clontz Steven T,Dir,P - Purchase,$15.70,"+35,500","171,519",+26%,"+$557,292",,,,
30,,2017-12-12 16:56:27,2017-12-08,CTL,Chilton Kevin P.,Dir,P - Purchase,$14.47,"+1,000","40,732",+3%,"+$14,467",,,,
31,,2017-12-12 16:55:53,2017-12-11,CTL,Boulet Virginia,Dir,P - Purchase,$15.48,"+5,095","43,140",+13%,"+$78,869",,,,
32,,2017-12-08 19:50:14,2017-12-08,CTL,Roberts Michael James,Dir,P - Purchase,$14.58,"+7,000","40,512",+21%,"+$102,039",,,,
33,,2017-12-08 19:48:00,2017-12-08,CTL,Perry Harvey P,Chairman,P - Purchase,$14.32,"+7,500","92,745",+9%,"+$107,430",,,,
34,,2017-12-08 19:45:39,2017-12-08,CTL,Hanks William Bruce,Vice Chairman,P - Purchase,$14.41,"+10,000","58,722",+21%,"+$144,100",,,,
35,,2017-12-08 19:42:48,2017-12-08,CTL,Glenn T Michael,Dir,P - Purchase,$14.25,"+25,000","75,252",+50%,"+$356,280",,,,
36,,2017-12-08 19:39:57,2017-12-08,CTL,Clontz Steven T,Dir,P - Purchase,$14.25,"+25,000","136,019",+23%,"+$356,249",,,,
37,,2017-12-08 19:36:23,2017-12-08,CTL,Bejar Martha Helena,Dir,P - Purchase,$14.28,"+7,000","25,991",+37%,"+$99,943",,,,
38,,2017-12-08 19:33:27,2017-12-08,CTL,Storey Jeffrey K,"Pres, COO",P - Purchase,$14.30,"+71,000","2,503,390",+3%,"+$1,015,130",,,,
39,,2017-12-08 19:29:38,2017-12-08,CTL,Post Glen F III,CEO,P - Purchase,$14.17,"+50,000","1,733,301",+3%,"+$708,500",,,,
40,,2016-11-14 07:16:58,2016-11-10,CTL,Hussain Aamir,"EVP, CTO",P - Purchase,$24.00,"+14,580","179,075",+9%,"+$349,920",+2,+4,+5,
