,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-21 19:16:37,2021-10-20,CTLT,Castellano Thomas P,"SVP, CFO",S - Sale,$134.00,"-2,307","15,398",-13%,"-$309,138",,,,
2,,2021-10-18 14:33:47,2021-10-14,CTLT,Arnold Jonathan,"Pres Oral, Specialty Deliv.",S - Sale,$129.41,"-1,661","45,084",-4%,"-$214,950",,,,
3,,2021-10-06 17:37:44,2021-10-04,CTLT,Schmidt Kay A,"SVP, Technical Operations",S - Sale,$131.25,"-2,191","13,778",-14%,"-$287,569",,,,
4,D,2021-10-06 17:37:26,2021-10-04,CTLT,Fasman Steven L,"SVP, GC",S - Sale+OE,$129.05,"-34,714","57,133",-38%,"-$4,479,975",,,,
5,D,2021-10-05 18:51:46,2021-10-01,CTLT,Pravda Ricardo,"SVP, CHRO",S - Sale+OE,$132.68,"-4,906","11,747",-29%,"-$650,928",,,,
6,,2021-10-05 18:51:26,2021-10-01,CTLT,Grippo Michael J,"SVP, Strategy, Corp. Dev.",S - Sale,$131.66,"-2,055","12,502",-14%,"-$270,557",,,,
7,D,2021-10-05 18:51:11,2021-10-01,CTLT,Chiminski John R,"Chair, CEO",S - Sale+OE,$130.90,"-152,637","142,073",-52%,"-$19,979,610",,,,
8,,2021-08-30 21:43:25,2021-08-27,CTLT,Castellano Thomas P,"SVP, CFO",S - Sale,$131.13,"-2,093","17,705",-11%,"-$274,458",,,,
9,,2021-08-30 21:43:01,2021-08-27,CTLT,Schmidt Kay A,"SVP, Technical Operations",S - Sale,$131.13,-825,"15,969",-5%,"-$108,183",,,,
10,,2021-08-30 21:42:40,2021-08-27,CTLT,Hopson Ricky,"VP, Chief Accounting Officer",S - Sale,$131.13,"-1,471","19,398",-7%,"-$192,894",,,,
11,,2021-08-30 21:42:09,2021-08-27,CTLT,Pravda Ricardo,"SVP, CHRO",S - Sale,$131.13,-692,"12,835",-5%,"-$90,742",,,,
12,,2021-08-30 21:41:45,2021-08-27,CTLT,Maselli Alessandro,"Pres, COO",S - Sale,$131.13,"-3,743","25,899",-13%,"-$490,824",,,,
13,,2021-08-30 21:41:11,2021-08-27,CTLT,Gunther Scott,"SVP, Quality, Reg. Affairs",S - Sale,$130.78,"-4,173","18,062",-19%,"-$545,725",,,,
14,,2021-08-30 21:40:40,2021-08-27,CTLT,Grippo Michael J,"SVP, Strategy, Corp. Dev.",S - Sale,$131.13,"-1,698","14,557",-10%,"-$222,661",,,,
15,,2021-08-30 21:40:18,2021-08-27,CTLT,Gennadios Aristippos,"Pres Softgel, Oral Tech",S - Sale,$131.13,"-2,262","57,481",-4%,"-$296,619",,,,
16,,2021-08-30 21:39:52,2021-08-27,CTLT,Fasman Steven L,"SVP, GC",S - Sale,$131.13,"-6,111","74,588",-8%,"-$801,344",,,,
17,,2021-08-30 21:39:32,2021-08-27,CTLT,Chiminski John R,"Chair, CEO",S - Sale,$131.06,"-44,488","229,872",-16%,"-$5,830,711",,,,
18,,2021-08-30 21:38:38,2021-08-27,CTLT,Arnold Jonathan,"Pres Oral, Specialty Deliv.",S - Sale,$131.13,-452,"46,745",-1%,"-$59,271",,,,
