,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-17 08:02:41,2021-05-13,CTVA,Eathington Samuel R,"SVP, CTO",P - Purchase,$45.57,"+3,290","33,341",+11%,"+$149,925",,,,
2,D,2021-05-11 17:50:37,2021-05-07,CTVA,Titus Brian,See Remarks,S - Sale+OE,$49.04,"-29,937","19,247",-61%,"-$1,467,988",,,,
3,,2021-05-11 17:33:24,2021-05-10,CTVA,Gajaria Rajan,"EVP, Business Platforms",P - Purchase,$49.67,"+2,600","59,628",+5%,"+$129,141",,,,
4,,2021-01-19 18:11:54,2020-05-13,CTVA,Thomas Lee M,Dir,P - Purchase,$23.16,+928,"27,484",+3%,"+$21,492",,,,
5,D,2020-12-07 17:39:55,2020-12-04,CTVA,Titus Brian,See Remarks,S - Sale+OE,$38.50,"-8,545","12,595",-40%,"-$328,985",,,,
6,DM,2020-12-01 16:26:24,2020-11-09,CTVA,Gutterson Neal,"SVP, CTO",S - Sale+OE,$36.60,"-39,326","22,589",-64%,"-$1,439,324",,,,
7,,2020-08-12 16:55:37,2020-08-10,CTVA,Page Gregory R,Dir,P - Purchase,$25.30,"+5,000","35,758",+16%,"+$126,500",,,,
8,,2020-08-12 16:52:26,2020-08-10,CTVA,Gajaria Rajan,"EVP, Business Platforms",P - Purchase,$25.20,"+2,010","60,462",+3%,"+$50,652",,,,
9,,2020-08-12 16:49:39,2020-08-10,CTVA,Fuerer Cornel B,"SVP, GC, Secretary",P - Purchase,$25.01,"+2,000","36,335",+6%,"+$50,020",,,,
10,,2020-05-19 16:55:11,2020-05-15,CTVA,Glenn Timothy P,"EVP, Chief Commercial Officer",P - Purchase,$22.95,"+6,500","82,622",+9%,"+$149,195",,,,
11,,2020-05-19 16:51:30,2020-05-15,CTVA,Gajaria Rajan,"EVP, Business Platforms",P - Purchase,$23.09,"+6,530","58,551",+13%,"+$150,804",,,,
12,,2020-05-19 16:49:04,2020-05-15,CTVA,Fuerer Cornel B,"SVP, GC, Secretary",P - Purchase,$23.00,"+5,000","33,924",+17%,"+$115,000",,,,
13,,2020-05-19 16:46:41,2020-05-15,CTVA,Friedman Gregory R,"EVP, CFO",P - Purchase,$23.20,"+3,000","57,026",+6%,"+$69,600",,,,
14,,2020-03-02 17:21:48,2020-02-27,CTVA,Lutz Marcos M,Dir,P - Purchase,$28.05,"+35,000","41,205",+564%,"+$981,750",,,,
15,,2020-02-05 17:20:47,2020-02-03,CTVA,Glenn Timothy P,"EVP, Chief Commercial Officer",P - Purchase,$29.77,"+5,000","79,418",+7%,"+$148,850",,,,
16,,2020-02-05 17:18:39,2020-02-03,CTVA,Gajaria Rajan,"EVP, Business Platforms",P - Purchase,$30.00,"+2,850","57,944",+5%,"+$85,496",,,,
17,,2020-02-05 17:17:05,2020-02-03,CTVA,Andreotti Lamberto,Dir,S - Sale,$29.11,-90,"14,348",-1%,"-$2,620",,,,
18,,2019-11-19 13:13:46,2019-11-19,CTVA,Collins James C. Jr.,CEO,P - Purchase,$25.50,"+5,000","416,641",+1%,"+$127,500",,,,
19,,2019-11-06 18:29:48,2019-11-04,CTVA,Gajaria Rajan,"EVP, Business Platforms",P - Purchase,$26.21,"+7,000","54,940",+15%,"+$183,453",,,,
20,,2019-11-06 17:41:00,2019-11-04,CTVA,Glenn Timothy P,"EVP, Chief Commercial Officer",P - Purchase,$26.20,"+5,150","79,990",+7%,"+$134,908",,,,
21,,2019-11-06 17:37:55,2019-11-04,CTVA,Fuerer Cornel B,"SVP, GC, Secretary",P - Purchase,$26.17,"+2,000","31,905",+7%,"+$52,340",,,,
22,D,2019-11-06 17:34:58,2019-11-04,CTVA,Friedman Gregory R,"EVP, CFO",P - Purchase,$26.19,"+3,825","61,607",+7%,"+$100,159",,,,
23,D,2019-09-17 19:07:20,2019-08-05,CTVA,Glenn Timothy P,See Remarks,P - Purchase,$30.52,"+6,500","74,583",+10%,"+$198,361",,,,
24,,2019-09-04 17:27:25,2019-08-30,CTVA,Engel Klaus A,Dir,P - Purchase,$30.00,"+18,393","25,253",+268%,"+$551,790",,,,
25,,2019-06-05 19:21:39,2019-06-03,CTVA,Page Gregory R,Dir,P - Purchase,$25.49,"+2,000","18,036",+12%,"+$50,980",,,,
26,,2019-06-05 19:13:09,2019-06-03,CTVA,Fuerer Cornel B,See Remarks,P - Purchase,$24.84,+500,"29,787",+2%,"+$12,420",,,,
