,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-04 11:24:43,2021-10-01,CTXS,Henshall David J,"CEO, Pres",S - Sale,$107.96,"-5,450","338,567",-2%,"-$588,382",,,,
2,,2021-09-08 09:32:46,2021-09-07,CTXS,Mullapudi Sridhar,"EVP, Product Management",S - Sale,$102.69,-690,"20,711",-3%,"-$70,856",,,,
3,,2021-09-02 10:31:49,2021-09-01,CTXS,Shenkman Arlen,"EVP, CFO",S - Sale,$103.22,-935,"68,086",-1%,"-$96,511",,,,
4,,2021-09-02 10:29:58,2021-09-01,CTXS,Henshall David J,"CEO, Pres",S - Sale,$103.22,"-6,154","343,612",-2%,"-$635,216",,,,
5,,2021-08-04 09:31:15,2021-08-02,CTXS,Shenkman Arlen,"EVP, CFO",S - Sale,$100.28,-935,"69,021",-1%,"-$93,762",,,,
6,,2021-08-04 09:29:11,2021-08-02,CTXS,Ferrer Mark J,"EVP, Chief Revenue Officer",S - Sale,$100.28,"-1,175","46,445",-2%,"-$117,829",,,,
7,,2021-08-04 09:27:02,2021-08-02,CTXS,Henshall David J,"CEO, Pres",S - Sale,$100.28,"-6,155","349,766",-2%,"-$617,223",,,,
8,,2021-07-02 12:38:25,2021-07-01,CTXS,Shenkman Arlen,"EVP, CFO",S - Sale,$117.15,-935,"69,772",-1%,"-$109,535",,,,
9,,2021-07-02 12:36:27,2021-07-01,CTXS,Henshall David J,"CEO, Pres",S - Sale,$117.15,"-5,859","355,921",-2%,"-$686,382",,,,
10,,2021-07-02 12:33:59,2021-07-01,CTXS,Ferrer Mark J,"EVP, Chief Revenue Officer",S - Sale,$117.15,"-2,445","47,578",-5%,"-$286,432",,,,
11,,2021-06-02 09:43:13,2021-06-01,CTXS,Shenkman Arlen,"EVP, CFO",S - Sale,$115.16,-935,"70,507",-1%,"-$107,675",,,,
12,,2021-06-02 09:40:58,2021-06-01,CTXS,Henshall David J,"CEO, Pres",S - Sale,$115.16,"-5,860","361,397",-2%,"-$674,838",,,,
13,,2021-06-02 09:39:15,2021-06-01,CTXS,Ferrer Mark J,"EVP, Chief Revenue Officer",S - Sale,$115.16,"-3,186","49,939",-6%,"-$366,900",,,,
14,,2021-05-04 10:41:53,2021-05-03,CTXS,Shenkman Arlen,"EVP, CFO",S - Sale,$123.26,-935,"71,442",-1%,"-$115,248",,,,
