,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-06-04 13:52:03,2021-03-08,CMI,Brockhaus John D,VP-HR Operations,S - Sale+OE,$196.25,-30,"3,604",-1%,"-$5,910",,,,
2,D,2021-03-11 15:27:22,2020-06-08,CMI,Nusterer Norbert,"VP, Pres - Power Systems",S - Sale+OE,$183.90,-356,"12,553",-3%,"-$65,400",,,,
3,D,2021-02-17 16:15:46,2021-02-17,CMI,Osowick Mark J,VP - HR Op.,S - Sale+OE,$242.00,-223,"9,686",-2%,"-$53,966",,,,
4,D,2021-02-17 13:11:31,2021-02-16,CMI,Satterthwaite Tony,"Pres, COO",S - Sale+OE,$245.11,"-5,852","55,590",-10%,"-$1,434,378",,,,
5,D,2021-02-17 13:11:21,2021-02-16,CMI,Clulow Christopher C,VP - Corporate Controller,S - Sale+OE,$246.51,-220,"3,216",-6%,"-$54,231",,,,
6,A,2021-02-11 16:58:20,2021-02-10,CMI,Linebarger Norman Thomas,"COB, CEO",S - Sale,$245.10,"-9,346","90,581",-9%,"-$2,290,741",,,,
7,D,2021-02-11 08:46:30,2021-02-10,CMI,Linebarger Norman Thomas,"COB, CEO",S - Sale+OE,$245.10,"-8,389","168,450",-5%,"-$2,056,177",,,,
8,D,2021-02-11 08:46:25,2021-02-10,CMI,Cook Jill E,CHRO,S - Sale+OE,$244.67,"-2,107","19,326",-10%,"-$515,516",,,,
9,D,2021-02-11 08:46:20,2021-02-09,CMI,Rumsey Jennifer,Pres - Components,S - Sale+OE,$245.41,-352,"9,110",-4%,"-$86,385",,,,
10,D,2021-02-11 08:46:14,2021-02-09,CMI,Smith Mark Andrew,VP - CFO,S - Sale+OE,$244.64,-352,"6,419",-5%,"-$86,114",,,,
11,D,2021-02-11 08:46:13,2021-02-09,CMI,Ewald Thaddeus B,VP - Corporate Strategy,S - Sale+OE,$244.27,-650,"11,202",-5%,"-$158,772",,,,
