,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-05-19 16:20:17,2021-05-17,CVX,Pate R. Hewitt,"VP, GC",S - Sale+OE,$110.33,"-45,650","23,332",-66%,"-$5,036,574",,,,
2,D,2021-05-12 16:54:48,2021-05-10,CVX,Hernandez Enrique Jr,Dir,S - Sale+OE,$110.79,"-5,101","37,932",-12%,"-$565,135",,,,
3,,2021-02-22 16:36:26,2021-02-18,CVX,Hewson Marillyn A,Dir,P - Purchase,$95.21,"+3,200","4,261",+302%,"+$304,684",,,,
4,D,2021-01-22 16:44:45,2021-01-20,CVX,Breber Pierre R,"VP, CFO",S - Sale+OE,$95.00,"-13,000","45,683",-22%,"-$1,235,000",,,,
5,D,2021-01-21 16:42:26,2021-01-19,CVX,Wirth Michael K,"COB, CEO",S - Sale+OE,$94.73,"-132,000","32,959",-80%,"-$12,504,096",,,,
6,D,2021-01-19 16:51:30,2021-01-14,CVX,Morris Rhonda J,VP,S - Sale+OE,$94.81,"-14,700","39,182",-27%,"-$1,393,707",,,,
7,D,2021-01-19 16:46:29,2021-01-14,CVX,Pate R. Hewitt,"VP, GC",S - Sale+OE,$94.79,"-95,000","22,888",-81%,"-$9,005,202",,,,
8,D,2020-11-25 17:18:41,2020-11-24,CVX,Inchausti David A,"Vice Pres, Controller",S - Sale+OE,$95.25,"-5,000","4,766",-51%,"-$476,250",,,,
9,,2020-11-10 16:39:48,2020-11-06,CVX,Frank John,Dir,P - Purchase,$71.30,+500,"10,448",+5%,"+$35,651",,,,
10,,2020-08-13 16:41:08,2020-08-11,CVX,Inchausti David A,"Vice Pres, Comptroller",S - Sale,$92.00,"-5,750","4,690",-55%,"-$529,000",,,,
11,,2020-03-03 17:55:19,2020-02-28,CVX,Moorman Charles W,Dir,P - Purchase,$91.43,"+6,551","31,493",+26%,"+$598,983",,,,
12,M,2020-03-02 18:37:19,2020-02-27,CVX,Frank John,Dir,P - Purchase,$93.88,"+1,000","7,264",+16%,"+$93,885",,,,
13,,2020-02-26 16:44:13,2020-02-24,CVX,Frank John,Dir,P - Purchase,$104.61,+400,"6,264",+7%,"+$41,844",,,,
14,D,2020-02-14 16:31:16,2020-02-12,CVX,Hernandez Enrique Jr,Dir,S - Sale+OE,$111.71,"-4,900","34,251",-13%,"-$547,394",,,,
15,,2020-02-10 16:49:35,2020-02-06,CVX,Frank John,Dir,P - Purchase,$109.85,+500,"5,864",+9%,"+$54,925",,,,
16,D,2020-01-08 16:32:39,2020-01-06,CVX,Wirth Michael K,"COB, CEO",S - Sale+OE,$121.07,"-67,500","32,102",-68%,"-$8,172,369",,,,
17,D,2019-12-19 20:56:44,2019-12-17,CVX,Morris Rhonda J,VP,S - Sale+OE,$119.68,"-15,900","36,925",-30%,"-$1,902,963",,,,
18,D,2019-11-06 16:57:13,2019-11-04,CVX,Inchausti David A,"Vice Pres, Comptroller",S - Sale+OE,$119.96,"-22,400","10,263",-69%,"-$2,687,078",,,,
19,,2019-11-06 16:49:49,2019-11-04,CVX,Wirth Michael K,"COB, CEO",S - Sale,$0.00,"-15,844","31,959",-33%,-$0,,,,
20,D,2019-09-18 16:49:48,2019-09-16,CVX,Wirth Michael K,"COB, CEO",S - Sale+OE,$125.00,"-33,750","31,959",-51%,"-$4,218,801",,,,
21,D,2019-09-18 16:44:22,2019-09-16,CVX,Breber Pierre R,"VP, CFO",S - Sale+OE,$124.97,"-15,000","39,028",-28%,"-$1,874,579",,,,
22,D,2019-09-04 16:19:51,2019-08-30,CVX,Geagea Joseph C,EVP,S - Sale+OE,$118.10,"-5,000","26,196",-16%,"-$590,508",,,,
23,DM,2019-08-29 16:34:19,2019-08-27,CVX,Geagea Joseph C,EVP,S - Sale+OE,$116.98,"-15,000","26,196",-36%,"-$1,754,711",,,,
24,D,2019-08-15 16:30:53,2019-08-13,CVX,Geagea Joseph C,EVP,S - Sale+OE,$122.50,"-8,000","26,196",-23%,"-$980,000",,,,
25,D,2019-08-12 16:29:36,2019-08-08,CVX,Geagea Joseph C,EVP,S - Sale+OE,$122.97,"-10,000","26,196",-28%,"-$1,229,681",,,,
26,,2019-08-09 16:34:22,2019-08-07,CVX,Reed Debra L,Dir,P - Purchase,$118.14,"+4,250","7,097",+149%,"+$502,074",,,,
27,D,2019-06-25 16:51:30,2019-06-21,CVX,Wirth Michael K,"COB, CEO",S - Sale+OE,$125.60,"-33,750","31,823",-51%,"-$4,238,852",,,,
28,,2019-05-23 16:26:27,2019-05-21,CVX,Hernandez Enrique Jr,Dir,S - Sale,$121.75,"-2,100","29,136",-7%,"-$255,675",,,,
29,,2019-05-17 17:03:43,2019-05-15,CVX,Hernandez Enrique Jr,Dir,S - Sale,$122.13,"-4,200","31,236",-12%,"-$512,938",,,,
30,D,2019-04-15 16:30:16,2019-04-11,CVX,Johnson James William,EVP,S - Sale+OE,$125.60,"-4,750","17,468",-21%,"-$596,602",,,,
31,D,2019-03-15 16:40:55,2019-03-14,CVX,Johnson James William,EVP,S - Sale+OE,$124.84,"-4,750","17,468",-21%,"-$592,989",,,,
32,D,2019-02-06 16:42:38,2019-02-04,CVX,Ourada Jeanette L,"Vice Pres, Comptroller",S - Sale+OE,$116.50,"-7,200","3,703",-66%,"-$838,808",,,,
