,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-27 21:03:09,2021-07-27,DHI,Hewatt Michael W,Dir,S - Sale,$92.66,"-2,342","3,000",-44%,"-$217,010",,,,
2,,2021-07-27 21:02:21,2021-07-26,DHI,Buchanan Michael R,Dir,S - Sale,$92.50,"-2,812","10,303",-21%,"-$260,110",,,,
3,,2021-05-11 16:23:33,2021-05-07,DHI,Odom Aron M.,"VP, Controller, PAO",S - Sale,$102.50,"-3,000","2,917",-51%,"-$307,507",,,,
4,D,2021-04-29 16:24:39,2021-04-27,DHI,Anderson Bradley S,Dir,S - Sale+OE,$101.56,"-5,000","39,159",-11%,"-$507,809",,,,
5,D,2021-03-24 16:25:24,2021-03-23,DHI,Hewatt Michael W,Dir,S - Sale+OE,$85.30,"-5,000","5,342",-48%,"-$426,515",,,,
6,D,2021-03-17 18:42:12,2021-03-17,DHI,Buchanan Michael R,Dir,S - Sale+OE,$82.94,"-3,000","13,115",-19%,"-$248,820",,,,
7,D,2021-03-17 18:40:40,2021-03-15,DHI,Allen Barbara K,Dir,S - Sale+OE,$82.90,-449,"5,650",-7%,"-$37,224",,,,
8,,2021-03-11 18:22:07,2021-03-10,DHI,Allen Barbara K,Dir,S - Sale,$81.86,-470,"5,650",-8%,"-$38,472",,,,
9,,2021-03-11 18:20:30,2021-03-10,DHI,Odom Aron M.,"VP, Controller, PAO",S - Sale,$81.96,"-5,500","4,645",-54%,"-$450,769",,,,
10,,2021-02-24 16:28:44,2021-02-23,DHI,Allen Barbara K,Dir,S - Sale,$77.16,-423,"5,650",-7%,"-$32,640",,,,
11,A,2021-02-22 17:03:40,2020-12-02,DHI,Buchanan Michael R,Dir,S - Sale,$71.34,"-23,076","10,773",-68%,"-$1,646,182",,,,
12,,2021-02-01 16:12:35,2021-01-28,DHI,Allen Barbara K,Dir,S - Sale,$74.52,"-4,000","5,650",-41%,"-$298,096",,,,
13,,2020-12-04 14:51:39,2020-12-02,DHI,Buchanan Michael R,Dir,S - Sale,$70.35,"-23,076","10,773",-68%,"-$1,623,385",,,,
14,D,2020-11-30 20:39:13,2020-11-30,DHI,Hewatt Michael W,Dir,S - Sale+OE,$74.08,-470,0,-100%,"-$34,815",,,,
15,D,2020-11-30 20:35:55,2020-11-30,DHI,Allen Barbara K,Dir,S - Sale+OE,$73.97,-470,"5,650",-8%,"-$34,766",,,,
16,M,2020-11-25 16:54:45,2020-11-19,DHI,Anderson Bradley S,Dir,S - Sale,$76.63,"-10,980","33,347",-25%,"-$841,440",,,,
17,D,2020-11-18 16:13:31,2020-11-17,DHI,Hewatt Michael W,Dir,S - Sale+OE,$73.72,"-1,000",0,-100%,"-$73,716",,,,
18,D,2020-08-19 18:13:57,2020-08-17,DHI,Murray Michael J,"EVP, COO",S - Sale+OE,$72.38,"-54,400","149,539",-27%,"-$3,937,706",,,,
19,D,2020-08-18 20:52:39,2020-08-14,DHI,Odom Aron M.,"VP, Controller, PAO",S - Sale+OE,$71.45,"-4,800","3,019",-61%,"-$342,971",,,,
20,AD,2020-06-30 20:02:15,2020-06-25,DHI,Hewatt Michael W,Dir,S - Sale+OE,$53.45,"-2,000",0,-100%,"-$106,906",,,,
21,D,2020-06-29 21:34:57,2020-06-25,DHI,Hewatt Michael W,Dir,S - Sale+OE,$53.45,"-1,000",0,-100%,"-$53,453",,,,
22,,2020-05-18 17:09:33,2020-05-18,DHI,Hewatt Michael W,Dir,S - Sale,$50.81,"-1,833",0,-100%,"-$93,134",,,,
23,,2020-03-13 17:10:22,2019-02-15,DHI,Murray Michael J,"EVP, COO",S - Sale,$39.64,-200,"145,339",0%,"-$7,928",,,,
