,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-17 17:22:53,2021-08-13,DHR,Lutz Robert S,SVP-Chief Accounting Officer,S - Sale+OE,$313.40,"-5,000","16,155",-24%,"-$1,567,001",,,,
2,,2021-08-02 17:03:44,2021-07-30,DHR,Weidemanis Joakim,EVP,S - Sale,$298.93,"-6,700","70,720",-9%,"-$2,002,818",,,,
3,D,2021-07-29 17:07:04,2021-07-28,DHR,Ellis Brian W,"SVP, GC",S - Sale+OE,$291.00,"-12,000","21,334",-36%,"-$3,492,000",,,,
4,D,2021-07-29 17:02:59,2021-07-28,DHR,McGrew Matthew,"EVP, CFO",S - Sale+OE,$293.40,"-12,310","18,109",-40%,"-$3,611,782",,,,
5,D,2021-07-28 17:04:55,2021-07-27,DHR,Weidemanis Joakim,EVP,S - Sale+OE,$289.45,"-16,467","77,420",-18%,"-$4,766,435",,,,
6,D,2021-05-28 16:46:32,2021-05-27,DHR,List Teri,Dir,S - Sale+OE,$255.10,"-4,548","16,314",-22%,"-$1,160,195",,,,
7,,2021-05-24 17:10:51,2021-05-21,DHR,Lutz Robert S,SVP-Chief Accounting Officer,S - Sale,$254.75,"-6,006","16,155",-27%,"-$1,530,028",,,,
8,D,2021-05-10 17:16:04,2021-05-07,DHR,Lohr Walter G,Dir,S - Sale+OE,$259.32,"-4,350","402,378",-1%,"-$1,128,042",,,,
9,,2021-04-28 17:13:37,2021-04-27,DHR,Weidemanis Joakim,EVP,S - Sale,$258.76,"-17,169","84,420",-17%,"-$4,442,633",,,,
10,,2021-04-27 17:36:33,2021-04-23,DHR,Lalor Angela S,"SVP, HR",S - Sale,$255.79,"-3,092","30,937",-9%,"-$790,903",,,,
11,D,2021-04-27 17:33:16,2021-04-23,DHR,Ellis Brian W,"SVP, GC",S - Sale+OE,$254.91,"-13,277","21,334",-38%,"-$3,384,488",,,,
12,,2021-03-02 16:30:31,2021-02-26,DHR,Rales Mitchell P,COB of Exec. Committee,P - Purchase,$221.56,"+6,600","35,496,460",0%,"+$1,462,260",,,,
13,,2021-02-23 17:10:17,2021-02-12,DHR,Hefner Linda P,Dir,S - Sale,$245.00,"-5,376","41,527",-11%,"-$1,317,120",,,,
14,,2021-02-16 17:15:23,2021-02-12,DHR,Lalor Angela S,"SVP, HR",S - Sale,$244.70,"-6,437","25,148",-20%,"-$1,575,102",,,,
15,,2021-02-16 17:14:38,2021-02-12,DHR,Ellis Brian W,SVP - GC,S - Sale,$244.59,"-3,852","18,857",-17%,"-$942,161",,,,
16,,2020-11-23 19:41:21,2020-11-19,DHR,Rales Mitchell P,COB of Exec. Committee,P - Purchase,$226.14,"+26,784","35,493,284",0%,"+$6,056,934",,,,
17,D,2020-11-04 17:26:01,2020-11-03,DHR,Zerhouni Elias A.,Dir,S - Sale+OE,$233.72,"-8,898","78,972",-10%,"-$2,079,594",,,,
18,D,2020-10-27 17:14:58,2020-10-23,DHR,Raskas Daniel,SVP-Corporate Development,S - Sale+OE,$234.50,"-28,389","19,723",-59%,"-$6,657,177",,,,
19,D,2020-10-27 17:14:25,2020-10-23,DHR,Lutz Robert S,SVP-Chief Accounting Officer,S - Sale+OE,$233.19,"-24,594","18,950",-56%,"-$5,735,039",,,,
20,D,2020-10-27 17:13:49,2020-10-23,DHR,Comas Daniel L,EVP,S - Sale+OE,$233.25,"-54,402","135,030",-29%,"-$12,689,037",,,,
21,DM,2020-09-01 17:45:39,2020-08-28,DHR,Lalor Angela S,"SVP, HR",S - Sale+OE,$205.50,"-77,909","35,910",-68%,"-$16,010,300",,,,
22,,2020-07-30 19:13:07,2020-07-29,DHR,McGrew Matthew,"EVP, CFO",S - Sale,$203.42,"-7,457","21,097",-26%,"-$1,516,925",,,,
23,D,2020-07-29 17:11:14,2020-07-28,DHR,King William,"SVP, Strategic Development",S - Sale+OE,$199.09,"-26,982","21,601",-56%,"-$5,371,878",,,,
24,,2020-07-29 17:10:18,2020-07-28,DHR,Lohr Walter G,Dir,S - Sale,$198.56,"-57,000","391,000",-13%,"-$11,317,692",,,,
25,D,2020-07-28 18:16:19,2020-07-27,DHR,Weidemanis Joakim,EVP,S - Sale+OE,$196.00,"-19,834","92,714",-18%,"-$3,887,464",,,,
26,D,2020-07-28 18:15:27,2020-07-24,DHR,Schwieters John T,Dir,S - Sale+OE,$193.95,"-6,014","35,331",-15%,"-$1,166,403",,,,
27,D,2020-07-28 18:13:58,2020-07-27,DHR,Hefner Linda P,Dir,S - Sale+OE,$197.00,"-2,754","38,255",-7%,"-$542,538",,,,
28,D,2020-07-28 18:13:25,2020-07-24,DHR,Joyce Thomas Patrick Jr,"Pres, CEO",S - Sale+OE,$193.98,"-181,394","208,333",-47%,"-$35,186,837",,,,
29,DM,2020-07-28 18:12:14,2020-07-24,DHR,Comas Daniel L,EVP,S - Sale+OE,$194.56,"-100,032","139,280",-42%,"-$19,461,980",,,,
30,,2020-06-02 16:30:26,2020-05-29,DHR,Rales Mitchell P,COB of Exec. Committee,P - Purchase,$164.69,"+141,420","35,466,500",0%,"+$23,291,085",,,,
31,,2020-05-29 17:13:24,2020-05-28,DHR,Blair Rainer,EVP,S - Sale,$165.96,"-3,330","36,256",-8%,"-$552,637",,,,
32,D,2020-05-29 17:11:49,2020-05-28,DHR,Lohr Walter G,Dir,S - Sale+OE,$165.61,"-11,014","459,378",-2%,"-$1,824,029",,,,
33,,2020-05-19 17:11:35,2020-05-18,DHR,Comas Daniel L,EVP,S - Sale,$165.68,"-18,259","154,114",-11%,"-$3,025,078",,,,
34,D,2020-05-12 17:30:06,2020-05-08,DHR,Raskas Daniel,SVP-Corporate Development,S - Sale+OE,$164.09,"-37,082","19,723",-65%,"-$6,084,929",,,,
35,D,2020-05-12 17:29:35,2020-05-08,DHR,Lutz Robert S,SVP-Chief Accounting Officer,S - Sale+OE,$161.68,"-33,892","18,950",-64%,"-$5,479,696",,,,
36,,2020-05-12 17:27:47,2020-05-08,DHR,Lalor Angela S,"SVP, HR",S - Sale,$163.03,"-8,031","35,910",-18%,"-$1,309,270",,,,
37,,2020-05-12 17:27:15,2020-05-08,DHR,Ellis Brian W,"SVP, GC, CCO",S - Sale,$163.40,"-2,870","24,837",-10%,"-$468,969",,,,
38,D,2020-05-12 16:12:04,2020-05-12,DHR,Rales Mitchell P,COB of Exec. Committee,P - Purchase,$163.00,"+1,226","35,322,824",0%,"+$199,838",,,,
39,,2020-03-06 17:10:09,2020-03-04,DHR,Daniel William K,EVP,S - Sale,$147.54,-0,"94,724",0%,-$65,,,,
40,D,2020-02-24 18:21:20,2020-02-20,DHR,King William,"SVP, Strategic Development",S - Sale+OE,$160.23,"-26,370","19,878",-57%,"-$4,225,191",,,,
41,,2020-02-12 17:13:10,2020-02-10,DHR,Daniel William K,EVP,S - Sale,$163.23,"-20,733","88,986",-19%,"-$3,384,316",,,,
42,D,2020-02-11 17:51:49,2020-02-10,DHR,Ehrlich Donald J,Dir,S - Sale+OE,$163.13,"-6,014","125,803",-5%,"-$981,034",,,,
43,,2020-02-11 17:50:46,2020-02-07,DHR,Joyce Thomas Patrick Jr,"Pres, CEO",S - Sale,$162.03,"-20,492","162,336",-11%,"-$3,320,257",,,,
44,D,2020-02-05 20:43:13,2020-02-04,DHR,Comas Daniel L,EVP,S - Sale+OE,$163.26,"-50,000","155,607",-24%,"-$8,162,950",,,,
45,D,2020-02-04 20:53:27,2020-02-03,DHR,McGrew Matthew,"EVP, CFO",S - Sale+OE,$161.98,"-11,304","30,042",-27%,"-$1,831,030",,,,
46,D,2020-02-04 20:51:40,2020-02-03,DHR,Lalor Angela S,"SVP, HR",S - Sale+OE,$161.49,"-18,267","34,528",-35%,"-$2,949,846",,,,
47,D,2020-02-04 20:49:50,2020-01-31,DHR,Joyce Thomas Patrick Jr,"Pres, CEO",S - Sale+OE,$162.51,"-132,474","182,828",-42%,"-$21,527,890",,,,
48,DM,2020-02-04 20:46:34,2020-01-31,DHR,Comas Daniel L,EVP,S - Sale+OE,$161.50,"-82,464","155,588",-35%,"-$13,317,659",,,,
49,D,2020-02-04 20:45:33,2020-01-31,DHR,Blair Rainer,EVP,S - Sale+OE,$163.50,"-36,440","27,313",-57%,"-$5,957,881",,,,
50,,2019-08-26 16:30:48,2019-08-23,DHR,Rales Mitchell P,COB of Exec. Committee,P - Purchase,$139.52,"+2,500","36,046,463",0%,"+$348,800",,,,
51,,2019-07-29 17:21:38,2019-07-26,DHR,Ellis Brian W,SVP - GC,S - Sale,$144.04,"-1,010","20,889",-5%,"-$145,480",,,,
52,D,2019-07-29 17:19:15,2019-07-25,DHR,Lutz Robert S,SVP-Chief Accounting Officer,S - Sale+OE,$143.28,"-14,668","21,054",-41%,"-$2,101,653",,,,
53,D,2019-07-25 17:18:21,2019-07-23,DHR,Lalor Angela S,"SVP, HR",S - Sale+OE,$142.30,"-20,000","38,515",-34%,"-$2,846,060",,,,
54,D,2019-07-23 17:38:41,2019-07-19,DHR,Joyce Thomas Patrick Jr,"Pres, CEO",S - Sale+OE,$141.77,"-70,544","204,991",-26%,"-$10,001,093",,,,
55,D,2019-07-23 17:37:17,2019-07-19,DHR,Comas Daniel L,EVP,S - Sale+OE,$142.05,"-68,379","167,188",-29%,"-$9,712,963",,,,
56,D,2019-07-23 17:35:40,2019-07-22,DHR,Hefner Linda P,Dir,S - Sale+OE,$141.66,"-2,601","36,334",-7%,"-$368,452",,,,
57,D,2019-05-30 17:32:22,2019-05-29,DHR,King William,"SVP, Strategic Development",S - Sale+OE,$129.92,"-12,950","20,733",-38%,"-$1,682,513",,,,
58,D,2019-05-29 17:27:15,2019-05-24,DHR,Daniel William K,EVP,S - Sale+OE,$132.43,"-164,164","115,778",-59%,"-$21,739,886",,,,
59,,2019-05-22 17:27:18,2019-05-21,DHR,Daniel William K,EVP,S - Sale,$131.27,"-7,534","115,778",-6%,"-$989,018",,,,
60,,2019-05-20 17:39:07,2019-05-16,DHR,Lalor Angela S,"SVP, HR",S - Sale,$132.23,"-3,091","38,515",-7%,"-$408,723",,,,
61,,2019-05-20 17:37:39,2019-05-16,DHR,Joyce Thomas Patrick Jr,"Pres, CEO",S - Sale,$132.79,"-14,454","204,954",-7%,"-$1,919,289",,,,
62,D,2019-05-20 17:34:30,2019-05-16,DHR,Ehrlich Donald J,Dir,S - Sale+OE,$132.95,"-5,000","130,203",-4%,"-$664,725",,,,
63,,2019-05-20 17:33:54,2019-05-16,DHR,Comas Daniel L,EVP,S - Sale,$132.41,"-7,726","167,201",-4%,"-$1,022,976",,,,
64,,2019-05-14 16:15:24,2019-05-10,DHR,Rales Mitchell P,COB of Exec. Committee,P - Purchase,$130.78,"+1,900","36,043,963",0%,"+$248,485",,,,
65,,2019-05-01 17:44:10,2019-04-30,DHR,Daniel William K,EVP,S - Sale,$132.05,"-10,772","129,228",-8%,"-$1,422,389",,,,
66,D,2019-04-30 17:30:04,2019-04-29,DHR,McGrew Matthew,"EVP, CFO",S - Sale+OE,$130.89,"-22,738","36,242",-39%,"-$2,976,230",,,,
67,DM,2019-04-30 17:28:51,2019-04-29,DHR,Joyce Thomas Patrick Jr,"Pres, CEO",S - Sale+OE,$131.31,"-186,960","219,448",-46%,"-$24,548,908",,,,
68,D,2019-04-30 17:21:56,2019-04-29,DHR,Comas Daniel L,EVP,S - Sale+OE,$131.00,"-30,000","182,137",-14%,"-$3,930,000",,,,
69,D,2019-04-25 17:19:05,2019-04-24,DHR,Spoon Alan G,Dir,S - Sale+OE,$129.52,"-1,913","93,615",-2%,"-$247,772",,,,
70,D,2019-02-28 17:22:12,2019-02-27,DHR,Schwieters John T,Dir,S - Sale+OE,$126.81,"-10,578","29,066",-27%,"-$1,341,343",,,,
71,D,2019-02-28 17:21:37,2019-02-27,DHR,Raskas Daniel,SVP-Corporate Development,S - Sale+OE,$126.45,"-49,164","25,941",-65%,"-$6,216,662",,,,
72,DM,2019-02-28 17:19:38,2019-02-27,DHR,Lutz Robert S,SVP-Chief Accounting Officer,S - Sale+OE,$126.97,"-32,822","22,251",-60%,"-$4,167,378",,,,
73,D,2019-02-28 17:18:25,2019-02-27,DHR,Lohr Walter G,Dir,S - Sale+OE,$126.85,"-10,578","458,113",-2%,"-$1,341,840",,,,
74,,2019-02-28 17:17:40,2019-02-27,DHR,Lalor Angela S,"SVP, HR",S - Sale,$127.25,"-4,534","44,494",-9%,"-$576,947",,,,
75,,2019-02-28 17:15:37,2019-02-27,DHR,Ellis Brian W,SVP - GC,S - Sale,$127.22,"-1,564","21,209",-7%,"-$198,977",,,,
