,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-22 16:50:17,2021-06-21,DISCA,Malone John C,"Dir, 10%",S - Sale,$29.15,"-6,768","1,106,323",-1%,"-$197,287",,,,
2,M,2021-06-04 18:16:37,2021-06-03,DISCA,Malone John C,"Dir, 10%",S - Sale,$29.49,"-405,000","11,786,362",-3%,"-$11,944,757",,,,
3,,2021-05-28 16:33:58,2021-05-27,DISCA,Bennett Robert R,Dir,S - Sale,$68.80,-20,0,-100%,"-$1,376",,,,
4,,2021-05-25 16:49:44,2021-05-24,DISCK,Wiedenfels Gunnar,CFO,P - Purchase,$29.09,"+25,000","75,000",+50%,"+$727,250",,,,
5,,2021-05-25 16:43:07,2021-05-24,DISCA,Wiedenfels Gunnar,CFO,S - Sale,$31.30,"-8,383","199,913",-4%,"-$262,346",,,,
6,,2021-03-17 16:15:23,2021-03-16,DISCA,Sanchez Daniel E.,Dir,S - Sale,$75.80,"-9,538","12,019",-44%,"-$722,980",,,,
7,D,2021-03-17 16:12:57,2021-03-16,DISCA,Perrette Jean-Briac,"Pres, CEO, Discovery Int'l",S - Sale+OE,$76.11,"-199,017","327,825",-38%,"-$15,147,753",,,,
8,,2021-03-16 16:21:56,2021-03-15,DISCA,Locke Lori C.,Chief Accounting Officer,S - Sale,$73.10,"-1,301","21,514",-6%,"-$95,103",,,,
9,,2021-03-16 16:19:24,2021-03-15,DISCA,Beck Robert R,Dir,S - Sale,$73.40,"-15,999","68,579",-19%,"-$1,174,263",,,,
10,,2021-03-16 16:17:26,2021-03-15,DISCA,Lowe Kenneth W,Dir,S - Sale,$61.20,"-83,500","1,007,903",-8%,"-$5,110,451",,,,
11,,2021-03-05 16:16:23,2021-03-03,DISCA,Sanchez Daniel E.,Dir,S - Sale,$60.78,"-2,000","21,557",-8%,"-$121,560",,,,
12,D,2021-03-05 16:14:26,2021-03-04,DISCA,Perrette Jean-Briac,"Pres, CEO, Discovery Int'l",S - Sale+OE,$62.32,"-474,601","327,825",-59%,"-$29,574,884",,,,
13,D,2021-03-03 16:38:07,2021-03-02,DISCA,Perrette Jean-Briac,"Pres, CEO, Discovery Int'l",S - Sale+OE,$59.05,"-93,342","327,825",-22%,"-$5,511,658",,,,
14,DM,2021-03-03 16:27:06,2021-03-01,DISCA,Leavy David,Chief Corp Operating Officer,S - Sale+OE,$55.30,"-66,864","93,395",-42%,"-$3,697,351",,,,
15,,2021-03-03 16:24:47,2021-03-02,DISCA,Sims Savalle,GC,S - Sale,$58.77,"-3,668","74,947",-5%,"-$215,568",,,,
16,D,2021-03-03 16:21:10,2021-03-02,DISCA,Wiedenfels Gunnar,CFO,P - Purchase,$48.50,"+40,000","266,342",+18%,"+$1,940,000",,,,
17,DM,2021-03-03 16:21:10,2021-03-01,DISCA,Wiedenfels Gunnar,CFO,S - Sale+OE,$57.41,"-167,751","266,342",-39%,"-$9,629,985",,,,
18,,2021-03-03 16:16:26,2021-03-02,DISCA,Lowe Kenneth W,Dir,S - Sale,$48.64,"-111,000","1,091,403",-9%,"-$5,398,618",,,,
19,D,2021-03-02 16:45:33,2021-03-01,DISCA,Sims Savalle,GC,S - Sale+OE,$55.83,"-8,125","54,200",-13%,"-$453,578",,,,
20,,2021-03-02 16:40:16,2021-03-01,DISCA,Locke Lori C.,Chief Accounting Officer,S - Sale,$58.06,"-1,703","16,214",-10%,"-$98,869",,,,
21,,2021-02-26 17:11:34,2021-02-24,DISCA,Bennett Robert R,Dir,S - Sale,$51.75,"-103,173","15,132",-87%,"-$5,339,223",,,,
22,D,2021-02-25 17:17:02,2021-02-23,DISCA,Alpert-Romm Adria,"Chief People, Culture Officer",S - Sale+OE,$44.93,"-15,962","10,989",-59%,"-$717,152",,,,
23,D,2021-02-25 17:14:22,2021-02-23,DISCA,Alpert-Romm Adria,"Chief People, Culture Officer",S - Sale+OE,$52.11,"-330,482","4,674",-99%,"-$17,221,039",,,,
24,D,2021-02-25 17:11:30,2021-02-23,DISCA,Leavy David,Chief Corp Operating Officer,S - Sale+OE,$50.91,"-203,401","93,123",-69%,"-$10,355,690",,,,
25,D,2021-02-25 17:07:03,2021-02-23,DISCA,Campbell Bruce,"Chief Dev Dist, Legal Officer",S - Sale+OE,$50.79,"-631,428","455,205",-58%,"-$32,072,766",,,,
26,D,2021-02-25 17:03:27,2021-02-23,DISCA,Sims Savalle,GC,S - Sale+OE,$51.20,"-30,951","72,232",-30%,"-$1,584,839",,,,
27,D,2021-02-25 17:00:01,2021-02-23,DISCA,Lowe Kenneth W,Dir,S - Sale+OE,$43.01,"-393,966","1,202,403",-25%,"-$16,943,934",,,,
28,D,2021-02-25 16:57:04,2021-02-23,DISCA,Wiedenfels Gunnar,CFO,S - Sale+OE,$51.43,"-267,777","218,963",-55%,"-$13,770,892",,,,
29,D,2021-02-24 17:29:32,2021-02-23,DISCK,Advance Long-Term Management Trust,"Dir, 10%",S - Sale+OE,$42.15,"-11,000,000",2,-100%,"-$463,650,000",,,,
30,D,2020-12-08 16:35:12,2020-12-04,DISCA,Lowe Kenneth W,Dir,S - Sale+OE,$25.22,"-91,836","1,202,403",-7%,"-$2,316,104",,,,
31,,2020-12-04 17:39:33,2020-12-03,DISCA,Malone John C,"Dir, 10%",S - Sale,$28.61,"-550,000","1,355,696",-29%,"-$15,733,300",,,,
32,,2020-05-08 16:34:21,2020-05-08,DISCA,Malone John C,"Dir, 10%",S - Sale,$21.44,"-5,229","1,898,928",0%,"-$112,110",,,,
33,,2020-03-17 16:42:45,2020-03-16,DISCA,Wargo J David,Dir,S - Sale,$19.27,"-200,000","174,851",-53%,"-$3,853,080",,,,
34,,2020-03-11 16:53:11,2020-03-09,DISCA,Wargo J David,Dir,S - Sale,$22.84,"-185,000","302,624",-38%,"-$4,224,771",,,,
35,,2020-03-03 17:29:55,2020-03-02,DISCA,Sims Savalle,GC,S - Sale,$25.75,"-7,484","76,556",-9%,"-$192,698",,,,
36,,2020-02-19 17:17:04,2020-02-14,DISCA,Advance Long-Term Management Trust,"Dir, 10%",S - Sale,$30.08,"-9,500,000",2,-100%,"-$285,712,500",,,,
