,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-15 16:11:59,2021-09-13,DISH,Scott David A.,"EVP, CHRO",S - Sale,$44.21,-500,"1,242",-29%,"-$22,105",,,,
2,D,2021-05-03 16:23:22,2021-04-29,DISH,Messner Timothy A.,"EVP, GC",S - Sale+OE,$45.00,"-3,200","2,508",-56%,"-$144,000",,,,
3,D,2021-04-28 16:46:02,2021-04-26,DISH,Messner Timothy A.,"EVP, GC",S - Sale+OE,$43.00,"-10,000","2,508",-80%,"-$430,000",,,,
4,D,2021-03-24 15:52:40,2021-03-22,DISH,Messner Timothy A.,"EVP, GC",S - Sale+OE,$37.61,-400,"2,505",-14%,"-$15,044",,,,
5,DM,2020-09-28 13:49:37,2020-09-24,DISH,Cullen Thomas A,"EVP, Corporate Development",S - Sale+OE,$28.51,"-86,000","298,423",-22%,"-$2,451,430",,,,
6,DM,2020-09-24 16:50:18,2020-09-22,DISH,Cullen Thomas A,"EVP, Corporate Development",S - Sale+OE,$29.67,"-86,000","298,423",-22%,"-$2,551,190",,,,
7,DM,2020-09-22 13:57:11,2020-09-18,DISH,Cullen Thomas A,"EVP, Corporate Development",S - Sale+OE,$30.57,"-86,000","298,423",-22%,"-$2,628,590",,,,
8,DM,2020-09-18 17:24:22,2020-09-16,DISH,Cullen Thomas A,"EVP, Corporate Development",S - Sale+OE,$32.79,"-86,000","298,423",-22%,"-$2,819,510",,,,
9,DM,2020-09-16 13:26:35,2020-09-14,DISH,Cullen Thomas A,"EVP, Corporate Development",S - Sale+OE,$32.80,"-86,000","298,423",-22%,"-$2,820,370",,,,
10,,2020-07-21 17:14:08,2020-07-17,DISH,Kiser Kyle J,"VP, Treasurer",S - Sale,$32.72,"-4,500","15,690",-22%,"-$147,240",,,,
11,D,2020-07-02 20:01:32,2020-07-01,DISH,Cullen Thomas A,"EVP, Corporate Development",S - Sale+OE,$35.00,"-50,000","298,423",-14%,"-$1,750,000",,,,
12,M,2020-03-10 19:00:02,2020-03-06,DISH,Kiser Kyle J,"VP, Treasurer",S - Sale,$29.42,"-16,500","19,902",-45%,"-$485,370",,,,
