,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-17 17:35:05,2021-09-15,DLR,Kennedy Kevin,Dir,S - Sale+OE,$154.15,-350,0,-100%,"-$53,953",,,,
2,D,2021-09-10 19:21:52,2021-09-08,DLR,Stein A William,CEO,S - Sale+OE,$168.05,"-22,324",0,-100%,"-$3,751,548",,,,
3,DM,2021-09-07 19:44:30,2021-09-02,DLR,Stein A William,CEO,S - Sale+OE,$168.02,"-40,475",0,-100%,"-$6,800,688",,,,
4,,2021-09-02 19:14:12,2021-09-01,DLR,Ruberg David C,"EVP, STRATEGIC ADVISOR",S - Sale,$166.11,"-55,212","300,000",-16%,"-$9,171,265",,,,
5,D,2021-09-02 19:09:49,2021-09-01,DLR,Mills Joshua A.,"EVP, GC",S - Sale+OE,$165.00,"-2,500","4,166",-38%,"-$412,500",,,,
6,DM,2021-09-02 19:05:33,2021-08-31,DLR,Stein A William,CEO,S - Sale+OE,$164.19,"-54,953",0,-100%,"-$9,022,954",,,,
7,D,2021-08-24 20:03:09,2021-08-20,DLR,Stein A William,CEO,S - Sale+OE,$164.03,"-59,735",0,-100%,"-$9,798,332",,,,
8,A,2021-06-21 17:56:27,2021-02-26,DLR,Mercier Matt,"SVP, FINANCE, ACCOUNTING",P - Purchase,$97.45,+31,201,+18%,"+$3,021",,,,
9,D,2021-06-17 18:54:22,2021-06-15,DLR,Kennedy Kevin,Dir,S - Sale+OE,$162.05,-350,0,-100%,"-$56,718",,,,
10,,2021-06-16 21:42:21,2021-06-14,DLR,Mercier Matt,"SVP, FINANCE, ACCOUNTING",S - Sale,$162.25,-205,0,-100%,"-$33,261",,,,
11,D,2021-06-14 20:05:48,2021-06-10,DLR,Stein A William,CEO,S - Sale+OE,$164.00,"-10,312",0,-100%,"-$1,691,168",,,,
12,D,2021-06-10 18:57:51,2021-06-08,DLR,Fiedelman Cindy,CHRO,S - Sale+OE,$160.00,"-4,835",0,-100%,"-$773,600",,,,
13,D,2021-06-10 18:56:28,2021-06-08,DLR,Mills Joshua A.,"EVP, GC",S - Sale+OE,$160.00,"-2,500","4,166",-38%,"-$400,000",,,,
14,DM,2021-06-09 19:04:11,2021-06-07,DLR,Stein A William,CEO,S - Sale+OE,$159.74,"-125,000",0,-100%,"-$19,968,013",,,,
15,D,2021-06-07 21:03:08,2021-06-03,DLR,Stein A William,CEO,S - Sale+OE,$155.50,"-100,000",0,-100%,"-$15,550,374",,,,
16,D,2021-05-27 19:00:02,2021-05-25,DLR,Stein A William,CEO,S - Sale+OE,$151.92,"-100,000",0,-100%,"-$15,191,761",,,,
17,,2021-05-25 18:16:44,2021-05-21,DLR,Wright Gregory S,CHIEF INVESTMENT OFFICER,S - Sale,$150.34,"-12,295","19,710",-38%,"-$1,848,430",,,,
18,D,2021-05-13 20:30:31,2021-05-11,DLR,Fiedelman Cindy,CHRO,S - Sale+OE,$150.54,"-9,668",0,-100%,"-$1,455,421",,,,
19,,2021-05-05 20:22:57,2021-05-03,DLR,Ruberg David C,"EVP, STRATEGIC ADVISOR",S - Sale,$151.84,"-200,000","355,212",-36%,"-$30,368,265",,,,
20,D,2021-04-22 19:21:52,2021-04-20,DLR,Kennedy Kevin,Dir,S - Sale+OE,$150.00,-150,0,-100%,"-$22,500",,,,
21,D,2021-03-17 19:39:11,2021-03-15,DLR,Kennedy Kevin,Dir,S - Sale+OE,$134.58,-200,0,-100%,"-$26,916",,,,
22,M,2021-03-11 19:37:33,2021-03-10,DLR,Corey Dyer,"EVP, GLOBAL SALES, MARKETING",S - Sale,$135.31,"-1,604","8,739",-16%,"-$217,036",,,,
23,M,2021-03-09 20:28:44,2021-03-08,DLR,Ruberg David C,"MD, EUROPE",S - Sale,$135.02,"-50,000","555,212",-8%,"-$6,750,926",,,,
24,D,2021-03-03 19:46:51,2021-03-01,DLR,Corey Dyer,"EVP, GLOBAL SALES, MARKETING",S - Sale+OE,$135.39,"-6,867","10,345",-40%,"-$929,723",,,,
25,DM,2021-03-01 21:23:30,2021-02-26,DLR,Ruberg David C,"MD, EUROPE",S - Sale+OE,$133.54,"-50,000","605,212",-8%,"-$6,676,854",,,,
26,D,2021-02-02 19:19:51,2021-01-29,DLR,Fiedelman Cindy,CHRO,S - Sale+OE,$143.83,"-1,024",0,-100%,"-$147,282",,,,
27,D,2021-01-04 18:50:24,2020-12-31,DLR,Fiedelman Cindy,CHRO,S - Sale+OE,$138.19,"-1,024",0,-100%,"-$141,507",,,,
28,D,2020-12-02 18:57:45,2020-11-30,DLR,Fiedelman Cindy,CHRO,S - Sale+OE,$137.00,"-1,793",0,-100%,"-$245,641",,,,
29,,2020-11-09 19:00:23,2020-11-05,DLR,Ruberg David C,"MD, EUROPE",S - Sale,$149.21,"-50,000","734,136",-6%,"-$7,460,500",,,,
30,D,2020-11-05 19:03:41,2020-11-03,DLR,Sharp Christopher,CTO,S - Sale+OE,$147.48,"-1,683",349,-83%,"-$248,209",,,,
31,D,2020-11-03 18:47:03,2020-10-30,DLR,Fiedelman Cindy,CHRO,S - Sale+OE,$147.00,"-1,024",0,-100%,"-$150,528",,,,
32,D,2020-10-13 13:31:41,2020-10-08,DLR,Power Andrew,CFO,S - Sale+OE,$155.00,"-15,500",0,-100%,"-$2,402,500",,,,
33,D,2020-10-02 19:27:08,2020-09-30,DLR,Fiedelman Cindy,CHRO,S - Sale+OE,$148.14,"-1,024",0,-100%,"-$151,695",,,,
34,D,2020-09-02 19:53:18,2020-08-31,DLR,Fiedelman Cindy,CHRO,S - Sale+OE,$154.65,"-1,025",0,-100%,"-$158,516",,,,
35,D,2020-09-01 19:17:10,2020-08-28,DLR,Fiedelman Cindy,CHRO,S - Sale+OE,$153.95,"-1,363",0,-100%,"-$209,834",,,,
