,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-23 16:11:09,2021-06-21,DLTR,McNeely Richard L,Chief Merchandising Officer,S - Sale,$101.16,"-7,635",497,-94%,"-$772,383",,,,
2,,2021-06-10 16:00:28,2021-06-09,DLTR,Naylor Jeffrey G,Dir,P - Purchase,$99.16,"+2,500","11,500",+28%,"+$247,900",,,,
3,,2021-06-03 16:49:10,2021-06-02,DLTR,Lewis Lemuel E,Dir,P - Purchase,$98.42,"+1,000","26,614",+4%,"+$98,421",,,,
4,,2021-06-02 17:09:01,2021-06-01,DLTR,Bridgeford Gregory M,Dir,P - Purchase,$99.02,"+5,100","5,899",+638%,"+$505,003",,,,
5,,2021-04-27 16:30:38,2021-04-26,DLTR,Sasser Bob,Exec COB,S - Sale,$114.52,"-13,584","205,298",-6%,"-$1,555,643",,,,
6,,2021-04-27 16:28:45,2021-04-26,DLTR,Jacobs David A.,Chief Strategy Officer,S - Sale,$115.30,"-3,869","12,039",-24%,"-$446,096",,,,
7,M,2021-04-27 16:27:06,2021-04-26,DLTR,Wampler Kevin S,CFO,S - Sale,$114.78,"-20,135","128,501",-14%,"-$2,311,166",,,,
8,,2021-03-05 16:39:21,2021-03-05,DLTR,Barron Arnold S,Dir,S - Sale,$101.47,"-3,978",0,-100%,"-$403,660",,,,
9,,2020-12-09 16:40:33,2020-12-08,DLTR,Lewis Lemuel E,Dir,P - Purchase,$110.00,"+1,000","25,614",+4%,"+$110,000",,,,
10,,2020-12-08 16:09:28,2020-12-07,DLTR,Lewis Lemuel E,Dir,P - Purchase,$112.00,"+1,000","24,614",+4%,"+$112,000",,,,
11,,2020-12-07 16:58:05,2020-12-04,DLTR,Witynski Michael A.,"Pres, CEO",S - Sale,$112.62,"-12,381","9,479",-57%,"-$1,394,368",,,,
12,,2020-12-04 16:05:08,2020-12-03,DLTR,Saunders Thomas A,Dir,S - Sale,$112.88,"-18,434","2,266,645",-1%,"-$2,080,743",,,,
13,,2020-12-03 16:13:07,2020-12-02,DLTR,Saunders Thomas A,Dir,S - Sale,$111.94,"-64,570","2,285,079",-3%,"-$7,227,796",,,,
14,,2020-12-03 14:44:02,2020-12-02,DLTR,O'Boyle Thomas Jr,COO,S - Sale,$111.87,"-1,111",801,-58%,"-$124,282",,,,
15,,2020-12-03 14:41:09,2020-12-01,DLTR,Saunders Thomas A,Dir,S - Sale,$111.76,"-104,944","1,484",-99%,"-$11,728,488",,,,
16,,2020-11-25 12:46:34,2020-11-24,DLTR,Old William A. Jr,GC,S - Sale,$112.00,"-7,523","16,267",-32%,"-$842,586",,,,
17,,2020-09-03 11:55:03,2020-09-02,DLTR,McNeely Richard L,Chief Merchandising Officer,S - Sale,$94.45,"-2,521",266,-90%,"-$238,113",,,,
18,,2020-08-13 12:44:25,2020-08-12,DLTR,Jacobs David A.,Chief Strategy Officer,S - Sale,$99.00,"-7,457","7,806",-49%,"-$738,243",,,,
19,,2020-06-02 11:42:51,2020-06-01,DLTR,McNeely Richard L,Chief Merchandising Officer,S - Sale,$96.21,"-3,000","2,786",-52%,"-$288,629",,,,
20,,2020-06-02 11:41:46,2020-06-01,DLTR,Barron Arnold S,Dir,S - Sale,$96.57,"-15,000",0,-100%,"-$1,448,490",,,,
21,,2020-03-12 17:30:07,2020-03-12,DLTR,Lewis Lemuel E,Dir,P - Purchase,$75.26,+500,"23,614",+2%,"+$37,632",,,,
