,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-24 16:01:59,2021-05-20,DOV,Graham Kristiane C,Dir,S - Sale,$147.37,"-30,000","261,722",-10%,"-$4,421,100",,,,
2,,2021-03-09 16:39:48,2021-03-08,DOV,Cabrera Ivonne M,"SVP, GC",S - Sale,$133.00,"-3,617","23,136",-14%,"-$481,061",,,,
3,,2020-12-03 16:41:31,2020-12-01,DOV,Cerepak Brad M,"SVP, CFO",S - Sale,$123.56,"-33,668","57,253",-37%,"-$4,159,960",,,,
4,D,2020-11-25 16:12:18,2020-11-24,DOV,Cerepak Brad M,"SVP, CFO",S - Sale+OE,$126.00,"-23,135","90,921",-20%,"-$2,914,917",,,,
5,,2020-11-03 16:13:38,2020-11-03,DOV,Kosinski Anthony K,"VP, Tax",S - Sale,$116.31,"-4,203","8,382",-33%,"-$488,863",,,,
6,D,2020-10-27 17:15:08,2020-10-23,DOV,Kosinski Anthony K,"VP, Tax",S - Sale+OE,$116.05,-489,"12,585",-4%,"-$56,750",,,,
7,,2020-08-21 16:05:58,2020-08-19,DOV,Graham Kristiane C,Dir,S - Sale,$110.72,"-30,000","312,646",-9%,"-$3,321,600",,,,
8,,2020-03-16 17:44:34,2020-03-16,DOV,Spiegel Eric A.,Dir,P - Purchase,$79.00,+500,"5,682",+10%,"+$39,500",,,,
9,,2020-03-11 16:06:57,2020-03-09,DOV,Malinas David J.,SVP Operations,P - Purchase,$93.35,+500,"1,338",+60%,"+$46,675",,,,
10,,2020-02-26 16:54:28,2020-02-25,DOV,Spiegel Eric A.,Dir,P - Purchase,$110.60,"+1,000","5,182",+24%,"+$110,600",,,,
11,M,2020-02-19 16:19:39,2020-02-14,DOV,Graham Kristiane C,Dir,S - Sale,$120.02,"-5,122","354,646",-1%,"-$614,741",,,,
