,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-05-10 17:01:02,2021-05-06,DOW,Edmonds Ronald C,"Controller, VP",S - Sale+OE,$68.35,"-30,000","55,084",-35%,"-$2,050,500",,,,
2,D,2020-11-19 20:02:19,2020-11-18,DOW,Holicki Peter,SVP,S - Sale+OE,$55.99,"-6,836","50,670",-12%,"-$382,761",,,,
3,,2020-03-16 08:02:51,2020-03-13,DOW,Fitterling James R,CEO,P - Purchase,$24.61,"+20,000","220,395",+10%,"+$492,166",,,,
4,,2020-03-16 08:02:46,2020-03-12,DOW,Fettig Jeff M,Dir,P - Purchase,$24.62,"+8,100","71,816",+13%,"+$199,446",,,,
5,,2020-03-16 08:02:42,2020-03-12,DOW,Bush Wesley G,Dir,P - Purchase,$24.61,"+20,450","29,473",+227%,"+$503,285",,,,
6,,2020-03-03 17:11:35,2020-02-28,DOW,Fettig Jeff M,Dir,P - Purchase,$38.13,"+15,000","63,716",+31%,"+$571,950",,,,
7,,2019-12-17 18:45:44,2019-12-13,DOW,Bell James A,Dir,S - Sale,$53.61,"-5,404","10,754",-33%,"-$289,726",,,,
8,,2019-12-12 13:26:13,2019-12-10,DOW,Davis Richard K,Dir,P - Purchase,$52.91,"+6,000","13,297",+82%,"+$317,460",,,,
9,,2019-11-27 10:30:55,2019-11-26,DOW,Edmonds Ronald C,"Controller, VP",S - Sale,$55.64,"-10,000","37,556",-21%,"-$556,390",,,,
10,,2019-08-12 06:01:33,2019-08-08,DOW,Bush Wesley G,Dir,P - Purchase,$46.64,"+5,000","9,023",+124%,"+$233,224",,,,
11,,2019-08-12 06:01:31,2019-08-08,DOW,Yohannes Daniel,Dir,P - Purchase,$46.71,"+1,000","5,103",+24%,"+$46,707",,,,
12,,2019-08-06 19:23:31,2019-08-02,DOW,Fettig Jeff M,Dir,P - Purchase,$46.00,"+30,000","48,716",+160%,"+$1,379,955",,,,
