,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-10 08:31:03,2021-09-08,DRE,Harrington Peter D.,"EVP, Construction",S - Sale+OE,$53.44,"-1,969","3,925",-33%,"-$105,223",,,,
2,D,2021-09-07 13:44:03,2021-09-02,DRE,Scott Peter M III,Dir,S - Sale+OE,$53.41,"-8,000","9,943",-45%,"-$427,280",,,,
3,D,2021-05-05 12:53:24,2021-05-03,DRE,Denien Mark A,"EVP, CFO",S - Sale+OE,$46.43,"-46,000","9,573",-83%,"-$2,135,780",,,,
4,D,2021-04-01 11:41:00,2021-03-30,DRE,Dee Ann C.,"EVP,GC, Corp Sec",S - Sale+OE,$42.59,"-9,056","54,138",-14%,"-$385,695",,,,
5,D,2021-03-31 08:20:18,2021-03-29,DRE,Anthony Nicholas C.,"EVP, Chief Investment Officer",S - Sale+OE,$42.74,"-34,680","22,509",-61%,"-$1,482,223",,,,
6,D,2021-03-17 11:26:39,2021-03-15,DRE,Connor James B.,"Pres, CEO",S - Sale+OE,$41.06,"-20,000","164,684",-11%,"-$821,200",,,,
7,D,2021-02-16 10:59:04,2021-02-12,DRE,Eitel Charles R,Dir,S - Sale+OE,$41.48,"-3,719","3,209",-54%,"-$154,264",,,,
8,D,2020-08-05 11:09:10,2020-08-04,DRE,Scott Peter M III,Dir,S - Sale+OE,$39.94,"-5,701","18,352",-24%,"-$227,698",,,,
9,D,2020-08-05 11:05:55,2020-08-03,DRE,Anthony Nicholas C.,"EVP, Chief Investment Officer",S - Sale+OE,$39.70,"-31,081","24,760",-56%,"-$1,233,916",,,,
10,D,2020-08-05 10:59:35,2020-08-03,DRE,Dee Ann C.,"EVP,GC, Corp Sec",S - Sale+OE,$39.57,"-15,000","56,478",-21%,"-$593,550",,,,
11,D,2020-06-11 14:24:54,2020-06-09,DRE,Denien Mark A,"EVP, CFO",S - Sale+OE,$37.16,"-4,881","9,502",-34%,"-$181,378",,,,
12,D,2020-06-09 12:25:26,2020-06-05,DRE,Schnur Steven W,"EVP, COO",S - Sale+OE,$36.58,"-18,876","12,758",-60%,"-$690,484",,,,
13,D,2020-02-19 09:39:43,2020-02-18,DRE,Eitel Charles R,Dir,S - Sale+OE,$38.54,"-4,285","3,621",-54%,"-$165,144",,,,
14,D,2019-11-20 12:07:59,2019-11-18,DRE,Connor James B.,"Pres, CEO",S - Sale+OE,$35.08,"-28,600","184,914",-13%,"-$1,003,288",,,,
15,D,2019-08-22 13:26:46,2019-08-21,DRE,Harrington Peter D.,"EVP, Construction",S - Sale+OE,$33.30,"-10,297","5,759",-64%,"-$342,890",,,,
16,D,2019-08-07 10:15:57,2019-08-05,DRE,Anthony Nicholas C.,"EVP, Chief Investment Officer",S - Sale+OE,$32.61,"-7,806","28,907",-21%,"-$254,554",,,,
17,,2019-03-15 09:15:34,2019-03-13,DRE,Sabelhaus Melanie R,Dir,S - Sale,$30.89,"-5,000","31,002",-14%,"-$154,450",,,,
18,D,2019-03-11 16:54:59,2019-03-08,DRE,Dee Ann C.,"EVP,GC, Corp Sec",S - Sale+OE,$29.77,"-18,334","65,367",-22%,"-$545,803",,,,
19,D,2019-03-07 09:23:26,2019-03-05,DRE,Schnur Steven W,"Sr. Regional, EVP",S - Sale+OE,$29.82,"-10,000","35,395",-22%,"-$298,200",,,,
20,D,2019-02-21 10:34:28,2019-02-20,DRE,Eitel Charles R,Dir,S - Sale+OE,$29.89,"-5,075","4,169",-55%,"-$151,692",,,,
21,D,2019-02-05 11:25:24,2019-02-01,DRE,Anthony Nicholas C.,"EVP, Chief Investment Officer",S - Sale+OE,$29.07,"-9,937","28,623",-26%,"-$288,869",,,,
22,D,2019-02-05 11:24:14,2019-02-04,DRE,Denien Mark A,"EVP, CFO",S - Sale+OE,$29.49,"-46,328","16,469",-74%,"-$1,366,213",,,,
23,,2018-10-30 13:12:16,2018-10-29,DRE,Sabelhaus Melanie R,Dir,S - Sale,$27.98,"-2,500","31,765",-7%,"-$69,950",,,,
24,D,2018-09-19 14:23:40,2018-09-17,DRE,Harrington Peter D.,"EVP, Construction",S - Sale+OE,$28.98,"-16,500","24,725",-40%,"-$478,170",,,,
25,D,2018-06-29 12:40:36,2018-06-28,DRE,Schnur Steven W,"Sr. Regional, EVP",S - Sale+OE,$28.89,"-2,600","38,419",-6%,"-$75,114",,,,
26,,2018-05-03 16:15:37,2018-05-02,DRE,Sabelhaus Melanie R,Dir,S - Sale,$27.52,"-4,000","34,152",-10%,"-$110,080",,,,
27,D,2018-02-26 12:16:27,2018-02-22,DRE,Eitel Charles R,Dir,S - Sale+OE,$24.96,"-5,242","4,927",-52%,"-$130,840",,,,
28,D,2017-08-04 11:08:47,2017-08-02,DRE,Harrington Peter D.,"EVP, Construction",S - Sale+OE,$28.87,"-30,000","42,716",-41%,"-$866,100",,,,
29,,2017-05-30 15:08:54,2017-05-30,DRE,Sabelhaus Melanie R,Dir,P - Purchase,$28.60,+350,"31,599",+1%,"+$10,010",,,,
30,D,2017-05-16 08:25:17,2017-05-15,DRE,Scott Peter M III,Dir,S - Sale+OE,$28.25,"-2,500","25,367",-9%,"-$70,625",,,,
31,D,2017-05-04 09:52:01,2017-05-03,DRE,Shaw Jack R,Dir,S - Sale+OE,$27.57,"-4,803","7,515",-39%,"-$132,419",0,+2,,
32,D,2017-02-24 10:58:32,2017-02-22,DRE,Eitel Charles R,Dir,S - Sale+OE,$25.52,"-5,246","4,949",-51%,"-$133,878",+1,+2,+2,
33,D,2016-06-30 13:52:30,2016-06-28,DRE,Eitel Charles R,Dir,S - Sale+OE,$25.94,"-3,575","5,180",-41%,"-$92,736",+2,+1,+10,-1
34,D,2016-06-24 10:47:28,2016-06-23,DRE,Kennedy Steven R,"EVP, Construction",S - Sale+OE,$25.41,"-26,649","48,716",-35%,"-$677,151",0,+5,+8,+4
35,D,2016-06-09 12:15:51,2016-06-08,DRE,Oklak Dennis D,Exec COB,S - Sale+OE,$24.41,"-75,000","306,384",-20%,"-$1,830,750",+1,+2,+10,+8
36,D,2016-05-13 15:22:03,2016-05-04,DRE,Scott Peter M III,Dir,P - Purchase,$22.46,"+2,500","27,583",+10%,"+$56,150",-1,-2,+5,+6
37,D,2016-05-05 09:13:30,2016-05-04,DRE,Kennedy Steven R,"EVP, Construction",S - Sale+OE,$22.14,-820,"70,979",-1%,"-$18,155",+1,+3,+8,+14
38,D,2016-03-10 12:28:48,2016-03-09,DRE,Kennedy Steven R,"EVP, Construction",S - Sale+OE,$21.28,"-25,103","71,799",-26%,"-$534,186",-1,+3,+7,+35
39,D,2016-02-26 08:27:51,2016-02-24,DRE,Shaw Jack R,Dir,S - Sale+OE,$20.16,"-3,943","7,096",-36%,"-$79,491",0,+3,+5,+36
40,D,2016-02-26 08:27:21,2016-02-25,DRE,Eitel Charles R,Dir,S - Sale+OE,$20.76,"-3,500","8,679",-29%,"-$72,660",0,+3,+5,+36
41,D,2015-12-31 12:16:12,2015-12-30,DRE,Oklak Dennis D,"COB, CEO",S - Sale+OE,$21.36,"-8,656","310,347",-3%,"-$184,892",-1,-4,-5,+28
42,D,2015-12-24 07:54:14,2015-12-22,DRE,Oklak Dennis D,"COB, CEO",S - Sale+OE,$21.05,"-24,700","319,003",-7%,"-$519,935",0,0,-5,+23
43,D,2015-12-22 14:11:52,2015-12-21,DRE,Oklak Dennis D,"COB, CEO",S - Sale+OE,$21.00,"-14,225","343,703",-4%,"-$298,725",0,+2,-7,+23
44,D,2015-12-16 10:10:36,2015-12-15,DRE,Oklak Dennis D,"COB, CEO",S - Sale+OE,$20.53,"-25,000","355,255",-7%,"-$513,250",+2,+1,-6,+25
45,D,2015-12-04 15:29:57,2015-12-04,DRE,Oklak Dennis D,"COB, CEO",S - Sale+OE,$20.77,"-50,000","384,255",-12%,"-$1,038,500",+2,+1,+5,+21
46,DM,2015-12-02 08:52:18,2015-11-30,DRE,Oklak Dennis D,"COB, CEO",S - Sale+OE,$20.70,"-5,317","434,255",-1%,"-$110,060",-2,-1,+1,+16
47,D,2015-11-25 13:35:58,2015-11-24,DRE,Oklak Dennis D,"COB, CEO",S - Sale+OE,$20.05,"-25,500","437,150",-6%,"-$511,185",0,+2,+4,+19
48,D,2015-11-24 12:03:27,2015-11-20,DRE,Oklak Dennis D,"COB, CEO",S - Sale+OE,$19.91,"-50,000","462,650",-10%,"-$995,500",+1,+5,+5,+19
49,D,2015-06-19 09:06:35,2015-06-17,DRE,Kennedy Steven R,"EVP, Construction",S - Sale+OE,$18.94,-610,"79,501",-1%,"-$11,553",-1,-3,+1,+12
50,D,2015-06-10 10:27:36,2015-06-08,DRE,Bremner James D,Pres,S - Sale+OE,$19.10,"-18,000","143,056",-11%,"-$343,800",+1,+1,+1,+13
51,D,2015-03-24 16:43:04,2015-03-23,DRE,Connor James B.,"Sr EVP, COO",S - Sale+OE,$22.51,"-9,000","120,913",-7%,"-$202,590",-1,0,-7,-11
