,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-05 11:01:38,2021-10-04,DRI,Madonna John W.,"SVP, Corporate Controller",S - Sale+OE,$155.45,"-2,674","4,561",-37%,"-$415,667",,,,
2,,2021-09-30 16:34:03,2021-09-28,DRI,Mensah Nana,Dir,S - Sale,$156.62,"-1,100",577,-66%,"-$172,282",,,,
3,D,2021-09-29 12:00:54,2021-09-28,DRI,Martin Melvin John,"Pres, SRG",S - Sale+OE,$159.36,"-6,160","11,448",-35%,"-$981,662",,,,
4,,2021-09-29 10:23:43,2021-09-27,DRI,Simon William S,Dir,S - Sale,$159.94,"-6,250","7,948",-44%,"-$999,610",,,,
5,,2021-09-28 15:30:33,2021-09-27,DRI,King Sarah H.,"SVP, Chief People Officer",S - Sale,$158.00,"-3,000","4,987",-38%,"-$473,988",,,,
6,D,2021-09-27 11:52:52,2021-09-23,DRI,Cardenas Ricardo,"Pres, COO",S - Sale+OE,$158.65,"-2,663","42,955",-6%,"-$422,485",,,,
7,D,2021-09-03 13:46:50,2021-09-01,DRI,Cardenas Ricardo,"Pres, COO",S - Sale+OE,$151.27,"-7,989","42,955",-16%,"-$1,208,496",,,,
8,D,2021-08-26 11:25:51,2021-08-25,DRI,Cardenas Ricardo,"Pres, COO",S - Sale+OE,$150.00,"-5,326","42,955",-11%,"-$798,900",,,,
9,D,2021-08-03 14:34:08,2021-08-02,DRI,Cardenas Ricardo,"Pres, COO",S - Sale+OE,$147.05,"-5,326","42,955",-11%,"-$783,188",,,,
10,D,2021-08-02 15:52:11,2021-07-29,DRI,Lee Eugene I Jr,"COB, CEO",S - Sale+OE,$150.18,"-30,748","272,085",-10%,"-$4,617,612",,,,
11,D,2021-08-02 15:51:12,2021-07-29,DRI,Burrowes Todd,"Pres, LongHorn Steakhouse",S - Sale+OE,$150.07,"-22,157","38,433",-37%,"-$3,325,199",,,,
12,D,2021-07-16 11:21:52,2021-07-14,DRI,Burrowes Todd,"Pres, LongHorn Steakhouse",S - Sale+OE,$150.02,"-4,500","33,477",-12%,"-$675,098",,,,
13,D,2021-07-16 08:58:03,2021-07-14,DRI,Lee Eugene I Jr,"COB, CEO",S - Sale+OE,$150.02,"-1,510","228,707",-1%,"-$226,523",,,,
14,D,2021-07-14 16:41:47,2021-07-12,DRI,Burrowes Todd,"Pres, LongHorn Steakhouse",S - Sale+OE,$150.01,"-13,256","33,477",-28%,"-$1,988,589",,,,
15,D,2021-07-14 13:36:02,2021-07-12,DRI,Cardenas Ricardo,"Pres, COO",S - Sale+OE,$150.02,"-4,936","36,369",-12%,"-$740,480",,,,
16,D,2021-07-14 13:34:56,2021-07-12,DRI,Lee Eugene I Jr,"COB, CEO",S - Sale+OE,$150.01,"-6,694","228,707",-3%,"-$1,004,191",,,,
17,D,2021-07-09 12:19:05,2021-07-07,DRI,Milanes Douglas J.,"SVP, Chief Supply Chain Ofcr",S - Sale+OE,$150.01,"-12,385",13,-100%,"-$1,857,822",,,,
18,D,2021-07-09 11:09:13,2021-07-07,DRI,Renninger Richard L.,"SVP, Chief Development Officer",S - Sale+OE,$149.45,"-9,000","17,659",-34%,"-$1,345,024",,,,
19,D,2021-07-09 11:09:09,2021-07-07,DRI,Cardenas Ricardo,"Pres, COO",S - Sale+OE,$150.02,"-5,716","36,369",-14%,"-$857,484",,,,
20,D,2021-07-09 11:09:03,2021-07-07,DRI,Burrowes Todd,"Pres, LongHorn Steakhouse",S - Sale+OE,$150.04,"-5,232","33,477",-14%,"-$785,027",,,,
21,D,2021-07-09 11:07:58,2021-07-07,DRI,Lee Eugene I Jr,"COB, CEO",S - Sale+OE,$150.02,"-4,900","228,707",-2%,"-$735,103",,,,
22,D,2021-07-06 09:43:42,2021-07-01,DRI,Cardenas Ricardo,"Pres, COO",S - Sale+OE,$147.08,"-10,652","36,369",-23%,"-$1,566,714",,,,
23,D,2021-07-01 16:50:46,2021-06-30,DRI,Lee Eugene I Jr,"COB, CEO",S - Sale+OE,$145.07,"-40,000","228,707",-15%,"-$5,802,696",,,,
24,D,2021-05-06 12:06:34,2021-05-04,DRI,Lee Eugene I Jr,"COB, CEO",S - Sale+OE,$142.88,"-40,000","228,707",-15%,"-$5,715,256",,,,
25,,2021-04-12 12:05:53,2021-04-09,DRI,Mensah Nana,Dir,S - Sale,$144.99,-170,10,-94%,"-$24,649",,,,
26,,2021-04-07 13:53:27,2021-04-06,DRI,King Sarah H.,"SVP, CHRO",S - Sale,$146.25,"-4,002","4,310",-48%,"-$585,300",,,,
27,DM,2021-04-07 13:35:36,2021-04-05,DRI,Cardenas Ricardo,"Pres, COO",S - Sale+OE,$147.05,"-13,000","36,369",-26%,"-$1,911,632",,,,
28,D,2021-04-06 15:50:30,2021-04-05,DRI,Connelly Susan M.,"SVP, Chief Comm, PA Officer",S - Sale+OE,$144.83,"-7,783","5,034",-61%,"-$1,127,179",,,,
29,D,2021-03-31 15:56:55,2021-03-30,DRI,Milanes Douglas J.,"SVP, Chief Supply Chain Ofcr",S - Sale+OE,$144.78,"-13,719",13,-100%,"-$1,986,275",,,,
30,D,2021-03-31 14:34:14,2021-03-29,DRI,Cardenas Ricardo,"Pres, COO",S - Sale+OE,$144.00,"-19,416","36,369",-35%,"-$2,795,942",,,,
31,D,2021-02-22 14:15:24,2021-02-19,DRI,Lee Eugene I Jr,"COB, CEO",S - Sale+OE,$132.03,"-78,957","228,707",-26%,"-$10,424,642",,,,
32,D,2021-02-08 11:20:20,2021-02-05,DRI,Kiernan Daniel J.,"Pres, Olive Garden",S - Sale+OE,$132.70,"-16,198","9,638",-63%,"-$2,149,539",,,,
33,,2020-12-28 10:10:49,2020-12-23,DRI,Martin Melvin John,"Pres, SRG",S - Sale,$118.84,"-2,800","6,875",-29%,"-$332,752",,,,
