,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-03 10:34:54,2021-08-11,DTE,Lauer Trevor F,"Pres, COO-DTE Electric",S - Sale,$120.41,"-15,000","27,801",-35%,"-$1,806,150",,,,
2,,2021-08-12 10:36:28,2021-08-11,DTE,Anderson Gerard M,Exec COB,S - Sale,$120.53,"-10,000","608,520",-2%,"-$1,205,300",,,,
3,,2021-03-05 13:04:04,2021-03-04,DTE,Muschong Lisa A.,"VP, Corp Sec, Chief of Staff",S - Sale,$120.67,"-1,600","2,948",-35%,"-$193,072",,,,
4,,2021-02-26 11:28:54,2021-02-24,DTE,Thomas David A,Dir,P - Purchase,$126.56,+395,"2,068",+24%,"+$49,991",,,,
5,,2021-02-26 11:28:37,2021-02-24,DTE,Chavez Joann,"SVP, GC",S - Sale,$124.92,"-1,000","8,091",-11%,"-$124,920",,,,
6,,2021-02-26 11:28:17,2021-02-24,DTE,Rolling Mark C.,"VP Controller, CAO",S - Sale,$124.45,"-2,389","11,188",-18%,"-$297,311",,,,
7,,2021-02-24 13:26:36,2021-02-23,DTE,Chavez Joann,"SVP, GC",S - Sale,$123.50,-400,"9,091",-4%,"-$49,400",,,,
8,,2020-11-17 14:43:11,2020-11-16,DTE,Meador David E,"Vice COB, CAO",S - Sale,$134.50,"-4,500","176,632",-2%,"-$605,250",,,,
9,,2020-11-17 14:42:54,2020-11-16,DTE,Paul Matthew T.,"Pres, COO DTE Gas Co.",S - Sale,$134.35,"-2,300","14,148",-14%,"-$309,000",,,,
10,,2020-11-16 09:25:45,2020-11-13,DTE,Muschong Lisa A.,"VP, Corp Sec, Chief of Staff",S - Sale,$130.51,-714,"2,254",-24%,"-$93,186",,,,
11,,2020-11-12 09:01:54,2020-11-10,DTE,Rolling Mark C.,"VP Controller, CAO",S - Sale,$129.48,"-1,939","11,161",-15%,"-$251,054",,,,
12,,2020-11-09 16:08:06,2020-11-09,DTE,Chavez Joann,"SVP, GC",S - Sale,$130.97,-400,"5,089",-7%,"-$52,387",,,,
13,,2020-11-02 13:37:30,2020-10-30,DTE,Muschong Lisa A.,"VP, Corp Sec, Chief of Staff",S - Sale,$122.63,"-1,225","2,968",-29%,"-$150,222",,,,
14,,2020-05-19 09:16:51,2020-05-18,DTE,Chavez Joann,"SVP, GC",S - Sale,$101.93,-400,"5,485",-7%,"-$40,772",,,,
