,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-20 16:16:30,2021-07-16,DUK,Janson Julia S,"EVP ExtAffairs, PresCarolinas",S - Sale,$105.00,"-15,465","38,139",-29%,"-$1,623,825",,,,
2,,2021-05-24 17:16:36,2021-05-20,DUK,Ghartey-Tagoe Kodwo,"EVP, GC",S - Sale,$101.31,"-1,645","16,357",-9%,"-$166,655",,,,
3,,2021-05-21 16:21:29,2021-05-19,DUK,McKee E Marie,Dir,S - Sale,$101.11,"-3,583",0,-100%,"-$362,277",,,,
4,,2021-05-21 16:20:51,2021-05-19,DUK,Jamil Dhiaa M.,"EVP, COO",S - Sale,$100.18,"-7,000","45,481",-13%,"-$701,263",,,,
5,,2021-02-26 17:32:25,2021-02-25,DUK,Good Lynn J,"COB, Pres, CEO",S - Sale,$86.99,"-45,910","393,008",-10%,"-$3,993,711",,,,
6,,2021-02-25 17:18:24,2021-02-23,DUK,Jacobs Dwight L.,"SVP,Chf Acct Off,Tax,Control",S - Sale,$89.35,"-1,802","3,992",-31%,"-$161,011",,,,
7,,2021-02-25 17:17:28,2021-02-23,DUK,Sideris Harry K.,"SVP, Customer Exp, Services",S - Sale,$89.46,"-1,500","7,498",-17%,"-$134,190",,,,
8,,2021-02-17 16:31:46,2021-02-16,DUK,Savoy Brian D,"SVP,Chief Transform, AdminOff",S - Sale,$88.39,"-1,600","9,082",-15%,"-$141,418",,,,
9,,2020-11-23 16:32:31,2020-11-20,DUK,Jamil Dhiaa M.,"EVP, COO",S - Sale,$92.63,"-3,500","36,786",-9%,"-$324,205",,,,
10,A,2020-08-14 18:37:37,2017-05-15,DUK,Craver Theodore F Jr,Dir,P - Purchase,$83.73,"+3,500","5,738",+156%,"+$293,049",,,,
11,,2020-07-29 16:26:04,2020-07-27,DUK,Young Steven K,"EVP, CFO",S - Sale,$82.50,-254,"93,511",0%,"-$20,955",,,,
12,,2020-06-29 16:32:56,2020-06-26,DUK,Young Steven K,"EVP, CFO",S - Sale,$79.35,-265,"93,771",0%,"-$21,028",,,,
