,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-23 18:08:57,2021-08-23,DVA,Arway Pamela M,Dir,S - Sale,$133.09,-365,"19,239",-2%,"-$48,578",,,,
2,,2021-08-06 18:00:45,2021-08-05,DVA,Ackerman Joel,"CFO, Treasurer",S - Sale,$131.36,"-37,760","35,500",-52%,"-$4,960,146",,,,
3,,2021-08-06 18:00:25,2021-08-05,DVA,Price Paula A,Dir,S - Sale,$132.66,-790,380,-68%,"-$104,804",,,,
4,D,2021-06-23 19:02:59,2021-06-22,DVA,Yale Phyllis R,Dir,S - Sale+OE,$124.33,"-5,048","9,546",-35%,"-$627,601",,,,
5,,2021-05-25 17:31:36,2021-05-24,DVA,Arway Pamela M,Dir,S - Sale,$123.12,-379,"19,239",-2%,"-$46,662",,,,
6,D,2021-05-17 18:25:28,2021-05-13,DVA,Desoer Barbara J,Dir,S - Sale+OE,$126.01,"-1,920","10,155",-16%,"-$241,945",,,,
7,D,2021-05-05 20:10:53,2021-05-04,DVA,Hearty James O,Chief Compliance Officer,S - Sale+OE,$121.89,-884,"13,566",-6%,"-$107,746",,,,
8,D,2021-05-05 20:10:35,2021-05-04,DVA,Berg Charles,Dir,S - Sale+OE,$122.52,"-1,872","19,495",-9%,"-$229,357",,,,
9,D,2021-05-05 20:09:56,2021-05-05,DVA,Rodriguez Javier,CEO,S - Sale+OE,$122.23,"-27,053","273,625",-9%,"-$3,306,548",,,,
10,D,2021-05-04 20:24:26,2021-05-03,DVA,Waters Kathleen Alyce,"Chief Legal, Pub. Affairs Off",S - Sale+OE,$118.36,"-5,290","69,530",-7%,"-$626,146",,,,
11,,2021-03-22 19:05:53,2021-03-22,DVA,Arway Pamela M,Dir,S - Sale,$109.51,-436,"19,239",-2%,"-$47,746",,,,
12,,2020-12-02 18:31:55,2020-11-30,DVA,Staffieri Michael David,"COO, DKC",S - Sale,$109.74,"-25,000","123,113",-17%,"-$2,743,515",,,,
13,,2020-11-23 19:22:44,2020-11-20,DVA,Arway Pamela M,Dir,S - Sale,$107.88,-430,"19,239",-2%,"-$46,388",,,,
14,,2020-11-17 21:17:28,2020-11-17,DVA,Desoer Barbara J,Dir,S - Sale,$111.00,"-1,388","9,719",-12%,"-$154,068",,,,
15,D,2020-11-17 21:15:22,2020-11-16,DVA,Arway Pamela M,Dir,S - Sale+OE,$111.63,"-7,326","19,669",-27%,"-$817,801",,,,
16,,2020-11-12 18:17:32,2020-11-10,DVA,Waters Kathleen Alyce,GC,S - Sale,$105.01,"-10,000","55,874",-15%,"-$1,050,129",,,,
17,M,2020-09-24 18:22:28,2020-09-22,DVA,Nehra John M,Dir,P - Purchase,$83.85,"+5,500","61,485",+10%,"+$461,188",,,,
18,D,2020-09-22 19:59:32,2020-09-18,DVA,Zumwalt Leanne M,"Group VP, Government Affairs",S - Sale+OE,$88.03,"-3,772","24,590",-13%,"-$332,031",,,,
19,,2020-09-21 16:38:21,2020-09-17,DVA,"Weschler, R. Ted",Member of 10% owner group,S - Sale,$88.00,"-2,200,000","38,226,746",-5%,"-$193,600,000",,,,
20,,2020-09-21 16:33:44,2020-09-17,DVA,Berkshire Hathaway Inc,10%,S - Sale,$88.00,"-2,000,000","36,095,570",-5%,"-$176,000,000",,,,
21,,2020-08-25 17:56:35,2020-08-24,DVA,Arway Pamela M,Dir,S - Sale,$87.02,-578,"19,239",-3%,"-$50,298",,,,
22,D,2020-06-10 18:21:57,2020-06-08,DVA,Berg Charles,Dir,S - Sale+OE,$87.53,-357,"18,051",-2%,"-$31,249",,,,
23,D,2020-06-10 18:21:36,2020-06-08,DVA,Roper William L,Dir,S - Sale+OE,$86.79,-357,"15,961",-2%,"-$30,983",,,,
24,D,2020-06-10 18:21:13,2020-06-08,DVA,Arway Pamela M,Dir,S - Sale+OE,$87.32,-357,"19,239",-2%,"-$31,174",,,,
25,,2020-05-27 16:05:44,2020-05-22,DVA,Arway Pamela M,Dir,S - Sale,$78.90,-599,"19,239",-3%,"-$47,261",,,,
26,,2020-05-19 21:19:16,2020-05-18,DVA,Diaz Paul J,Dir,S - Sale,$82.22,"-5,763","5,936",-49%,"-$473,825",,,,
27,DM,2020-05-13 20:47:45,2020-05-11,DVA,Thiry Kent J,Exec COB,S - Sale+OE,$81.09,"-129,390","648,500",-17%,"-$10,491,928",,,,
28,,2020-03-24 18:42:08,2020-03-20,DVA,Arway Pamela M,Dir,S - Sale,$71.25,-625,"19,239",-3%,"-$44,531",,,,
29,,2020-03-04 19:11:47,2020-03-02,DVA,Nehra John M,Dir,S - Sale,$80.74,"-7,694","54,445",-12%,"-$621,214",,,,
30,M,2020-02-28 19:07:38,2020-02-26,DVA,Nehra John M,Dir,S - Sale,$80.77,"-31,806","62,453",-34%,"-$2,568,865",,,,
31,D,2018-06-11 18:43:09,2018-06-07,DVA,Arway Pamela M,Dir,S - Sale+OE,$68.76,"-1,264","15,235",-8%,"-$86,918",,,,
32,D,2018-05-24 18:52:38,2018-05-22,DVA,Roper William L,Dir,S - Sale+OE,$68.22,"-1,505","10,733",-12%,"-$102,677",,,,
33,D,2018-05-16 20:35:49,2018-05-14,DVA,Berg Charles,Dir,S - Sale+OE,$66.25,-338,"12,823",-3%,"-$22,393",,,,
34,D,2018-01-18 19:14:16,2018-01-16,DVA,Hilger James K,Chief Accounting Officer,S - Sale+OE,$78.95,"-3,572","19,649",-15%,"-$282,008",,,,
35,,2017-12-13 18:09:03,2017-12-11,DVA,Berg Charles,"Exec Chair, DMG",S - Sale,$69.24,"-7,048","12,406",-36%,"-$488,016",,,,
36,D,2017-12-12 20:19:08,2017-12-08,DVA,Thiry Kent J,"COB, CEO",S - Sale+OE,$68.04,"-81,800","594,436",-12%,"-$5,565,917",,,,
37,D,2017-12-12 19:57:46,2017-12-08,DVA,Zumwalt Leanne M,"Grp VP, Purch, Public Affairs",S - Sale+OE,$68.19,-949,"7,023",-12%,"-$64,711",,,,
38,D,2017-12-11 18:44:49,2017-12-07,DVA,Rodriguez Javier,"CEO, DKC",S - Sale+OE,$67.48,"-22,532","97,817",-19%,"-$1,520,466",,,,
39,D,2017-12-11 18:43:08,2017-12-07,DVA,Hilger James K,Chief Accounting Officer,S - Sale+OE,$69.46,"-5,608","19,649",-22%,"-$389,506",,,,
40,D,2017-06-15 17:59:50,2017-06-13,DVA,Jiganti Jeanine Marie,Chief Compliance Officer,S - Sale+OE,$65.57,"-1,886","3,514",-35%,"-$123,665",,,,
41,,2017-05-17 18:59:45,2017-05-15,DVA,Rodriguez Javier,CEO-Kidney Care,S - Sale,$66.21,"-1,294","97,817",-1%,"-$85,670",,,,
42,,2017-05-17 17:24:22,2017-05-15,DVA,Zumwalt Leanne M,"Grp VP, Purch, Public Affairs",S - Sale,$66.32,"-1,800","7,023",-20%,"-$119,378",,,,
43,,2017-05-17 17:23:50,2017-05-15,DVA,Jiganti Jeanine Marie,Chief Compliance Officer,S - Sale,$66.07,-540,"3,514",-13%,"-$35,678",,,,
44,,2017-05-17 17:22:22,2017-05-15,DVA,Hilger James K,Chief Accounting Officer,S - Sale,$66.05,-900,"16,605",-5%,"-$59,445",,,,
45,D,2017-05-11 18:20:07,2017-05-09,DVA,Berg Charles,Dir,S - Sale+OE,$65.80,"-8,414","24,814",-25%,"-$553,607",0,,,
46,D,2017-05-08 14:58:47,2017-05-04,DVA,Valine Roger,Dir,S - Sale+OE,$66.21,"-12,994","19,813",-40%,"-$860,367",0,+2,,
47,D,2017-05-08 14:55:38,2017-05-04,DVA,Roper William L,Dir,S - Sale+OE,$65.89,"-12,994","9,277",-58%,"-$856,147",0,+2,,
48,,2017-02-27 18:16:25,2017-02-23,DVA,Zumwalt Leanne M,"Grp VP, Purch, Public Affairs",S - Sale,$68.72,-807,"8,823",-8%,"-$55,461",0,+1,-3,
49,D,2016-08-11 18:38:59,2016-08-09,DVA,Staffieri Michael David,"COO, Kidney Care",S - Sale+OE,$73.09,"-20,262","12,279",-62%,"-$1,480,893",-1,-4,-9,-8
50,D,2016-07-13 13:15:16,2016-07-11,DVA,Jiganti Jeanine Marie,Chief Compliance Officer,S - Sale+OE,$78.51,"-1,291","3,840",-25%,"-$101,360",0,-1,-10,-18
51,D,2016-07-05 15:07:02,2016-07-01,DVA,Jiganti Jeanine Marie,Chief Compliance Officer,S - Sale+OE,$77.45,"-4,620","4,778",-49%,"-$357,834",-1,+1,-2,-17
52,D,2016-05-26 18:18:13,2016-05-25,DVA,Arway Pamela M,Dir,S - Sale+OE,$77.16,"-10,824","12,394",-47%,"-$835,216",0,+1,-2,-18
53,D,2016-05-24 19:18:05,2016-05-23,DVA,Hilger James K,"Interim CFO, CAO",S - Sale+OE,$76.79,"-3,416","17,147",-17%,"-$262,309",0,0,-2,-21
54,,2016-05-24 19:15:58,2016-05-20,DVA,Thiry Kent J,"COB, CEO",S - Sale,$76.99,"-32,880","498,178",-6%,"-$2,531,579",0,0,-2,-21
55,,2016-05-19 17:20:38,2016-05-17,DVA,Kogod Dennis,"Pres, HCP, CEO, DVA Int.",S - Sale,$77.35,"-17,700","103,116",-15%,"-$1,369,116",0,0,-3,-22
56,,2016-05-19 17:19:06,2016-05-17,DVA,Zumwalt Leanne M,"Grp VP, Purch, Public Affairs",S - Sale,$77.08,-538,"9,392",-5%,"-$41,469",0,0,-3,-22
57,D,2016-05-17 18:43:59,2016-05-16,DVA,Hilger James K,"Interim CFO, CAO",S - Sale+OE,$75.59,"-3,983","17,147",-19%,"-$301,073",0,0,-2,-22
58,D,2016-05-17 18:40:58,2016-05-16,DVA,Staffieri Michael David,"COO, Kidney Care",S - Sale+OE,$75.69,"-4,934","12,279",-29%,"-$373,447",0,0,-2,-22
59,D,2016-05-17 18:34:47,2016-05-16,DVA,Rodriguez Javier,CEO-Kidney Care,S - Sale+OE,$75.44,"-36,466","64,264",-36%,"-$2,751,093",0,0,-2,-22
60,D,2016-05-13 18:03:07,2016-05-12,DVA,Valine Roger,Dir,S - Sale+OE,$76.34,"-8,220","18,428",-31%,"-$627,534",+2,+3,0,-21
61,D,2016-05-11 18:36:20,2016-05-10,DVA,Kogod Dennis,"Pres, HCP, CEO, DVA Int.",S - Sale+OE,$76.25,"-40,048","120,816",-25%,"-$3,053,660",-1,+1,+1,-24
62,D,2016-05-10 18:56:45,2016-05-06,DVA,Nehra John M,Dir,S - Sale+OE,$75.56,"-16,314","72,703",-18%,"-$1,232,761",0,+1,+1,-23
63,D,2016-04-12 16:54:24,2016-04-11,DVA,Rodriguez Javier,CEO-Kidney Care,S - Sale+OE,$73.51,"-89,912","100,730",-47%,"-$6,609,098",+1,+1,+4,-14
64,D,2016-03-23 13:29:55,2016-03-21,DVA,Kogod Dennis,"Pres, HCP, CEO, DVA Int.",S - Sale+OE,$72.12,"-13,455","120,816",-10%,"-$970,317",-1,0,+2,-11
65,D,2016-03-03 16:18:50,2016-03-02,DVA,Staffieri Michael David,"COO Office, KC",S - Sale+OE,$67.97,"-15,660","16,833",-48%,"-$1,064,346",+1,0,+6,-8
66,D,2016-03-01 15:58:26,2016-02-29,DVA,Arway Pamela M,Dir,S - Sale+OE,$66.00,"-9,026","12,070",-43%,"-$595,716",+3,+8,+11,-3
67,D,2016-02-25 16:05:16,2016-02-23,DVA,Zumwalt Leanne M,"Grp VP, Purch, Public Affairs",S - Sale+OE,$64.25,"-14,587","9,875",-60%,"-$937,266",+2,+4,+10,0
68,D,2016-02-18 14:47:23,2016-02-16,DVA,Kogod Dennis,"Pres, HCP, CEO, DVA Int.",S - Sale+OE,$61.99,"-33,290","120,816",-22%,"-$2,063,674",+1,0,+11,+7
69,D,2015-12-21 20:41:46,2015-12-17,DVA,Mildenberger Laura,Chief People Officer,S - Sale+OE,$68.14,"-1,440","8,447",-15%,"-$98,115",+1,+2,-6,+10
70,D,2015-11-12 17:53:13,2015-11-09,DVA,Thiry Kent J,"COB, CEO",S - Sale+OE,$75.61,"-300,000","531,058",-36%,"-$22,681,560",-1,+1,-5,+3
71,D,2015-09-24 21:35:11,2015-09-22,DVA,Rivera Kim M,GC,S - Sale+OE,$75.48,"-40,037","7,438",-84%,"-$3,022,038",-3,-3,+1,-4
72,D,2015-08-19 17:33:32,2015-08-17,DVA,Davidson Carol Anthony,Dir,S - Sale+OE,$79.93,"-4,038","7,290",-36%,"-$322,765",-2,-7,-5,-19
73,D,2015-08-12 18:46:08,2015-08-10,DVA,Jiganti Jeanine Marie,Chief Compliance Officer,S - Sale+OE,$81.32,"-1,311","3,125",-30%,"-$106,606",0,0,-7,-20
