,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-04 17:41:30,2021-06-03,DVN,Cameron Dennis C,"EVP, GC",S - Sale,$31.26,"-9,632","317,587",-3%,"-$301,096",,,,
2,,2021-06-02 17:16:01,2021-06-01,DVN,Humphers Jeremy D.,SVP-Chief Accounting Officer,S - Sale,$29.78,"-1,500","122,972",-1%,"-$44,670",,,,
3,,2021-03-12 11:47:17,2021-03-10,DVN,Kindick Kelt,Dir,S - Sale,$23.83,"-23,242","63,670",-27%,"-$553,857",,,,
4,,2021-02-24 20:55:30,2021-02-22,DVN,"Felix Investments Holdings Ii, LLC","Dir, 10%",S - Sale,$21.05,"-29,579,389","43,099,884",-41%,"-$622,646,138",,,,
5,A,2020-12-08 16:36:57,2018-11-26,DVN,Krenicki John,Dir,S - Sale,$27.05,-593,"15,158",-4%,"-$16,041",,,,
6,,2020-12-03 12:21:35,2020-12-01,DVN,Humphers Jeremy D.,SVP-Chief Accounting Officer,S - Sale,$14.12,"-1,500","107,578",-1%,"-$21,180",,,,
7,,2020-09-03 14:46:38,2020-09-01,DVN,Humphers Jeremy D.,SVP-Chief Accounting Officer,S - Sale,$10.82,"-1,500","109,079",-1%,"-$16,230",,,,
8,,2020-06-02 16:25:28,2020-06-01,DVN,Humphers Jeremy D.,SVP-Chief Accounting Officer,S - Sale,$11.47,"-1,500","110,579",-1%,"-$17,205",,,,
9,M,2020-03-10 11:38:55,2020-03-06,DVN,Rattie Keith O,Dir,P - Purchase,$11.53,"+20,000","29,027",+222%,"+$230,500",,,,
10,,2020-03-04 10:24:05,2020-03-02,DVN,Humphers Jeremy D.,SVP-Chief Accounting Officer,S - Sale,$15.89,"-1,500","112,079",-1%,"-$23,835",,,,
11,,2019-12-04 14:43:16,2019-12-02,DVN,Humphers Jeremy D.,SVP-Chief Accounting Officer,S - Sale,$22.01,"-1,500","91,417",-2%,"-$33,015",,,,
12,,2019-09-04 14:22:00,2019-09-03,DVN,Humphers Jeremy D.,SVP-Chief Accounting Officer,S - Sale,$21.66,"-1,500","92,917",-2%,"-$32,490",,,,
13,,2019-06-06 16:05:58,2019-06-04,DVN,Humphers Jeremy D.,SVP-Chief Accounting Officer,S - Sale,$25.40,"-4,000","94,417",-4%,"-$101,600",,,,
14,,2019-02-28 14:35:54,2019-02-27,DVN,Henry Robert H.,Dir,P - Purchase,$30.01,"+11,651","21,355",+120%,"+$349,647",,,,
15,,2018-08-22 12:10:37,2018-08-21,DVN,Henry Robert H.,Dir,S - Sale,$42.14,"-5,600","9,704",-37%,"-$235,984",,,,
16,,2018-06-11 17:44:43,2018-06-11,DVN,Taylor Lyndon C,EVP GC,S - Sale,$42.09,"-18,357","95,223",-16%,"-$772,646",,,,
17,,2018-06-11 12:09:01,2018-06-07,DVN,Bethancourt John E,Dir,P - Purchase,$41.90,"+12,000","56,469",+27%,"+$502,800",,,,
18,,2017-12-18 14:01:28,2017-12-14,DVN,Taylor Lyndon C,EVP GC,S - Sale,$38.29,"-12,798","55,141",-19%,"-$490,035",,,,
19,,2017-08-07 15:48:39,2017-08-04,DVN,Henry Robert H.,Dir,S - Sale,$33.35,"-7,045","9,763",-42%,"-$234,967",,,,
20,,2017-04-25 09:50:28,2017-04-21,DVN,Mosbacher Robert A Jr,Dir,S - Sale,$39.18,-800,"23,308",-3%,"-$31,344",+2,-1,,
21,,2016-06-22 11:36:41,2016-06-20,DVN,Henry Robert H.,Dir,S - Sale,$37.43,"-7,100","9,748",-42%,"-$265,753",-1,-6,-2,+23
22,,2016-01-06 16:29:40,2016-01-06,DVN,Baumann Barbara M,Dir,P - Purchase,$30.44,"+8,200","21,320",+63%,"+$249,629",-7,-14,-11,+22
23,,2015-12-22 11:23:29,2015-12-18,DVN,Bethancourt John E,Dir,P - Purchase,$28.94,"+10,000","27,770",+56%,"+$289,362",+3,+12,-11,+33
24,,2015-07-07 09:48:43,2015-07-06,DVN,Baumann Barbara M,Dir,P - Purchase,$56.58,"+4,500","13,120",+52%,"+$254,606",+1,-2,-14,-42
25,,2015-06-11 14:29:14,2015-06-10,DVN,Mosbacher Robert A Jr,Dir,S - Sale,$64.00,"-3,200","20,010",-14%,"-$204,800",-1,-3,-12,-44
26,,2015-05-15 14:37:17,2015-05-14,DVN,Rudolph Frank W,EVP HR,S - Sale,$65.95,"-1,800","35,618",-5%,"-$118,705",0,+3,-6,-30
27,,2014-12-29 11:34:10,2014-12-23,DVN,Henry Robert H.,Dir,S - Sale,$61.12,"-4,089","9,144",-31%,"-$249,904",+1,-4,-4,-3
28,,2014-10-15 16:52:11,2014-10-15,DVN,Bethancourt John E,Dir,P - Purchase,$54.64,"+9,150","14,164",+182%,"+$499,972",+2,+9,+16,+22
29,,2014-09-02 15:23:05,2014-08-29,DVN,Mosbacher Robert A Jr,Dir,S - Sale,$74.75,"-4,100","19,604",-17%,"-$306,475",-2,-6,-9,-18
30,D,2014-07-21 11:24:47,2014-07-17,DVN,Rudolph Frank W,EVP HR,S - Sale+OE,$78.00,"-48,493","26,234",-65%,"-$3,782,454",0,+2,-5,-21
31,M,2014-07-15 18:20:52,2010-12-22,DVN,Rudolph Frank W,EVP HR,S - Sale,$77.08,"-20,135","26,234",-43%,"-$1,551,945",+2,+1,-4,-22
32,,2014-06-24 16:16:50,2014-06-23,DVN,Mosbacher Robert A Jr,Dir,S - Sale,$79.07,"-3,500","23,704",-13%,"-$276,745",+2,+2,+1,-20
33,,2014-05-20 13:19:38,2014-05-19,DVN,Rudolph Frank W,EVP HR,S - Sale,$71.31,"-1,000","46,369",-2%,"-$71,310",+2,+3,+10,-9
34,,2013-07-18 16:20:25,2013-07-18,DVN,Whitsitt William F.,EVP PUBLIC AFFAIRS,S - Sale,$57.00,"-2,000","25,479",-7%,"-$114,000",+2,-1,+2,+5
35,,2013-05-06 16:12:40,2013-05-03,DVN,Whitsitt William F.,EVP PUBLIC AFFAIRS,S - Sale,$58.00,"-2,500","27,479",-8%,"-$145,000",0,+1,-2,+9
36,,2012-12-19 19:36:49,2012-12-17,DVN,Nichols J Larry,Exec COB,S - Sale,$52.19,"-958,038","1,260,546",-43%,"-$50,000,003",+1,-3,+1,-1
37,DM,2012-09-17 15:32:18,2012-09-13,DVN,Smette Darryl G,"EVP MARKETING MIDSTREAM, SUPP",S - Sale+OE,$62.55,"-5,500","92,988",-6%,"-$344,000",-1,-4,-4,-9
38,,2012-06-22 16:11:44,2012-06-21,DVN,Ricciardello Mary P,Dir,P - Purchase,$55.57,+360,"14,730",+3%,"+$20,005",-2,+2,+5,-3
39,,2012-04-12 14:06:49,2012-04-12,DVN,Ricciardello Mary P,Dir,P - Purchase,$67.73,+100,"12,370",+1%,"+$6,773",+2,-2,-5,-9
40,,2012-03-23 12:23:01,2012-03-22,DVN,Rudolph Frank W,EVP HR,S - Sale,$71.73,"-2,200","29,079",-7%,"-$157,814",+2,0,-7,-13
41,D,2012-02-29 12:30:32,2012-02-27,DVN,Smette Darryl G,"EVP MKG MIDSTREAM, SUPP CHAIN",S - Sale+OE,$76.00,"-4,000","171,988",-2%,"-$304,000",-1,-4,-4,-18
42,,2011-12-14 16:32:42,2011-12-13,DVN,Rudolph Frank W,EVP HR,S - Sale,$64.83,"-1,200","31,279",-4%,"-$77,792",-1,0,+3,-6
43,DM,2011-12-01 17:44:18,2011-11-29,DVN,Smette Darryl G,"EVP MARKETING, MIDSTREAM",S - Sale+OE,$63.72,"-6,000","169,533",-3%,"-$382,346",0,+2,-4,-10
44,D,2011-07-25 18:10:27,2011-07-22,DVN,Smette Darryl G,"EVP MARKETING, MIDSTREAM",S - Sale+OE,$84.50,"-2,500","131,249",-2%,"-$211,250",-1,-6,-25,-22
45,,2011-07-11 15:50:49,2011-07-08,DVN,Hill John A,Dir,P - Purchase,$80.39,+655,"136,015",0%,"+$52,654",-3,0,-19,-19
46,,2011-04-20 12:07:27,2011-04-19,DVN,Rudolph Frank W,EVP HR,S - Sale,$86.01,"-1,100","37,661",-3%,"-$94,611",+2,+1,-5,-29
47,D,2011-03-25 18:27:11,2011-03-24,DVN,Smette Darryl G,"EVP MARKETING, MIDSTREAM",S - Sale+OE,$93.50,"-6,500","123,559",-5%,"-$607,750",-2,-1,-5,-39
48,D,2011-03-23 14:34:26,2011-03-22,DVN,Agosta Jeffrey A.,"EVP, CFO",S - Sale+OE,$93.10,"-12,000","60,493",-17%,"-$1,117,200",0,-2,-5,-30
49,D,2011-03-22 12:28:32,2011-03-21,DVN,Whitsitt William F.,EVP PUBLIC AFFAIRS,S - Sale+OE,$92.00,"-8,560","29,287",-23%,"-$787,520",0,-1,-6,-30
50,D,2011-03-22 12:22:45,2011-03-21,DVN,Smette Darryl G,"EVP MARKETING, MIDSTREAM",S - Sale+OE,$92.00,"-2,531","118,559",-2%,"-$232,852",0,-1,-6,-30
51,D,2011-03-22 12:17:26,2011-03-21,DVN,Richels John,"Pres, CEO",S - Sale+OE,$92.64,"-55,000","277,603",-17%,"-$5,095,288",0,-1,-6,-30
52,,2011-03-10 14:34:55,2011-03-09,DVN,Mosbacher Robert A Jr,Dir,S - Sale,$90.00,"-3,000","16,071",-16%,"-$270,000",-4,-4,+2,-26
53,D,2011-03-09 13:47:31,2011-03-07,DVN,Whitsitt William F.,EVP PUBLIC AFFAIRS,S - Sale+OE,$92.00,"-2,000","29,287",-6%,"-$184,000",0,-2,+1,-29
54,D,2011-03-09 13:41:46,2011-03-07,DVN,Smette Darryl G,"EVP MARKETING, MIDSTREAM",S - Sale+OE,$92.00,-600,"118,559",-1%,"-$55,200",0,-2,+1,-29
55,D,2011-03-02 12:28:07,2011-03-01,DVN,Smette Darryl G,"EVP MARKETING, MIDSTREAM",S - Sale+OE,$92.00,"-1,869","118,559",-2%,"-$171,948",+1,+1,+3,-25
56,D,2011-03-02 12:17:21,2011-03-01,DVN,Mitchell    J Todd,Dir,S - Sale+OE,$91.96,"-6,000","79,329",-7%,"-$551,760",+1,+1,+3,-25
57,D,2011-03-01 15:04:42,2011-02-28,DVN,Smette Darryl G,"EVP MARKETING, MIDSTREAM",S - Sale+OE,$90.50,"-4,000","118,559",-3%,"-$362,000",-3,-1,0,-29
58,D,2011-02-07 12:01:14,2011-02-03,DVN,Rudolph Frank W,EVP HR,S - Sale+OE,$88.03,"-36,600","38,761",-49%,"-$3,221,777",-2,-3,+1,-21
