,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-15 16:47:29,2021-09-14,ECL,Baker Douglas M Jr,EXEC COB,S - Sale+OE,$223.54,"-173,036","782,059",-18%,"-$38,680,048",,,,
2,D,2021-09-10 16:37:30,2021-09-08,ECL,Reich Victoria,Dir,S - Sale+OE,$229.00,"-4,500","21,218",-17%,"-$1,030,518",,,,
3,D,2021-09-02 16:33:32,2021-08-31,ECL,Busch Angela M,"EVP - CORP STRAT, BUS DEV",S - Sale+OE,$225.00,"-2,500","15,147",-14%,"-$562,500",,,,
4,D,2021-08-31 16:45:50,2021-08-27,ECL,Marsh Laurie M,EVP - HR,S - Sale+OE,$225.03,"-11,536","14,657",-44%,"-$2,595,900",,,,
5,,2021-08-31 16:43:11,2021-08-27,ECL,Brown Darrell R,"EVP, PRES - GLOBAL INDUSTRIAL",S - Sale,$225.23,"-4,990","8,431",-37%,"-$1,123,893",,,,
6,DM,2021-08-20 17:21:51,2021-08-19,ECL,Mulhere Timothy P,"EVP, PRES - GLOBAL INST",S - Sale+OE,$221.35,"-23,071","20,893",-52%,"-$5,106,797",,,,
7,D,2021-08-05 17:52:09,2021-08-05,ECL,Kirkland Scott D,"SVP, Corporate Controller",S - Sale+OE,$217.67,"-2,800","4,572",-38%,"-$609,465",,,,
8,D,2021-07-30 16:02:37,2021-07-29,ECL,McCormick Michael C.,"EVP, GC, SECRETARY",S - Sale+OE,$220.01,"-9,930","53,711",-16%,"-$2,184,650",,,,
9,D,2021-05-11 16:32:26,2021-05-07,ECL,Mulhere Timothy P,"EVP, PRES - GLOBAL INST",S - Sale+OE,$228.27,"-24,471","20,886",-54%,"-$5,585,995",,,,
10,D,2021-05-07 17:35:48,2021-05-05,ECL,Simermeyer Elizabeth A,"EVP, PRES - HC, LIFE SCI",S - Sale+OE,$227.54,"-7,691","8,943",-46%,"-$1,749,972",,,,
11,,2021-05-04 16:44:42,2021-05-03,ECL,Berger Larry L,"EVP, CHIEF TECHNICAL OFFICER",S - Sale,$227.45,"-6,460","25,141",-20%,"-$1,469,346",,,,
12,,2021-03-16 16:49:59,2021-03-15,ECL,Kirkland Scott D,"SVP, Corporate Controller",S - Sale,$215.38,-39,"3,962",-1%,"-$8,400",,,,
13,,2021-03-16 16:45:08,2021-03-12,ECL,McCormick Michael C.,"EVP, GC, SECRETARY",S - Sale,$214.59,"-5,173","53,711",-9%,"-$1,110,074",,,,
14,,2021-03-11 17:04:10,2021-03-09,ECL,Wyant Jill S,"EVP - INNOV, TRANSF",S - Sale,$214.55,"-2,613","10,123",-21%,"-$560,606",,,,
15,,2021-03-11 17:01:00,2021-03-09,ECL,Charton Jerome,EVP - SPECIAL INITIATIVES,S - Sale,$216.10,-250,"1,643",-13%,"-$54,025",,,,
16,,2020-12-15 17:35:35,2020-12-11,ECL,Simermeyer Elizabeth A,"EVP, PRES - HC, LIFE SCI",S - Sale,$221.38,-515,"7,827",-6%,"-$114,010",,,,
17,D,2020-12-09 17:08:54,2020-12-07,ECL,Charton Jerome,EVP - GLOBAL REGIONS,S - Sale+OE,$222.48,"-1,749","1,339",-57%,"-$389,121",,,,
18,DM,2020-12-07 18:53:41,2020-12-04,ECL,Wyant Jill S,"EVP - INNOV, TRANSF",S - Sale+OE,$224.17,"-16,696","11,308",-60%,"-$3,742,764",,,,
19,D,2020-12-04 17:22:39,2020-12-02,ECL,Beck Barbara,Dir,S - Sale+OE,$222.26,"-13,900","26,821",-34%,"-$3,089,434",,,,
20,DM,2020-12-04 17:18:41,2020-12-02,ECL,Baker Douglas M Jr,"COB, CEO",S - Sale+OE,$220.48,"-148,107","774,144",-16%,"-$32,655,092",,,,
21,,2020-11-25 16:38:02,2020-11-24,ECL,McCormick Michael C.,"EVP, GC, SECRETARY",S - Sale,$220.00,"-2,921","55,091",-5%,"-$642,620",,,,
22,D,2020-11-09 16:39:51,2020-11-06,ECL,McCormick Michael C.,"EVP, GC, Secretary",S - Sale+OE,$199.16,"-7,647","58,012",-12%,"-$1,522,969",,,,
23,DM,2020-09-11 17:28:03,2020-09-09,ECL,Wyant Jill S,"EVP - Innovation, Transformat",S - Sale+OE,$203.64,"-19,248","11,308",-63%,"-$3,919,665",,,,
24,,2020-08-10 16:42:54,2020-08-06,ECL,Maclennan David,Dir,P - Purchase,$194.05,+400,"12,333",+3%,"+$77,621",,,,
25,,2020-06-12 16:33:44,2010-06-10,ECL,Inchaustegui Roberto,EVP - Growth Initiatives,S - Sale,$225.17,"-12,000","18,427",-39%,"-$2,702,088",,,,
26,D,2020-06-09 17:05:24,2020-06-08,ECL,Baker Douglas M Jr,"COB, CEO",S - Sale+OE,$227.98,"-128,431","759,086",-14%,"-$29,279,845",,,,
27,D,2020-06-09 17:02:34,2020-06-05,ECL,Mulhere Timothy P,"EVP, Pres - Global Inst",S - Sale+OE,$227.99,"-21,520","18,667",-54%,"-$4,906,422",,,,
28,,2020-06-09 17:00:43,2020-06-03,ECL,Simermeyer Elizabeth A,"EVP, Pres - HC, Life Sci",S - Sale,$0.00,-12,"8,342",0%,-$0,,,,
29,,2020-06-05 17:03:36,2020-06-03,ECL,Baker Douglas M Jr,"COB, CEO",S - Sale,$0.00,"-2,353","736,867",0%,-$0,,,,
30,D,2020-06-03 17:19:16,2020-06-01,ECL,Marsh Laurie M,EVP - HR,S - Sale+OE,$212.20,"-12,235","13,089",-48%,"-$2,596,241",,,,
31,D,2020-06-03 17:16:56,2020-06-01,ECL,Higgins Arthur J,Dir,S - Sale+OE,$212.28,"-3,800","19,504",-16%,"-$806,645",,,,
32,D,2020-05-29 17:35:55,2020-05-29,ECL,Reich Victoria,Dir,S - Sale+OE,$209.93,"-1,000","20,306",-5%,"-$209,933",,,,
33,D,2020-05-29 17:34:55,2020-05-27,ECL,Busch Angela M,"EVP - Corp Strat, Bus Dev",S - Sale+OE,$205.00,"-4,400","14,070",-24%,"-$902,000",,,,
34,D,2020-05-28 17:33:05,2020-05-26,ECL,Mulhere Timothy P,"EVP, Pres - Global Inst",S - Sale+OE,$205.16,"-22,800","18,667",-55%,"-$4,677,602",,,,
35,DM,2020-05-20 18:14:23,2020-05-19,ECL,Berger Larry L,"EVP, CTO",S - Sale+OE,$205.33,"-15,359","29,504",-34%,"-$3,153,623",,,,
36,D,2020-05-20 16:55:39,2020-05-18,ECL,Inchaustegui Roberto,EVP - Growth Initiatives,S - Sale+OE,$205.26,"-18,353","30,427",-38%,"-$3,767,082",,,,
37,D,2020-05-20 16:53:57,2020-05-18,ECL,Busch Angela M,"EVP - Corp Strat, Bus Dev",S - Sale+OE,$202.19,"-4,200","14,070",-23%,"-$849,216",,,,
38,DM,2020-05-13 17:06:00,2020-05-11,ECL,Busch Angela M,"EVP - Corp Strat, Bus Dev",S - Sale+OE,$195.79,"-4,800","14,070",-25%,"-$939,768",,,,
39,D,2020-05-07 16:34:44,2020-05-05,ECL,Mulhere Timothy P,"EVP, Pres - Global Inst",S - Sale+OE,$196.35,"-7,388","18,667",-28%,"-$1,450,612",,,,
40,D,2020-05-04 16:48:51,2020-05-01,ECL,Charton Jerome,EVP - Global Regions,S - Sale+OE,$189.57,"-2,966","1,304",-69%,"-$562,265",,,,
41,D,2020-05-04 16:44:43,2020-04-30,ECL,Mulhere Timothy P,"EVP, Pres - Global Inst",S - Sale+OE,$195.04,"-5,112","18,662",-22%,"-$997,024",,,,
42,,2020-05-04 16:42:41,2020-04-30,ECL,Inchaustegui Roberto,EVP - Growth Initiatives,S - Sale,$193.11,"-2,405","30,425",-7%,"-$464,434",,,,
43,D,2020-05-04 16:40:53,2020-04-30,ECL,Brown Darrell R,"EVP, Pres - Global Industrial",S - Sale+OE,$193.70,"-23,651","10,745",-69%,"-$4,581,201",,,,
44,DM,2020-02-26 18:37:51,2020-02-24,ECL,Wyant Jill S,"EVP, Pres - Global Regions",S - Sale+OE,$201.74,"-101,891","8,773",-92%,"-$20,555,478",,,,
45,D,2020-02-25 17:21:39,2020-02-21,ECL,Berger Larry L,"EVP, CTO",S - Sale+OE,$207.75,"-16,235","29,504",-35%,"-$3,372,789",,,,
46,D,2020-02-24 19:53:16,2020-02-20,ECL,McCormick Michael C.,"EVP, GC, Secretary",S - Sale+OE,$206.53,"-4,900","54,530",-8%,"-$1,011,998",,,,
47,D,2020-02-24 19:50:33,2020-02-20,ECL,Inchaustegui Roberto,"EVP, Pres-Global Serv, Spec",S - Sale+OE,$208.57,"-18,290","30,425",-38%,"-$3,814,753",,,,
48,D,2020-02-24 19:47:45,2020-02-20,ECL,Busch Angela M,"EVP - Corp Strat, Bus Dev",S - Sale+OE,$205.98,"-11,672","12,956",-47%,"-$2,404,164",,,,
