,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-06 16:54:48,2021-09-30,ED,Sanchez Robert,"Pres, CEO, O, R",P - Purchase,$72.59,+74,"7,581",+1%,"+$5,350",,,,
2,,2021-10-06 16:53:03,2021-09-30,ED,Resheske Frances,"SVP, Corporate Affairs",P - Purchase,$72.59,+1,"56,565",0%,+$106,,,,
3,,2021-10-06 16:50:59,2021-09-30,ED,Nadkarni Gurudatta D,"VP, Strategic Planning",P - Purchase,$72.59,+127,"8,435",+2%,"+$9,233",,,,
4,,2021-10-06 16:49:35,2021-09-30,ED,Nachmias Stuart,"Pres, CEO CET",P - Purchase,$72.59,+23,"1,191",+2%,"+$1,664",,,,
5,,2021-10-06 16:47:27,2021-09-30,ED,Miller Joseph,"VP, Controller",P - Purchase,$72.59,+13,"1,108",+1%,+$948,,,,
6,,2021-10-06 16:45:54,2021-09-30,ED,Ketschke Matthew,Pres CECONY,P - Purchase,$72.59,+9,"1,852",0%,+$626,,,,
7,,2021-10-06 16:39:51,2021-09-30,ED,Hoglund Robert N,"SVP, CFO",P - Purchase,$72.59,+161,"43,112",0%,"+$11,686",,,,
8,,2021-10-06 16:37:45,2021-09-30,ED,Donnley Deneen L,"SVP, GC",P - Purchase,$72.59,+42,938,+5%,"+$3,058",,,,
9,,2021-10-06 16:36:28,2021-09-30,ED,Cawley Timothy,"Dir, Pres, CEO",P - Purchase,$72.59,+81,"17,115",0%,"+$5,848",,,,
10,,2021-10-06 16:34:38,2021-09-30,ED,De La Bastide Lore,"SVP, Utility Shared Services",P - Purchase,$72.59,+14,970,+1%,+$996,,,,
11,,2021-09-17 16:37:54,2021-09-15,ED,Miller Joseph,"VP, Controller",P - Purchase,$73.99,+1,"1,094",0%,+$82,,,,
12,,2021-09-03 16:38:34,2021-08-31,ED,Sanchez Robert,"Pres, CEO, O, R",P - Purchase,$75.45,+31,"7,467",0%,"+$2,311",,,,
13,,2021-09-03 16:37:16,2021-08-31,ED,Nadkarni Gurudatta D,"VP, Strategic Planning",P - Purchase,$75.45,+28,"8,308",0%,"+$2,079",,,,
14,,2021-09-03 16:36:23,2021-08-31,ED,Nachmias Stuart,"Pres, CEO CET",P - Purchase,$75.45,+9,"1,168",+1%,+$667,,,,
15,,2021-09-03 16:35:36,2021-08-31,ED,Miller Joseph,"VP, Controller",P - Purchase,$75.45,+3,"1,093",0%,+$222,,,,
16,,2021-09-03 16:34:00,2021-08-31,ED,Hoglund Robert N,"SVP, CFO",P - Purchase,$75.45,+31,"42,951",0%,"+$2,315",,,,
17,,2021-09-03 16:33:14,2021-08-31,ED,Donnley Deneen L,"SVP, GC",P - Purchase,$75.45,+31,896,+4%,"+$2,313",,,,
18,,2021-09-03 16:31:18,2021-08-31,ED,De La Bastide Lore,"SVP, Utility Shared Services",P - Purchase,$75.45,+4,954,0%,+$333,,,,
19,,2021-08-05 17:05:31,2021-07-31,ED,Sanchez Robert,"Pres, CEO, O, R",P - Purchase,$73.77,+31,"7,436",0%,"+$2,311",,,,
20,,2021-08-05 17:04:43,2021-07-31,ED,Nadkarni Gurudatta D,"VP, Strategic Planning",P - Purchase,$73.77,+28,"8,280",0%,"+$2,079",,,,
21,,2021-08-05 17:02:24,2021-07-31,ED,Nachmias Stuart,"Pres, CEO CET",P - Purchase,$73.77,+9,"1,159",+1%,+$667,,,,
22,,2021-08-05 17:00:18,2021-07-31,ED,Miller Joseph,"VP, Controller",P - Purchase,$73.77,+3,"1,090",0%,+$222,,,,
23,,2021-08-05 16:58:44,2021-07-31,ED,Ketschke Matthew,Pres CECONY,P - Purchase,$73.77,+2,"1,822",0%,+$111,,,,
24,,2021-08-05 16:56:20,2021-07-31,ED,Hoglund Robert N,"SVP, CFO",P - Purchase,$73.77,+31,"42,920",0%,"+$2,315",,,,
25,,2021-08-05 16:54:52,2021-07-31,ED,Donnley Deneen L,"SVP, GC",P - Purchase,$73.77,+31,865,+4%,"+$2,313",,,,
