,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-07 18:03:52,2021-09-02,EL,Moss Sara E,Vice COB,S - Sale+OE,$342.56,"-3,451","69,947",-5%,"-$1,182,170",,,,
2,D,2021-09-07 18:03:18,2021-09-03,EL,O'Hare Michael,EVP-Global HR,S - Sale+OE,$343.18,"-2,947",0,-100%,"-$1,011,351",,,,
3,D,2021-09-07 18:02:58,2021-09-03,EL,Freda Fabrizio,"Pres, CEO",S - Sale+OE,$342.59,"-14,961","75,674",-17%,"-$5,125,541",,,,
4,,2021-08-26 15:44:01,2021-08-25,EL,Zinterhofer Aerin Lauder Trust U/A/D 4/24/00,10%,S - Sale,$335.95,"-184,293","1,692",-99%,"-$61,912,923",,,,
5,D,2021-08-23 13:42:30,2021-08-20,EL,Sternlicht Barry S,Dir,S - Sale+OE,$329.42,"-4,576","66,982",-6%,"-$1,507,426",,,,
6,D,2021-08-23 13:38:47,2021-08-20,EL,Christianson Wei Sun,Dir,S - Sale+OE,$329.33,-810,"7,084",-10%,"-$266,757",,,,
7,,2021-08-23 11:53:11,2021-08-20,EL,Demsey John,Group Pres,S - Sale,$327.53,"-6,500","2,019",-76%,"-$2,128,955",,,,
8,D,2021-07-14 17:19:59,2021-07-14,EL,Travis Tracey Thomas,"EVP, CFO",S - Sale+OE,$325.01,"-53,531","31,339",-63%,"-$17,398,118",,,,
9,D,2021-07-01 18:04:43,2021-07-01,EL,Freda Fabrizio,"Pres, CEO",S - Sale+OE,$317.45,"-63,516","75,674",-46%,"-$20,163,239",,,,
10,D,2021-06-28 16:10:25,2021-06-25,EL,Travis Tracey Thomas,"EVP, CFO",S - Sale+OE,$310.01,"-26,792","31,339",-46%,"-$8,305,788",,,,
11,,2021-06-14 16:14:35,2021-06-11,EL,Zinterhofer Aerin Lauder Trust U/A/D 4/24/00,10%,S - Sale,$300.53,"-97,971","185,985",-35%,"-$29,442,802",,,,
12,M,2021-06-11 15:33:34,2021-06-09,EL,Zinterhofer Aerin Lauder Trust U/A/D 4/24/00,10%,S - Sale,$298.54,"-222,736","283,956",-44%,"-$66,495,028",,,,
13,D,2021-06-11 15:33:11,2021-06-10,EL,Lauder Jane,Dir,S - Sale+OE,$298.50,"-22,752","50,783",-31%,"-$6,791,497",,,,
14,D,2021-06-09 16:54:48,2021-06-08,EL,Zinterhofer Aerin Lauder Trust U/A/D 4/24/00,10%,S - Sale+OE,$301.46,"-170,000","506,692",-25%,"-$51,248,554",,,,
15,,2021-06-08 11:32:00,2021-06-07,EL,Hockaday Irvine O Jr,Dir,S - Sale,$302.23,"-2,740",0,-100%,"-$828,110",,,,
16,,2021-06-02 16:06:45,2021-06-01,EL,Freda Fabrizio,"Pres, CEO",S - Sale,$308.00,"-32,209","75,674",-30%,"-$9,920,372",,,,
17,D,2021-06-01 11:00:06,2021-05-27,EL,Bravo Rose Marie,Dir,S - Sale+OE,$304.23,"-4,234",0,-100%,"-$1,288,110",,,,
18,D,2021-05-11 13:41:51,2021-05-10,EL,Forester Lynn,Dir,S - Sale+OE,$303.15,-880,"7,696",-10%,"-$266,772",,,,
19,D,2021-05-10 16:13:00,2021-05-07,EL,Parsons Richard D,Dir,S - Sale+OE,$302.36,"-2,329","4,442",-34%,"-$704,196",,,,
20,D,2021-05-10 16:01:15,2021-05-07,EL,Travis Tracey Thomas,"EVP, CFO",S - Sale+OE,$305.01,"-26,792","31,339",-46%,"-$8,171,828",,,,
21,,2021-05-07 14:32:15,2021-05-07,EL,Demsey John,Group Pres,S - Sale,$299.90,"-1,500","8,519",-15%,"-$449,850",,,,
22,D,2021-05-05 16:53:06,2021-05-05,EL,Lauder Ronald S,"COB, Clinique Labs LLC, 10%",S - Sale+OE,$292.00,"-1,700,000","6,364",-100%,"-$496,400,000",,,,
23,,2021-05-05 16:21:34,2021-05-04,EL,O'Hare Michael,EVP-Global HR,S - Sale,$294.60,"-2,183",0,-100%,"-$643,100",,,,
