,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-01 18:25:35,2021-09-30,ENPH,Kothandaraman Badrinarayanan,"Pres, CEO",S - Sale,$150.49,"-30,000","986,304",-3%,"-$4,514,573",,,,
2,M,2021-08-17 18:06:40,2021-08-16,ENPH,McNeil Jeff,"EVP, COO",S - Sale,$166.98,"-37,500","133,819",-22%,"-$6,261,706",,,,
3,,2021-08-03 19:21:13,2021-08-02,ENPH,McNeil Jeff,"EVP, COO",S - Sale,$183.16,"-7,529","178,319",-4%,"-$1,379,012",,,,
4,,2021-07-12 20:32:17,2021-07-12,ENPH,Ranhoff David A,"EVP, Chief Commercial Officer",S - Sale,$183.87,"-28,031","174,918",-14%,"-$5,154,137",,,,
5,,2021-07-02 18:56:46,2021-06-30,ENPH,Kothandaraman Badrinarayanan,"Pres, CEO",S - Sale,$183.18,"-30,000","1,016,304",-3%,"-$5,495,490",,,,
6,,2021-06-23 17:48:01,2021-06-22,ENPH,Branderiz Eric,"EVP, CFO",S - Sale,$164.39,"-18,908","109,191",-15%,"-$3,108,261",,,,
7,,2021-06-15 20:50:45,2021-06-14,ENPH,Ranhoff David A,"EVP, Chief Commercial Officer",S - Sale,$150.00,"-30,000","186,949",-14%,"-$4,500,000",,,,
8,,2021-05-19 17:02:08,2021-05-17,ENPH,Ranhoff David A,"EVP, Chief Commercial Officer",S - Sale,$117.06,"-66,969","216,949",-24%,"-$7,839,594",,,,
9,M,2021-05-07 17:01:53,2021-05-05,ENPH,Yang Mandy,Chief Accounting Officer,S - Sale,$126.31,"-16,072","73,076",-18%,"-$2,030,075",,,,
10,,2021-04-05 20:01:12,2021-04-05,ENPH,Branderiz Eric,"EVP, CFO",S - Sale,$156.51,"-62,021","145,004",-30%,"-$9,706,976",,,,
11,,2021-03-31 19:36:48,2021-03-30,ENPH,Kothandaraman Badrinarayanan,"Pres, CEO",S - Sale,$146.31,"-27,394","890,830",-3%,"-$4,008,048",,,,
12,,2021-03-12 16:54:20,2021-03-10,ENPH,Yang Mandy,Chief Accounting Officer,S - Sale,$159.72,"-7,652","98,445",-7%,"-$1,222,177",,,,
13,,2021-03-09 18:33:19,2021-03-08,ENPH,Branderiz Eric,"EVP, CFO",S - Sale,$143.35,"-21,045","207,025",-9%,"-$3,016,702",,,,
14,M,2021-03-04 19:40:12,2021-03-02,ENPH,Ranhoff David A,"EVP, Chief Commercial Officer",S - Sale,$174.03,"-10,631","283,918",-4%,"-$1,850,121",,,,
15,M,2021-03-04 19:39:35,2021-03-02,ENPH,McNeil Jeff,"EVP, COO",S - Sale,$167.75,"-49,471","164,578",-23%,"-$8,298,506",,,,
16,M,2021-03-04 19:38:46,2021-03-02,ENPH,Yang Mandy,Chief Accounting Officer,S - Sale,$173.46,"-12,531","106,097",-11%,"-$2,173,647",,,,
17,M,2021-03-04 19:38:05,2021-03-02,ENPH,Branderiz Eric,"EVP, CFO",S - Sale,$173.54,"-34,119","228,070",-13%,"-$5,921,148",,,,
18,M,2021-03-04 19:37:14,2021-03-02,ENPH,Kothandaraman Badrinarayanan,"Pres, CEO",S - Sale,$172.29,"-74,342","918,224",-7%,"-$12,808,552",,,,
19,,2021-02-26 17:34:53,2021-02-24,ENPH,McNeil Jeff,"EVP, COO",S - Sale,$167.71,"-41,999","214,049",-16%,"-$7,043,523",,,,
20,,2021-02-16 18:56:58,2021-02-16,ENPH,Yang Mandy,Chief Accounting Officer,S - Sale,$204.43,"-5,757","118,628",-5%,"-$1,176,919",,,,
21,,2020-12-30 20:20:21,2020-12-28,ENPH,Branderiz Eric,"EVP, CFO",S - Sale,$182.82,"-54,382","229,189",-19%,"-$9,942,106",,,,
22,,2020-12-30 20:19:35,2020-12-30,ENPH,Kothandaraman Badrinarayanan,"Pres, CEO",S - Sale,$174.32,"-30,000","932,566",-3%,"-$5,229,602",,,,
23,,2020-12-11 17:44:25,2020-12-11,ENPH,Malchow Joseph Ian,Dir,S - Sale,$143.90,"-3,000","82,950",-3%,"-$431,700",,,,
24,,2020-12-08 17:36:00,2020-12-04,ENPH,Kortlang Benjamin John,Dir,S - Sale,$130.30,"-50,000","276,929",-15%,"-$6,514,790",,,,
25,D,2020-12-01 20:06:09,2020-11-27,ENPH,Kortlang Benjamin John,Dir,S - Sale+OE,$140.45,"-3,539","326,929",-1%,"-$497,060",,,,
26,M,2020-12-01 20:05:25,2020-11-27,ENPH,Ranhoff David A,"EVP, Chief Commercial Officer",S - Sale,$142.33,"-100,000","282,799",-26%,"-$14,232,924",,,,
27,D,2020-12-01 20:04:38,2020-11-27,ENPH,Gomo Steven J,Dir,S - Sale+OE,$140.22,"-87,757",912,-99%,"-$12,305,326",,,,
28,D,2020-12-01 20:03:16,2020-11-27,ENPH,Mora Richard,Dir,S - Sale+OE,$140.10,"-68,122",912,-99%,"-$9,543,574",,,,
29,,2020-11-03 20:51:32,2020-11-02,ENPH,McNeil Jeff,"EVP, COO",S - Sale,$99.01,"-5,932","243,971",-2%,"-$587,327",,,,
30,,2020-10-02 17:02:39,2020-10-01,ENPH,McNeil Jeff,"EVP, COO",S - Sale,$86.50,"-7,500","249,903",-3%,"-$648,734",,,,
31,,2020-09-01 18:16:35,2020-09-01,ENPH,McNeil Jeff,"EVP, COO",S - Sale,$78.61,"-7,500","257,403",-3%,"-$589,591",,,,
32,,2020-08-04 17:12:52,2020-08-03,ENPH,McNeil Jeff,"EVP, COO",S - Sale,$59.75,"-7,606","283,496",-3%,"-$454,479",,,,
33,,2020-08-04 17:09:02,2020-08-03,ENPH,McNeil Jeff,"EVP, COO",S - Sale,$59.75,"-7,606","283,496",-3%,"-$454,479",,,,
34,,2020-08-04 17:06:30,2020-08-03,ENPH,McNeil Jeff,"EVP, COO",S - Sale,$59.75,"-7,606","283,496",-3%,"-$454,479",,,,
35,,2020-07-02 17:24:39,2020-07-01,ENPH,McNeil Jeff,"EVP, COO",S - Sale,$47.15,"-7,500","291,102",-3%,"-$353,659",,,,
36,,2020-06-16 19:14:58,2020-06-15,ENPH,Malchow Joseph Ian,Dir,S - Sale,$50.51,"-6,250","85,950",-7%,"-$315,688",,,,
37,,2020-06-16 19:14:10,2020-06-15,ENPH,Kortlang Benjamin John,Dir,S - Sale,$50.23,"-180,000","80,042",-69%,"-$9,041,652",,,,
38,M,2020-06-12 20:00:29,2020-06-10,ENPH,Rodgers Thurman J,Dir,S - Sale,$49.05,"-2,000,000","1,406,574",-59%,"-$98,105,062",,,,
39,,2020-06-05 20:22:32,2020-06-03,ENPH,Branderiz Eric,"EVP, CFO",S - Sale,$54.29,"-100,249","329,500",-23%,"-$5,442,587",,,,
40,,2020-06-05 20:12:24,2020-06-03,ENPH,Yang Mandy,Chief Accounting Officer,S - Sale,$55.06,"-36,570","121,682",-23%,"-$2,013,701",,,,
41,,2020-06-05 20:11:39,2020-06-04,ENPH,Ranhoff David A,"EVP, Chief Commercial Officer",S - Sale,$53.07,"-109,778","445,400",-20%,"-$5,825,468",,,,
