,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-03 11:07:30,2021-06-01,EOG,Boedeker Kenneth W.,"EVP Exploration, Production",S - Sale,$85.00,"-8,711","17,474",-33%,"-$740,444",,,,
2,,2021-03-15 14:09:36,2021-03-12,EOG,Yacob Ezra Y,Pres,S - Sale,$74.90,"-3,273","51,830",-6%,"-$245,148",,,,
3,,2021-03-15 14:05:06,2021-03-12,EOG,Helms Lloyd W Jr,COO,S - Sale,$74.74,"-8,623","121,239",-7%,"-$644,466",,,,
4,,2021-03-15 14:01:34,2021-03-12,EOG,Donaldson Michael P,"EVP, Gen. Counsel, Corp Sec",S - Sale,$74.98,"-6,223","113,033",-5%,"-$466,625",,,,
5,,2020-12-09 15:33:30,2020-12-08,EOG,Boedeker Kenneth W.,"EVP Exploration, Production",S - Sale,$52.00,"-1,379","26,603",-5%,"-$71,708",,,,
6,D,2020-01-13 11:52:04,2020-01-10,EOG,Crisp Charles R,Dir,S - Sale+OE,$86.49,-420,"48,742",-1%,"-$36,328",,,,
7,D,2020-01-13 11:46:50,2020-01-09,EOG,Textor Donald F,Dir,S - Sale+OE,$86.13,-416,"142,968",0%,"-$35,831",,,,
8,D,2019-03-13 17:30:06,2019-03-12,EOG,Wisner Frank G,Dir,S - Sale+OE,$87.28,"-1,296","120,802",-1%,"-$113,111",,,,
9,,2019-01-10 10:51:25,2019-01-09,EOG,Yacob Ezra Y,"EVP Exploration, Production",S - Sale,$98.77,"-2,388","45,424",-5%,"-$235,851",,,,
10,,2018-12-21 10:30:02,2018-12-20,EOG,Wisner Frank G,Dir,S - Sale,$92.60,"-3,150","120,336",-3%,"-$291,679",,,,
11,D,2018-10-01 18:20:05,2018-09-28,EOG,Trice David W,"EVP Exploration, Production",S - Sale+OE,$127.44,"-2,489","74,807",-3%,"-$317,203",,,,
12,D,2018-09-12 11:50:53,2018-09-11,EOG,Crisp Charles R,Dir,S - Sale+OE,$116.80,"-1,792","46,491",-4%,"-$209,309",,,,
13,D,2018-08-14 14:57:41,2018-08-10,EOG,Thomas William R.,"COB, CEO",S - Sale+OE,$122.36,"-57,065","612,699",-9%,"-$6,982,405",,,,
14,D,2018-06-29 11:39:15,2018-06-28,EOG,Textor Donald F,Dir,S - Sale+OE,$122.88,"-1,864","132,033",-1%,"-$229,039",,,,
15,D,2018-06-21 16:22:01,2018-06-20,EOG,Thomas Gary L,Pres,S - Sale+OE,$118.27,"-55,886","1,000,511",-5%,"-$6,609,693",,,,
16,,2018-05-18 15:16:36,2018-05-17,EOG,Thomas Gary L,Pres,S - Sale,$125.36,"-50,000","1,000,482",-5%,"-$6,268,000",,,,
17,D,2018-05-18 15:12:12,2018-05-17,EOG,Janssen Ann D.,"SVP, Chief Accounting Officer",S - Sale+OE,$126.36,"-1,258","50,828",-2%,"-$158,954",,,,
18,D,2018-05-18 15:08:57,2018-05-17,EOG,Driggers Timothy K,"EVP, CFO",S - Sale+OE,$126.31,"-10,489","175,688",-6%,"-$1,324,866",,,,
19,D,2018-05-10 14:22:36,2018-05-09,EOG,Janssen Ann D.,"SVP, Chief Accounting Officer",S - Sale+OE,$117.97,"-4,816","50,828",-9%,"-$568,150",,,,
20,,2018-05-08 15:59:35,2018-05-07,EOG,Wisner Frank G,Dir,S - Sale,$115.81,-890,"122,700",-1%,"-$103,071",,,,
21,D,2018-01-16 16:30:43,2018-01-12,EOG,Trice David W,"EVP Exploration, Production",S - Sale+OE,$116.00,"-5,570","71,224",-7%,"-$646,120",,,,
22,,2018-01-12 15:04:19,2018-01-11,EOG,Donaldson Michael P,"EVP, Gen. Counsel, Corp Sec",S - Sale,$114.26,"-15,322","59,917",-20%,"-$1,750,629",,,,
23,,2018-01-11 15:03:20,2018-01-10,EOG,Thomas Gary L,Pres,S - Sale,$112.94,"-40,000","1,017,996",-4%,"-$4,517,488",,,,
24,,2018-01-03 12:22:02,2017-12-29,EOG,Thomas Gary L,Pres,S - Sale,$107.96,"-2,000","1,057,980",0%,"-$215,910",,,,
25,,2017-12-26 10:50:15,2017-12-22,EOG,Yacob Ezra Y,"EVP Exploration, Production",S - Sale,$106.60,"-3,341","43,923",-7%,"-$356,155",,,,
26,D,2017-12-22 12:05:35,2017-12-21,EOG,Driggers Timothy K,"EVP, CFO",S - Sale+OE,$105.45,"-8,871","159,867",-5%,"-$935,454",,,,
27,,2017-12-22 11:58:44,2017-12-21,EOG,Donaldson Michael P,"EVP, Gen. Counsel, Corp Sec",S - Sale,$106.00,"-1,741","75,118",-2%,"-$184,546",,,,
28,D,2017-11-08 13:40:09,2017-11-07,EOG,Helms Lloyd W Jr,"EVP Exploration, Production",S - Sale+OE,$106.00,"-16,000","68,655",-19%,"-$1,696,000",,,,
29,D,2017-11-07 16:55:24,2017-11-06,EOG,Trice David W,"EVP Exploration, Production",S - Sale+OE,$106.65,"-3,114","72,415",-4%,"-$332,118",,,,
30,M,2017-10-02 15:34:46,2017-09-28,EOG,Thomas Gary L,"Pres, COO",S - Sale,$96.63,"-25,000","1,058,369",-2%,"-$2,415,656",,,,
31,,2017-10-02 15:29:44,2017-09-28,EOG,Donaldson Michael P,"EVP, Gen. Counsel, Corp Sec",S - Sale,$97.50,"-6,167","74,316",-8%,"-$601,283",,,,
32,D,2017-10-02 15:27:23,2017-09-28,EOG,Crisp Charles R,Dir,S - Sale+OE,$97.03,"-3,411","45,194",-7%,"-$330,982",,,,
33,D,2017-08-15 14:03:17,2017-08-14,EOG,Helms Lloyd W Jr,"EVP Exploration, Production",S - Sale+OE,$88.22,"-4,000","66,987",-6%,"-$352,888",,,,
34,D,2017-03-28 15:54:40,2017-03-27,EOG,Wisner Frank G,Dir,S - Sale+OE,$93.35,"-28,000","114,690",-20%,"-$2,613,738",+2,+4,+1,
35,D,2017-03-08 16:51:31,2017-03-07,EOG,Crisp Charles R,Dir,S - Sale+OE,$100.02,"-2,593","43,613",-6%,"-$259,360",+1,0,+3,
36,,2017-01-30 18:20:51,2017-01-27,EOG,Wisner Frank G,Dir,S - Sale,$102.94,"-1,000","111,862",-1%,"-$102,941",0,0,-4,
37,,2017-01-06 17:00:06,2017-01-05,EOG,Wisner Frank G,Dir,S - Sale,$104.55,"-1,250","112,862",-1%,"-$130,688",-2,0,-5,
38,D,2016-12-19 16:31:31,2016-12-16,EOG,Textor Donald F,Dir,S - Sale+OE,$103.40,"-6,402","130,646",-5%,"-$661,967",0,-1,+2,
39,D,2016-12-02 15:51:33,2016-12-01,EOG,Donaldson Michael P,"EVP, Gen. Counsel, Corp Sec",S - Sale+OE,$106.54,"-2,931","68,683",-4%,"-$312,254",-1,0,-1,
40,,2016-12-01 16:04:55,2016-11-30,EOG,Thomas Gary L,"Pres, COO",S - Sale,$101.73,"-60,000","1,012,055",-6%,"-$6,103,680",-1,-1,-4,
41,D,2016-12-01 16:00:37,2016-11-30,EOG,Helms Lloyd W Jr,"EVP Exploration, Production",S - Sale+OE,$102.94,"-5,000","59,719",-8%,"-$514,720",-1,-1,-4,
42,D,2016-12-01 15:52:55,2016-11-30,EOG,Janssen Ann D.,"VP, Accounting",S - Sale+OE,$101.55,"-10,970","47,473",-19%,"-$1,114,010",+2,+1,-1,
43,,2016-12-01 15:46:42,2016-11-30,EOG,Driggers Timothy K,"EVP, CFO",S - Sale,$102.08,"-10,000","148,477",-6%,"-$1,020,751",+2,+1,-1,
44,,2016-11-18 15:04:41,2016-11-16,EOG,Wisner Frank G,Dir,S - Sale,$94.76,"-2,660","114,112",-2%,"-$252,069",+1,+4,+12,
45,D,2016-11-15 16:26:45,2016-11-14,EOG,Crisp Charles R,Dir,S - Sale+OE,$92.69,"-14,000","43,586",-24%,"-$1,297,631",+1,+1,+10,
46,,2016-11-08 10:58:05,2016-11-07,EOG,Donaldson Michael P,"EVP, Gen. Counsel, Corp Sec",S - Sale,$93.00,"-4,464","68,683",-6%,"-$415,152",0,-1,+11,+2
47,D,2016-10-03 19:50:38,2016-09-30,EOG,Janssen Ann D.,"VP, Accounting",S - Sale+OE,$96.73,"-1,064","56,473",-2%,"-$102,924",-1,0,-6,+1
48,D,2016-10-03 19:46:12,2016-09-30,EOG,Trice David W,"EVP Exploration, Production",S - Sale+OE,$97.08,"-4,600","62,050",-7%,"-$446,591",-1,0,-6,+1
49,D,2016-09-23 15:17:34,2016-09-21,EOG,Driggers Timothy K,"EVP, CFO",S - Sale+OE,$93.44,"-8,763","150,624",-5%,"-$818,788",-3,+3,+2,+3
50,,2016-09-23 15:06:52,2016-09-22,EOG,Thomas William R.,"COB, CEO",S - Sale,$92.86,"-16,581","486,185",-3%,"-$1,539,695",-3,+3,+2,+3
51,D,2016-09-23 14:55:23,2016-09-22,EOG,Janssen Ann D.,"VP, Accounting",S - Sale+OE,$94.13,"-1,310","54,073",-2%,"-$123,314",-3,+3,+2,+3
52,,2016-09-22 14:50:26,2016-09-20,EOG,Donaldson Michael P,"EVP, Gen. Counsel, Corp Sec",S - Sale,$91.00,"-8,473","65,253",-11%,"-$771,043",-1,0,+2,+2
53,,2016-09-14 11:32:13,2016-09-12,EOG,Wisner Frank G,Dir,S - Sale,$92.65,"-2,026","116,299",-2%,"-$187,700",-2,0,+7,+8
54,D,2016-07-11 15:10:47,2016-07-08,EOG,Helms Lloyd W Jr,"EVP, Exploration, Production",S - Sale+OE,$81.82,"-4,875","54,160",-8%,"-$398,891",0,+2,+10,+28
55,D,2016-06-10 13:55:42,2016-06-09,EOG,Janssen Ann D.,"VP, Accounting",S - Sale+OE,$84.95,-831,"55,098",-1%,"-$70,596",-4,-5,-2,+23
56,D,2016-06-09 14:33:33,2016-06-08,EOG,Helms Lloyd W Jr,"EVP, Exploration, Production",S - Sale+OE,$85.91,"-4,875","53,992",-8%,"-$418,819",-1,-3,-3,+22
57,,2016-06-08 16:28:00,2016-06-07,EOG,Wisner Frank G,Dir,S - Sale,$84.15,"-3,108","117,802",-3%,"-$261,526",-1,-3,-4,+23
58,D,2016-06-07 17:44:07,2016-06-06,EOG,Janssen Ann D.,"VP, Accounting",S - Sale+OE,$80.85,"-2,819","55,098",-5%,"-$227,929",0,-5,-3,+23
59,,2016-04-11 12:00:47,2016-04-08,EOG,Wisner Frank G,Dir,S - Sale,$73.27,"-4,914","118,694",-4%,"-$360,049",+1,+3,+7,+33
60,,2016-03-30 15:12:21,2016-03-29,EOG,Wisner Frank G,Dir,S - Sale,$75.44,"-1,868","118,694",-2%,"-$140,922",-2,-7,+12,+19
61,D,2016-03-08 18:41:02,2016-03-07,EOG,Trice David W,"EVP, Exploration, Production",S - Sale+OE,$75.37,"-2,309","53,267",-4%,"-$174,040",+2,+6,+1,+25
62,D,2016-03-08 18:36:46,2016-03-07,EOG,Steward H Leighton,Dir,S - Sale+OE,$74.70,"-28,000","91,559",-23%,"-$2,091,600",+2,+6,+1,+25
63,D,2016-03-08 18:33:08,2016-03-07,EOG,Crisp Charles R,Dir,S - Sale+OE,$75.08,"-14,000","41,796",-25%,"-$1,051,169",+2,+6,+1,+25
