,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-08 16:13:42,2021-09-07,EQIX,Meyers Charles J,"CEO, Pres",S - Sale,$872.80,"-1,449","7,510",-16%,"-$1,264,690",,,,
2,,2021-09-08 16:12:44,2021-09-03,EQIX,Campbell Michael Earl,Chief Sales Officer,S - Sale,$884.36,"-1,200","7,519",-14%,"-$1,061,232",,,,
3,DM,2021-09-03 16:18:28,2021-09-01,EQIX,Strohmeyer Karl,"Chief Customer, Rev Officer",S - Sale+OE,$866.92,"-2,432","9,403",-21%,"-$2,108,346",,,,
4,D,2021-09-03 16:16:20,2021-09-02,EQIX,Campbell Michael Earl,Chief Sales Officer,S - Sale+OE,$866.25,-67,"8,719",-1%,"-$58,039",,,,
5,D,2021-09-03 16:14:20,2021-09-02,EQIX,Miller Simon,Chief Accounting Officer,S - Sale+OE,$862.22,-542,"2,876",-16%,"-$467,324",,,,
6,D,2021-09-03 16:13:17,2021-09-02,EQIX,Morandi Brandi Galvin,"Chief Legal, HR Officer",S - Sale+OE,$866.19,-67,"16,548",0%,"-$58,035",,,,
7,D,2021-09-03 16:12:11,2021-09-02,EQIX,Meyers Charles J,"CEO, Pres",S - Sale+OE,$866.10,"-1,140","8,959",-11%,"-$987,352",,,,
8,D,2021-09-03 16:11:04,2021-09-02,EQIX,Baack Sara,Chief Product Officer,S - Sale+OE,$866.04,-444,"13,443",-3%,"-$384,523",,,,
9,,2021-09-01 21:17:03,2021-09-01,EQIX,Hromadko Gary,Dir,S - Sale,$855.00,"-7,800","142,893",-5%,"-$6,669,000",,,,
10,,2021-09-01 17:05:29,2021-08-30,EQIX,Lyons Irving F III,Dir,S - Sale,$839.34,"-8,250","12,553",-40%,"-$6,924,586",,,,
11,,2021-08-17 17:09:03,2021-08-16,EQIX,Paisley Christopher B,Dir,S - Sale,$814.70,-200,"18,583",-1%,"-$162,940",,,,
12,D,2021-08-04 16:10:09,2021-08-03,EQIX,Fox-Martin Adaire,Dir,S - Sale+OE,$822.89,-105,388,-21%,"-$86,403",,,,
13,,2021-08-04 16:08:05,2021-08-02,EQIX,Morandi Brandi Galvin,"Chief Legal, HR Officer",S - Sale,$818.99,"-1,618","16,483",-9%,"-$1,325,127",,,,
14,,2021-06-08 16:40:34,2021-06-07,EQIX,Meyers Charles J,"CEO, Pres",S - Sale,$795.42,"-5,051","7,510",-40%,"-$4,017,644",,,,
15,,2021-06-08 16:36:38,2021-06-07,EQIX,Hromadko Gary,Dir,S - Sale,$796.00,"-10,000","150,335",-6%,"-$7,960,004",,,,
16,,2021-06-02 17:01:40,2021-06-02,EQIX,Baack Sara,Chief Product Officer,S - Sale,$750.00,-250,"13,517",-2%,"-$187,500",,,,
17,,2021-05-18 17:57:48,2021-05-17,EQIX,Paisley Christopher B,Dir,S - Sale,$714.96,-200,"18,425",-1%,"-$142,992",,,,
18,,2021-05-14 20:06:24,2021-05-13,EQIX,Taylor Keith D,CFO,S - Sale,$711.35,"-1,000","21,183",-5%,"-$711,346",,,,
19,D,2021-03-12 17:21:29,2021-03-11,EQIX,Baack Sara,Chief Product Officer,S - Sale+OE,$651.40,-704,"13,767",-5%,"-$458,583",,,,
20,D,2021-03-12 17:12:27,2021-03-11,EQIX,Miller Simon,Chief Accounting Officer,S - Sale+OE,$651.49,-328,"2,313",-12%,"-$213,688",,,,
21,D,2021-03-12 17:11:14,2021-03-11,EQIX,Morandi Brandi Galvin,"Chief Legal, HR Officer",S - Sale+OE,$652.55,-845,"18,136",-4%,"-$551,401",,,,
22,D,2021-03-12 17:09:43,2021-03-11,EQIX,Strohmeyer Karl,"Chief Customer, Rev Officer",S - Sale+OE,$652.84,-994,"11,703",-8%,"-$648,927",,,,
23,D,2021-03-12 17:08:21,2021-03-11,EQIX,Taylor Keith D,CFO,S - Sale+OE,$654.42,"-1,171","22,183",-5%,"-$766,322",,,,
24,D,2021-03-12 17:06:56,2021-03-11,EQIX,Van Camp Peter,Exec COB,S - Sale+OE,$651.92,-469,"8,184",-5%,"-$305,749",,,,
25,D,2021-03-12 17:05:05,2021-03-11,EQIX,Meyers Charles J,"CEO, Pres",S - Sale+OE,$653.66,"-2,465","12,561",-16%,"-$1,611,274",,,,
26,D,2021-03-12 17:02:15,2021-03-11,EQIX,Campbell Michael Earl,Chief Sales Officer,S - Sale+OE,$652.70,-742,"8,665",-8%,"-$484,306",,,,
27,DM,2021-03-03 17:17:14,2021-03-01,EQIX,Meyers Charles J,"CEO, Pres",S - Sale+OE,$646.08,"-5,442","12,561",-30%,"-$3,515,983",,,,
28,D,2021-03-03 17:15:39,2021-03-02,EQIX,Taylor Keith D,CFO,S - Sale+OE,$646.79,-81,"22,183",0%,"-$52,390",,,,
29,D,2021-03-03 17:14:30,2021-03-02,EQIX,Strohmeyer Karl,"Chief Customer, Rev Officer",S - Sale+OE,$646.63,-58,"11,703",0%,"-$37,505",,,,
30,D,2021-03-03 17:12:51,2021-03-02,EQIX,Miller Simon,Chief Accounting Officer,S - Sale+OE,$638.48,-349,"2,313",-13%,"-$222,831",,,,
31,D,2021-03-03 17:11:18,2021-03-02,EQIX,Morandi Brandi Galvin,"Chief Legal, HR Officer",S - Sale+OE,$646.72,-68,"18,136",0%,"-$43,977",,,,
32,D,2021-03-03 17:10:27,2021-03-02,EQIX,Campbell Michael Earl,Chief Sales Officer,S - Sale+OE,$646.58,-68,"8,665",-1%,"-$43,968",,,,
33,D,2021-03-03 17:08:39,2021-03-02,EQIX,Baack Sara,Chief Product Officer,S - Sale+OE,$646.42,-245,"13,767",-2%,"-$158,373",,,,
34,,2021-02-23 21:02:30,2021-02-22,EQIX,Van Camp Peter,Exec COB,S - Sale,$671.93,-170,"8,530",-2%,"-$114,227",,,,
35,,2021-02-23 21:01:31,2021-02-22,EQIX,Taylor Keith D,CFO,S - Sale,$667.01,"-1,041","22,105",-4%,"-$694,354",,,,
36,,2021-02-23 21:00:17,2021-02-22,EQIX,Strohmeyer Karl,"Chief Customer, Rev Officer",S - Sale,$667.08,-759,"11,628",-6%,"-$506,310",,,,
37,,2021-02-23 20:58:47,2021-02-22,EQIX,Meyers Charles J,"CEO, Pres",S - Sale,$667.96,"-2,602","15,414",-14%,"-$1,738,019",,,,
38,,2021-02-23 20:57:36,2021-02-22,EQIX,Morandi Brandi Galvin,"Chief Legal, HR Officer",S - Sale,$668.61,-694,"18,071",-4%,"-$464,018",,,,
39,,2021-02-23 20:56:24,2021-02-22,EQIX,Campbell Michael Earl,Chief Sales Officer,S - Sale,$668.73,-632,"8,600",-7%,"-$422,635",,,,
40,,2021-02-23 20:55:15,2021-02-22,EQIX,Baack Sara,Chief Product Officer,S - Sale,$667.95,-616,"13,440",-4%,"-$411,458",,,,
41,D,2021-02-22 19:28:00,2021-02-18,EQIX,Meyers Charles J,"CEO, Pres",S - Sale+OE,$687.38,"-1,778","18,016",-9%,"-$1,222,158",,,,
42,D,2021-02-18 20:37:12,2021-02-17,EQIX,Van Camp Peter,Exec COB,S - Sale+OE,$692.69,-943,"8,371",-10%,"-$653,205",,,,
43,D,2021-02-18 20:35:15,2021-02-17,EQIX,Taylor Keith D,CFO,S - Sale+OE,$693.29,"-1,551","21,142",-7%,"-$1,075,290",,,,
