,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-24 16:24:59,2021-09-23,EQR,Haben Mary Kay,Dir,S - Sale+OE,$82.94,"-6,665","22,951",-23%,"-$552,795",,,,
2,D,2021-09-07 16:12:25,2021-09-02,EQR,Neithercut David J,Dir,S - Sale+OE,$86.00,"-24,757","62,730",-28%,"-$2,129,102",,,,
3,D,2021-09-02 16:13:04,2021-09-01,EQR,Neithercut David J,Dir,S - Sale+OE,$85.02,"-100,000","62,730",-61%,"-$8,501,669",,,,
4,D,2021-08-10 16:13:29,2021-08-06,EQR,Neithercut David J,Dir,S - Sale+OE,$85.02,"-11,709","62,730",-16%,"-$995,499",,,,
5,D,2021-08-02 16:22:33,2021-07-29,EQR,Neithercut David J,Dir,S - Sale+OE,$85.00,"-1,721","62,730",-3%,"-$146,285",,,,
6,D,2021-06-16 16:13:38,2021-06-14,EQR,Manelis Michael L,"EVP, COO",S - Sale+OE,$80.85,"-10,000","13,485",-43%,"-$808,500",,,,
7,D,2021-06-14 16:15:23,2021-06-10,EQR,Sorenson Christa L,EVP,S - Sale+OE,$80.00,"-1,147","4,321",-21%,"-$91,760",,,,
8,,2021-06-14 16:11:20,2021-06-10,EQR,Kaufman Ian,Chief Accounting Officer,S - Sale,$80.00,"-4,224","16,327",-21%,"-$337,920",,,,
9,D,2021-06-09 16:18:56,2021-06-08,EQR,Bynoe Linda,Dir,S - Sale+OE,$79.96,"-6,665","32,381",-17%,"-$532,933",,,,
10,D,2021-06-09 16:15:08,2021-06-08,EQR,Neithercut David J,Dir,S - Sale+OE,$80.05,"-4,529","62,730",-7%,"-$362,546",,,,
11,D,2021-06-09 16:11:32,2021-06-07,EQR,Shapiro Mark S,Dir,S - Sale+OE,$79.72,"-5,815","14,434",-29%,"-$463,572",,,,
12,D,2021-06-04 16:18:58,2021-06-02,EQR,Keywell Bradley A,Dir,S - Sale+OE,$79.82,"-3,658","32,778",-10%,"-$291,982",,,,
13,D,2021-06-04 16:14:43,2021-06-02,EQR,Neithercut David J,Dir,S - Sale+OE,$80.02,"-95,471","62,730",-60%,"-$7,639,589",,,,
14,D,2021-05-25 16:13:48,2021-05-21,EQR,Fenster Scott,"EVP, GC",S - Sale+OE,$75.00,"-2,000","21,263",-9%,"-$150,000",,,,
15,D,2021-05-25 16:10:48,2021-05-21,EQR,Neithercut David J,Dir,S - Sale+OE,$75.02,"-79,137","62,730",-56%,"-$5,936,858",,,,
16,,2021-05-12 16:24:01,2021-05-10,EQR,Garechana Robert,"EVP, CFO",S - Sale,$75.00,"-3,000","19,217",-14%,"-$225,000",,,,
17,D,2021-05-12 16:19:19,2021-05-10,EQR,Neithercut David J,Dir,S - Sale+OE,$75.11,"-20,863","62,730",-25%,"-$1,567,020",,,,
18,D,2021-05-04 16:21:25,2021-05-03,EQR,Bynoe Linda,Dir,S - Sale+OE,$73.99,"-5,815","32,381",-15%,"-$430,252",,,,
19,D,2021-03-31 16:23:16,2021-03-30,EQR,Manelis Michael L,"EVP, COO",S - Sale+OE,$72.92,"-10,000","13,485",-43%,"-$729,200",,,,
20,,2021-03-31 16:20:12,2021-03-30,EQR,Sorenson Christa L,EVP,S - Sale,$73.00,-343,"4,723",-7%,"-$25,039",,,,
21,D,2021-03-10 16:15:03,2021-03-08,EQR,Neithercut David J,Dir,S - Sale+OE,$71.00,"-100,000","62,730",-61%,"-$7,100,000",,,,
22,D,2021-02-25 16:17:29,2021-02-23,EQR,Neithercut David J,Dir,S - Sale+OE,$68.00,"-100,000","62,730",-61%,"-$6,800,000",,,,
23,D,2021-02-17 16:39:07,2021-02-16,EQR,Manelis Michael L,"EVP, COO",S - Sale+OE,$67.11,-388,"13,485",-3%,"-$26,039",,,,
24,D,2021-02-17 16:35:05,2021-02-16,EQR,Kaufman Ian,Chief Accounting Officer,S - Sale+OE,$67.11,-935,"20,406",-4%,"-$62,748",,,,
25,D,2021-02-17 16:28:11,2021-02-16,EQR,Garechana Robert,"EVP, CFO",S - Sale+OE,$67.11,-873,"22,216",-4%,"-$58,587",,,,
26,,2021-02-17 16:20:49,2021-02-16,EQR,Carraway Catherine,EVP,S - Sale,$67.11,-342,"7,814",-4%,"-$22,952",,,,
27,D,2021-02-17 16:17:59,2021-02-16,EQR,Brackenridge Alexander,"EVP, CIO",S - Sale+OE,$67.11,"-2,473","28,203",-8%,"-$165,963",,,,
28,D,2020-12-29 16:29:58,2020-12-28,EQR,Brackenridge Alexander,"EVP, CIO",S - Sale+OE,$58.95,"-7,244","30,646",-19%,"-$427,034",,,,
29,D,2020-02-20 16:43:29,2020-02-19,EQR,Neithercut David J,Dir,S - Sale+OE,$85.66,"-29,640","62,730",-32%,"-$2,538,962",,,,
30,D,2020-02-20 16:36:51,2020-02-19,EQR,Parrell Mark J.,"Pres, CEO",S - Sale+OE,$85.42,"-50,000","25,575",-66%,"-$4,271,000",,,,
31,D,2020-02-18 16:24:40,2020-02-13,EQR,Neithercut David J,Dir,S - Sale+OE,$85.20,"-25,000","62,730",-28%,"-$2,130,000",,,,
32,D,2020-02-18 16:20:23,2020-02-13,EQR,Garechana Robert,"EVP, CFO",S - Sale+OE,$85.19,"-14,579","20,764",-41%,"-$1,242,003",,,,
33,,2020-02-12 17:31:27,2020-02-10,EQR,Sorenson Christa L,EVP,S - Sale,$84.54,"-2,065","4,353",-32%,"-$174,575",,,,
34,D,2020-02-10 16:20:48,2020-02-06,EQR,Neithercut David J,Dir,S - Sale+OE,$84.00,"-25,000","62,730",-28%,"-$2,100,000",,,,
35,,2020-02-06 16:44:06,2020-02-04,EQR,Brackenridge Alexander,EVP,S - Sale,$83.40,"-2,328","29,531",-7%,"-$194,155",,,,
36,,2020-02-06 16:39:04,2020-02-04,EQR,Kaufman Ian,Chief Accounting Officer,S - Sale,$83.40,-893,"18,720",-5%,"-$74,476",,,,
37,,2020-02-06 16:34:29,2020-02-04,EQR,Garechana Robert,"EVP, CFO",S - Sale,$83.40,-845,"20,764",-4%,"-$70,473",,,,
38,,2020-02-06 16:28:44,2020-02-04,EQR,Sorenson Christa L,EVP,S - Sale,$83.40,-164,"6,418",-2%,"-$13,678",,,,
39,,2020-02-06 16:24:02,2020-02-04,EQR,Manelis Michael L,"EVP, COO",S - Sale,$83.40,-501,"13,873",-3%,"-$41,783",,,,
40,D,2020-01-03 16:22:36,2020-01-02,EQR,Shapiro Mark S,Dir,S - Sale+OE,$81.05,"-3,294","10,648",-24%,"-$266,988",,,,
