,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-18 17:37:31,2021-10-15,EA,Schatz Jacob J.,GC,S - Sale,$135.60,"-1,000","17,632",-5%,"-$135,600",,,,
2,,2021-10-14 18:34:07,2021-10-13,EA,Jorgensen Blake J,"COO, CFO",S - Sale,$136.27,"-3,315","70,429",-4%,"-$451,719",,,,
3,,2021-10-04 18:36:54,2021-10-01,EA,Singh Vijayanthimala,Chief People Officer,S - Sale,$141.90,-800,"22,418",-3%,"-$113,520",,,,
4,,2021-10-04 18:34:51,2021-10-01,EA,Miele Laura,Chief Studios Officer,S - Sale,$142.45,"-3,100","23,632",-12%,"-$441,584",,,,
5,,2021-10-04 18:32:50,2021-10-01,EA,Bruzzo Chris,EVP,S - Sale,$142.35,"-2,500","17,658",-12%,"-$355,878",,,,
6,,2021-09-22 17:14:04,2021-09-21,EA,Wilson Andrew,CEO,S - Sale,$127.63,"-10,000","194,173",-5%,"-$1,276,252",,,,
7,,2021-09-17 17:47:36,2021-09-16,EA,Schatz Jacob J.,"GC, Corp Sect'y",S - Sale,$136.59,"-1,000","18,632",-5%,"-$136,587",,,,
8,,2021-09-09 18:11:42,2021-09-08,EA,Jorgensen Blake J,"COO, CFO",S - Sale,$145.04,"-3,315","73,744",-4%,"-$480,819",,,,
9,,2021-09-03 17:34:00,2021-09-01,EA,Singh Vijayanthimala,Chief People Officer,S - Sale,$145.34,-800,"23,218",-3%,"-$116,272",,,,
10,,2021-09-03 17:32:26,2021-09-01,EA,Miele Laura,Chief Studios Officer,S - Sale,$146.26,"-3,100","26,732",-10%,"-$453,394",,,,
11,,2021-09-03 17:30:14,2021-09-01,EA,Bruzzo Chris,EVP,S - Sale,$146.25,"-2,500","20,158",-11%,"-$365,619",,,,
12,,2021-08-24 20:04:41,2021-08-23,EA,Wilson Andrew,CEO,S - Sale,$142.26,"-10,000","204,173",-5%,"-$1,422,614",,,,
13,,2021-08-17 16:25:05,2021-08-16,EA,Schatz Jacob J.,"GC, Corp Sect'y",S - Sale,$137.96,"-1,000","19,579",-5%,"-$137,960",,,,
14,,2021-08-12 17:18:04,2021-08-11,EA,Jorgensen Blake J,"COO, CFO",S - Sale,$137.87,"-3,315","77,059",-4%,"-$457,041",,,,
15,,2021-08-03 17:46:57,2021-08-02,EA,Singh Vijayanthimala,Chief People Officer,S - Sale,$144.50,-800,"24,018",-3%,"-$115,600",,,,
16,,2021-08-03 17:44:38,2021-08-02,EA,Miele Laura,Chief Studios Officer,S - Sale,$144.60,"-3,100","29,832",-9%,"-$448,273",,,,
17,,2021-08-03 17:42:17,2021-08-02,EA,Bruzzo Chris,EVP,S - Sale,$144.58,"-2,500","22,658",-10%,"-$361,446",,,,
18,,2021-07-22 17:04:08,2021-07-21,EA,Wilson Andrew,CEO,S - Sale,$140.89,"-10,000","214,173",-4%,"-$1,408,883",,,,
19,,2021-07-19 17:24:16,2021-07-16,EA,Schatz Jacob J.,"GC, Corp Sect'y",S - Sale,$142.63,"-1,000","20,579",-5%,"-$142,630",,,,
20,,2021-07-15 18:17:58,2021-07-14,EA,Jorgensen Blake J,"COO, CFO",S - Sale,$143.41,"-3,315","80,374",-4%,"-$475,412",,,,
21,,2021-07-02 20:27:42,2021-07-01,EA,Singh Vijayanthimala,Chief People Officer,S - Sale,$143.46,-800,"24,818",-3%,"-$114,768",,,,
22,D,2021-07-02 20:26:02,2021-07-01,EA,Miele Laura,Chief Studios Officer,S - Sale+OE,$142.31,"-6,531","32,932",-17%,"-$929,456",,,,
23,,2021-07-02 20:24:07,2021-07-01,EA,Bruzzo Chris,EVP,S - Sale,$142.33,"-2,500","25,158",-9%,"-$355,818",,,,
24,,2021-06-22 17:22:35,2021-06-21,EA,Wilson Andrew,CEO,S - Sale,$140.80,"-10,000","224,173",-4%,"-$1,407,948",,,,
25,D,2021-06-17 20:45:48,2021-06-16,EA,Schatz Jacob J.,"GC, Corp Sect'y",S - Sale+OE,$144.14,"-1,000","21,579",-4%,"-$144,140",,,,
26,,2021-06-15 17:49:44,2021-06-14,EA,Singh Vijayanthimala,Chief People Officer,S - Sale,$146.66,-800,"25,618",-3%,"-$117,328",,,,
27,,2021-06-15 17:37:53,2021-06-14,EA,Jorgensen Blake J,"COO, CFO",S - Sale,$147.63,"-3,315","83,689",-4%,"-$489,378",,,,
28,,2021-06-01 20:43:19,2021-06-01,EA,Miele Laura,Chief Studios Officer,S - Sale,$142.92,-785,"36,032",-2%,"-$112,192",,,,
