,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-23 17:03:26,2021-08-19,ETN,Cheruvatath Nandakumar,See Remarks below.,S - Sale,$168.00,"-7,529","14,064",-35%,"-$1,264,872",,,,
2,,2021-08-23 16:18:40,2021-08-20,ETN,Hopgood Daniel Roy,See remarks below,S - Sale,$166.97,"-1,000","4,771",-17%,"-$166,970",,,,
3,,2021-08-13 15:35:03,2021-08-11,ETN,Connor Christopher M,Dir,P - Purchase,$167.34,"+1,000","15,590",+7%,"+$167,340",,,,
4,D,2021-08-13 15:23:15,2021-08-12,ETN,Yadav Uday,See Remarks below.,S - Sale+OE,$166.47,"-33,813","23,708",-59%,"-$5,628,779",,,,
5,D,2021-08-09 11:36:35,2021-08-05,ETN,Faria Joao V,See Remarks below.,S - Sale+OE,$163.01,"-2,201","63,485",-3%,"-$358,785",,,,
6,AD,2021-08-09 11:36:12,2021-05-14,ETN,Brickhouse Brian S,See Remarks below.,S - Sale+OE,$148.16,"-7,659","18,871",-29%,"-$1,134,757",,,,
7,D,2021-06-03 14:25:12,2021-06-02,ETN,Cheruvatath Nandakumar,See Remarks below.,S - Sale+OE,$146.56,"-6,400","22,966",-22%,"-$937,984",,,,
8,D,2021-05-17 15:21:30,2021-05-14,ETN,Brickhouse Brian S,See Remarks below.,S - Sale+OE,$148.16,"-7,659","19,546",-28%,"-$1,134,757",,,,
9,D,2021-05-10 17:25:54,2021-05-07,ETN,Ruiz Sternadt Paulo,See Remarks below.,S - Sale+OE,$146.41,"-14,254",0,-100%,"-$2,086,901",,,,
10,D,2021-05-10 17:25:34,2021-05-07,ETN,Faria Joao V,See Remarks below.,S - Sale+OE,$145.79,"-15,087","63,485",-19%,"-$2,199,581",,,,
11,D,2021-03-08 13:27:35,2021-03-05,ETN,Yadav Uday,See Remarks below.,S - Sale+OE,$135.12,"-2,213","25,684",-8%,"-$299,021",,,,
12,D,2021-03-04 11:27:06,2021-03-03,ETN,Brickhouse Brian S,See Remarks below.,S - Sale+OE,$135.80,"-22,758","18,152",-56%,"-$3,090,537",,,,
13,D,2021-03-01 18:00:58,2021-02-25,ETN,Yadav Uday,See Remarks below.,S - Sale+OE,$132.17,"-11,769","27,246",-30%,"-$1,555,509",,,,
14,D,2021-03-01 17:57:05,2021-02-25,ETN,Faria Joao V,See Remarks below.,S - Sale+OE,$132.80,"-3,000","62,265",-5%,"-$398,400",,,,
15,,2020-12-07 14:18:13,2020-12-04,ETN,McCoy Deborah L,Dir,S - Sale,$119.58,"-1,500","25,436",-6%,"-$179,364",,,,
16,,2020-11-25 14:18:24,2020-11-24,ETN,Cheruvatath Nandakumar,See Remarks below.,S - Sale,$122.95,"-3,000","16,917",-15%,"-$368,850",,,,
17,D,2020-11-12 11:35:13,2020-11-10,ETN,Yadav Uday,See Remarks below.,S - Sale+OE,$114.81,"-69,942","24,026",-74%,"-$8,029,713",,,,
18,DM,2020-11-12 09:25:45,2020-11-09,ETN,Arnold Craig,See Remarks below.,S - Sale+OE,$116.42,"-236,900","350,975",-40%,"-$27,579,218",,,,
19,,2020-11-12 09:15:35,2020-11-09,ETN,Fearon Richard H,See Remarks below.,S - Sale,$116.95,"-30,000","120,854",-20%,"-$3,508,402",,,,
20,,2020-11-09 14:40:10,2020-11-06,ETN,Critelli Michael J,Dir,S - Sale,$110.00,"-10,000","28,066",-26%,"-$1,100,000",,,,
21,D,2020-11-09 12:53:41,2020-11-05,ETN,Faria Joao V,See Remarks below.,S - Sale+OE,$109.05,"-11,171","57,311",-16%,"-$1,218,211",,,,
