,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-20 16:21:27,2021-08-19,ETR,Hinnenkamp Paul D,"EVP, COO",S - Sale,$111.35,"-4,000","25,946",-13%,"-$445,400",,,,
2,,2021-08-13 16:10:54,2021-08-12,ETR,Herman Alexis M,Dir,S - Sale,$109.00,-186,"6,692",-3%,"-$20,274",,,,
3,,2021-06-15 17:47:10,2021-06-14,ETR,Hinnenkamp Paul D,"EVP, COO",S - Sale,$108.51,"-3,000","29,946",-9%,"-$325,530",,,,
4,,2021-06-10 16:11:58,2021-06-09,ETR,Hinnenkamp Paul D,"EVP, COO",S - Sale,$107.28,"-3,000","32,946",-8%,"-$321,840",,,,
5,,2021-06-08 09:59:42,2021-06-04,ETR,Brown Marcus V,"EVP, GC",S - Sale,$105.80,"-8,000","13,845",-37%,"-$846,400",,,,
6,,2021-06-02 17:15:47,2021-05-28,ETR,Landreaux Laura R,"""Officer"" Under Sec. 16 Rules",S - Sale,$104.93,"-1,200","4,358",-22%,"-$125,916",,,,
7,,2021-05-04 17:42:47,2021-05-03,ETR,Fontan Kimberly A.,"SVP, Chief Accounting Officer",S - Sale,$109.47,"-1,620","6,746",-19%,"-$177,341",,,,
8,,2021-05-04 17:42:09,2021-05-03,ETR,Brown Marcus V,"EVP, GC",S - Sale,$110.04,"-16,000","21,845",-42%,"-$1,760,640",,,,
9,,2021-05-04 17:41:17,2021-04-30,ETR,Herman Alexis M,Dir,S - Sale,$108.65,-221,"5,923",-4%,"-$24,012",,,,
10,,2021-03-09 16:39:37,2021-03-08,ETR,Fisackerly Haley,"""Officer"" Under Sec 16 Rules",S - Sale,$89.45,"-2,100","5,580",-27%,"-$187,845",,,,
11,D,2021-01-21 19:54:20,2021-01-21,ETR,Marsh Andrew S,"EVP, CFO",S - Sale+OE,$94.32,"-4,000","87,301",-4%,"-$377,280",,,,
12,,2020-12-09 16:12:23,2020-12-08,ETR,Herman Alexis M,Dir,S - Sale,$105.72,-178,"5,918",-3%,"-$18,818",,,,
13,,2020-09-10 16:17:07,2020-09-09,ETR,Herman Alexis M,Dir,S - Sale,$98.30,-196,"5,914",-3%,"-$19,267",,,,
14,,2020-08-04 13:10:25,2020-07-31,ETR,Herman Alexis M,Dir,S - Sale,$104.22,-189,"5,910",-3%,"-$19,698",,,,
15,,2020-06-03 16:24:50,2020-06-02,ETR,Herman Alexis M,Dir,S - Sale,$102.86,-156,"6,095",-2%,"-$16,046",,,,
16,D,2020-02-24 18:00:15,2020-02-21,ETR,Hinnenkamp Paul D,"EVP, COO",S - Sale+OE,$130.55,"-26,000","26,564",-49%,"-$3,394,162",,,,
17,D,2020-02-24 17:55:29,2020-02-21,ETR,West Roderick K,"Group Pres, Utility Ops",S - Sale+OE,$130.65,"-139,066","23,200",-86%,"-$18,168,606",,,,
18,D,2020-02-24 17:54:44,2020-02-21,ETR,Norgeot Peter S Jr,"SVP, Transformation",S - Sale+OE,$130.68,"-10,000","14,951",-40%,"-$1,306,748",,,,
