,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,DM,2021-10-06 18:02:37,2021-10-05,EVRG,Wilder C John,Dir,P - Purchase,$62.91,"+39,872","2,448,663",+2%,"+$2,508,171",,,,
2,DM,2021-10-04 17:23:09,2021-09-30,EVRG,Wilder C John,Dir,P - Purchase,$62.43,"+60,018","2,408,691",+3%,"+$3,746,982",,,,
3,DM,2021-09-29 17:12:41,2021-09-28,EVRG,Wilder C John,Dir,P - Purchase,$62.92,"+39,646","2,348,673",+2%,"+$2,494,570",,,,
4,DM,2021-09-27 08:00:55,2021-09-23,EVRG,Wilder C John,Dir,P - Purchase,$63.61,"+39,580","2,309,027",+2%,"+$2,517,798",,,,
5,D,2021-09-23 16:17:46,2021-09-23,EVRG,Andrews Kirkland B,EVP - CFO,P - Purchase,$63.67,"+7,875","22,091",+55%,"+$501,392",,,,
6,D,2021-09-23 16:16:34,2021-09-23,EVRG,Campbell David A,"Pres, CEO",P - Purchase,$63.66,"+7,850","71,904",+12%,"+$499,699",,,,
7,D,2021-05-14 16:16:04,2021-05-13,EVRG,Caisley Charles A.,"SVP - MKTG, PA, CHIEF CO",S - Sale+OE,$62.90,"-3,500","22,256",-14%,"-$220,150",,,,
8,D,2021-04-14 17:27:57,2021-04-14,EVRG,Wilder C John,Dir,P - Purchase,$49.87,"+2,269,447","2,269,447",New,"+$113,177,322",,,,
9,D,2021-03-16 16:22:18,2021-03-12,EVRG,King Charles L,"SVP, CTO",S - Sale+OE,$57.63,"-1,000","7,580",-12%,"-$57,633",,,,
10,DM,2021-03-12 16:34:02,2021-03-10,EVRG,Lawrence Sandra Aj,Dir,S - Sale+OE,$56.98,"-2,342",480,-83%,"-$133,439",,,,
11,,2021-03-04 08:54:16,2021-03-02,EVRG,Somma Anthony D,"EVP, Principal Financial Ofcr",S - Sale,$53.51,"-32,423","12,339",-72%,"-$1,734,945",,,,
12,D,2021-03-04 08:49:43,2021-03-03,EVRG,Andrews Kirkland B,EVP - CFO,P - Purchase,$53.48,"+10,000","14,216",+237%,"+$534,779",,,,
13,D,2021-03-04 08:45:36,2021-03-03,EVRG,Campbell David A,"Pres, CEO",P - Purchase,$52.92,"+10,000","64,054",+19%,"+$529,195",,,,
14,D,2020-11-12 16:43:19,2020-11-11,EVRG,Caisley Charles A.,"SVP - MKTG, PA, CHIEF CO",S - Sale+OE,$57.94,"-1,000","24,348",-4%,"-$57,944",,,,
15,D,2020-11-12 16:31:22,2020-11-09,EVRG,King Charles L,"SVP, CTO",S - Sale+OE,$58.09,"-3,030","7,338",-29%,"-$176,002",,,,
16,D,2020-05-19 17:44:51,2020-05-18,EVRG,Bryant Kevin E.,EVP - COO,S - Sale+OE,$58.13,"-4,000","23,526",-15%,"-$232,520",,,,
17,D,2020-04-02 17:17:46,2020-03-31,EVRG,Somma Anthony D,EVP - CFO,S - Sale+OE,$58.26,"-2,000","46,011",-4%,"-$116,520",,,,
18,D,2020-03-05 17:47:54,2020-03-04,EVRG,Lawrence Sandra Aj,Dir,S - Sale+OE,$70.70,"-4,280",480,-90%,"-$302,596",,,,
19,D,2020-03-03 18:20:28,2020-02-28,EVRG,Somma Anthony D,EVP - CFO,S - Sale+OE,$65.86,"-2,000","48,636",-4%,"-$131,720",,,,
20,D,2020-02-20 17:34:26,2020-02-18,EVRG,Bryant Kevin E.,EVP - COO,S - Sale+OE,$72.61,"-4,000","19,593",-17%,"-$290,440",,,,
21,D,2019-12-04 17:38:35,2019-12-02,EVRG,Humphrey Heather A,"SVP - GC, CORP SEC",S - Sale+OE,$62.82,"-1,000","35,337",-3%,"-$62,823",,,,
22,D,2019-11-22 17:40:46,2019-11-20,EVRG,Greenwood Greg A,"EVP-STRATEGY, CHIEF ADMIN OFF",S - Sale+OE,$64.75,"-5,000","21,876",-19%,"-$323,750",,,,
23,D,2019-11-19 17:44:54,2019-11-18,EVRG,Somma Anthony D,EVP - CFO,S - Sale+OE,$64.96,"-2,000","50,636",-4%,"-$129,920",,,,
24,D,2019-11-19 17:40:26,2019-11-15,EVRG,Bryant Kevin E.,EVP - COO,S - Sale+OE,$64.56,"-4,000","23,532",-15%,"-$258,240",,,,
25,D,2019-10-03 17:40:12,2019-10-01,EVRG,Humphrey Heather A,"SVP - GC, CORP SEC",S - Sale+OE,$66.20,"-1,000","36,337",-3%,"-$66,203",,,,
26,D,2019-08-21 17:53:29,2019-08-19,EVRG,Bryant Kevin E.,EVP - COO,S - Sale+OE,$65.18,"-4,000","26,980",-13%,"-$260,718",,,,
27,D,2019-08-14 17:26:45,2019-08-12,EVRG,Greenwood Greg A,"EVP-STRATEGY, CHIEF ADMIN OFF",S - Sale+OE,$63.23,"-6,000","27,359",-18%,"-$379,398",,,,
28,D,2019-06-06 16:50:43,2019-06-05,EVRG,Greenwood Greg A,"EVP-STRATEGY, CHIEF ADMIN OFF",S - Sale+OE,$59.32,"-5,000","33,940",-13%,"-$296,610",,,,
29,D,2019-06-05 17:53:07,2019-06-03,EVRG,Humphrey Heather A,"SVP - GC, CORP SEC",S - Sale+OE,$58.24,"-1,000","37,252",-3%,"-$58,244",,,,
30,,2019-05-16 17:41:45,2019-05-15,EVRG,Soderstrom S Carl Jr,Dir,S - Sale,$58.30,"-4,000","14,591",-22%,"-$233,205",,,,
31,D,2019-05-03 17:57:48,2019-05-01,EVRG,Humphrey Heather A,"SVP - GC, CORP SEC",S - Sale+OE,$57.37,"-1,000","38,252",-3%,"-$57,366",,,,
32,DM,2019-04-10 17:17:29,2019-04-08,EVRG,Somma Anthony D,EVP - CFO,S - Sale+OE,$57.10,"-2,000","49,095",-4%,"-$114,203",,,,
33,M,2019-03-15 17:40:32,2019-03-13,EVRG,Greenwood Greg A,"EVP-STRATEGY, CHIEF ADMIN OFF",S - Sale,$57.28,"-8,000","38,896",-17%,"-$458,250",,,,
34,,2019-03-15 17:35:17,2019-03-15,EVRG,Caisley Charles A.,"SVP - MKTG, PA, CHIEF CO",S - Sale,$57.57,"-2,632","20,045",-12%,"-$151,527",,,,
35,M,2019-03-12 17:21:35,2019-03-11,EVRG,Somma Anthony D,EVP - CFO,S - Sale,$56.21,"-1,000","54,320",-2%,"-$56,207",,,,
36,,2019-02-28 17:03:41,2019-02-26,EVRG,Hawley Richard L,Dir,P - Purchase,$55.63,+500,"18,690",+3%,"+$27,814",,,,
37,M,2019-02-21 18:14:46,2019-02-19,EVRG,Somma Anthony D,EVP - CFO,S - Sale,$59.04,"-1,000","52,095",-2%,"-$59,040",,,,
38,M,2019-01-25 17:10:14,2019-01-24,EVRG,Somma Anthony D,EVP - CFO,S - Sale,$56.98,"-1,000","53,095",-2%,"-$56,978",,,,
39,M,2018-12-14 17:26:26,2018-12-13,EVRG,Somma Anthony D,EVP - CFO,S - Sale,$60.17,"-1,000","54,095",-2%,"-$60,168",,,,
40,,2018-12-07 17:07:06,2018-12-04,EVRG,Bassham Terry D,"Pres, CEO",S - Sale,$60.54,"-10,940","165,776",-6%,"-$662,311",,,,
41,M,2018-11-16 17:16:30,2018-11-15,EVRG,Somma Anthony D,EVP - CFO,S - Sale,$59.64,"-1,000","55,445",-2%,"-$59,640",,,,
42,,2018-11-15 18:02:55,2018-11-13,EVRG,Greenwood Greg A,"EVP-STRATEGY, CHIEF ADMIN OFF",S - Sale,$59.39,"-4,815","45,467",-10%,"-$285,968",,,,
43,M,2018-10-26 17:46:16,2018-10-25,EVRG,Somma Anthony D,EVP - CFO,S - Sale,$56.91,"-1,000","56,445",-2%,"-$56,914",,,,
44,,2018-09-17 17:06:09,2018-09-14,EVRG,Banning Jerl L.,SVP - CHIEF PEOPLE OFFICER,S - Sale,$57.75,"-8,770","25,704",-25%,"-$506,433",,,,
45,,2018-08-24 17:10:35,2018-08-24,EVRG,Hawley Richard L,Dir,S - Sale,$57.26,"-2,100","15,900",-12%,"-$120,246",,,,
46,,2018-08-22 17:02:45,2018-08-21,EVRG,Ruelle Mark A,Dir,S - Sale,$57.51,"-43,500","98,898",-31%,"-$2,501,898",,,,
47,M,2018-08-16 17:03:48,2018-08-14,EVRG,Ruelle Mark A,Dir,S - Sale,$57.58,"-52,250","142,398",-27%,"-$3,008,514",,,,
