,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-18 17:00:49,2021-10-18,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,$110.41,"-9,741","27,415",-26%,"-$1,075,482",,,,
2,D,2021-10-12 16:51:54,2021-10-11,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,$108.00,"-7,830","372,629",-2%,"-$845,640",,,,
3,D,2021-10-08 17:03:33,2021-10-08,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,$110.49,"-11,050","218,377",-5%,"-$1,220,881",,,,
4,D,2021-10-08 17:03:26,2021-10-08,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,$110.91,"-6,350","98,027",-6%,"-$704,279",,,,
5,D,2021-10-01 21:06:56,2021-10-01,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,$111.72,"-32,550","3,770,015",-1%,"-$3,636,375",,,,
6,D,2021-09-16 16:07:42,2021-09-15,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,$121.17,"-32,550","3,757,515",-1%,"-$3,944,202",,,,
7,D,2021-09-10 20:28:54,2021-09-10,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,$122.25,"-11,050","218,378",-5%,"-$1,350,875",,,,
8,D,2021-09-10 20:28:50,2021-09-10,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,$122.59,"-7,830","372,629",-2%,"-$959,880",,,,
9,D,2021-09-08 21:04:46,2021-09-08,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,$121.25,"-6,350","98,027",-6%,"-$769,947",,,,
10,D,2021-09-08 21:04:40,2021-09-08,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,$121.28,"-9,741","27,415",-26%,"-$1,181,362",,,,
11,D,2021-08-10 21:24:30,2021-08-10,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,$114.14,"-7,830","372,629",-2%,"-$893,678",,,,
12,D,2021-08-09 20:11:08,2021-08-09,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,$115.54,"-6,350","98,027",-6%,"-$733,679",,,,
13,D,2021-08-06 19:10:55,2021-08-06,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,$114.37,"-11,050","218,378",-5%,"-$1,263,763",,,,
14,D,2021-08-03 19:39:55,2021-08-03,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,$114.14,"-32,550","3,745,018",-1%,"-$3,715,349",,,,
15,D,2021-08-02 21:35:24,2021-08-02,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,$113.53,"-15,000","27,759",-35%,"-$1,702,904",,,,
16,D,2021-07-12 19:37:38,2021-07-12,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,$107.48,"-7,830","372,629",-2%,"-$841,568",,,,
17,D,2021-07-09 21:47:46,2021-07-09,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,$108.16,"-11,050","218,378",-5%,"-$1,195,111",,,,
18,D,2021-07-08 20:18:03,2021-07-08,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,$106.72,"-6,350","98,027",-6%,"-$677,672",,,,
19,D,2021-07-01 20:25:02,2021-07-01,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,$104.61,"-32,550","3,732,518",-1%,"-$3,404,930",,,,
20,D,2021-06-15 20:33:30,2021-06-15,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,$101.17,"-3,410","27,705",-11%,"-$344,990",,,,
21,D,2021-06-15 20:33:03,2021-06-15,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,$101.00,"-6,350","97,890",-6%,"-$641,370",,,,
22,D,2021-06-14 21:21:39,2021-06-14,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,$99.91,"-7,830","372,567",-2%,"-$782,295",,,,
23,D,2021-06-14 21:21:38,2021-06-14,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,$99.84,"-11,050","218,353",-5%,"-$1,103,201",,,,
24,D,2021-06-14 21:21:24,2021-06-14,EW,Chopra Daveen,"CVP, Surgical Structural Heart",S - Sale+OE,$99.96,"-24,000","15,827",-60%,"-$2,398,990",,,,
25,D,2021-06-09 20:05:37,2021-06-09,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,$97.23,"-32,550","3,720,018",-1%,"-$3,164,837",,,,
26,,2021-05-28 19:38:29,2021-05-28,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale,$95.29,"-2,061","27,705",-7%,"-$196,393",,,,
27,,2021-05-25 19:27:01,2021-05-25,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale,$96.09,"-4,665","29,766",-14%,"-$448,300",,,,
28,D,2021-05-25 19:26:46,2021-05-24,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,$95.67,"-33,000","3,707,518",-1%,"-$3,156,991",,,,
29,D,2021-05-11 10:03:22,2021-05-10,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,$92.22,"-7,830","368,174",-2%,"-$722,083",,,,
30,D,2021-05-07 18:32:55,2021-05-07,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,$92.52,"-11,050","214,823",-5%,"-$1,022,332",,,,
31,D,2021-05-07 18:32:03,2021-05-07,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,$91.87,"-3,389","30,940",-10%,"-$311,347",,,,
32,D,2021-05-07 18:31:51,2021-05-07,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,$91.87,"-6,350","95,913",-6%,"-$583,375",,,,
33,D,2021-05-05 21:40:43,2021-05-05,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,$92.28,"-35,550","3,616,531",-1%,"-$3,280,394",,,,
34,,2021-04-23 21:26:45,2021-04-23,EW,Sellers Robert W.A.,"VP, Corporate Controller",S - Sale,$97.66,"-12,000","30,236",-28%,"-$1,171,976",,,,
35,D,2021-04-23 21:24:39,2021-04-23,EW,Stone Heisz Leslie,Dir,S - Sale+OE,$97.52,"-6,707","22,565",-23%,"-$654,067",,,,
36,D,2021-04-22 20:05:42,2021-04-22,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,$94.40,"-3,389","26,966",-11%,"-$319,922",,,,
37,D,2021-04-12 18:52:26,2021-04-12,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,$85.84,"-7,830","364,278",-2%,"-$672,108",,,,
38,D,2021-04-09 18:42:55,2021-04-09,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,$84.27,"-13,077","210,822",-6%,"-$1,102,046",,,,
39,D,2021-04-08 20:57:31,2021-04-08,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,$84.45,"-68,550","3,586,535",-2%,"-$5,789,048",,,,
40,D,2021-04-08 20:00:59,2021-04-08,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,$84.88,"-6,350","93,438",-6%,"-$538,988",,,,
41,D,2021-03-15 18:02:02,2021-03-15,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,$81.66,"-3,389","26,746",-11%,"-$276,746",,,,
42,D,2021-03-12 19:52:29,2021-03-12,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,$82.85,"-13,077","210,444",-6%,"-$1,083,375",,,,
43,D,2021-03-09 20:20:21,2021-03-09,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,$82.66,"-68,550","3,556,537",-2%,"-$5,666,624",,,,
44,D,2021-03-08 20:06:02,2021-03-08,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,$81.37,"-6,350","93,213",-6%,"-$516,700",,,,
45,D,2021-03-01 20:23:58,2021-03-01,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,$83.99,"-7,830","363,979",-2%,"-$657,642",,,,
46,D,2021-03-01 20:15:47,2021-03-01,EW,Lemercier Jean-Luc M,"CVP, EMEA, Canada, Latin Amer",S - Sale+OE,$84.72,"-13,020","139,221",-9%,"-$1,103,063",,,,
47,D,2021-02-23 21:36:55,2021-02-23,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,$84.17,"-68,550","3,526,537",-2%,"-$5,769,921",,,,
48,D,2021-02-16 19:40:32,2021-02-16,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,$88.20,"-3,389","26,746",-11%,"-$298,910",,,,
49,D,2021-02-11 21:24:55,2021-02-11,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,$86.81,"-11,745","93,213",-11%,"-$1,019,583",,,,
50,D,2021-02-05 20:13:04,2021-02-05,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,$85.80,"-13,077","210,345",-6%,"-$1,121,996",,,,
51,D,2021-02-05 18:21:08,2021-02-04,EW,Valeriani Nicholas J,Dir,S - Sale+OE,$85.21,"-8,200","59,696",-12%,"-$698,752",,,,
52,D,2021-02-01 21:39:35,2021-02-01,EW,Lemercier Jean-Luc M,"CVP, EMEA, Canada, Latin Amer",S - Sale+OE,$83.51,"-20,523","139,221",-13%,"-$1,713,787",,,,
53,D,2021-01-15 21:54:46,2021-01-15,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,$87.50,"-68,550","3,496,539",-2%,"-$5,997,878",,,,
54,D,2021-01-15 21:50:42,2021-01-15,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,$87.27,"-11,730","93,297",-11%,"-$1,023,677",,,,
55,D,2021-01-15 21:49:37,2021-01-15,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,$87.27,"-3,389","26,746",-11%,"-$295,758",,,,
56,D,2021-01-08 19:56:20,2021-01-08,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,$90.45,"-13,077","210,345",-6%,"-$1,182,756",,,,
57,D,2021-01-04 18:19:42,2021-01-04,EW,Lemercier Jean-Luc M,"CVP, EMEA, Canada, Latin Amer",S - Sale+OE,$91.24,"-20,523","139,221",-13%,"-$1,872,475",,,,
