,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-05-28 10:32:16,2021-05-27,EXC,Innocenzo Michael,"Pres, CEO of PECO",S - Sale+OE,$44.99,"-16,000","42,432",-27%,"-$719,840",,,,
2,,2021-03-19 10:12:18,2021-03-18,EXC,Khouzami Carim V,CEO of BGE,S - Sale,$42.88,"-12,239","8,687",-58%,"-$524,808",,,,
3,,2020-09-02 17:47:18,2020-09-02,EXC,Khouzami Carim V,CEO of BGE,S - Sale,$38.00,"-6,800","9,531",-42%,"-$258,400",,,,
4,D,2019-07-01 17:07:57,2019-06-28,EXC,Butler Calvin Jr,"CEO, BGE",S - Sale+OE,$47.59,"-31,000","25,331",-55%,"-$1,475,290",,,,
5,D,2019-06-19 16:16:46,2019-06-18,EXC,Cornew Kenneth W.,"Sr. EVP, Pres, CEO Generation",S - Sale+OE,$49.82,"-54,300","69,513",-44%,"-$2,705,368",,,,
6,D,2019-03-14 15:57:34,2019-03-13,EXC,Nigro Joseph,"Sr. EVP, Chief Fin. Officer",S - Sale+OE,$49.59,"-53,800","45,774",-54%,"-$2,667,942",,,,
7,,2019-03-05 16:09:28,2019-03-04,EXC,Aliabadi Paymon,"EVP, Chief Enterprise Risk Ofr",S - Sale,$48.36,"-17,500","50,413",-26%,"-$846,300",,,,
8,,2019-02-14 07:16:47,2019-02-12,EXC,Aliabadi Paymon,"EVP, Chief Enterprise Risk Ofr",S - Sale,$47.88,"-17,500","67,913",-20%,"-$837,900",,,,
9,,2018-03-16 12:08:15,2018-03-15,EXC,Butler Calvin Jr,"CEO, BGE",S - Sale,$37.94,"-25,000","20,869",-55%,"-$948,500",,,,
10,,2017-12-08 16:56:46,2017-12-08,EXC,Aliabadi Paymon,"EVP, Chief Enterprise Risk Ofr",S - Sale,$40.62,"-13,334","26,786",-33%,"-$541,627",,,,
11,,2017-11-08 17:05:03,2017-11-08,EXC,Shattuck Mayo A III,Chairman,S - Sale,$41.13,"-100,000","296,416",-25%,"-$4,113,000",,,,
12,D,2017-11-03 16:34:56,2017-11-02,EXC,Shattuck Mayo A III,Chairman,S - Sale+OE,$40.50,"-519,316","396,416",-57%,"-$21,032,298",,,,
13,DM,2017-11-01 17:22:48,2017-10-30,EXC,Shattuck Mayo A III,Chairman,S - Sale+OE,$40.26,"-193,462","396,416",-33%,"-$7,789,209",,,,
14,DM,2017-10-27 17:23:19,2017-10-25,EXC,Shattuck Mayo A III,Chairman,S - Sale+OE,$40.12,"-567,070","396,416",-59%,"-$22,751,488",,,,
15,,2017-09-25 17:21:41,2017-09-25,EXC,Cornew Kenneth W.,"Sr. EVP, Pres, CEO Generation",S - Sale,$37.44,"-25,000","28,363",-47%,"-$936,000",,,,
