,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-15 17:19:17,2021-10-15,EXPE,Athey Susan C,Dir,S - Sale,$171.00,-212,"3,041",-7%,"-$36,252",,,,
2,DM,2021-09-22 16:36:02,2021-09-21,EXPE,Dzielak Robert J,"GC, Sec'y",S - Sale+OE,$155.78,"-65,000","44,266",-59%,"-$10,125,807",,,,
3,D,2021-09-15 16:42:12,2021-09-14,EXPE,Khosrowshahi Dara,Dir,S - Sale+OE,$150.14,"-50,000","354,022",-12%,"-$7,506,935",,,,
4,,2021-09-15 16:42:08,2021-09-15,EXPE,Athey Susan C,Dir,S - Sale,$149.73,-300,"3,253",-8%,"-$44,919",,,,
5,DM,2021-09-09 19:43:27,2020-08-28,EXPE,Dolgen Jonathan L,Director Emeritus,S - Sale+OE,$125.83,"-33,548","40,787",-45%,"-$4,221,224",,,,
6,,2021-08-17 16:37:33,2021-08-16,EXPE,Athey Susan C,Dir,S - Sale,$147.30,-300,"3,553",-8%,"-$44,190",,,,
7,,2021-07-16 16:43:15,2021-07-15,EXPE,Athey Susan C,Dir,S - Sale,$159.69,-300,"3,853",-7%,"-$47,907",,,,
8,D,2021-07-01 19:12:03,2021-07-01,EXPE,Khosrowshahi Dara,Dir,S - Sale+OE,$166.63,"-50,000","354,022",-12%,"-$8,331,492",,,,
9,,2021-06-16 17:33:05,2021-06-15,EXPE,Athey Susan C,Dir,S - Sale,$169.20,-300,"4,153",-7%,"-$50,760",,,,
10,D,2021-05-25 17:54:45,2021-05-24,EXPE,Dzielak Robert J,"GC, Sec'y",S - Sale+OE,$172.00,"-65,000","42,315",-61%,"-$11,180,046",,,,
11,D,2021-05-18 20:46:29,2021-05-18,EXPE,Soliday Lance A,Chief Accounting Officer,S - Sale+OE,$170.13,-262,"7,602",-3%,"-$44,575",,,,
12,D,2021-05-17 18:23:33,2021-05-14,EXPE,Hart Eric M.,CFO,S - Sale+OE,$170.00,"-53,907","14,148",-79%,"-$9,164,190",,,,
13,D,2021-05-04 16:11:12,2021-05-03,EXPE,Khosrowshahi Dara,Dir,S - Sale+OE,$176.71,"-50,000","351,561",-12%,"-$8,835,483",,,,
14,,2021-04-06 16:52:19,2021-04-05,EXPE,Athey Susan C,Dir,S - Sale,$177.66,"-1,462","1,992",-42%,"-$259,739",,,,
15,D,2021-04-06 16:52:12,2021-04-05,EXPE,Khosrowshahi Dara,Dir,S - Sale+OE,$176.04,"-97,761","351,561",-22%,"-$17,209,712",,,,
16,D,2021-02-17 21:00:10,2021-02-17,EXPE,Soliday Lance A,Chief Accounting Officer,S - Sale+OE,$146.52,-668,"7,364",-8%,"-$97,875",,,,
17,D,2021-01-06 18:53:01,2021-01-06,EXPE,Soliday Lance A,Chief Accounting Officer,S - Sale+OE,$140.00,"-3,506","6,962",-33%,"-$490,840",,,,
