,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-05 16:37:47,2021-10-01,EXR,Margolis Joseph D,CEO,S - Sale,$168.81,"-3,750","143,442",-3%,"-$633,020",,,,
2,,2021-08-04 17:00:50,2021-08-03,EXR,Kirk Spencer,Dir,S - Sale,$175.59,"-244,000","1,214,859",-17%,"-$42,843,960",,,,
3,M,2021-08-03 16:27:07,2021-07-30,EXR,Kirk Spencer,Dir,S - Sale,$175.86,"-180,000","1,458,859",-11%,"-$31,654,085",,,,
4,,2021-08-03 16:26:11,2021-07-30,EXR,Stubbs P Scott,"EVP, CFO",S - Sale,$175.36,"-4,625","141,101",-3%,"-$811,040",,,,
5,,2021-08-02 16:32:51,2021-07-29,EXR,McNeal Gwyn Goodson,"EVP, GC",S - Sale,$174.42,"-2,500","26,050",-9%,"-$436,050",,,,
6,,2021-07-02 16:43:21,2021-07-01,EXR,Margolis Joseph D,CEO,S - Sale,$164.89,"-3,750","147,192",-2%,"-$618,338",,,,
7,,2021-05-17 17:23:08,2021-05-14,EXR,Kunde Grace,"SVP Accounting, Finance",S - Sale,$144.84,-331,"10,368",-3%,"-$47,944",,,,
8,,2021-05-10 17:58:33,2021-05-06,EXR,Herrington Matthew T,"EVP, COO",S - Sale,$146.13,-860,"5,219",-14%,"-$125,668",,,,
9,,2021-05-10 17:58:17,2021-05-06,EXR,Kirk Spencer,Dir,S - Sale,$146.00,"-85,000","1,709,976",-5%,"-$12,410,000",,,,
10,,2021-04-05 18:23:42,2021-04-01,EXR,Margolis Joseph D,CEO,S - Sale,$134.24,"-3,750","150,942",-2%,"-$503,384",,,,
11,D,2021-03-17 15:24:28,2021-03-15,EXR,Margolis Joseph D,CEO,S - Sale+OE,$132.69,"-56,000","154,692",-27%,"-$7,430,640",,,,
12,,2020-12-28 18:48:05,2020-12-23,EXR,Margolis Joseph D,CEO,S - Sale,$115.10,"-2,500","136,209",-2%,"-$287,742",,,,
13,D,2020-11-20 17:58:31,2020-11-19,EXR,Kirk Spencer,Dir,S - Sale+OE,$112.62,"-25,315","1,794,976",-1%,"-$2,850,975",,,,
14,,2020-11-13 18:00:17,2020-11-11,EXR,Springer William N,"EVP, Assets, 3rd Party Mgmt",S - Sale,$117.30,-812,"3,936",-17%,"-$95,248",,,,
15,,2020-09-24 18:09:26,2020-09-23,EXR,Margolis Joseph D,CEO,S - Sale,$106.74,"-2,500","138,709",-2%,"-$266,842",,,,
16,D,2020-09-14 17:18:45,2020-09-11,EXR,Stubbs P Scott,"EVP, CFO",S - Sale+OE,$111.43,"-11,505","144,788",-7%,"-$1,281,998",,,,
17,,2020-09-03 18:17:10,2020-09-02,EXR,McNeal Gwyn Goodson,"EVP, GC",S - Sale,$107.72,"-2,400","23,733",-9%,"-$258,537",,,,
18,,2020-09-03 18:16:44,2020-09-02,EXR,Kirk Spencer,Dir,S - Sale,$107.99,"-85,000","1,794,976",-5%,"-$9,178,878",,,,
19,D,2020-08-31 18:13:36,2020-08-27,EXR,Stubbs P Scott,"EVP, CFO",S - Sale+OE,$106.67,"-7,100","144,788",-5%,"-$757,368",,,,
20,,2020-08-18 16:49:13,2020-06-05,EXR,Woolley Kenneth M.,Dir,S - Sale,$104.28,"-97,163","409,482",-19%,"-$10,132,265",,,,
21,,2020-06-25 17:39:22,2020-06-23,EXR,Margolis Joseph D,CEO,S - Sale,$93.24,"-2,500","141,209",-2%,"-$233,106",,,,
22,M,2020-06-18 19:04:16,2020-06-16,EXR,Overturf James,"EVP, CMO",S - Sale,$97.48,"-1,666","55,447",-3%,"-$162,398",,,,
23,D,2020-06-09 17:27:25,2020-06-05,EXR,McNeal Gwyn Goodson,"EVP, GC",S - Sale+OE,$104.59,"-5,525","26,133",-17%,"-$577,841",,,,
24,D,2020-06-09 17:27:11,2020-06-05,EXR,Stubbs P Scott,"EVP, CFO",S - Sale+OE,$105.58,"-8,085","144,788",-5%,"-$853,636",,,,
25,,2020-05-11 16:44:46,2020-05-07,EXR,Overturf James,"EVP, CMO",S - Sale,$87.32,"-1,666","57,113",-3%,"-$145,475",,,,
26,M,2020-04-16 18:25:48,2020-04-14,EXR,Overturf James,"EVP, CMO",S - Sale,$95.62,"-1,666","58,779",-3%,"-$159,302",,,,
27,M,2020-03-25 16:18:04,2020-03-23,EXR,Margolis Joseph D,CEO,S - Sale,$80.00,"-2,500","143,709",-2%,"-$200,000",,,,
28,M,2020-03-20 16:06:13,2020-03-18,EXR,Overturf James,"EVP, CMO",S - Sale,$87.46,"-1,666","60,445",-3%,"-$145,702",,,,
29,,2020-03-10 19:11:54,2020-03-04,EXR,Kirk Spencer,Dir,S - Sale,$110.06,"-50,000","1,955,550",-2%,"-$5,502,855",,,,
30,,2020-03-05 16:47:10,2020-03-04,EXR,Woolley Kenneth M.,Dir,S - Sale,$107.63,"-80,000","505,219",-14%,"-$8,610,744",,,,
31,M,2020-02-25 19:43:25,2020-02-24,EXR,Woolley Kenneth M.,Dir,S - Sale,$107.67,"-200,000","585,219",-25%,"-$21,534,833",,,,
32,M,2020-02-13 18:08:24,2020-02-11,EXR,Overturf James,"EVP, CMO",S - Sale,$111.80,"-1,666","58,797",-3%,"-$186,252",,,,
33,M,2020-01-17 16:33:20,2020-01-15,EXR,Overturf James,"EVP, CMO",S - Sale,$109.82,"-1,666","60,463",-3%,"-$182,957",,,,
34,,2020-01-03 17:18:56,2020-01-02,EXR,Margolis Joseph D,CEO,S - Sale,$104.92,"-2,500","127,141",-2%,"-$262,308",,,,
35,M,2019-12-13 18:09:30,2019-12-11,EXR,Overturf James,"EVP, CMO",S - Sale,$103.77,-880,"62,129",-1%,"-$91,316",,,,
36,D,2019-12-06 19:31:38,2019-12-06,EXR,Sondhi Samrat,"EVP, COO",S - Sale+OE,$107.33,"-10,144","72,399",-12%,"-$1,088,750",,,,
37,M,2019-11-26 18:39:43,2019-11-25,EXR,Overturf James,"EVP, CMO",S - Sale,$105.77,-880,"63,009",-1%,"-$93,080",,,,
38,M,2019-10-16 17:11:14,2019-10-14,EXR,Overturf James,"EVP, CMO",S - Sale,$115.01,-880,"63,889",-1%,"-$101,211",,,,
39,,2019-10-03 17:09:57,2019-10-01,EXR,Margolis Joseph D,CEO,S - Sale,$114.44,"-2,500","129,641",-2%,"-$286,097",,,,
40,M,2019-09-20 17:13:06,2019-09-18,EXR,Overturf James,"EVP, CMO",S - Sale,$116.84,-880,"64,769",-1%,"-$102,815",,,,
