,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-19 16:03:35,2021-10-15,F,Rowley Stuart J.,"Pres, Ford of Europe",S - Sale,$16.00,"-15,000","123,614",-11%,"-$240,032",,,,
2,,2021-06-24 16:04:01,2021-06-22,F,Rowley Stuart J.,"Pres, Ford of Europe",S - Sale,$15.00,"-15,000","138,614",-10%,"-$225,000",,,,
3,DM,2021-06-22 18:28:46,2021-06-18,F,Rowley Stuart J.,"Pres, Ford of Europe",S - Sale+OE,$14.76,"-52,414","153,614",-25%,"-$773,839",,,,
4,,2021-06-08 16:58:06,2021-06-04,F,Robinson Kiersten,"Chief People, E. Exp. Officer",S - Sale,$16.20,"-60,000","109,691",-35%,"-$972,000",,,,
5,,2021-03-12 16:57:43,2021-03-10,F,Thai-Tang Hau N,"Chief Prod Plat, Ops Officer",S - Sale,$12.88,"-90,000","774,628",-10%,"-$1,158,747",,,,
6,,2021-02-25 16:12:16,2021-02-23,F,Thornton John L,Dir,P - Purchase,$11.62,"+8,620","254,018",+4%,"+$100,121",,,,
7,,2020-05-04 06:47:23,2020-04-30,F,Farley Jr James D,COO,P - Purchase,$5.13,"+194,950","828,922",+31%,"+$1,000,035",,,,
8,M,2020-03-16 17:03:20,2020-03-12,F,Lechleiter John C,Dir,P - Purchase,$5.23,"+20,000","120,000",+20%,"+$104,576",,,,
9,,2020-02-12 16:14:33,2020-02-12,F,Lechleiter John C,Dir,P - Purchase,$8.14,"+10,000","100,000",+11%,"+$81,400",,,,
10,,2020-02-05 14:30:55,2020-02-03,F,Hackett James P,"Pres, CEO",S - Sale,$8.86,"-20,000","174,575",-10%,"-$177,200",,,,
11,,2020-01-07 14:13:10,2020-01-03,F,Hackett James P,"Pres, CEO",S - Sale,$9.29,"-20,000","194,575",-9%,"-$185,800",,,,
12,,2019-12-04 14:09:45,2019-12-03,F,Hackett James P,"Pres, CEO",S - Sale,$8.92,"-20,000","214,575",-9%,"-$178,400",,,,
13,,2019-11-06 14:42:58,2019-11-04,F,Hackett James P,"Pres, CEO",S - Sale,$8.95,"-20,000","234,575",-8%,"-$179,000",,,,
14,,2019-10-29 14:01:08,2019-10-25,F,Lechleiter John C,Dir,P - Purchase,$8.68,"+25,000","90,000",+38%,"+$216,999",,,,
15,,2019-10-04 13:24:45,2019-10-03,F,Hackett James P,"Pres, CEO",S - Sale,$8.54,"-20,000","254,575",-7%,"-$170,800",,,,
16,,2019-10-03 12:43:21,2019-10-01,F,Farley Jr James D,"Pres-New Bus.,Tech., Strgy.",S - Sale,$9.19,"-45,000","496,753",-8%,"-$413,334",,,,
17,,2019-09-05 13:24:04,2019-09-03,F,Hackett James P,"Pres, CEO",S - Sale,$9.16,"-20,000","274,575",-7%,"-$183,200",,,,
18,,2019-08-05 14:04:24,2019-08-01,F,Ford William Clay Jr,"Exec. COB, COB",P - Purchase,$9.51,"+840,962","1,246,713",+207%,"+$7,995,783",,,,
19,,2019-07-30 14:36:05,2019-07-29,F,Lechleiter John C,Dir,P - Purchase,$9.60,"+10,000","65,000",+18%,"+$95,950",,,,
20,,2019-07-30 14:35:33,2019-07-26,F,Farley Jr James D,"Pres-New Bus.,Tech., Strgy.",S - Sale,$9.56,"-45,000","541,753",-8%,"-$430,173",,,,
21,,2019-07-17 13:07:43,2019-07-15,F,Robinson Kiersten,CHRO,S - Sale,$10.50,"-15,000","51,027",-23%,"-$157,500",,,,
22,,2019-07-08 14:58:56,2019-07-03,F,Hackett James P,"Pres, CEO",S - Sale,$10.20,"-20,000","294,575",-6%,"-$204,000",,,,
23,,2019-07-02 13:25:17,2019-06-28,F,Robinson Kiersten,CHRO,S - Sale,$10.25,"-15,000","66,027",-19%,"-$153,750",,,,
24,,2019-06-04 16:38:39,2019-06-03,F,Hackett James P,"Pres, CEO",S - Sale,$9.61,"-20,000","314,575",-6%,"-$192,200",,,,
25,,2019-05-24 14:36:46,2019-05-23,F,Thornton John L,Dir,P - Purchase,$9.81,"+10,200","197,290",+5%,"+$100,038",,,,
26,,2019-05-14 13:26:03,2019-05-10,F,Lechleiter John C,Dir,P - Purchase,$10.32,"+10,000","55,000",+22%,"+$103,200",,,,
27,,2019-05-01 15:45:55,2019-04-29,F,O'Callaghan Catherine A.,"VP, Controller",S - Sale,$10.33,"-53,000","80,851",-40%,"-$547,617",,,,
28,,2018-09-26 16:02:01,2018-09-24,F,Armstrong Steven R.,Group VP,S - Sale,$9.54,"-13,000","94,527",-12%,"-$124,053",,,,
29,,2018-08-06 13:00:38,2018-08-02,F,Lechleiter John C,Dir,P - Purchase,$9.89,"+10,000","45,000",+29%,"+$98,890",,,,
30,,2018-05-15 15:01:57,2018-05-11,F,Lechleiter John C,Dir,P - Purchase,$11.17,"+5,000","35,000",+17%,"+$55,872",,,,
31,D,2018-03-06 15:22:31,2018-03-02,F,Thai-Tang Hau N,EVP,S - Sale+OE,$10.35,"-15,517","200,833",-7%,"-$160,554",,,,
32,D,2018-03-06 15:17:38,2018-03-02,F,Galhotra Ashwani Kumar,Group VP,S - Sale+OE,$10.34,"-31,415","149,260",-17%,"-$324,875",,,,
33,D,2018-03-06 15:17:08,2018-03-02,F,Ford William Clay Jr,"Exec. COB, COB",S - Sale+OE,$10.32,"-454,260","1,531,227",-23%,"-$4,686,510",,,,
34,,2018-02-12 15:03:42,2018-02-09,F,Lechleiter John C,Dir,P - Purchase,$10.28,"+5,000","30,000",+20%,"+$51,386",,,,
35,,2018-01-08 15:10:02,2018-01-04,F,Thai-Tang Hau N,EVP,S - Sale,$13.00,"-18,000","121,575",-13%,"-$234,000",,,,
36,D,2017-12-07 16:19:08,2017-12-06,F,Armstrong Steven R.,Group VP,S - Sale+OE,$12.32,"-10,752","90,407",-11%,"-$132,503",,,,
37,,2017-11-30 15:02:08,2017-11-29,F,Thai-Tang Hau N,EVP,S - Sale,$12.50,"-19,000","141,107",-12%,"-$237,500",,,,
38,,2017-10-05 16:56:50,2017-10-04,F,Armstrong Steven R.,Group VP,S - Sale,$12.37,"-22,076","90,407",-20%,"-$273,080",,,,
39,,2017-09-26 15:02:56,2017-09-25,F,Thai-Tang Hau N,EVP,S - Sale,$12.00,"-25,000","160,108",-14%,"-$300,000",,,,
40,,2017-09-13 14:57:19,2017-09-11,F,Ojakli Ziad S,Group VP,S - Sale,$11.42,"-92,815","200,000",-32%,"-$1,059,975",,,,
41,,2017-09-13 14:56:53,2017-09-11,F,Farley Jr James D,EVP,S - Sale,$11.40,"-25,000","403,411",-6%,"-$285,000",,,,
42,,2017-09-07 16:53:49,2017-09-06,F,Thai-Tang Hau N,EVP,S - Sale,$11.50,"-25,000","185,110",-12%,"-$287,500",,,,
43,,2017-09-05 16:32:20,2017-09-05,F,Hinrichs Joseph R,EVP,S - Sale,$11.34,"-40,000","533,176",-7%,"-$453,600",,,,
44,M,2017-08-03 15:52:17,2017-08-02,F,Lawler John T.,"VP, Controller",S - Sale,$11.00,"-80,624",0,-100%,"-$886,864",,,,
45,,2017-06-13 16:40:55,2017-06-12,F,Farley Jr James D,EVP,S - Sale,$11.16,"-25,000","428,411",-6%,"-$279,068",,,,
46,,2017-05-09 21:50:51,2017-05-05,F,Hinrichs Joseph R,EVP,S - Sale,$11.11,"-50,000","573,157",-8%,"-$555,475",-1,,,
47,,2017-03-28 16:17:12,2017-03-24,F,Ford William Clay Jr,"Exec. COB, COB",P - Purchase,$11.67,"+171,379","12,039,238",+1%,"+$1,999,993",0,-2,+1,
48,,2017-03-16 15:58:16,2017-03-16,F,Ojakli Ziad S,Group VP,S - Sale,$12.63,"-50,309","292,815",-15%,"-$635,408",0,-7,-12,
