,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-06 16:18:56,2021-07-01,FANG,Stice Travis D.,CEO,S - Sale,$100.00,"-40,000","417,823",-9%,"-$4,000,000",,,,
2,,2021-06-10 16:10:57,2021-06-08,FANG,Dick Teresa L.,"CAO, EVP, Assist. Sec.",S - Sale,$89.50,"-5,000","60,485",-8%,"-$447,500",,,,
3,,2021-06-10 16:10:35,2021-06-08,FANG,Van'T Hof Matthew Kaes,"CFO, EVP - Bus Dev",S - Sale,$89.78,"-1,100","65,943",-2%,"-$98,755",,,,
4,,2021-06-02 16:19:15,2021-06-01,FANG,Stice Travis D.,CEO,S - Sale,$85.00,"-20,000","457,823",-4%,"-$1,700,020",,,,
5,,2021-05-14 16:10:11,2021-05-12,FANG,Hawkins Thomas F.,EVP - Land,S - Sale,$83.69,"-7,500","14,891",-33%,"-$627,674",,,,
6,,2021-05-07 16:08:57,2021-05-05,FANG,Stice Travis D.,CEO,S - Sale,$85.00,"-20,000","477,823",-4%,"-$1,700,000",,,,
7,,2021-05-03 19:32:25,2021-04-29,FANG,Stice Travis D.,CEO,S - Sale,$85.00,"-20,000","497,823",-4%,"-$1,700,000",,,,
8,,2021-03-22 16:58:46,2021-03-19,FANG,Van'T Hof Matthew Kaes,"CFO, EVP - Bus Dev",S - Sale,$77.24,"-1,900","67,043",-3%,"-$146,747",,,,
9,,2021-03-09 16:11:25,2021-03-08,FANG,Hawkins Thomas F.,EVP - Land,S - Sale,$83.66,"-10,000","22,391",-31%,"-$836,630",,,,
10,,2021-03-08 16:17:08,2021-03-05,FANG,Cross Michael P,Dir,S - Sale,$85.54,"-3,000","16,829",-15%,"-$256,620",,,,
11,,2021-03-03 16:36:04,2021-03-01,FANG,Pantermuehl Russell,"EVP, Chief Engineer",S - Sale,$73.80,"-10,000","133,419",-7%,"-$738,025",,,,
12,,2021-03-01 16:15:27,2021-02-25,FANG,Pantermuehl Russell,"EVP, Chief Engineer",S - Sale,$74.51,"-10,000","122,064",-8%,"-$745,101",,,,
13,,2020-06-23 16:32:42,2020-06-19,FANG,Van'T Hof Matthew Kaes,"CFO, EVP - Bus Dev",P - Purchase,$46.92,"+1,800","53,930",+3%,"+$84,456",,,,
14,,2020-03-23 11:23:44,2020-03-19,FANG,Van'T Hof Matthew Kaes,"CFO, EVP - Bus Dev",P - Purchase,$17.23,"+4,750","52,130",+10%,"+$81,839",,,,
15,,2020-03-11 09:43:18,2020-03-10,FANG,Stice Travis D.,CEO,P - Purchase,$28.40,"+17,146","477,305",+4%,"+$487,001",,,,
16,,2019-09-18 16:24:56,2019-09-16,FANG,Hollis Michael L.,"Pres, COO",S - Sale,$102.25,"-2,000","138,414",-1%,"-$204,493",,,,
17,,2019-09-18 16:24:35,2019-09-16,FANG,Holder Randall J,EVP,S - Sale,$103.21,"-3,000","8,448",-26%,"-$309,620",,,,
18,,2019-09-18 16:24:03,2019-09-17,FANG,Cross Michael P,Dir,S - Sale,$104.75,"-1,000","16,864",-6%,"-$104,750",,,,
19,,2019-09-18 16:23:43,2019-09-17,FANG,Pantermuehl Russell,"EVP, Chief Engineer",S - Sale,$104.25,"-3,000","102,107",-3%,"-$312,759",,,,
20,,2019-09-11 16:26:51,2019-09-10,FANG,Pantermuehl Russell,"EVP, Chief Engineer",S - Sale,$100.25,"-5,000","105,107",-5%,"-$501,264",,,,
21,,2019-08-22 16:25:43,2019-08-21,FANG,Pantermuehl Russell,"EVP, Chief Engineer",S - Sale,$100.78,"-2,000","110,107",-2%,"-$201,551",,,,
22,,2019-08-20 17:24:30,2019-08-19,FANG,Holder Randall J,EVP,S - Sale,$100.00,"-3,000","11,448",-21%,"-$300,000",,,,
23,,2019-08-12 17:37:56,2019-08-09,FANG,Stice Travis D.,CEO,P - Purchase,$95.55,"+4,186","407,789",+1%,"+$399,968",,,,
24,,2019-06-24 17:02:44,2019-06-20,FANG,Van'T Hof Matthew Kaes,"CFO, EVP - Bus Dev",S - Sale,$107.47,"-1,500","27,465",-5%,"-$161,200",,,,
25,,2019-06-24 17:01:26,2019-06-20,FANG,Pantermuehl Russell,"EVP, Chief Engineer",S - Sale,$107.28,"-5,000","112,107",-4%,"-$536,416",,,,
26,,2019-05-22 16:35:58,2019-05-21,FANG,Pantermuehl Russell,"EVP, Chief Engineer",S - Sale,$112.18,"-5,000","117,107",-4%,"-$560,897",,,,
27,,2019-03-19 17:16:53,2019-03-18,FANG,Holder Randall J,EVP,S - Sale,$104.13,"-4,000","14,448",-22%,"-$416,511",,,,
28,,2019-03-18 17:11:26,2019-03-14,FANG,Soliman Jennifer,"EVP, CHRO",S - Sale,$104.41,-350,"2,624",-12%,"-$36,544",,,,
29,,2019-03-14 15:19:00,2019-03-13,FANG,Van'T Hof Matthew Kaes,"CFO, EVP - Bus Dev",S - Sale,$101.82,"-1,700","28,965",-6%,"-$173,094",,,,
30,,2019-03-12 17:30:00,2019-03-08,FANG,Hollis Michael L.,"Pres, COO",P - Purchase,$95.12,"+5,313","140,414",+4%,"+$505,352",,,,
31,,2018-12-21 17:57:02,2018-12-20,FANG,Van'T Hof Matthew Kaes,"SVP - Strategy, Corp Dev",S - Sale,$89.91,"-1,000","5,757",-15%,"-$89,913",,,,
32,,2018-09-24 12:32:28,2018-09-20,FANG,Molnar Paul,"EVP Exploration, Bus Dev",S - Sale,$127.64,"-5,000","38,555",-11%,"-$638,183",,,,
33,,2018-09-24 12:28:14,2018-09-20,FANG,Pantermuehl Russell,EVP Reservoir Engineering,S - Sale,$129.30,"-1,032","88,500",-1%,"-$133,438",,,,
34,,2018-09-20 14:20:35,2018-09-19,FANG,Pantermuehl Russell,EVP Reservoir Engineering,S - Sale,$127.80,"-2,000","89,532",-2%,"-$255,600",,,,
35,,2018-09-05 16:09:09,2018-09-04,FANG,Van'T Hof Matthew Kaes,"SVP - Strategy, Corp Dev",S - Sale,$120.61,-140,"6,757",-2%,"-$16,885",,,,
36,,2018-07-18 16:33:49,2018-07-16,FANG,Hollis Michael L.,"Pres, COO",S - Sale,$128.85,"-5,000","95,222",-5%,"-$644,250",,,,
