,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-18 18:13:22,2021-10-15,FAST,Nielsen Sarah N,Dir,P - Purchase,$55.76,"+1,000","1,000",New,"+$55,760",,,,
2,,2021-09-10 12:55:30,2021-09-08,FAST,Ancius Michael J,Dir,P - Purchase,$54.09,+265,"30,895",+1%,"+$14,334",,,,
3,D,2021-09-01 10:16:43,2021-08-31,FAST,Wisecup Reyne K,Senior EVP,S - Sale+OE,$56.02,"-21,428","20,000",-52%,"-$1,200,371",,,,
4,D,2021-09-01 10:15:55,2021-08-30,FAST,Lundquist Nicholas J,Dir,S - Sale+OE,$56.10,"-32,980","512,070",-6%,"-$1,850,167",,,,
5,D,2021-08-25 11:11:56,2021-08-23,FAST,Watts Jeffery Michael,Exec Vice-Pres,S - Sale+OE,$55.77,"-21,434",0,-100%,"-$1,195,430",,,,
6,D,2021-08-24 09:37:05,2021-08-20,FAST,Drazkowski William Joseph,Exec Vice-Pres,S - Sale+OE,$55.99,"-15,126","11,643",-57%,"-$846,963",,,,
7,D,2021-08-18 16:31:36,2021-08-16,FAST,Heise Rita J.,Dir,S - Sale+OE,$55.66,"-16,400","20,000",-45%,"-$912,774",,,,
8,D,2021-08-10 09:00:49,2021-08-06,FAST,Lisowski Sheryl Ann,"CAO, Controller, Treasurer",S - Sale+OE,$55.17,"-15,980","5,859",-73%,"-$881,621",,,,
9,,2021-08-06 09:57:22,2021-08-04,FAST,Johnson Daniel L.,Dir,P - Purchase,$55.48,"+1,000","9,595",+12%,"+$55,475",,,,
10,D,2021-08-04 15:12:51,2021-08-02,FAST,Miller Charles S.,Senior EVP,S - Sale+OE,$55.10,"-35,141","19,771",-64%,"-$1,936,359",,,,
11,D,2021-03-17 14:58:12,2021-03-15,FAST,Watts Jeffery Michael,Exec Vice-Pres,S - Sale+OE,$48.20,"-31,000",0,-100%,"-$1,494,110",,,,
12,,2021-03-08 18:07:06,2021-03-05,FAST,Eastman Stephen L.,Dir,P - Purchase,$44.63,"+1,000","9,000",+13%,"+$44,630",,,,
13,AM,2021-03-08 18:05:42,2021-03-04,FAST,Ancius Michael J,Dir,P - Purchase,$44.15,"+4,626","30,630",+18%,"+$204,245",,,,
14,M,2021-03-08 16:09:30,2021-03-04,FAST,Ancius Michael J,Dir,P - Purchase,$44.22,"+3,486","29,490",+13%,"+$154,154",,,,
15,,2021-02-08 12:02:22,2021-02-05,FAST,Dolan Michael John,Dir,P - Purchase,$47.31,"+2,500","12,500",+25%,"+$118,275",,,,
16,,2021-02-08 12:01:46,2021-02-04,FAST,Ancius Michael J,Dir,P - Purchase,$46.23,"+1,500","26,004",+6%,"+$69,339",,,,
17,,2021-02-03 09:33:47,2021-02-01,FAST,Johnson Daniel L.,Dir,P - Purchase,$46.50,"+1,080","8,595",+14%,"+$50,220",,,,
18,,2021-01-29 16:50:31,2021-01-28,FAST,Eastman Stephen L.,Dir,P - Purchase,$48.29,"+1,000","8,000",+14%,"+$48,290",,,,
19,,2021-01-29 16:41:03,2021-01-25,FAST,Lundquist Nicholas J,Dir,S - Sale,$47.90,-574,"499,344",0%,"-$27,495",,,,
20,,2021-01-27 15:20:33,2021-01-25,FAST,Ancius Michael J,Dir,P - Purchase,$47.50,+770,"24,504",+3%,"+$36,575",,,,
21,ADM,2021-01-26 11:26:21,2020-07-17,FAST,Hein Leland J,Senior EVP,S - Sale+OE,$44.36,"-13,810","20,730",-40%,"-$612,666",,,,
