,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-21 18:29:11,2021-10-19,FB,Newstead Jennifer,GC,S - Sale,$339.90,-125,"10,438",-1%,"-$42,488",,,,
2,D,2021-10-20 19:31:19,2021-10-20,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$340.97,"-77,300","742,786",-9%,"-$26,356,574",,,,
3,D,2021-10-20 18:47:01,2021-10-19,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$339.79,"-77,300","757,786",-9%,"-$26,265,666",,,,
4,D,2021-10-20 18:34:07,2021-10-18,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$333.02,"-77,300","772,786",-9%,"-$25,742,220",,,,
5,D,2021-10-18 20:29:52,2021-10-15,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$324.62,"-52,700","787,786",-6%,"-$17,107,557",,,,
6,D,2021-10-18 19:46:24,2021-10-14,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$328.52,"-52,900","795,286",-6%,"-$17,378,800",,,,
7,,2021-10-14 18:20:23,2021-10-12,FB,Newstead Jennifer,GC,S - Sale,$322.84,-125,"10,563",-1%,"-$40,355",,,,
8,D,2021-10-13 20:13:45,2021-10-13,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$324.85,"-52,700","802,886",-6%,"-$17,119,526",,,,
9,D,2021-10-13 19:57:21,2021-10-12,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$320.88,"-52,700","810,386",-6%,"-$16,910,332",,,,
10,D,2021-10-13 19:49:33,2021-10-11,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$328.41,"-57,750","817,886",-7%,"-$18,965,663",,,,
11,D,2021-10-12 20:20:36,2021-10-08,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$331.32,"-77,193","826,936",-9%,"-$25,575,759",,,,
12,D,2021-10-12 20:15:34,2021-10-07,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$334.43,"-75,761","841,876",-8%,"-$25,336,767",,,,
13,,2021-10-07 19:00:31,2021-10-05,FB,Newstead Jennifer,GC,S - Sale,$328.69,-125,"10,688",-1%,"-$41,086",,,,
14,D,2021-10-06 21:14:28,2021-10-06,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$331.38,"-77,300","856,342",-8%,"-$25,615,270",,,,
15,D,2021-10-06 19:14:35,2021-10-05,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$331.99,"-77,300","871,342",-8%,"-$25,662,554",,,,
16,D,2021-10-06 19:06:50,2021-10-04,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$327.88,"-4,800",0,-100%,"-$1,573,841",,,,
17,D,2021-10-06 19:01:28,2021-10-04,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$327.67,"-54,504","886,342",-6%,"-$17,859,137",,,,
18,D,2021-10-04 18:26:27,2021-10-01,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$342.63,"-77,300","895,846",-8%,"-$26,485,562",,,,
19,D,2021-10-04 18:20:57,2021-09-30,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$340.95,"-77,300","910,846",-8%,"-$26,355,063",,,,
20,,2021-09-30 19:17:20,2021-09-28,FB,Newstead Jennifer,GC,S - Sale,$347.98,-125,"10,813",-1%,"-$43,498",,,,
21,D,2021-09-29 20:10:45,2021-09-29,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$341.45,"-77,300","925,846",-8%,"-$26,393,922",,,,
22,D,2021-09-29 19:43:50,2021-09-28,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$342.17,"-77,300","940,846",-8%,"-$26,450,043",,,,
23,D,2021-09-29 19:31:42,2021-09-27,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$351.59,"-77,300","955,846",-7%,"-$27,178,123",,,,
24,D,2021-09-27 18:53:27,2021-09-24,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$349.58,"-6,300",0,-100%,"-$2,202,326",,,,
25,D,2021-09-27 18:47:57,2021-09-24,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$349.55,"-71,000","970,846",-7%,"-$24,818,177",,,,
26,D,2021-09-27 18:42:37,2021-09-23,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$346.60,"-77,300","985,846",-7%,"-$26,791,961",,,,
27,,2021-09-23 18:56:43,2021-09-21,FB,Newstead Jennifer,GC,S - Sale,$358.70,-250,"10,938",-2%,"-$89,675",,,,
28,D,2021-09-22 20:33:26,2021-09-22,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$344.34,"-77,300","1,000,846",-7%,"-$26,617,529",,,,
29,D,2021-09-22 18:58:22,2021-09-21,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$357.83,"-77,300","1,015,846",-7%,"-$27,659,846",,,,
30,D,2021-09-22 18:53:25,2021-09-20,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$354.93,"-6,300",0,-100%,"-$2,236,032",,,,
31,D,2021-09-22 18:45:19,2021-09-20,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$354.84,"-71,000","1,030,846",-6%,"-$25,193,793",,,,
32,D,2021-09-20 19:22:07,2021-09-17,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$366.86,"-77,300","1,045,846",-7%,"-$28,358,185",,,,
33,D,2021-09-20 19:18:48,2021-09-16,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$371.42,"-77,300","1,060,846",-7%,"-$28,710,871",,,,
34,,2021-09-16 18:48:45,2021-09-14,FB,Newstead Jennifer,GC,S - Sale,$377.29,-250,"11,188",-2%,"-$94,323",,,,
35,D,2021-09-15 20:38:04,2021-09-15,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$371.52,"-77,300","1,075,846",-7%,"-$28,718,138",,,,
36,D,2021-09-15 19:24:29,2021-09-14,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$376.76,"-77,300","1,090,846",-7%,"-$29,123,395",,,,
37,D,2021-09-15 19:15:39,2021-09-13,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$376.42,"-77,300","1,105,846",-7%,"-$29,097,526",,,,
38,D,2021-09-13 19:39:33,2021-09-10,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$381.01,"-77,300","1,120,846",-6%,"-$29,452,176",,,,
39,D,2021-09-13 19:36:57,2021-09-09,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$378.49,"-77,300","1,135,846",-6%,"-$29,256,984",,,,
40,,2021-09-09 19:03:58,2021-09-07,FB,Newstead Jennifer,GC,S - Sale,$375.90,-250,"11,438",-2%,"-$93,975",,,,
41,D,2021-09-08 20:30:53,2021-09-08,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$377.77,"-77,300","1,150,846",-6%,"-$29,201,421",,,,
42,D,2021-09-08 19:44:13,2021-09-07,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$379.24,"-77,300","1,165,846",-6%,"-$29,314,865",,,,
43,D,2021-09-07 18:10:59,2021-09-03,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$375.94,"-77,300","1,180,846",-6%,"-$29,060,322",,,,
44,D,2021-09-07 18:06:23,2021-09-02,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$376.58,"-77,300","1,195,846",-6%,"-$29,109,544",,,,
45,D,2021-09-01 20:40:43,2021-09-01,FB,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$382.34,"-77,300","1,210,846",-6%,"-$29,554,786",,,,
