,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-02 16:16:00,2021-06-01,FBHS,Hackett Ann F,Dir,S - Sale,$104.43,"-1,346","35,215",-4%,"-$140,563",,,,
2,D,2021-05-11 16:27:36,2021-05-10,FBHS,Luburic Danny,"VP, Controller",S - Sale+OE,$113.72,"-13,230","8,115",-62%,"-$1,504,526",,,,
3,D,2021-05-05 16:05:06,2021-05-04,FBHS,Biggart Robert K.,"SVP, GC, Secy",S - Sale+OE,$107.90,"-20,900","66,088",-24%,"-$2,255,050",,,,
4,,2021-05-05 16:03:28,2021-05-03,FBHS,Fink Nicholas I.,CEO,S - Sale,$106.35,"-17,000","76,547",-18%,"-$1,807,996",,,,
5,,2021-05-05 16:02:10,2021-05-04,FBHS,Hallinan Patrick D,"SVP, CFO",S - Sale,$107.66,"-18,250","25,447",-42%,"-$1,964,791",,,,
6,,2021-03-12 16:20:56,2021-03-11,FBHS,Phyfer Cheri M,"Pres, Global Plumbing",S - Sale,$89.60,"-3,348","20,267",-14%,"-$299,967",,,,
7,,2021-03-03 16:11:22,2021-03-03,FBHS,Lantz Brian C,"SVP Communications, Admin.",S - Sale,$84.91,-773,"18,516",-4%,"-$65,635",,,,
8,,2020-12-21 16:50:45,2020-12-18,FBHS,Waters Ronald V,Dir,S - Sale,$91.00,"-3,000","11,472",-21%,"-$273,000",,,,
9,DM,2020-12-14 16:15:51,2020-12-10,FBHS,Hallinan Patrick D,"SVP, CFO",S - Sale+OE,$83.55,-750,"40,438",-2%,"-$62,662",,,,
10,D,2020-11-02 16:16:48,2020-10-30,FBHS,Klein Christopher J,Exec COB,S - Sale+OE,$80.21,"-108,200","233,911",-32%,"-$8,678,294",,,,
11,DM,2020-08-19 16:54:30,2020-08-18,FBHS,Klein Christopher J,Exec COB,S - Sale+OE,$84.58,"-70,000","233,511",-23%,"-$5,920,451",,,,
12,D,2020-08-10 16:11:29,2020-08-07,FBHS,Luburic Danny,"VP, Controller",S - Sale+OE,$79.32,"-4,600","9,693",-32%,"-$364,864",,,,
13,D,2020-08-07 19:04:40,2020-08-05,FBHS,Finley Brett E,"Pres, Doors, Security",S - Sale+OE,$78.20,"-39,527","42,464",-48%,"-$3,090,822",,,,
14,D,2020-08-07 16:01:36,2020-08-05,FBHS,Hallinan Patrick D,"SVP, CFO",S - Sale+OE,$78.08,"-14,700","37,405",-28%,"-$1,147,736",,,,
15,,2020-08-05 16:22:17,2020-08-04,FBHS,Klein Christopher J,Exec COB,S - Sale,$77.53,"-116,000","303,911",-28%,"-$8,993,689",,,,
16,D,2020-08-03 16:52:48,2020-07-31,FBHS,Fink Nicholas I.,CEO,S - Sale+OE,$76.01,"-30,000","75,686",-28%,"-$2,280,432",,,,
17,D,2020-08-03 16:51:53,2020-07-31,FBHS,Klein Christopher J,Exec COB,S - Sale+OE,$75.88,"-135,600","419,911",-24%,"-$10,289,111",,,,
18,D,2020-08-03 16:51:00,2020-07-31,FBHS,Lantz Brian C,"SVP Communications, Admin.",S - Sale+OE,$75.94,"-12,000","17,781",-40%,"-$911,234",,,,
19,D,2020-06-08 16:00:36,2020-06-05,FBHS,Lantz Brian C,"SVP Communications, Admin.",S - Sale+OE,$67.74,"-14,745","17,781",-45%,"-$998,778",,,,
20,,2020-05-26 18:07:14,2020-05-22,FBHS,Luburic Danny,"VP, Controller",S - Sale,$60.18,"-2,000","9,693",-17%,"-$120,350",,,,
21,D,2020-02-21 17:01:31,2020-02-21,FBHS,Klein Christopher J,Exec COB,S - Sale+OE,$71.56,"-89,700","365,567",-20%,"-$6,418,762",,,,
22,,2020-02-10 17:07:09,2019-10-28,FBHS,Phyfer Cheri M,"Pres, Global Plumbing",P - Purchase,$60.82,+215,"11,486",+2%,"+$13,075",,,,
23,D,2019-12-05 16:50:01,2019-12-04,FBHS,Klein Christopher J,CEO,S - Sale+OE,$63.41,"-50,000","358,587",-12%,"-$3,170,560",,,,
24,,2019-11-18 16:40:38,2019-11-15,FBHS,Klein Christopher J,CEO,S - Sale,$63.07,"-97,439","404,987",-19%,"-$6,145,322",,,,
25,,2019-11-15 16:20:50,2019-11-15,FBHS,Hackett Ann F,Dir,S - Sale,$62.83,"-2,387","32,332",-7%,"-$149,970",,,,
26,D,2019-11-06 16:10:11,2019-11-05,FBHS,Klein Christopher J,CEO,S - Sale+OE,$62.27,"-110,530","439,026",-20%,"-$6,882,526",,,,
27,D,2019-10-28 16:14:16,2019-10-25,FBHS,Luburic Danny,"VP, Controller",S - Sale+OE,$61.09,"-7,500","10,669",-41%,"-$458,191",,,,
28,,2019-10-28 16:10:33,2019-10-28,FBHS,Randich David,Pres MasterBrand Cabinets,S - Sale,$60.96,"-11,906","70,342",-14%,"-$725,784",,,,
29,,2019-08-06 16:05:26,2019-08-05,FBHS,Mackay A D David,Dir,S - Sale,$50.40,"-10,000","11,532",-46%,"-$504,044",,,,
30,,2019-07-02 16:40:39,2019-06-28,FBHS,Waters Ronald V,Dir,S - Sale,$56.74,"-5,000","11,589",-30%,"-$283,700",,,,
31,D,2019-05-10 16:28:01,2019-05-09,FBHS,Lantz Brian C,"SVP Communications, Admin.",S - Sale+OE,$53.48,"-3,055","19,557",-14%,"-$163,372",,,,
32,,2019-05-01 16:57:41,2019-04-30,FBHS,Lantz Brian C,"SVP Communications, Admin.",S - Sale,$52.55,"-2,192","19,557",-10%,"-$115,187",,,,
33,,2019-04-30 18:19:25,2019-04-30,FBHS,Randich David,Pres MasterBrand Cabinets,S - Sale,$53.00,"-20,000","82,248",-20%,"-$1,060,000",,,,
34,,2019-02-13 12:10:55,2019-02-12,FBHS,Luburic Danny,"VP, Controller",S - Sale,$46.96,"-2,000","9,772",-17%,"-$93,924",,,,
35,,2018-10-09 16:45:45,2018-10-05,FBHS,Waters Ronald V,Dir,S - Sale,$51.31,"-5,000","14,142",-26%,"-$256,565",,,,
36,,2018-04-03 16:42:31,2018-04-02,FBHS,Waters Ronald V,Dir,S - Sale,$57.43,"-5,000","16,674",-23%,"-$287,147",,,,
37,,2018-01-08 16:51:41,2018-01-05,FBHS,Waters Ronald V,Dir,S - Sale,$71.50,"-5,000","21,674",-19%,"-$357,500",,,,
38,D,2017-10-30 16:13:26,2017-10-27,FBHS,Klein Christopher J,CEO,S - Sale+OE,$67.13,"-85,000","365,749",-19%,"-$5,706,195",,,,
39,,2017-09-19 17:47:22,2017-09-18,FBHS,Wyatt E Lee,EVP,S - Sale,$65.01,"-33,400","192,903",-15%,"-$2,171,275",,,,
40,,2017-09-14 17:57:25,2017-09-13,FBHS,Wyatt E Lee,EVP,S - Sale,$65.11,"-2,600","226,303",-1%,"-$169,286",,,,
41,D,2017-08-24 17:15:11,2017-08-23,FBHS,Klein Christopher J,CEO,S - Sale+OE,$62.78,"-60,000","365,749",-14%,"-$3,766,548",,,,
42,,2017-08-08 16:10:45,2017-08-04,FBHS,Wyatt E Lee,EVP,S - Sale,$65.20,"-40,000","162,903",-20%,"-$2,608,000",,,,
43,D,2017-06-30 16:07:35,2017-06-29,FBHS,Klein Christopher J,CEO,S - Sale+OE,$64.91,"-55,000","365,749",-13%,"-$3,569,957",,,,
44,,2017-06-09 16:56:36,2017-06-08,FBHS,Wesley Norman H,Dir,S - Sale,$62.63,"-18,202","59,028",-24%,"-$1,140,001",,,,
45,D,2017-06-05 17:20:38,2017-06-02,FBHS,Wyatt E Lee,"SVP, CFO",S - Sale+OE,$63.48,"-40,000","156,440",-20%,"-$2,539,008",,,,
46,,2017-06-01 16:40:58,2017-05-31,FBHS,Klein Christopher J,CEO,S - Sale,$63.13,"-40,063","365,749",-10%,"-$2,529,249",,,,
47,D,2017-05-04 17:07:33,2017-05-04,FBHS,Luburic Danny,"VP, Controller",S - Sale+OE,$63.00,"-3,700","8,627",-30%,"-$233,104",0,0,,
48,D,2017-05-02 16:17:49,2017-04-28,FBHS,Klein Christopher J,CEO,S - Sale+OE,$63.82,"-75,000","405,812",-16%,"-$4,786,575",-1,0,,
49,D,2017-05-02 16:17:17,2017-05-01,FBHS,Randich David,Pres MasterBrand Cabinets,S - Sale+OE,$63.53,"-72,646","90,703",-44%,"-$4,615,186",-1,0,,
50,D,2016-08-08 17:19:05,2016-08-05,FBHS,Klein Christopher J,CEO,S - Sale+OE,$63.55,"-150,000","381,308",-28%,"-$9,532,995",0,0,-1,-12
51,D,2016-08-01 17:17:28,2016-08-01,FBHS,Randich David,Pres MasterBrand Cabinets,S - Sale+OE,$63.12,"-55,600","118,887",-32%,"-$3,509,505",-1,0,+1,-12
52,D,2016-08-01 17:16:47,2016-07-29,FBHS,Wyatt E Lee,"SVP, CFO",S - Sale+OE,$63.59,"-150,000","176,790",-46%,"-$9,538,470",-1,0,+1,-12
