,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-09 17:14:25,2021-06-07,FCX,Ford Gerald J,Dir,S - Sale,$40.99,"-18,200",0,-100%,"-$745,945",,,,
2,D,2021-05-18 17:28:56,2021-05-17,FCX,Ford Gerald J,Dir,S - Sale+OE,$43.23,"-20,800","18,200",-53%,"-$899,086",,,,
3,D,2021-05-07 17:42:19,2021-05-05,FCX,Whitmire C Donald Jr,"VP Controller, Financial Rptg",S - Sale+OE,$41.35,"-42,500","69,866",-38%,"-$1,757,583",,,,
4,,2021-04-27 17:35:14,2021-04-26,FCX,Ford Gerald J,Dir,S - Sale,$38.82,"-3,422","18,200",-16%,"-$132,839",,,,
5,,2021-03-10 17:14:12,2021-03-08,FCX,Ford Gerald J,Dir,S - Sale,$35.04,"-55,554","21,622",-72%,"-$1,946,379",,,,
6,,2021-03-05 17:35:11,2021-03-04,FCX,Ford Gerald J,Dir,S - Sale,$33.24,"-300,000","77,176",-80%,"-$9,970,770",,,,
7,M,2021-03-03 17:56:19,2021-03-01,FCX,Ford Gerald J,Dir,S - Sale,$34.93,"-2,020,000","377,176",-84%,"-$70,555,192",,,,
8,,2021-02-23 17:28:19,2021-02-19,FCX,Whitmire C Donald Jr,"VP Controller, Financial Rptg",S - Sale,$35.10,"-7,000","74,866",-9%,"-$245,700",,,,
9,D,2021-02-17 17:21:11,2021-02-12,FCX,Whitmire C Donald Jr,"VP Controller, Financial Rptg",S - Sale+OE,$30.84,"-48,240","84,366",-36%,"-$1,487,591",,,,
10,D,2020-12-08 17:19:27,2020-12-04,FCX,Quirk Kathleen L,"EVP, CFO",S - Sale+OE,$25.27,"-485,000","1,287,669",-27%,"-$12,255,756",,,,
11,D,2020-12-08 17:18:49,2020-12-04,FCX,Adkerson Richard C,"Vice COB, Pres, CEO",S - Sale+OE,$25.17,"-467,887","3,943,752",-11%,"-$11,776,856",,,,
12,D,2020-11-13 17:14:11,2020-11-11,FCX,Whitmire C Donald Jr,"VP, Controller Financial Rptg",S - Sale+OE,$19.41,"-27,100","69,013",-28%,"-$526,101",,,,
13,,2020-03-09 09:49:11,2020-03-05,FCX,Quirk Kathleen L,"EVP, CFO",P - Purchase,$10.03,"+85,000","1,144,324",+8%,"+$852,601",,,,
14,,2020-03-09 09:44:41,2020-03-05,FCX,Adkerson Richard C,"Vice COB, Pres, CEO",P - Purchase,$10.02,"+250,000","3,552,154",+8%,"+$2,505,725",,,,
15,,2020-01-29 17:28:11,2020-01-28,FCX,Stephens John Joseph,Dir,P - Purchase,$11.19,"+45,000","57,190",+369%,"+$503,550",,,,
16,,2019-06-10 17:35:17,2019-06-07,FCX,Quirk Kathleen L,"EVP, CFO, Treasurer",P - Purchase,$10.49,"+50,000","920,769",+6%,"+$524,340",,,,
17,D,2019-06-10 17:35:12,2019-06-07,FCX,Conger Harry M. IV,"Pres, COO FM Americas",S - Sale+OE,$10.51,"-155,000","261,382",-37%,"-$1,628,523",,,,
18,,2019-06-06 19:46:12,2019-06-06,FCX,Adkerson Richard C,"Vice COB, Pres, CEO",P - Purchase,$10.14,"+172,000","3,203,146",+6%,"+$1,744,080",,,,
19,,2019-02-13 17:35:24,2019-02-12,FCX,Whitmire C Donald Jr,"VP, Controller Financial Rptg",S - Sale,$11.58,"-7,425","69,891",-10%,"-$85,955",,,,
20,,2018-11-01 17:35:14,2018-10-30,FCX,Mather Courtney,Dir,S - Sale,$11.15,"-75,000","152,133",-33%,"-$836,250",,,,
21,D,2018-02-01 17:42:11,2018-01-31,FCX,Whitmire C Donald Jr,"VP, Controller Financial Rptg",S - Sale+OE,$19.49,"-21,500","62,061",-26%,"-$419,125",,,,
