,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-07-12 17:21:58,2021-07-12,FDX,Carter Robert B,"EVP ,  Chief Info Officer",S - Sale+OE,$299.66,"-16,235","54,715",-23%,"-$4,864,941",,,,
2,D,2021-06-29 16:43:06,2021-06-29,FDX,Smith John Alan,"Pres, CEO, FedEx Ground",S - Sale+OE,$296.00,"-11,285","16,019",-41%,"-$3,340,360",,,,
3,D,2021-06-29 16:40:58,2021-06-29,FDX,Schwab Susan C,Dir,S - Sale+OE,$297.30,"-4,720","5,592",-46%,"-$1,403,270",,,,
4,D,2021-05-11 17:50:50,2021-05-10,FDX,Lenz Michael C.,EVP CHIEF FINANCIAL OFF,S - Sale+OE,$315.97,"-4,700","10,946",-30%,"-$1,485,055",,,,
5,D,2021-05-11 17:48:05,2021-05-10,FDX,Colleran Donald F,"Pres, CEO FedEx Express",S - Sale+OE,$315.23,"-13,425","39,054",-26%,"-$4,231,905",,,,
6,D,2021-05-11 17:44:01,2021-05-11,FDX,Carere Brie,"EVP, Chief Mkt, Comm Officer",S - Sale+OE,$303.51,"-4,158","11,481",-27%,"-$1,261,994",,,,
7,D,2021-05-07 16:40:25,2021-05-05,FDX,Maier Henry J,"Pres, CEO, FedEx Ground",S - Sale+OE,$305.89,"-19,382","40,667",-32%,"-$5,928,760",,,,
8,D,2021-05-06 16:39:13,2021-05-05,FDX,Jackson Shirley A,Dir,S - Sale+OE,$306.41,"-3,015","8,809",-25%,"-$923,828",,,,
9,,2021-05-06 16:35:36,2021-05-04,FDX,Merino John L,CVP PRIN ACCT OFFICER,S - Sale,$300.27,"-10,000","7,360",-58%,"-$3,002,735",,,,
10,,2021-05-03 18:35:41,2021-05-03,FDX,Brannon Jill,EVP - Chief Sales Officer,S - Sale,$303.00,"-1,101","12,889",-8%,"-$333,603",,,,
11,D,2021-05-03 18:31:33,2021-05-03,FDX,Allen Mark R,"EVP GENL COUNSEL, SECTY",S - Sale+OE,$301.70,"-15,445","26,926",-36%,"-$4,659,813",,,,
12,D,2021-05-03 18:26:07,2021-05-03,FDX,Colleran Donald F,"Pres, CEO FedEx Express",S - Sale+OE,$300.52,"-17,150","39,054",-31%,"-$5,153,880",,,,
13,D,2021-04-19 17:01:33,2021-04-15,FDX,Smith Frederick W,"COB, CEO",S - Sale+OE,$290.02,"-102,000","19,536,781",-1%,"-$29,582,236",,,,
14,,2021-03-23 17:10:24,2021-03-22,FDX,Merino John L,CVP PRIN ACCT OFFICER,S - Sale,$273.30,"-10,000","17,307",-37%,"-$2,732,971",,,,
15,D,2021-02-08 18:10:41,2021-02-08,FDX,Jabal Kim,Dir,S - Sale+OE,$256.90,"-3,000","3,213",-48%,"-$770,684",,,,
16,,2020-11-04 16:59:39,2020-11-02,FDX,Carter Robert B,"EVP ,  Chief Info Officer",S - Sale,$261.21,-750,"54,213",-1%,"-$195,904",,,,
17,D,2020-11-02 17:20:07,2020-11-02,FDX,Ramo Joshua Cooper,Dir,S - Sale+OE,$262.70,"-13,461","4,922",-73%,"-$3,536,205",,,,
18,D,2020-10-29 16:51:59,2020-10-29,FDX,Allen Mark R,"EVP GENL COUNSEL, SECTY",S - Sale+OE,$261.04,"-13,065","33,209",-28%,"-$3,410,488",,,,
19,,2020-10-20 18:12:08,2020-10-19,FDX,Merino John L,CVP PRIN ACCT OFFICER,S - Sale,$289.32,"-5,000","27,250",-16%,"-$1,446,575",,,,
20,D,2020-10-19 17:08:27,2020-10-19,FDX,Brannon Jill,EVP - Chief Sales Officer,S - Sale+OE,$290.00,"-3,795","13,990",-21%,"-$1,100,550",,,,
21,D,2020-10-16 17:13:53,2020-10-16,FDX,Maier Henry J,"Pres, CEO, FedEx Ground",S - Sale+OE,$283.22,"-7,322","40,667",-15%,"-$2,073,713",,,,
22,D,2020-10-07 17:00:08,2020-10-07,FDX,Maier Henry J,"Pres, CEO, FedEx Ground",S - Sale+OE,$270.17,"-7,333","40,667",-15%,"-$1,981,171",,,,
23,D,2020-10-06 17:08:09,2020-10-06,FDX,Walsh Paul S,Dir,S - Sale+OE,$263.09,"-4,970","13,000",-28%,"-$1,307,532",,,,
24,D,2020-10-05 17:27:22,2020-10-05,FDX,Colleran Donald F,"Pres, CEO FedEx Express",S - Sale+OE,$260.30,"-6,845","39,054",-15%,"-$1,781,734",,,,
25,D,2020-09-29 17:46:56,2020-09-29,FDX,Carter Robert B,"EVP ,  Chief Info Officer",S - Sale+OE,$254.86,"-8,000","54,963",-13%,"-$2,038,903",,,,
26,D,2020-09-29 17:36:55,2020-09-29,FDX,Smith John Alan,"Pres, CEO, FedEx Freight",S - Sale+OE,$254.66,"-1,823","13,764",-12%,"-$464,245",,,,
27,D,2020-09-29 17:29:14,2020-09-28,FDX,Carere Brie,"EVP, Chief Mkt, Comm Officer",S - Sale+OE,$255.97,"-2,239","11,481",-16%,"-$573,106",,,,
28,D,2020-09-29 17:15:43,2020-09-28,FDX,Brannon Jill,EVP - Chief Sales Officer,S - Sale+OE,$255.37,"-3,385","13,990",-19%,"-$864,427",,,,
29,D,2020-09-29 17:08:11,2020-09-28,FDX,Martin R Brad,Dir,S - Sale+OE,$255.74,"-3,416","61,700",-5%,"-$873,618",,,,
30,D,2020-09-23 17:01:12,2020-09-23,FDX,Jackson Shirley A,Dir,S - Sale+OE,$245.95,"-5,325","8,809",-38%,"-$1,309,693",,,,
31,D,2020-09-23 16:53:34,2020-09-23,FDX,Maier Henry J,"Pres, CEO, FedEx Ground",S - Sale+OE,$250.00,"-8,830","40,667",-18%,"-$2,207,500",,,,
32,D,2020-09-22 19:40:48,2020-09-22,FDX,Smith John Alan,"Pres, CEO, FedEx Freight",S - Sale+OE,$237.88,-808,"13,807",-6%,"-$192,203",,,,
33,D,2020-09-21 16:59:21,2020-09-18,FDX,Merino John L,CVP PRIN ACCT OFFICER,S - Sale+OE,$246.16,"-24,981","32,178",-44%,"-$6,149,285",,,,
