,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2019-05-30 16:00:43,2019-05-30,FE,Pappas Christopher D,Dir,P - Purchase,$41.14,"+3,000","19,488",+18%,"+$123,419",,,,
2,,2019-03-12 10:55:39,2019-03-11,FE,Vespoli Leila L,"EVP, GC",S - Sale,$41.33,"-24,400","180,923",-12%,"-$1,008,493",,,,
3,,2019-01-10 15:47:18,2019-01-09,FE,Pearson James F,"EVP, Finance",S - Sale,$37.87,"-40,000","146,036",-22%,"-$1,514,844",,,,
4,,2017-09-13 10:11:06,2017-09-11,FE,Misheff Donald T,Dir,P - Purchase,$32.53,+100,100,New,"+$3,253",,,,
5,,2016-12-21 10:36:06,2016-12-20,FE,Schneider Donald R,"Pres, FE Solutions",S - Sale,$31.36,"-6,525","24,317",-21%,"-$204,627",0,-1,-5,
6,,2016-12-21 10:07:41,2016-12-20,FE,Lasky Charles D,"SVP, HR",S - Sale,$31.36,"-5,149","61,843",-8%,"-$161,475",0,-1,-5,
7,,2016-03-16 14:57:51,2016-03-14,FE,Strah Steven E,"SVP, Pres FE Utilities",P - Purchase,$35.59,+560,"7,878",+8%,"+$19,929",+1,0,-1,-6
8,,2015-05-08 15:00:45,2015-05-06,FE,Schneider Donald R,"Pres, FE Solutions",S - Sale,$34.63,"-10,775","13,989",-44%,"-$373,153",+1,+1,-1,-9
9,D,2015-05-04 16:28:28,2015-05-04,FE,Alexander Anthony J,Exec COB,S - Sale+OE,$36.85,"-54,436","627,846",-8%,"-$2,006,212",-3,-3,-4,-14
10,,2015-03-05 17:01:09,2015-03-03,FE,Jones Charles E,"Pres, Chief Exec. Officer",S - Sale,$34.36,"-16,366","72,571",-18%,"-$562,270",-2,-2,+2,-9
11,,2015-03-05 16:54:53,2015-03-03,FE,Vespoli Leila L,"EVP, GC",S - Sale,$34.36,"-16,631","40,302",-29%,"-$571,373",-2,-2,+2,-9
12,,2015-02-27 13:50:18,2015-02-26,FE,Gaines Bennett L,"SVP Corp Svcs, CIO",S - Sale,$35.78,"-5,400","16,598",-25%,"-$193,187",-2,-2,-3,-8
13,,2015-01-06 17:00:03,2015-01-02,FE,Alexander Anthony J,Exec COB,S - Sale,$38.84,"-28,032","610,242",-4%,"-$1,088,802",+1,0,+6,-10
14,,2014-12-30 13:39:06,2014-12-26,FE,Cavalier Lynnette M,"SVP, HR",S - Sale,$40.00,"-10,000","34,804",-22%,"-$400,000",-1,-6,+1,-19
15,,2014-12-15 14:21:04,2014-12-11,FE,Cavalier Lynnette M,"SVP, HR",S - Sale,$38.00,"-7,500","44,804",-14%,"-$285,000",0,+3,+6,-9
16,,2014-10-10 15:52:51,2014-10-09,FE,Cavalier Lynnette M,"SVP, HR",S - Sale,$35.00,"-5,000","52,304",-9%,"-$175,000",+1,0,+9,+5
17,,2014-08-13 15:34:31,2014-08-13,FE,Gaines Bennett L,"SVP Corp Svcs, CIO",S - Sale,$32.25,"-5,400","21,824",-20%,"-$174,127",0,+3,+7,+18
