,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-19 11:28:49,2021-10-15,FFIV,Pelzer Francis J.,"EVP, CFO",S - Sale,$205.09,"-1,200","12,255",-9%,"-$246,108",,,,
2,,2021-10-06 11:25:28,2021-10-04,FFIV,White Ana Maria,"EVP, CHRO",S - Sale,$199.91,-169,"20,452",-1%,"-$33,785",,,,
3,,2021-09-17 11:59:49,2021-09-15,FFIV,Locoh-Donou Francois,"Pres, CEO, Dir",S - Sale,$201.69,"-1,300","76,353",-2%,"-$262,197",,,,
4,,2021-09-17 11:58:08,2021-09-15,FFIV,Pelzer Francis J.,"EVP, CFO",S - Sale,$201.69,"-1,200","13,455",-8%,"-$242,028",,,,
5,,2021-09-02 19:18:13,2021-09-02,FFIV,Higginson Alan,Dir,S - Sale,$202.28,"-1,000","11,383",-8%,"-$202,275",,,,
6,,2021-08-26 11:12:44,2021-08-24,FFIV,Whalen Chad Michael,"EVP, Worldwide Sales",S - Sale,$203.08,-479,"7,385",-6%,"-$97,275",,,,
7,,2021-08-18 13:38:09,2021-08-17,FFIV,Whalen Chad Michael,"EVP, Worldwide Sales",S - Sale,$202.34,-482,"7,864",-6%,"-$97,528",,,,
8,,2021-08-17 14:41:55,2021-08-16,FFIV,Locoh-Donou Francois,"Pres, CEO, Dir",S - Sale,$203.22,"-1,300","77,653",-2%,"-$264,186",,,,
9,,2021-08-12 12:37:51,2021-08-10,FFIV,Whalen Chad Michael,"EVP, Worldwide Sales",S - Sale,$210.28,-472,"8,346",-5%,"-$99,252",,,,
10,,2021-08-05 11:59:02,2021-08-03,FFIV,Whalen Chad Michael,"EVP, Worldwide Sales",S - Sale,$208.31,-481,"8,818",-5%,"-$100,197",,,,
11,,2021-08-05 11:58:07,2021-08-03,FFIV,Fountain Thomas Dean,"EVP Global Services, Strategy",S - Sale,$208.31,"-2,005","8,821",-19%,"-$417,662",,,,
12,,2021-08-05 11:57:09,2021-08-03,FFIV,Yamamoto Mika,"EVP, CMO",S - Sale,$208.31,"-1,797","5,164",-26%,"-$374,333",,,,
13,D,2021-08-03 15:53:04,2021-08-02,FFIV,Rogers Scot Frazier,"EVP, GC",S - Sale+OE,$205.40,"-1,229","14,182",-8%,"-$252,437",,,,
14,,2021-07-29 11:16:07,2021-07-27,FFIV,Pelzer Francis J.,"EVP, CFO",S - Sale,$207.00,-300,"12,172",-2%,"-$62,100",,,,
15,,2021-07-19 13:19:47,2021-07-15,FFIV,Pelzer Francis J.,"EVP, CFO",S - Sale,$187.12,-500,"12,472",-4%,"-$93,560",,,,
16,,2021-07-19 13:18:45,2021-07-15,FFIV,Locoh-Donou Francois,"Pres, CEO, Dir",S - Sale,$187.12,"-1,300","73,921",-2%,"-$243,256",,,,
17,,2021-07-02 13:03:10,2021-07-01,FFIV,White Ana Maria,"EVP, CHRO",S - Sale,$187.84,-258,"18,821",-1%,"-$48,463",,,,
18,,2021-06-17 14:18:42,2021-06-15,FFIV,Pelzer Francis J.,"EVP, CFO",S - Sale,$191.90,-500,"12,972",-4%,"-$95,950",,,,
19,,2021-06-17 14:17:41,2021-06-15,FFIV,Locoh-Donou Francois,"Pres, CEO, Dir",S - Sale,$191.90,"-1,300","75,221",-2%,"-$249,470",,,,
