,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-18 16:16:25,2021-10-15,FISV,Vielehr Byron C,"Chief Digital, Data Officer",S - Sale,$108.55,"-10,000","35,877",-22%,"-$1,085,500",,,,
2,,2021-09-17 16:10:31,2021-09-15,FISV,Vielehr Byron C,"Chief Digital, Data Officer",S - Sale,$107.15,"-10,000","45,877",-18%,"-$1,071,500",,,,
3,DM,2021-08-23 16:27:48,2021-08-19,FISV,Chiarello Guy,COO,S - Sale+OE,$117.69,"-60,000","260,874",-19%,"-$7,061,200",,,,
4,,2021-08-17 16:13:50,2021-08-16,FISV,Vielehr Byron C,"Chief Digital, Data Officer",S - Sale,$111.04,"-10,000","55,877",-15%,"-$1,110,400",,,,
5,,2021-08-12 16:29:18,2021-08-11,FISV,Oleary Denis,Dir,P - Purchase,$111.28,"+12,500","89,473",+16%,"+$1,391,000",,,,
6,,2021-07-16 17:08:49,2021-07-15,FISV,Vielehr Byron C,"Chief Digital, Data Officer",S - Sale,$109.63,"-10,000","65,877",-13%,"-$1,096,300",,,,
7,,2021-06-21 16:13:57,2021-06-18,FISV,Vielehr Byron C,"Chief Digital, Data Officer",S - Sale,$107.84,"-5,000","75,877",-6%,"-$539,210",,,,
8,E,2021-05-04 17:24:21,2021-05-03,FISV,Kkr Group Partnership L.P.,10%,S - Sale,$0.00,"-23,000,000","62,300,667",-27%,-$118,,,,
9,E,2021-05-04 17:16:40,2021-05-03,FISV,New Omaha Holdings L.P.,10%,S - Sale,$0.00,"-23,000,000","62,300,667",-27%,-$118,,,,
10,D,2021-05-04 16:21:28,2021-04-30,FISV,Lynch Dennis,Dir,S - Sale+OE,$120.00,"-6,788","20,331",-25%,"-$814,560",,,,
11,D,2021-04-16 16:53:53,2021-04-15,FISV,Chiarello Guy,Chief Administrative Officer,S - Sale+OE,$124.94,"-20,000","260,874",-7%,"-$2,498,800",,,,
12,D,2021-03-15 16:20:27,2021-03-11,FISV,Chiarello Guy,Chief Administrative Officer,S - Sale+OE,$125.67,"-30,000","260,874",-10%,"-$3,770,100",,,,
13,D,2021-03-12 17:13:23,2021-03-10,FISV,Simons Doyle,Dir,S - Sale+OE,$122.10,"-10,388","79,039",-12%,"-$1,268,375",,,,
14,D,2021-03-12 17:09:56,2021-03-10,FISV,Lynch Dennis,Dir,S - Sale+OE,$123.12,"-2,000","20,331",-9%,"-$246,240",,,,
15,,2021-03-10 16:30:24,2021-03-09,FISV,McGranahan Devin,"EVP, Senior Group Pres",S - Sale,$123.32,"-10,000","77,980",-11%,"-$1,233,160",,,,
16,D,2021-03-10 16:28:54,2021-03-09,FISV,Chiarello Guy,Chief Administrative Officer,S - Sale+OE,$123.24,"-20,000","260,874",-7%,"-$2,464,750",,,,
17,,2021-03-10 16:27:01,2021-03-08,FISV,Foskett Christopher M,"EVP, Global Sales",S - Sale,$122.50,"-8,000","96,547",-8%,"-$980,000",,,,
18,,2021-03-02 16:20:29,2021-02-26,FISV,Hau Robert W.,CFO,S - Sale,$116.28,"-8,479","92,409",-8%,"-$985,955",,,,
19,,2021-02-17 17:30:15,2021-02-16,FISV,Oleary Denis,Dir,P - Purchase,$110.99,"+9,100","74,478",+14%,"+$1,010,009",,,,
20,D,2021-02-10 16:16:51,2021-02-09,FISV,Chiarello Guy,Chief Administrative Officer,S - Sale+OE,$112.65,"-20,000","289,637",-6%,"-$2,253,000",,,,
21,D,2021-01-11 16:11:37,2021-01-08,FISV,Chiarello Guy,Chief Administrative Officer,S - Sale+OE,$115.18,"-20,000","250,360",-7%,"-$2,303,547",,,,
22,D,2020-12-22 16:10:19,2020-12-18,FISV,Davis Alison,Dir,S - Sale+OE,$114.23,"-2,073","7,988",-21%,"-$236,792",,,,
23,E,2020-12-14 16:57:31,2020-12-14,FISV,New Omaha Holdings L.P.,10%,S - Sale,$0.00,"-20,125,000","85,300,667",-19%,-$110,,,,
24,E,2020-12-14 16:52:15,2020-12-14,FISV,Kkr Group Partnership L.P.,10%,S - Sale,$0.00,"-20,125,000","85,300,667",-19%,-$110,,,,
25,D,2020-12-11 17:25:29,2020-12-09,FISV,Chiarello Guy,Chief Administrative Officer,S - Sale+OE,$115.25,"-20,000","250,360",-7%,"-$2,305,000",,,,
26,,2020-11-19 16:13:11,2020-11-18,FISV,Yabuki Jeffery W,Exec COB,S - Sale,$109.06,"-30,000","515,109",-6%,"-$3,271,679",,,,
27,,2020-11-16 16:18:10,2020-11-16,FISV,Yabuki Jeffery W,Exec COB,S - Sale,$109.47,"-2,200","545,109",0%,"-$240,834",,,,
28,,2020-11-13 16:09:59,2020-11-12,FISV,Foskett Christopher M,"EVP, Global Sales",S - Sale,$105.86,"-14,100","102,674",-12%,"-$1,492,626",,,,
29,D,2020-11-10 16:19:14,2020-11-09,FISV,Chiarello Guy,Chief Administrative Officer,S - Sale+OE,$109.98,"-30,000","250,800",-11%,"-$3,299,500",,,,
30,,2020-11-06 16:11:46,2020-11-04,FISV,Disimone Harry,Dir,P - Purchase,$101.47,"+1,000","9,763",+11%,"+$101,470",,,,
31,M,2020-10-23 16:08:30,2020-10-21,FISV,Yabuki Jeffery W,Exec COB,S - Sale,$99.87,"-30,000","524,895",-5%,"-$2,996,036",,,,
32,D,2020-10-14 16:30:55,2020-10-09,FISV,Chiarello Guy,Chief Administrative Officer,S - Sale+OE,$105.00,"-10,000","250,800",-4%,"-$1,050,000",,,,
33,,2020-09-18 09:08:59,2020-09-16,FISV,Yabuki Jeffery W,Exec COB,S - Sale,$102.44,"-30,000","554,895",-5%,"-$3,073,299",,,,
34,,2020-08-21 17:01:17,2020-08-21,FISV,Kkr Group Partnership L.P.,10%,S - Sale,$98.00,"-5,000,000","105,425,667",-5%,"-$490,000,000",,,,
35,,2020-08-21 17:00:54,2020-08-21,FISV,New Omaha Holdings L.P.,10%,S - Sale,$98.00,"-5,000,000","105,425,667",-5%,"-$490,000,000",,,,
36,,2020-08-21 16:15:02,2020-08-19,FISV,Yabuki Jeffery W,Exec COB,S - Sale,$101.96,"-30,000","584,895",-5%,"-$3,058,709",,,,
37,,2020-07-16 17:30:32,2020-07-15,FISV,Yabuki Jeffery W,Exec COB,S - Sale,$100.83,"-30,000","614,895",-5%,"-$3,024,803",,,,
38,,2020-06-23 16:23:09,2020-06-19,FISV,Yabuki Jeffery W,"COB, CEO",S - Sale,$101.61,"-2,500","644,895",0%,"-$254,025",,,,
39,,2020-06-22 17:46:27,2020-06-18,FISV,Chiarello Guy,Chief Administrative Officer,S - Sale,$103.72,"-10,000","282,775",-3%,"-$1,037,200",,,,
40,,2020-06-19 16:20:40,2020-06-17,FISV,Yabuki Jeffery W,"COB, CEO",S - Sale,$103.42,"-30,000","647,395",-4%,"-$3,102,474",,,,
41,D,2020-06-18 16:18:20,2020-06-16,FISV,Foskett Christopher M,"EVP, Global Sales",S - Sale+OE,$102.41,"-22,500","129,650",-15%,"-$2,304,225",,,,
42,,2020-06-17 16:46:55,2020-06-15,FISV,Davis Alison,Dir,S - Sale,$99.64,"-4,000","8,971",-31%,"-$398,560",,,,
43,,2020-06-09 17:45:06,2020-06-05,FISV,Chiarello Guy,Chief Administrative Officer,S - Sale,$108.96,"-20,000","292,775",-6%,"-$2,179,200",,,,
44,D,2020-06-05 16:18:51,2020-06-03,FISV,Best Kenneth,Chief Accounting Officer,S - Sale+OE,$108.94,"-11,496","32,539",-26%,"-$1,252,374",,,,
45,D,2020-05-26 16:43:14,2020-05-21,FISV,McCreary Lynn S.,GC,S - Sale+OE,$104.08,"-37,056","54,073",-41%,"-$3,856,788",,,,
46,D,2020-05-22 16:23:38,2020-05-20,FISV,Yabuki Jeffery W,"COB, CEO",S - Sale+OE,$104.78,"-300,000","677,395",-31%,"-$31,434,143",,,,
47,,2020-04-21 16:27:10,2020-04-17,FISV,Yabuki Jeffery W,"COB, CEO",S - Sale,$100.30,"-10,000","707,395",-1%,"-$1,003,000",,,,
48,,2020-04-17 16:08:06,2020-04-15,FISV,Yabuki Jeffery W,"COB, CEO",S - Sale,$93.57,"-20,000","717,395",-3%,"-$1,871,307",,,,
49,,2020-03-20 16:06:29,2020-03-18,FISV,Yabuki Jeffery W,"COB, CEO",S - Sale,$80.36,"-20,000","737,395",-3%,"-$1,607,212",,,,
50,,2020-02-21 16:35:22,2020-02-19,FISV,Yabuki Jeffery W,"COB, CEO",S - Sale,$123.20,"-25,000","726,404",-3%,"-$3,080,000",,,,
51,D,2020-02-12 16:40:30,2020-02-10,FISV,Simons Doyle,Dir,S - Sale+OE,$122.50,"-13,728","77,105",-15%,"-$1,681,680",,,,
52,,2020-01-17 16:04:56,2020-01-15,FISV,Yabuki Jeffery W,"COB, CEO",S - Sale,$118.58,"-25,000","760,091",-3%,"-$2,964,470",,,,
53,,2019-12-20 16:04:31,2019-12-18,FISV,Yabuki Jeffery W,"COB, CEO",S - Sale,$116.19,"-25,000","785,348",-3%,"-$2,904,642",,,,
54,,2019-12-17 16:06:54,2019-12-13,FISV,McGranahan Devin,"EVP, Senior Group Pres",S - Sale,$116.12,"-3,500","59,898",-6%,"-$406,410",,,,
55,D,2019-12-11 18:04:09,2019-12-10,FISV,Yabuki Jeffery W,"COB, CEO",S - Sale+OE,$114.29,"-45,000","812,570",-5%,"-$5,143,050",,,,
56,,2019-12-02 16:22:01,2019-11-27,FISV,Chiarello Guy,Chief Administrative Officer,S - Sale,$115.96,"-30,000","326,103",-8%,"-$3,478,800",,,,
