,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-10 16:07:24,2021-09-08,FITB,Shaffer Robert P,EVP,S - Sale,$38.41,"-6,372","51,009",-11%,"-$244,749",,,,
2,,2021-05-12 17:38:46,2021-05-11,FITB,Spence Timothy,Pres,S - Sale,$41.65,"-25,603","162,918",-14%,"-$1,066,327",,,,
3,,2021-05-07 16:13:03,2021-05-06,FITB,Anderson Lars C,EVP,S - Sale,$41.30,"-25,000","125,430",-17%,"-$1,032,565",,,,
4,,2021-05-06 17:47:17,2021-05-05,FITB,Hammond Howard,EVP,S - Sale,$41.29,"-1,732","51,592",-3%,"-$71,514",,,,
5,D,2021-05-04 17:08:22,2021-05-03,FITB,Feiger Mitchell,Dir,S - Sale+OE,$40.82,"-104,044","493,450",-17%,"-$4,246,858",,,,
6,DM,2021-05-04 16:24:52,2021-04-30,FITB,Lavender Kevin P,EVP,S - Sale+OE,$40.63,"-9,454","72,335",-12%,"-$384,108",,,,
7,,2021-04-27 16:36:54,2021-04-26,FITB,Stein Richard L.,EVP,S - Sale,$39.10,"-18,472","40,208",-31%,"-$722,255",,,,
8,,2021-04-27 16:35:29,2021-04-26,FITB,Garrett Kristine R.,EVP,S - Sale,$39.10,"-3,700","49,703",-7%,"-$144,670",,,,
9,,2021-04-26 16:08:37,2021-04-22,FITB,Harvey Thomas H,Dir,S - Sale,$37.11,"-40,500","151,869",-21%,"-$1,502,955",,,,
10,,2021-03-17 16:17:16,2021-03-15,FITB,Feiger Mitchell,Dir,S - Sale,$38.20,"-60,000","489,098",-11%,"-$2,292,168",,,,
11,,2021-03-15 16:17:44,2021-03-12,FITB,Jula Margaret B.,EVP,S - Sale,$39.01,"-19,918","33,259",-37%,"-$776,902",,,,
12,M,2021-03-11 16:09:44,2021-03-09,FITB,Hoover Jewell D,Dir,S - Sale,$37.35,"-12,118","35,823",-25%,"-$452,580",,,,
13,,2021-02-26 16:28:58,2021-02-24,FITB,Shaffer Robert P,EVP,S - Sale,$35.47,"-13,428","51,009",-21%,"-$476,291",,,,
14,,2021-02-22 16:50:42,2021-02-19,FITB,Carmichael Greg D,"CEO, Chair",S - Sale,$34.16,"-155,143","639,468",-20%,"-$5,299,685",,,,
15,,2021-02-02 17:30:14,2021-01-29,FITB,Shaffer Robert P,EVP,S - Sale,$28.96,"-8,900","50,594",-15%,"-$257,744",,,,
16,,2020-11-24 16:24:19,2020-11-23,FITB,Lavender Kevin P,EVP,S - Sale,$25.81,"-8,500","71,677",-11%,"-$219,385",,,,
17,,2020-11-13 16:17:47,2020-11-11,FITB,Stein Richard L.,EVP,S - Sale,$25.76,-100,"50,224",0%,"-$2,576",,,,
18,,2020-08-11 16:06:40,2020-08-07,FITB,Hoover Jewell D,Dir,S - Sale,$20.39,"-10,036","47,941",-17%,"-$204,585",,,,
19,,2020-03-16 16:38:14,2020-03-13,FITB,Blackburn Katherine H.,Dir,P - Purchase,$16.90,"+58,800","104,154",+130%,"+$993,720",,,,
20,,2020-03-16 16:33:24,2020-03-12,FITB,Leonard James C.,"EVP, Chief Risk Officer",P - Purchase,$16.00,"+6,300","94,868",+7%,"+$100,799",,,,
