,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-03-10 16:52:17,2021-03-08,FLT,King Alan,"Pres Europe, Aus, NewZea",S - Sale,$289.06,"-1,500","3,908",-28%,"-$433,585",,,,
2,,2020-11-20 17:03:45,2020-11-18,FLT,Dey Eric,"Former- CFO, Secretary",S - Sale,$268.13,"-1,269","15,303",-8%,"-$340,262",,,,
3,D,2020-11-12 19:20:33,2020-11-10,FLT,Dey Eric,"Former- CFO, Secretary",S - Sale+OE,$276.26,"-47,941","16,572",-74%,"-$13,244,105",,,,
4,,2020-06-17 17:07:04,2020-06-05,FLT,Gavrilenya Alexey,Pres- North America Fuel,S - Sale,$279.91,"-5,000","7,661",-39%,"-$1,399,550",,,,
5,D,2020-06-09 17:01:27,2020-06-08,FLT,Dey Eric,"CFO, Secretary",S - Sale+OE,$276.17,"-44,000","20,513",-68%,"-$12,151,506",,,,
6,,2020-06-09 16:59:30,2020-06-05,FLT,Gavrilenya Alexey,Pres- North America Fuel,S - Sale,$280.29,"-5,000","12,661",-28%,"-$1,401,470",,,,
7,,2020-03-20 14:42:25,2020-02-21,FLT,Krantz David J,"Group Pres, NA Fuel",S - Sale,$308.40,"-21,510",0,-100%,"-$6,633,650",,,,
8,A,2020-02-21 18:28:04,2020-02-19,FLT,Macchia Richard,Dir,S - Sale,$325.05,"-3,600","11,526",-24%,"-$1,170,170",,,,
9,D,2020-02-21 18:24:54,2020-02-19,FLT,King Alan,"Pres Europe, Aus, NewZea",S - Sale+OE,$322.50,"-6,576","2,615",-72%,"-$2,120,726",,,,
10,D,2020-02-21 18:14:44,2020-02-19,FLT,Coughlin John,Pres- Corporate Payments,S - Sale+OE,$322.14,"-40,038","16,735",-71%,"-$12,897,877",,,,
11,D,2020-02-21 18:06:19,2020-02-19,FLT,Gavrilenya Alexey,Pres- North America Fuel,S - Sale+OE,$321.35,"-6,514","16,233",-29%,"-$2,093,260",,,,
12,D,2020-02-21 18:00:19,2020-02-19,FLT,Netto Armando Lins,CEO Brazil,S - Sale+OE,$321.44,"-21,187","9,766",-68%,"-$6,810,421",,,,
13,D,2020-02-21 17:49:34,2020-02-19,FLT,Dey Eric,"CFO, Secretary",S - Sale+OE,$321.48,"-25,670","19,085",-57%,"-$8,252,258",,,,
14,,2020-02-21 17:37:43,2020-02-19,FLT,Sloan Jeffrey Steven,Dir,S - Sale,$322.59,"-2,960","10,390",-22%,"-$954,878",,,,
15,,2020-02-21 17:35:41,2020-02-19,FLT,Macchia Richard,Dir,S - Sale,$235.05,"-3,600","11,526",-24%,"-$846,170",,,,
16,,2020-02-21 17:34:04,2020-02-20,FLT,Moddelmog Hala G,Dir,S - Sale,$320.00,-775,"3,918",-17%,"-$248,000",,,,
17,,2020-02-21 17:32:15,2020-02-19,FLT,Johnson Mark A,Dir,S - Sale,$321.33,"-15,000","83,677",-15%,"-$4,819,995",,,,
18,D,2017-11-06 19:35:08,2017-11-02,FLT,Adams Kurt Patrick,Pres Corporate Payments,S - Sale+OE,$170.00,"-7,099","2,147",-77%,"-$1,206,830",,,,
19,DM,2017-09-01 17:06:16,2017-08-30,FLT,Blazye Andrew,"CEO, Europe",S - Sale+OE,$144.00,"-8,353","22,324",-27%,"-$1,202,832",,,,
20,D,2017-08-18 17:53:56,2017-08-16,FLT,Blazye Andrew,"CEO, Europe",S - Sale+OE,$145.00,"-4,963","22,324",-18%,"-$719,635",,,,
