,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-09 18:13:00,2021-09-08,FOX,Murdoch  Keith  Rupert,COB,S - Sale,$36.37,"-19,035","1,855,960",-1%,"-$692,303",,,,
2,,2021-09-07 19:48:54,2021-09-02,FOX,Murdoch  Keith  Rupert,COB,S - Sale,$37.13,"-100,000","1,874,995",-5%,"-$3,713,000",,,,
3,D,2021-08-17 17:17:26,2021-08-16,FOX,Nallen John,COO,S - Sale+OE,$37.21,"-22,611","210,656",-10%,"-$841,355",,,,
4,D,2021-06-16 18:24:11,2021-06-15,FOX,Dinh Viet D,"Chief Legal, Policy Officer",S - Sale+OE,$37.51,"-35,704","10,288",-78%,"-$1,339,257",,,,
5,,2021-03-15 17:14:57,2021-03-12,FOX,Murdoch  Keith  Rupert,COB,P - Purchase,$42.77,"+500,000","1,925,732",+35%,"+$21,383,993",,,,
6,,2020-09-15 18:04:54,2020-09-14,FOX,Dinh Viet D,"Chief Legal, Policy Officer",S - Sale,$28.71,"-70,000","7,510",-90%,"-$2,009,700",,,,
7,D,2020-08-18 17:53:59,2020-08-15,FOX,Murdoch Lachlan K,"Exec COB, CEO",P - Purchase,$25.74,"+229,024","531,602",+76%,"+$5,895,078",,,,
8,D,2020-08-18 17:53:59,2020-08-15,FOX,Murdoch Lachlan K,"Exec COB, CEO",S - Sale+OE,$25.74,"-229,024","531,602",-30%,"-$5,895,078",,,,
9,D,2020-08-18 17:41:14,2020-08-17,FOX,Nallen John,COO,S - Sale+OE,$25.49,"-100,000","127,797",-44%,"-$2,549,000",,,,
10,D,2020-06-23 17:12:59,2020-06-20,FOX,Murdoch Lachlan K,"Exec COB, CEO",P - Purchase,$28.32,"+49,498","302,578",+20%,"+$1,401,783",,,,
11,D,2020-06-23 17:12:59,2020-06-20,FOX,Murdoch Lachlan K,"Exec COB, CEO",S - Sale+OE,$28.32,"-49,498","302,578",-14%,"-$1,401,783",,,,
12,D,2020-06-17 18:26:31,2020-06-15,FOX,Murdoch Lachlan K,"Exec COB, CEO",P - Purchase,$28.29,"+101,556","253,080",+67%,"+$2,873,019",,,,
13,D,2020-06-17 18:26:31,2020-06-15,FOX,Murdoch Lachlan K,"Exec COB, CEO",S - Sale+OE,$28.29,"-101,556","253,080",-29%,"-$2,873,019",,,,
14,,2019-12-16 17:12:00,2019-12-12,FOX,Dinh Viet D,"Chief Legal, Policy Officer",S - Sale,$36.80,"-17,000","8,536",-67%,"-$625,600",,,,
15,M,2019-08-29 19:30:55,2019-08-27,FOX,Murdoch  Keith  Rupert,COB,P - Purchase,$32.06,"+500,000","1,205,714",+71%,"+$16,028,000",,,,
16,,2019-08-13 18:08:35,2019-08-12,FOX,Hernandez Roland A,Dir,P - Purchase,$34.91,"+3,000","3,000",New,"+$104,730",,,,
17,,2019-06-14 18:31:48,2019-06-14,FOX,Murdoch  Keith  Rupert,COB,P - Purchase,$35.29,"+600,000","705,714",+568%,"+$21,174,000",,,,
18,M,2019-06-10 21:01:48,2019-06-05,FOX,Murdoch  Keith  Rupert,COB,P - Purchase,$34.27,"+600,000","105,714",-121%,"+$20,560,000",,,,
19,,2019-06-10 21:01:48,2019-06-10,FOX,Murdoch  Keith  Rupert,COB,S - Sale,$34.04,"-600,000","105,714",-85%,"-$20,424,000",,,,
