,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-16 15:07:18,2021-09-15,NEE,Ketchum John W,"Pres, CEO of Sub",S - Sale,$84.33,"-12,151","94,413",-11%,"-$1,024,694",,,,
2,,2021-08-17 10:57:11,2021-08-16,NEE,Reagan Ronald R,"EVP, Eng., Const., ISC",S - Sale,$84.00,"-4,166","44,598",-9%,"-$349,944",,,,
3,D,2021-06-29 10:25:03,2021-06-28,NEE,Caplan Deborah H,"EVP, HR, Corp Services",S - Sale+OE,$75.00,"-6,896","128,971",-5%,"-$517,200",,,,
4,,2021-06-16 14:06:05,2021-06-15,NEE,Ketchum John W,"Pres, CEO of Sub",S - Sale,$73.42,"-12,155","106,487",-10%,"-$892,420",,,,
5,D,2021-05-24 10:36:07,2021-05-21,NEE,Caplan Deborah H,"EVP, HR, Corp Services",S - Sale+OE,$75.16,-100,"128,886",0%,"-$7,516",,,,
6,,2021-05-12 16:06:36,2021-05-11,NEE,Robo James L,"COB, Pres, CEO",S - Sale,$73.55,"-118,000","2,412,449",-5%,"-$8,679,172",,,,
7,D,2021-05-11 11:34:13,2021-05-10,NEE,Caplan Deborah H,"EVP, HR, Corp Services",S - Sale+OE,$75.17,"-39,636","128,878",-24%,"-$2,979,450",,,,
8,,2021-04-16 14:25:11,2021-04-15,NEE,Silagy Eric E,"Director, Pres & CEO of Sub",S - Sale,$80.00,"-9,268","160,659",-5%,"-$741,440",,,,
9,,2021-04-16 14:04:44,2021-04-15,NEE,Reagan Ronald R,"EVP, Eng., Const., ISC",S - Sale,$80.00,"-3,750","48,625",-7%,"-$300,000",,,,
10,,2021-04-08 11:24:22,2021-04-07,NEE,Silagy Eric E,"Director, Pres & CEO of Sub",S - Sale,$78.00,"-14,131","169,926",-8%,"-$1,102,218",,,,
11,,2021-04-06 14:44:12,2021-04-05,NEE,Silagy Eric E,"Director, Pres & CEO of Sub",S - Sale,$77.04,"-8,172","184,057",-4%,"-$629,571",,,,
12,,2021-04-02 10:37:44,2021-04-01,NEE,Silagy Eric E,"Director, Pres & CEO of Sub",S - Sale,$76.13,"-4,764","192,229",-2%,"-$362,683",,,,
13,D,2021-03-18 17:21:32,2021-03-17,NEE,May James Michael,"VP, Controller , CAO",S - Sale+OE,$75.00,"-6,031","7,051",-46%,"-$452,325",,,,
14,,2021-03-17 11:59:08,2021-03-16,NEE,Silagy Eric E,"Director, Pres & CEO of Sub",S - Sale,$76.12,-895,"196,979",0%,"-$68,127",,,,
15,,2021-03-16 16:33:17,2021-03-15,NEE,Ketchum John W,"Pres, CEO of Sub",S - Sale,$75.49,"-12,155","118,541",-9%,"-$917,581",,,,
16,,2021-03-16 15:53:44,2021-03-15,NEE,Silagy Eric E,"Director, Pres & CEO of Sub",S - Sale,$75.63,"-28,564","197,874",-13%,"-$2,160,218",,,,
17,,2021-03-03 14:18:21,2021-03-02,NEE,Robo James L,"COB, Pres, CEO",S - Sale,$76.02,"-118,000","2,523,059",-4%,"-$8,970,788",,,,
18,,2020-12-23 10:53:05,2020-12-22,NEE,Ketchum John W,"Pres, CEO of Sub",S - Sale,$74.44,"-4,000","83,056",-5%,"-$297,760",,,,
19,,2020-11-10 16:41:25,2020-11-09,NEE,Reagan Ronald R,"EVP, Eng., Const., ISC",S - Sale,$80.83,"-1,280","46,361",-3%,"-$103,462",,,,
20,D,2020-11-03 14:04:09,2020-11-02,NEE,Sieving Charles E,"EVP, GC",S - Sale+OE,$74.96,"-121,096","142,084",-46%,"-$9,077,032",,,,
21,D,2020-11-02 15:22:46,2020-10-30,NEE,Caplan Deborah H,"EVP, HR, Corp Services",S - Sale+OE,$73.44,"-45,232","110,677",-29%,"-$3,321,650",,,,
22,D,2020-10-30 14:00:17,2020-10-29,NEE,Robo James L,"COB, Pres, CEO",S - Sale+OE,$74.12,"-165,860","2,395,834",-6%,"-$12,293,541",,,,
23,,2020-10-13 15:36:39,2020-10-12,NEE,Reagan Ronald R,"EVP, Eng., Const., ISC",S - Sale,$305.00,-164,"11,907",-1%,"-$50,020",,,,
24,,2020-10-09 15:50:41,2020-10-08,NEE,Reagan Ronald R,"EVP, Eng., Const., ISC",S - Sale,$300.00,-167,"12,071",-1%,"-$50,100",,,,
25,D,2020-10-09 15:42:10,2020-10-08,NEE,Cutler Paul I,Treasurer,S - Sale+OE,$300.00,"-10,141","94,738",-10%,"-$3,042,300",,,,
26,,2020-09-16 15:59:47,2020-09-15,NEE,Reagan Ronald R,"EVP, Eng., Const., ISC",S - Sale,$295.00,-170,"12,235",-1%,"-$50,150",,,,
27,,2020-09-04 14:15:55,2020-09-03,NEE,Reagan Ronald R,"EVP, Eng., Const., ISC",S - Sale,$290.00,-172,"12,386",-1%,"-$49,880",,,,
28,D,2020-09-02 17:24:31,2020-09-01,NEE,Robo James L,"COB, Pres, CEO",S - Sale+OE,$276.59,"-41,466","597,229",-6%,"-$11,469,263",,,,
29,D,2020-07-27 17:09:06,2020-07-24,NEE,Cutler Paul I,Treasurer,S - Sale+OE,$285.00,"-8,772","94,655",-8%,"-$2,500,020",,,,
30,,2020-07-27 16:53:54,2020-07-24,NEE,Reagan Ronald R,"EVP, Eng., Const., ISC",S - Sale,$285.00,-176,"12,553",-1%,"-$50,160",,,,
31,,2020-07-23 13:40:20,2020-07-22,NEE,Reagan Ronald R,"EVP, Eng., Const., ISC",S - Sale,$280.00,-178,"12,727",-1%,"-$49,840",,,,
32,,2020-07-20 14:46:58,2020-07-17,NEE,Reagan Ronald R,"EVP, Eng., Const., ISC",S - Sale,$272.51,-367,"12,905",-3%,"-$100,011",,,,
33,,2020-07-15 18:34:19,2020-07-14,NEE,Barrat Sherry S,Dir,S - Sale,$256.24,"-2,200","26,826",-8%,"-$563,728",,,,
34,,2020-06-15 16:11:53,2020-06-12,NEE,Robo James L,"COB, Pres, CEO",S - Sale,$248.02,"-20,000","595,287",-3%,"-$4,960,305",,,,
35,,2020-05-27 15:30:32,2020-05-26,NEE,Silagy Eric E,"Director, Pres & CEO of Sub",S - Sale,$236.13,"-7,389","40,762",-15%,"-$1,744,793",,,,
36,D,2020-05-04 17:31:24,2020-05-01,NEE,Robo James L,"COB, Pres, CEO",S - Sale+OE,$227.05,"-70,968","615,282",-10%,"-$16,113,442",,,,
37,,2020-04-02 14:46:21,2020-04-01,NEE,Schupp Rudy E,Dir,S - Sale,$220.20,"-1,600","13,430",-11%,"-$352,317",,,,
38,,2020-03-19 12:20:47,2020-03-18,NEE,May James Michael,"VP, Controller , CAO",S - Sale,$210.10,-921,"1,516",-38%,"-$193,502",,,,
39,,2020-03-18 16:42:28,2020-03-17,NEE,Arechabala Miguel,"EVP, Power Generation Division",S - Sale,$225.00,"-3,741","9,656",-28%,"-$841,725",,,,
40,,2020-03-17 17:17:28,2020-03-16,NEE,Ketchum John W,"Pres, CEO of Sub",S - Sale,$200.55,"-10,931","21,694",-34%,"-$2,192,194",,,,
41,,2020-03-13 16:35:37,2020-03-13,NEE,Porges David L,Dir,P - Purchase,$220.00,"+4,000","7,655",+109%,"+$880,000",,,,
42,,2020-03-12 18:00:18,2020-03-12,NEE,Camaren James Lawrence,Dir,P - Purchase,$212.40,"+1,000","36,330",+3%,"+$212,400",,,,
43,,2020-03-11 15:32:37,2020-03-11,NEE,Camaren James Lawrence,Dir,P - Purchase,$243.60,"+1,000","35,330",+3%,"+$243,600",,,,
44,D,2020-03-03 15:03:54,2020-03-02,NEE,Robo James L,"COB, Pres, CEO",S - Sale+OE,$261.82,"-70,969","633,170",-10%,"-$18,581,363",,,,
45,D,2020-03-02 13:30:42,2020-02-28,NEE,Kelliher Joseph T,"EVP, Federal Reg. Affairs",S - Sale+OE,$248.15,"-14,330","25,744",-36%,"-$3,555,990",,,,
46,,2020-02-19 12:15:40,2020-02-19,NEE,Porges David L,Dir,P - Purchase,$275.50,"+3,000","3,655",+458%,"+$826,500",,,,
47,D,2020-01-27 14:12:59,2020-01-24,NEE,Sieving Charles E,"EVP, GC",S - Sale+OE,$257.69,"-35,535","34,867",-50%,"-$9,157,054",,,,
48,,2020-01-03 12:37:20,2020-01-02,NEE,Schupp Rudy E,Dir,S - Sale,$239.37,"-1,600","14,410",-10%,"-$382,993",,,,
49,,2019-12-06 15:26:13,2019-12-05,NEE,Robo James L,"COB, Pres, CEO",S - Sale,$233.12,"-10,000","540,260",-2%,"-$2,331,200",,,,
50,,2019-10-02 14:56:44,2019-10-01,NEE,Schupp Rudy E,Dir,S - Sale,$231.32,"-1,600","16,010",-9%,"-$370,115",,,,
51,D,2019-09-24 12:00:48,2019-09-23,NEE,Silagy Eric E,"Director, Pres & CEO of Sub",S - Sale+OE,$225.56,"-14,723","31,885",-32%,"-$3,320,861",,,,
52,D,2019-09-17 14:42:34,2019-09-16,NEE,Barrat Sherry S,Dir,S - Sale+OE,$218.57,"-4,700","28,797",-14%,"-$1,027,279",,,,
53,,2019-09-10 13:32:26,2019-09-09,NEE,Kelliher Joseph T,"EVP, Federal Reg. Affairs",S - Sale,$219.20,"-3,279","30,032",-10%,"-$718,757",,,,
54,,2019-09-04 13:14:28,2019-09-03,NEE,Cutler Paul I,Treasurer,S - Sale,$223.59,"-23,750","87,779",-21%,"-$5,310,209",,,,
55,,2019-08-30 10:47:47,2019-08-29,NEE,Sieving Charles E,"EVP, GC",S - Sale,$222.52,"-4,987","48,448",-9%,"-$1,109,707",,,,
56,D,2019-08-16 11:19:11,2019-08-15,NEE,Robo James L,"COB, Pres, CEO",S - Sale+OE,$216.86,"-44,537","548,917",-8%,"-$9,658,069",,,,
57,,2019-07-02 12:13:23,2019-07-01,NEE,Schupp Rudy E,Dir,S - Sale,$202.90,"-1,600","17,610",-8%,"-$324,633",,,,
58,,2019-06-28 13:10:00,2019-06-27,NEE,Ketchum John W,"Pres, CEO of Sub",S - Sale,$204.50,"-15,000","20,919",-42%,"-$3,067,517",,,,
59,D,2019-06-18 15:31:23,2019-06-17,NEE,Kelliher Joseph T,"EVP, Federal Reg. Affairs",S - Sale+OE,$207.26,"-5,741","33,297",-15%,"-$1,189,880",,,,
60,,2019-06-07 12:17:42,2019-06-06,NEE,Robo James L,"COB, Pres, CEO",S - Sale,$204.86,"-15,000","567,480",-3%,"-$3,072,885",,,,
61,D,2019-05-21 15:42:00,2019-05-20,NEE,Sieving Charles E,"EVP, GC",S - Sale+OE,$200.08,"-16,446","53,407",-24%,"-$3,290,516",,,,
62,D,2019-05-16 13:57:58,2019-05-15,NEE,Robo James L,"COB, Pres, CEO",S - Sale+OE,$195.20,"-44,537","582,476",-7%,"-$8,693,445",,,,
63,,2019-05-15 14:15:29,2019-05-14,NEE,Caplan Deborah H,"EVP, HR, Corp Services",S - Sale,$194.44,"-2,976","26,855",-10%,"-$578,646",,,,
64,,2019-05-07 13:53:48,2019-05-06,NEE,Sieving Charles E,"EVP, GC",S - Sale,$192.20,"-5,916","53,405",-10%,"-$1,137,055",,,,
65,,2019-04-02 12:03:28,2019-04-01,NEE,Schupp Rudy E,Dir,S - Sale,$191.52,"-1,600","19,210",-8%,"-$306,426",,,,
66,D,2019-03-18 16:36:49,2019-03-15,NEE,Robo James L,"COB, Pres, CEO",S - Sale+OE,$191.28,"-111,864","582,465",-16%,"-$21,396,746",,,,
67,D,2019-03-14 14:38:29,2019-03-13,NEE,Nazar Manoochehr K,"Pres, Nuclear Div, CNO",S - Sale+OE,$189.87,"-36,807","114,041",-24%,"-$6,988,545",,,,
68,,2019-03-12 13:52:52,2019-03-11,NEE,Yeager William L,"EVP Eng, Const., ISC",S - Sale,$188.61,"-5,108","8,553",-37%,"-$963,420",,,,
69,,2019-03-12 13:27:45,2019-03-11,NEE,Arechabala Miguel,"EVP, Power Generation Division",S - Sale,$188.61,"-5,448","9,885",-36%,"-$1,027,547",,,,
70,,2019-03-08 14:42:25,2019-03-07,NEE,Robo James L,"COB, Pres, CEO",S - Sale,$187.87,"-15,000","580,945",-3%,"-$2,818,009",,,,
71,D,2019-02-19 13:00:57,2019-02-14,NEE,Caplan Deborah H,"EVP, HR, Corp Services",S - Sale+OE,$183.50,"-3,054","29,797",-9%,"-$560,399",,,,
72,,2019-01-03 10:13:09,2019-01-02,NEE,Schupp Rudy E,Dir,S - Sale,$170.23,"-1,600","19,900",-7%,"-$272,364",,,,
73,,2018-12-07 16:00:22,2018-12-06,NEE,Robo James L,"COB, Pres, CEO",S - Sale,$180.67,"-18,000","489,787",-4%,"-$3,252,132",,,,
74,D,2018-12-07 14:21:45,2018-12-06,NEE,Pimentel Armando Jr,President & CEO of Sub,S - Sale+OE,$180.81,"-35,347","61,353",-37%,"-$6,391,024",,,,
75,D,2018-11-20 13:15:08,2018-11-19,NEE,Sieving Charles E,"EVP, GC",S - Sale+OE,$180.10,"-19,731","50,407",-28%,"-$3,553,573",,,,
76,,2018-11-07 15:31:14,2018-11-06,NEE,Pimentel Armando Jr,President & CEO of Sub,S - Sale,$170.11,"-4,920","61,348",-7%,"-$836,940",,,,
77,D,2018-10-11 11:01:39,2018-10-10,NEE,Cutler Paul I,Treasurer,S - Sale+OE,$175.08,"-11,016","107,096",-9%,"-$1,928,692",,,,
