,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-22 18:04:51,2021-09-21,FTNT,Whittle John,"VP Corp Dev, Strat Alliance,GC",S - Sale+OE,$302.00,"-2,411",0,-100%,"-$728,122",,,,
2,D,2021-08-25 16:45:12,2021-08-24,FTNT,Jensen Keith,"CFO, Chief Accounting Officer",S - Sale+OE,$301.31,"-7,992",842,-90%,"-$2,408,097",,,,
3,,2021-08-25 16:43:51,2021-08-24,FTNT,Xie Michael,"VP, Engineering, CTO",S - Sale,$301.27,"-80,000","11,349,925",-1%,"-$24,101,481",,,,
4,D,2021-08-24 16:12:00,2021-08-23,FTNT,Whittle John,"VP Corp Dev, Strat Alliance,GC",S - Sale+OE,$305.73,"-2,412",0,-100%,"-$737,417",,,,
5,D,2021-08-03 20:27:39,2021-08-02,FTNT,Xie Michael,"VP, Engineering, CTO",S - Sale+OE,$281.20,"-2,088","11,429,925",0%,"-$587,143",,,,
6,D,2021-08-03 20:23:57,2021-08-03,FTNT,Whittle John,"VP Corp Dev, Strat Alliance,GC",S - Sale+OE,$291.81,"-8,388",0,-100%,"-$2,447,692",,,,
7,,2021-06-03 19:16:02,2021-06-03,FTNT,Ducourty Kelly,Dir,S - Sale,$216.00,-869,896,-49%,"-$187,704",,,,
8,,2021-05-25 19:01:35,2021-05-24,FTNT,Xie Michael,"VP, Engineering, CTO",S - Sale,$213.75,"-80,000","11,429,925",-1%,"-$17,100,158",,,,
9,D,2021-05-25 18:56:44,2021-05-25,FTNT,Jensen Keith,"CFO, Chief Accounting Officer",S - Sale+OE,$215.12,"-7,990",839,-90%,"-$1,718,805",,,,
10,,2021-05-19 19:07:28,2021-05-18,FTNT,Jensen Keith,"CFO, Chief Accounting Officer",S - Sale,$206.02,"-1,550",839,-65%,"-$319,333",,,,
11,D,2021-05-04 16:32:20,2021-05-03,FTNT,Xie Michael,"VP, Engineering, CTO",S - Sale+OE,$202.23,"-2,088","11,509,925",0%,"-$422,265",,,,
12,D,2021-05-04 16:29:54,2021-05-03,FTNT,Whittle John,"VP Corp Dev, Strat Alliance,GC",S - Sale+OE,$199.94,"-1,152",0,-100%,"-$230,325",,,,
13,D,2021-04-22 17:19:44,2021-04-21,FTNT,Whittle John,"VP Corp Dev, Strat Alliance,GC",S - Sale+OE,$202.38,"-2,411",0,-100%,"-$487,945",,,,
