,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-06 19:11:28,2021-08-05,IR,Abbaszadeh Sia,See Remarks,S - Sale+OE,$50.89,"-45,000","19,957",-69%,"-$2,289,915",,,,
2,,2021-05-17 21:31:41,2021-05-13,IR,Kkr Renaissance Aggregator L.P.,10%,S - Sale,$48.57,"-14,924,081","29,813,193",-33%,"-$724,862,614",,,,
3,,2021-05-17 21:30:54,2021-05-13,IR,Kkr Group Partnership L.P.,10%,S - Sale,$48.57,"-14,924,081","29,813,193",-33%,"-$724,862,614",,,,
4,D,2021-03-09 20:14:16,2021-03-08,IR,Reynal Vicente,See Remarks,S - Sale+OE,$50.00,"-30,000","329,157",-8%,"-$1,500,000",,,,
5,DM,2021-01-06 18:51:15,2021-01-04,IR,Scheske Michael J,"VP, Corporate Controller",S - Sale+OE,$46.34,"-4,574","2,193",-68%,"-$211,951",,,,
6,D,2020-12-11 20:00:11,2020-12-09,IR,Reynal Vicente,See Remarks,S - Sale+OE,$45.02,"-28,680","297,518",-9%,"-$1,291,088",,,,
7,D,2020-12-09 17:39:57,2020-12-07,IR,Reynal Vicente,See Remarks,S - Sale+OE,$45.03,"-1,320","297,518",0%,"-$59,442",,,,
8,D,2020-12-01 20:07:08,2020-11-10,IR,Minarro Viseras Enrique,See Remarks,S - Sale+OE,$42.47,"-54,429","16,061",-77%,"-$2,311,600",,,,
9,D,2020-11-12 17:15:24,2020-11-09,IR,Scheske Michael J,"VP, Corporate Controller",S - Sale+OE,$42.30,"-7,683","1,000",-88%,"-$324,991",,,,
10,D,2020-11-10 21:30:20,2020-11-06,IR,Schiesl Andrew R,See Remarks,S - Sale+OE,$40.22,"-125,065","102,190",-55%,"-$5,029,989",,,,
11,D,2020-11-06 18:51:29,2020-11-05,IR,Reynal Vicente,See Remarks,S - Sale+OE,$40.00,"-30,000","297,518",-9%,"-$1,200,000",,,,
12,D,2020-10-16 19:20:53,2020-10-14,IR,Reynal Vicente,See Remarks,S - Sale+OE,$38.00,"-30,000","297,518",-9%,"-$1,140,000",,,,
13,D,2020-09-15 21:30:29,2020-09-11,IR,Reynal Vicente,See Remarks,S - Sale+OE,$36.00,"-30,000","297,518",-9%,"-$1,080,000",,,,
14,D,2020-08-21 17:41:47,2020-08-20,IR,Scheske Michael J,"VP, Corporate Controller",S - Sale+OE,$34.62,"-12,805","1,000",-93%,"-$443,322",,,,
15,,2020-08-14 17:17:31,2020-08-12,IR,Scheske Michael J,"VP, Corporate Controller",S - Sale,$35.80,-911,"1,000",-48%,"-$32,610",,,,
16,DM,2020-08-12 16:58:14,2020-08-10,IR,Schiesl Andrew R,See Remarks,S - Sale+OE,$35.44,"-107,803","11,966",-90%,"-$3,820,767",,,,
17,,2020-08-07 18:26:19,2020-08-06,IR,Reynal Vicente,See Remarks,S - Sale,$32.89,"-2,500","297,518",-1%,"-$82,228",,,,
18,D,2020-07-17 16:37:58,2020-07-15,IR,Schiesl Andrew R,See Remarks,S - Sale+OE,$30.17,"-43,121","11,966",-78%,"-$1,300,961",,,,
19,,2020-06-23 18:01:14,2020-06-19,IR,Kkr Group Partnership L.P.,10%,S - Sale,$30.40,"-12,100,000","44,788,635",-21%,"-$367,840,000",,,,
20,,2020-06-23 18:00:33,2020-06-19,IR,Kkr Renaissance Aggregator L.P.,10%,S - Sale,$30.40,"-12,100,000","44,788,635",-21%,"-$367,840,000",,,,
21,,2020-06-09 16:47:49,2020-06-05,IR,Wyman Todd D,See Remarks,S - Sale,$33.59,"-9,821","110,605",-8%,"-$329,887",,,,
22,,2020-05-29 18:12:35,2020-05-27,IR,Kkr Group Partnership L.P.,10%,S - Sale,$28.82,"-13,782,500","56,888,635",-20%,"-$397,211,650",,,,
23,,2020-05-29 18:11:44,2020-05-27,IR,Kkr Renaissance Aggregator L.P.,10%,S - Sale,$28.82,"-13,782,500","56,888,635",-20%,"-$397,211,650",,,,
24,D,2020-05-15 19:05:11,2020-05-14,IR,Schiesl Andrew R,See Remarks,S - Sale+OE,$25.14,"-65,000","11,966",-84%,"-$1,634,100",,,,
25,D,2020-02-25 18:52:40,2019-05-14,GDI,Weatherred Michael A,See Remarks,S - Sale+OE,$35.37,-321,"1,808",-15%,"-$11,354",,,,
26,,2018-11-05 18:03:20,2018-11-02,GDI,Kkr Fund Holdings L.P.,10%,S - Sale,$25.66,"-20,000,000","70,671,135",-22%,"-$513,200,000",,,,
27,,2018-11-05 18:00:22,2018-11-02,GDI,Kkr Renaissance Aggregator L.P.,10%,S - Sale,$25.66,"-20,000,000","70,671,135",-22%,"-$513,200,000",,,,
28,,2018-05-09 17:09:58,2018-05-07,GDI,Kkr Fund Holdings L.P.,10%,S - Sale,$29.84,"-30,436,064","90,721,409",-25%,"-$908,136,060",,,,
29,,2018-05-09 17:05:59,2018-05-07,GDI,Kkr Renaissance Aggregator L.P.,10%,S - Sale,$29.84,"-30,436,064","90,721,409",-25%,"-$908,136,060",,,,
30,,2017-11-22 16:38:44,2017-11-20,GDI,Kkr Fund Holdings L.P.,10%,S - Sale,$26.43,"-25,250,880","121,157,473",-17%,"-$667,443,886",,,,
31,,2017-11-22 16:35:10,2017-11-20,GDI,Kkr Renaissance Aggregator L.P.,10%,S - Sale,$26.43,"-25,250,880","121,157,473",-17%,"-$667,443,886",,,,
32,,2017-05-26 16:30:31,2017-05-24,GDI,Donnelly William P,Dir,P - Purchase,$23.37,"+42,642","42,642",New,"+$996,544",,,,
