,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-22 10:11:29,2021-10-20,GIS,Walker Sean N,Group Pres,S - Sale,$62.76,"-4,894","73,408",-6%,"-$307,148",,,,
2,,2021-10-08 18:17:27,2021-10-06,GIS,Nudi Jonathon,Group Pres,S - Sale,$61.45,"-9,725","73,508",-12%,"-$597,601",,,,
3,D,2021-10-04 19:45:22,2021-10-01,GIS,Allendorf Richard C,"GC, Secretary",S - Sale+OE,$60.54,"-9,731","95,764",-9%,"-$589,115",,,,
4,,2021-09-28 10:09:35,2021-09-24,GIS,Ogrady Shawn P,Group Pres,S - Sale,$60.48,"-28,614","178,345",-14%,"-$1,730,563",,,,
5,D,2021-07-16 10:04:33,2021-07-14,GIS,Walker Sean N,Group Pres,S - Sale+OE,$58.78,"-26,337","79,545",-25%,"-$1,548,081",,,,
6,D,2021-04-29 14:16:41,2021-04-28,GIS,Church John R,"Chief SC, GBS Officer",S - Sale+OE,$60.81,"-25,812","84,386",-23%,"-$1,569,555",,,,
7,D,2021-04-23 17:31:51,2021-04-22,GIS,Allendorf Richard C,"GC, Secretary",S - Sale+OE,$62.16,"-10,864","84,322",-11%,"-$675,264",,,,
8,D,2021-04-07 15:06:20,2021-04-05,GIS,Quam Bethany C.,"Group Pres, Pet",S - Sale+OE,$61.72,"-10,732","51,611",-17%,"-$662,383",,,,
9,D,2021-04-07 15:02:55,2021-04-05,GIS,Clark R Kerry,Dir,S - Sale+OE,$61.41,"-11,398","53,801",-17%,"-$699,927",,,,
10,D,2021-04-01 16:04:08,2021-03-31,GIS,Williams-Roll Jacqueline,CHRO,S - Sale+OE,$61.69,"-12,181","58,361",-17%,"-$751,481",,,,
11,D,2021-04-01 13:30:49,2021-03-30,GIS,Nudi Jonathon,Group Pres,S - Sale+OE,$61.82,"-11,828","62,632",-16%,"-$731,180",,,,
12,D,2021-03-31 12:35:55,2021-03-29,GIS,Pallot Mark A,Chief Accounting Officer,S - Sale+OE,$62.50,"-1,574","12,308",-11%,"-$98,367",,,,
13,D,2021-01-29 14:36:52,2021-01-28,GIS,Church John R,"Chief SC, GBS Officer",S - Sale+OE,$60.35,"-27,000","84,290",-24%,"-$1,629,450",,,,
14,D,2021-01-29 14:32:33,2021-01-27,GIS,Nudi Jonathon,Group Pres,S - Sale+OE,$60.81,"-13,205","62,494",-17%,"-$803,061",,,,
15,,2021-01-04 14:34:28,2020-12-31,GIS,Benson Jodi J,Chief Innovation Officer,S - Sale,$58.53,"-5,213","35,976",-13%,"-$305,117",,,,
16,,2020-10-26 09:49:14,2020-10-22,GIS,Ogrady Shawn P,Group Pres,S - Sale,$60.77,"-7,311","231,494",-3%,"-$444,289",,,,
17,,2020-10-22 12:51:15,2020-10-20,GIS,Walker Sean N,Group Pres,S - Sale,$61.59,"-9,062","67,023",-12%,"-$558,129",,,,
18,,2020-10-16 11:15:02,2020-10-14,GIS,Walker Sean N,Group Pres,S - Sale,$62.10,-1,"76,085",0%,-$44,,,,
19,,2020-10-05 10:18:32,2020-10-01,GIS,Walker Sean N,Group Pres,S - Sale,$62.44,"-4,611","76,086",-6%,"-$287,902",,,,
20,,2020-10-02 14:47:31,2020-09-30,GIS,Nudi Jonathon,Group Pres,S - Sale,$61.64,"-10,786","64,122",-14%,"-$664,801",,,,
21,,2020-07-17 11:52:10,2020-07-15,GIS,Benson Jodi J,Chief Innovation Officer,S - Sale,$65.05,"-2,667","41,948",-6%,"-$173,482",,,,
22,D,2020-07-15 14:22:07,2020-07-13,GIS,Ogrady Shawn P,Group Pres,S - Sale+OE,$64.50,"-77,068","244,147",-24%,"-$4,970,886",,,,
23,D,2020-07-15 14:18:18,2020-07-13,GIS,Allendorf Richard C,"GC, Secretary",S - Sale+OE,$64.72,"-13,897","89,113",-13%,"-$899,460",,,,
24,,2020-04-28 13:07:34,2020-04-24,GIS,Nudi Jonathon,Group Pres,S - Sale,$59.87,"-4,224","58,762",-7%,"-$252,906",,,,
25,D,2020-04-21 15:01:40,2020-04-20,GIS,Benson Jodi J,Chief Innovation Officer,S - Sale+OE,$61.19,"-17,475","39,445",-31%,"-$1,069,363",,,,
26,D,2020-04-17 18:23:57,2020-04-16,GIS,Ogrady Shawn P,Group Pres,S - Sale+OE,$59.95,"-46,371","233,843",-17%,"-$2,779,941",,,,
27,D,2020-04-10 09:50:39,2020-04-09,GIS,Walker Sean N,Group Pres,S - Sale+OE,$57.76,"-33,690","73,037",-32%,"-$1,945,766",,,,
28,D,2020-04-09 13:21:56,2020-04-07,GIS,Benson Jodi J,Chief Innovation Officer,S - Sale+OE,$57.25,"-3,744","39,445",-9%,"-$214,344",,,,
29,D,2020-04-07 16:01:25,2020-04-06,GIS,Clark R Kerry,Dir,S - Sale+OE,$57.24,"-12,248","50,697",-19%,"-$701,076",,,,
30,D,2020-04-03 19:01:12,2020-04-02,GIS,Quam Bethany C.,"Group Pres, Pet",S - Sale+OE,$54.20,"-13,729","44,895",-23%,"-$744,112",,,,
31,DM,2020-03-19 19:06:36,2020-03-17,GIS,Ogrady Shawn P,Group Pres,S - Sale+OE,$59.95,"-52,214","233,843",-18%,"-$3,130,229",,,,
32,D,2020-02-24 17:45:11,2020-02-21,GIS,Williams-Roll Jacqueline,CHRO,S - Sale+OE,$54.90,"-15,582","50,878",-23%,"-$855,452",,,,
33,D,2019-10-15 15:25:08,2019-10-14,GIS,Nudi Jonathon,Group Pres,S - Sale+OE,$54.52,"-18,951","62,705",-23%,"-$1,033,281",,,,
34,D,2019-09-24 14:32:04,2019-09-20,GIS,Bruce Kofi A,Controller,S - Sale+OE,$54.33,"-15,582","20,065",-44%,"-$846,497",,,,
35,,2019-04-04 15:45:18,2019-04-03,GIS,Church John R,"Chief SC, GBS Officer",S - Sale,$50.78,"-4,719","70,212",-6%,"-$239,631",,,,
36,D,2019-04-03 11:41:41,2019-04-01,GIS,Clark R Kerry,Dir,S - Sale+OE,$51.57,"-14,836","47,375",-24%,"-$765,093",,,,
37,D,2019-03-29 12:30:26,2019-03-27,GIS,Quam Bethany C.,Group Pres,S - Sale+OE,$51.40,"-18,536","40,158",-32%,"-$952,743",,,,
38,D,2019-03-29 12:26:49,2019-03-27,GIS,Williams-Roll Jacqueline,CHRO,S - Sale+OE,$51.48,"-15,920","46,109",-26%,"-$819,487",,,,
39,D,2019-03-26 15:09:29,2019-03-22,GIS,Benson Jodi J,Chief Innovation Officer,S - Sale+OE,$50.51,"-5,054","33,158",-13%,"-$255,297",,,,
40,D,2019-03-25 14:25:31,2019-03-21,GIS,Miller Heidi,Dir,S - Sale+OE,$49.47,"-38,482","74,589",-34%,"-$1,903,651",,,,
41,D,2019-03-25 14:20:54,2019-03-21,GIS,Mulligan Donal L,CFO,S - Sale+OE,$50.00,"-126,337","256,875",-33%,"-$6,316,850",,,,
42,D,2019-03-22 13:16:22,2019-03-20,GIS,Nudi Jonathon,Group Pres,S - Sale+OE,$48.50,"-25,586","51,123",-33%,"-$1,240,921",,,,
43,D,2019-03-22 13:11:58,2019-03-20,GIS,Ogrady Shawn P,Group Pres,S - Sale+OE,$48.50,"-118,152","229,658",-34%,"-$5,730,390",,,,
44,D,2019-03-15 17:09:53,2019-03-14,GIS,Mulligan Donal L,CFO,S - Sale+OE,$47.50,"-120,722","256,875",-32%,"-$5,734,295",,,,
45,D,2019-02-05 16:38:06,2019-02-01,GIS,Clark R Kerry,Dir,S - Sale+OE,$44.26,"-7,849","47,375",-14%,"-$347,376",,,,
46,,2018-08-22 11:48:51,2018-08-20,GIS,Sastre Maria,Dir,P - Purchase,$47.37,"+1,000","1,000",New,"+$47,370",,,,
47,,2018-08-07 12:09:21,2018-08-03,GIS,Bruce Kofi A,Controller,S - Sale,$47.28,"-2,200","19,813",-10%,"-$104,007",,,,
48,D,2018-08-02 13:29:17,2018-07-31,GIS,Miller Heidi,Dir,S - Sale+OE,$45.77,"-13,204","69,091",-16%,"-$604,321",,,,
49,D,2018-07-19 18:32:20,2018-07-18,GIS,Williams-Roll Jacqueline,CHRO,S - Sale+OE,$43.23,"-2,450","49,345",-5%,"-$105,919",,,,
50,D,2018-07-17 17:46:02,2018-07-16,GIS,Erickson Peter C,Chief Innovation Officer,S - Sale+OE,$44.14,"-52,854","156,829",-25%,"-$2,333,124",,,,
51,,2018-07-11 16:02:05,2018-07-09,GIS,Nudi Jonathon,Group Pres,S - Sale,$44.44,"-5,066","50,653",-9%,"-$225,155",,,,
52,D,2018-07-02 13:49:16,2018-06-28,GIS,Ogrady Shawn P,SVP,S - Sale+OE,$45.50,"-82,244","236,240",-26%,"-$3,742,102",,,,
53,,2018-05-24 18:40:02,2018-05-23,GIS,Harmening Jeffrey L,"CEO, COB",P - Purchase,$42.18,"+6,000","146,459",+4%,"+$253,108",,,,
54,D,2018-01-11 14:49:44,2018-01-09,GIS,Quam Bethany C.,Group Pres,S - Sale+OE,$59.40,"-8,712","33,670",-21%,"-$517,458",,,,
55,,2017-04-14 12:01:29,2017-04-12,GIS,Nudi Jonathon,Group Pres,P - Purchase,$57.45,"+1,800","35,877",+5%,"+$103,402",+1,+1,,
56,,2017-04-14 12:01:29,2017-04-12,GIS,Nudi Jonathon,Group Pres,S - Sale,$57.54,"-2,729","35,877",-7%,"-$157,027",+1,+1,,
