,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-09 15:40:26,2021-09-07,GLW,Kinlin Clark S,Retired Exec. Vice President,S - Sale,$39.40,"-15,302","59,945",-20%,"-$602,831",,,,
2,D,2021-08-13 16:05:05,2021-08-11,GLW,McRae Lawrence D,"Vice COB, Corp. Dev. Off",S - Sale+OE,$40.91,"-37,537","179,197",-17%,"-$1,535,796",,,,
3,D,2021-08-10 16:01:52,2021-08-06,GLW,Steverson Lewis A,"EVP, CLAO",S - Sale+OE,$41.07,"-7,466",0,-100%,"-$306,630",,,,
4,D,2021-07-28 16:03:14,2021-07-26,GLW,France Robert P.,"SVP, HR",S - Sale+OE,$41.16,"-7,764","30,000",-21%,"-$319,569",,,,
5,,2021-06-14 16:10:26,2021-06-14,GLW,Ferguson Roger W. Jr.,Dir,P - Purchase,$42.14,"+1,420","6,938",+26%,"+$59,839",,,,
6,,2021-06-14 16:08:19,2021-06-10,GLW,Morse David L,"EVP, Chief Tech. Officer",S - Sale,$43.03,"-5,546","55,810",-9%,"-$238,644",,,,
7,,2021-06-04 16:04:29,2021-06-03,GLW,Ferguson Roger W. Jr.,Dir,P - Purchase,$42.50,"+1,410","5,518",+34%,"+$59,925",,,,
8,M,2021-05-27 16:08:41,2021-05-25,GLW,Weeks Wendell P,"COB, CEO",S - Sale,$44.00,"-100,000","716,376",-12%,"-$4,400,071",,,,
9,,2021-05-21 16:03:58,2021-05-19,GLW,France Robert P.,"SVP, HR",S - Sale,$42.79,"-3,713","30,000",-11%,"-$158,863",,,,
10,,2021-05-21 16:02:58,2021-05-19,GLW,Bell Michael Alan,"SVP, GM, Optical Comm.",S - Sale,$42.82,"-2,705",667,-80%,"-$115,840",,,,
11,,2021-05-19 16:26:56,2021-05-19,GLW,Ferguson Roger W. Jr.,Dir,P - Purchase,$42.89,"+1,399","4,108",+52%,"+$60,003",,,,
12,D,2021-05-19 16:11:45,2021-05-19,GLW,Curran Martin J,"EVP, Innovation Officer",S - Sale+OE,$42.52,"-4,707","20,327",-19%,"-$200,157",,,,
13,D,2021-05-19 16:09:21,2021-05-17,GLW,Bell Michael Alan,"SVP, GM, Optical Comm.",S - Sale+OE,$44.02,"-3,084","3,372",-48%,"-$135,763",,,,
14,,2021-05-14 16:05:47,2021-05-12,GLW,Ferguson Roger W. Jr.,Dir,P - Purchase,$43.29,"+1,385","2,709",+105%,"+$59,957",,,,
15,D,2021-05-07 16:18:03,2021-05-07,GLW,Steverson Lewis A,"EVP, CLAO",S - Sale+OE,$46.03,"-35,168",0,-100%,"-$1,618,822",,,,
16,D,2021-05-07 16:16:54,2021-05-07,GLW,Bayne John P Jr,"SVP,GM, Mobile Consumer Elec.",S - Sale+OE,$46.05,"-9,818","5,087",-66%,"-$452,121",,,,
17,D,2021-05-07 16:16:00,2021-05-05,GLW,Kinlin Clark S,Retired Exec. Vice President,S - Sale+OE,$45.41,"-54,799","75,247",-42%,"-$2,488,286",,,,
18,,2021-05-07 16:14:24,2021-05-05,GLW,Ferguson Roger W. Jr.,Dir,P - Purchase,$45.30,"+1,324","1,324",New,"+$59,977",,,,
19,D,2021-05-05 16:22:33,2021-05-03,GLW,Zhang John Z,"SVP, GM, Display",S - Sale+OE,$44.61,"-19,413","1,862",-91%,"-$866,107",,,,
20,D,2021-05-05 16:21:29,2021-05-03,GLW,Schlesinger Edward A,"SVP, Controller",S - Sale+OE,$44.94,"-9,241","47,893",-16%,"-$415,246",,,,
21,D,2021-05-05 16:20:14,2021-05-03,GLW,Musser Eric S,"Pres, COO",S - Sale+OE,$45.00,"-35,381","82,162",-30%,"-$1,592,145",,,,
22,D,2021-05-05 16:19:14,2021-05-03,GLW,Morse David L,"EVP, Chief Tech. Officer",S - Sale+OE,$45.00,"-45,424","55,810",-45%,"-$2,044,080",,,,
