,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-21 14:35:49,2021-10-20,GOOG,Pichai Sundar,CEO,S - Sale+OE,"$2,875.05","-3,000","90,000",-3%,"-$8,625,152",,,,
2,D,2021-10-21 08:15:39,2021-10-20,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,857.50","-13,888","19,763,614",0%,"-$39,685,009",,,,
3,D,2021-10-21 08:05:14,2021-10-20,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,844.47","-13,888",0,-100%,"-$39,504,042",,,,
4,D,2021-10-20 20:48:48,2021-10-19,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,872.90","-13,889","19,777,502",0%,"-$39,901,686",,,,
5,D,2021-10-20 20:30:52,2021-10-19,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,860.92","-13,889",0,-100%,"-$39,735,316",,,,
6,D,2021-10-18 21:20:37,2021-10-18,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,845.65","-13,889","19,791,391",0%,"-$39,523,208",,,,
7,D,2021-10-18 21:02:14,2021-10-18,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,840.75","-13,889",0,-100%,"-$39,455,123",,,,
8,D,2021-10-15 11:41:12,2021-10-13,GOOG,Brin Sergey,"Dir, 10%",S - Sale+OE,"$2,755.34","-13,888","18,951,935",0%,"-$38,266,200",,,,
9,D,2021-10-15 11:38:44,2021-10-13,GOOG,Brin Sergey,"Dir, 10%",S - Sale+OE,"$2,752.11","-13,888",0,-100%,"-$38,221,260",,,,
10,D,2021-10-14 16:58:34,2021-10-12,GOOG,Brin Sergey,"Dir, 10%",S - Sale+OE,"$2,739.37","-13,889",0,-100%,"-$38,047,136",,,,
11,D,2021-10-14 16:52:26,2021-10-12,GOOG,Brin Sergey,"Dir, 10%",S - Sale+OE,"$2,742.11","-13,889","18,965,823",0%,"-$38,085,133",,,,
12,D,2021-10-12 19:30:45,2021-10-11,GOOG,Brin Sergey,"Dir, 10%",S - Sale+OE,"$2,798.28","-13,889","18,979,712",0%,"-$38,865,376",,,,
13,D,2021-10-12 17:54:37,2021-10-11,GOOG,Brin Sergey,"Dir, 10%",S - Sale+OE,"$2,800.66","-13,889","18,979,712",0%,"-$38,898,343",,,,
14,,2021-10-08 20:39:31,2021-10-07,GOOG,Hennessy John L,Dir,S - Sale,"$2,795.32",-200,"3,778",-5%,"-$559,063",,,,
15,D,2021-10-06 19:16:48,2021-10-06,GOOG,Pichai Sundar,CEO,S - Sale+OE,"$2,709.30","-3,000","93,000",-3%,"-$8,127,904",,,,
16,,2021-10-06 18:37:19,2021-10-04,GOOG,Raghavan Prabhakar,SVP,S - Sale,"$2,712.93","-2,475","30,279",-8%,"-$6,714,502",,,,
17,,2021-10-01 20:03:05,2021-10-01,GOOG,Mather Ann,Dir,S - Sale,"$2,671.09",-19,"1,804",-1%,"-$50,751",,,,
18,,2021-10-01 19:38:33,2021-09-29,GOOG,Walker John Kent,"SVP, Global Affairs, CLO",S - Sale,"$2,700.01","-2,497","28,580",-8%,"-$6,741,917",,,,
19,D,2021-09-27 13:48:42,2021-09-23,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,839.18","-13,889","19,805,280",0%,"-$39,433,353",,,,
20,D,2021-09-27 13:06:48,2021-09-23,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,826.22","-13,889","19,805,280",0%,"-$39,253,343",,,,
21,D,2021-09-24 16:33:37,2021-09-22,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,809.76","-2,441","19,819,169",0%,"-$6,858,627",,,,
22,D,2021-09-24 16:16:41,2021-09-22,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,797.36","-11,448","2,441",-82%,"-$32,024,148",,,,
23,D,2021-09-24 16:14:42,2021-09-22,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,814.05","-13,889","19,819,169",0%,"-$39,084,399",,,,
