,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-16 10:20:52,2021-08-13,GPC,Holder John R,Dir,P - Purchase,$124.93,"+2,000","17,482",+13%,"+$249,860",,,,
2,,2021-05-21 13:02:58,2021-05-21,GPC,Herron Kevin,Pres-US Automotive Group,S - Sale,$132.31,"-2,500","14,253",-15%,"-$330,775",,,,
3,,2020-12-22 14:32:43,2020-12-18,GPC,Holder John R,Dir,P - Purchase,$97.00,"+1,000","13,731",+8%,"+$97,000",,,,
4,,2020-10-28 15:03:04,2020-10-28,GPC,Holder John R,Dir,P - Purchase,$91.72,"+2,200","12,731",+21%,"+$201,783",,,,
5,,2020-03-24 10:49:32,2020-03-23,GPC,Gallagher Thomas,Dir,P - Purchase,$55.23,"+5,000","627,213",+1%,"+$276,150",,,,
6,,2019-11-07 15:23:42,2019-11-05,GPC,Breaux Randall P,Pres-Motion Industries,S - Sale,$107.22,"-1,000","2,188",-31%,"-$107,220",,,,
7,,2019-05-09 13:09:32,2019-05-07,GPC,Sonnemaker Scott,Group Pres Automotive,P - Purchase,$99.01,"+5,000","5,000",New,"+$495,050",,,,
8,,2018-11-26 16:42:02,2018-11-26,GPC,Holder John R,Dir,P - Purchase,$100.81,+500,"7,058",+8%,"+$50,405",,,,
9,,2018-07-27 13:54:16,2018-07-26,GPC,Neill James R,Sr Vice Pres HR,S - Sale,$97.94,-512,"5,661",-8%,"-$50,145",,,,
10,,2016-10-21 14:08:32,2016-10-20,GPC,Gallagher Thomas,COB,P - Purchase,$89.24,"+3,000","564,498",+1%,"+$267,720",+1,0,+6,+6
11,,2016-05-09 14:01:34,2016-04-27,GPC,Breen Timothy P,EVP,S - Sale,$98.05,-700,"2,543",-22%,"-$68,635",0,-1,+1,-8
12,,2016-02-19 10:55:26,2016-02-18,GPC,Needham Wendy B,Dir,S - Sale,$90.61,"-3,000","3,822",-44%,"-$271,830",+1,+1,+9,+14
13,,2015-11-13 16:38:09,2015-11-13,GPC,Gallagher Thomas,CEO,P - Purchase,$86.86,"+3,000","547,671",+1%,"+$260,580",+2,+4,+1,+14
14,,2015-09-30 16:53:06,2015-09-28,GPC,Loudermilk Robert C Jr,Dir,P - Purchase,$82.55,"+1,200","11,317",+12%,"+$99,060",-2,0,+9,+22
15,,2015-08-24 09:21:28,2015-08-20,GPC,Needham Wendy B,Dir,S - Sale,$86.21,"-3,000","6,796",-31%,"-$258,630",-3,0,0,+12
16,,2015-07-22 13:49:10,2015-07-22,GPC,Gallagher Thomas,CEO,P - Purchase,$87.71,"+4,000","544,651",+1%,"+$350,840",0,-1,-1,-9
17,,2015-03-06 14:47:09,2015-03-06,GPC,Gallagher Thomas,CEO,P - Purchase,$93.44,"+4,000","540,628",+1%,"+$373,760",-1,+1,-1,-12
18,,2015-01-15 16:44:12,2015-01-15,GPC,Gallagher Thomas,CEO,P - Purchase,$95.25,"+5,000","551,610",+1%,"+$476,250",+2,+4,+2,-3
19,,2014-09-22 10:49:31,2014-06-05,GPC,Loudermilk Robert C Jr,Dir,P - Purchase,$86.92,"+4,300","9,911",+77%,"+$373,756",-1,-1,0,+8
20,,2014-08-13 16:36:38,2014-08-13,GPC,Gallagher Thomas,CEO,P - Purchase,$84.00,"+5,000","515,423",+1%,"+$420,000",+2,+3,+4,+16
21,,2013-01-02 15:50:29,2012-12-31,GPC,Holder John R,Dir,P - Purchase,$63.03,"+1,000","1,500",+200%,"+$63,030",+2,+2,+7,+33
22,,2012-01-03 13:04:06,2012-01-03,GPC,Bullock Mary Brown,Dir,S - Sale,$61.27,"-1,500","2,194",-41%,"-$91,905",+1,+1,+5,0
23,,2011-08-05 17:13:48,2011-08-05,GPC,Loudermilk Robert C Jr,Dir,P - Purchase,$49.79,+500,"1,500",+50%,"+$24,895",-6,-1,+8,+31
