,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-17 16:55:03,2021-08-13,GPS,Syngal Sonia,"CEO Gap, Inc.",S - Sale+OE,$29.61,"-22,641","38,042",-37%,"-$670,344",,,,
2,D,2021-08-12 17:42:42,2021-08-10,GPS,O'Connell Katrina,EVP CFO,S - Sale+OE,$30.00,"-65,271",0,-100%,"-$1,958,130",,,,
3,D,2021-08-03 18:15:37,2021-07-30,GPS,Syngal Sonia,"CEO Gap, Inc.",S - Sale+OE,$29.35,"-19,270","44,683",-30%,"-$565,513",,,,
4,D,2021-07-20 16:09:04,2021-07-16,GPS,Syngal Sonia,"CEO Gap, Inc.",S - Sale+OE,$29.85,"-21,000","47,953",-30%,"-$626,933",,,,
5,D,2021-07-07 16:49:21,2021-07-02,GPS,Syngal Sonia,"CEO Gap, Inc.",S - Sale+OE,$33.33,"-21,000","52,953",-28%,"-$699,874",,,,
6,D,2021-06-22 17:22:58,2021-06-18,GPS,Syngal Sonia,"CEO Gap, Inc.",S - Sale+OE,$31.44,"-21,000","57,953",-27%,"-$660,293",,,,
7,D,2021-06-07 16:54:25,2021-06-04,GPS,Syngal Sonia,"CEO Gap, Inc.",S - Sale+OE,$31.76,"-21,000","62,953",-25%,"-$667,015",,,,
8,D,2021-05-25 17:28:14,2021-05-21,GPS,Syngal Sonia,CEO,S - Sale+OE,$32.79,"-20,690","67,953",-23%,"-$678,473",,,,
9,,2021-05-19 18:21:48,2021-05-18,GPS,Peters Sheila,"EVP, Chief People Officer",S - Sale,$37.50,"-4,000","1,491",-73%,"-$150,000",,,,
10,D,2021-05-19 17:21:22,2021-05-17,GPS,Breitbard Mark,"Pres, CEO, Gap Brand",S - Sale+OE,$35.44,"-46,904","53,893",-47%,"-$1,662,118",,,,
11,D,2021-05-10 20:48:23,2021-05-07,GPS,Syngal Sonia,"CEO Gap, Inc.",S - Sale+OE,$34.61,"-19,718","72,643",-21%,"-$682,514",,,,
12,D,2021-05-05 20:36:51,2021-05-03,GPS,Peters Sheila,"EVP, Chief People Officer",S - Sale+OE,$35.00,"-8,250","5,491",-60%,"-$288,770",,,,
13,D,2021-05-05 20:05:51,2021-05-03,GPS,Gruber Julie,"Chief Legal, Compliance Office",S - Sale+OE,$35.00,"-5,000","3,251",-61%,"-$175,000",,,,
14,,2021-05-05 19:51:44,2021-05-03,GPS,Curran Shawn,"EVP, COO",S - Sale,$34.09,"-7,562","52,192",-13%,"-$257,817",,,,
15,D,2021-05-04 19:41:46,2021-05-04,GPS,Breitbard Mark,"Pres, CEO, Gap Brand",S - Sale+OE,$35.03,"-18,908","53,893",-26%,"-$662,360",,,,
16,D,2021-04-27 18:55:16,2021-04-23,GPS,Syngal Sonia,"CEO Gap, Inc.",S - Sale+OE,$33.18,"-22,253","76,361",-23%,"-$738,436",,,,
17,,2021-04-19 17:37:05,2021-04-15,GPS,Breitbard Mark,"Pres, CEO, Gap Brand",S - Sale,$32.82,"-6,948","53,893",-11%,"-$228,055",,,,
18,D,2021-04-13 19:09:57,2021-04-09,GPS,Syngal Sonia,"CEO Gap, Inc.",S - Sale+OE,$31.54,"-20,957","82,614",-20%,"-$661,018",,,,
19,D,2021-04-13 19:02:24,2021-04-09,GPS,Gruber Julie,"Chief Legal, Compliance Office",S - Sale+OE,$32.00,"-16,832","3,251",-84%,"-$538,624",,,,
20,,2021-04-13 18:52:25,2021-04-09,GPS,Peters Sheila,"EVP, Chief People Officer",S - Sale,$32.50,"-1,023","9,491",-10%,"-$33,248",,,,
21,,2021-04-01 18:23:36,2021-03-30,GPS,Gruber Julie,"Chief Legal, Compliance Office",S - Sale,$30.00,"-3,455","10,083",-26%,"-$103,650",,,,
22,D,2021-03-30 17:45:43,2021-03-26,GPS,Syngal Sonia,"CEO Gap, Inc.",S - Sale+OE,$29.30,"-16,000","87,571",-15%,"-$468,842",,,,
23,D,2021-03-25 20:10:43,2021-03-24,GPS,Breitbard Mark,"Pres, CEO, Gap Brand",S - Sale+OE,$28.38,"-17,663","60,841",-22%,"-$501,267",,,,
24,D,2021-03-25 20:04:04,2021-03-24,GPS,Gruber Julie,"Chief Legal, Compliance Office",S - Sale+OE,$28.19,"-3,455","13,538",-20%,"-$97,396",,,,
25,D,2021-03-25 19:43:33,2021-03-24,GPS,O'Connell Katrina,EVP CFO,S - Sale+OE,$28.32,"-13,500","11,971",-53%,"-$382,319",,,,
26,D,2021-03-25 19:23:25,2021-03-24,GPS,Syngal Sonia,"CEO Gap, Inc.",S - Sale+OE,$28.41,"-36,129","87,571",-29%,"-$1,026,544",,,,
27,,2021-03-23 19:26:48,2021-03-19,GPS,Fisher John J,"Dir, 10%",S - Sale,$31.13,"-112,099","45,181,490",0%,"-$3,489,631",,,,
28,,2021-03-22 17:47:02,2021-03-19,GPS,Gruber Julie,"Chief Legal, Compliance Office",S - Sale,$30.68,"-6,542","6,522",-50%,"-$200,734",,,,
29,,2021-03-19 20:04:21,2021-03-19,GPS,Fisher William Sydney,"Dir, 10%",S - Sale,$31.34,"-16,000","38,640,468",0%,"-$501,517",,,,
30,DM,2021-03-19 19:06:19,2021-03-17,GPS,Gruber Julie,"Chief Legal, Compliance Office",S - Sale+OE,$31.51,"-7,781","13,064",-37%,"-$245,189",,,,
31,M,2021-03-18 18:34:26,2021-03-16,GPS,Fisher Robert J,"Dir, 10%",S - Sale,$31.50,"-500,000","36,444,133",-1%,"-$15,752,141",,,,
32,D,2021-03-17 19:12:05,2021-03-15,GPS,Peters Sheila,"EVP, Chief People Officer",S - Sale+OE,$32.50,"-2,977",979,-75%,"-$96,766",,,,
