,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-10 11:56:36,2021-08-06,GRMN,Pemble Clifton A,"Pres, CEO",S - Sale,$165.00,"-2,333","145,457",-2%,"-$384,945",,,,
2,,2021-08-04 13:36:50,2021-08-04,GRMN,Biddlecombe Sean,"MD, EMEA",S - Sale,$161.14,-405,"4,913",-8%,"-$65,260",,,,
3,,2021-06-03 15:36:46,2021-06-03,GRMN,Burrell Jonathan,"Dir, 10%",S - Sale,$139.73,"-65,763","21,089,714",0%,"-$9,188,928",,,,
4,,2021-06-03 13:19:21,2021-06-02,GRMN,Burrell Jonathan,"Dir, 10%",S - Sale,$142.06,"-150,000","21,155,477",-1%,"-$21,309,597",,,,
5,,2021-06-02 10:55:11,2021-06-01,GRMN,Burrell Jonathan,"Dir, 10%",S - Sale,$142.80,"-150,000","21,305,477",-1%,"-$21,419,388",,,,
6,,2021-06-01 10:25:14,2021-05-28,GRMN,Burrell Jonathan,"Dir, 10%",S - Sale,$142.58,"-84,237","21,455,477",0%,"-$12,010,436",,,,
7,,2021-05-12 12:12:04,2021-05-10,GRMN,Straub Philip,"EVP, Man. Dir - Aviation",S - Sale,$144.74,"-5,898","72,672",-8%,"-$853,678",,,,
8,,2021-05-03 12:38:52,2021-04-30,GRMN,Biddlecombe Sean,"MD, EMEA",S - Sale,$137.56,"-1,079","5,318",-17%,"-$148,423",,,,
9,DM,2021-03-17 09:34:05,2021-03-15,GRMN,Boessen Douglas G.,"CFO, Treasurer",S - Sale+OE,$127.86,"-11,839","33,468",-26%,"-$1,513,745",,,,
10,A,2021-03-05 13:36:50,2013-08-22,GRMN,Biddlecombe Sean,"MD, EMEA",S - Sale,$40.44,"-3,049","9,239",-25%,"-$123,302",,,,
11,,2021-03-03 06:26:12,2021-03-01,GRMN,Munn Matthew,"VP, Man. Dir - Auto OEM",S - Sale,$128.06,"-3,449","9,502",-27%,"-$441,674",,,,
12,,2021-02-24 11:43:55,2021-02-23,GRMN,Desbois Patrick,"EVP, Operations",S - Sale,$126.90,"-3,014","43,334",-7%,"-$382,477",,,,
13,,2021-02-23 08:10:11,2021-02-22,GRMN,Munn Matthew,"VP, Man. Dir - Auto OEM",S - Sale,$127.75,"-2,214","14,363",-13%,"-$282,839",,,,
14,,2020-12-17 10:39:51,2020-12-16,GRMN,Pemble Clifton A,"Pres, CEO",S - Sale,$118.32,"-8,494","134,018",-6%,"-$1,004,980",,,,
15,,2020-11-10 13:19:33,2020-11-09,GRMN,Pemble Clifton A,"Pres, CEO",S - Sale,$120.13,"-10,093","137,480",-7%,"-$1,212,472",,,,
16,,2020-08-14 06:45:13,2020-08-13,GRMN,Biddlecombe Sean,"MD, EMEA",S - Sale,$103.26,"-1,450","8,122",-15%,"-$149,721",,,,
17,,2020-08-07 17:32:27,2020-08-06,GRMN,Munn Matthew,"VP, Man. Dir - Auto OEM",S - Sale,$101.93,"-1,622","10,063",-14%,"-$165,330",,,,
18,,2020-08-07 14:38:49,2020-08-06,GRMN,Munn Matthew,"VP, Man. Dir - Auto OEM",S - Sale,$101.93,"-1,622","10,063",-14%,"-$165,330",,,,
19,D,2020-07-20 11:54:17,2020-07-17,GRMN,Pemble Clifton A,"Pres, CEO",S - Sale+OE,$99.91,"-14,720","150,710",-9%,"-$1,470,602",,,,
20,,2020-06-29 13:20:40,2020-06-25,GRMN,Desbois Patrick,"EVP, Operations",S - Sale,$94.95,"-3,818","36,124",-10%,"-$362,525",,,,
21,,2020-05-12 07:30:49,2020-05-11,GRMN,Munn Matthew,"VP, Man. Dir - Auto OEM",S - Sale,$80.84,"-1,500","11,685",-11%,"-$121,260",,,,
22,,2020-03-16 13:38:51,2020-03-13,GRMN,Hartnett Joseph J,Dir,P - Purchase,$74.53,+650,"16,630",+4%,"+$48,442",,,,
23,,2020-03-04 08:52:14,2020-03-02,GRMN,Munn Matthew,"VP, Man. Dir - Auto OEM",S - Sale,$92.48,"-2,697","13,185",-17%,"-$249,423",,,,
24,,2020-02-25 06:02:58,2020-02-21,GRMN,Biddlecombe Sean,"MD, EMEA",S - Sale,$99.33,-652,"8,951",-7%,"-$64,763",,,,
25,,2019-11-12 06:08:25,2019-11-07,GRMN,Kao Min H,Exec COB,S - Sale,$94.42,"-58,423","18,787,292",0%,"-$5,516,493",,,,
26,M,2019-11-07 06:32:34,2019-11-05,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$93.06,"-476,127","18,845,715",-2%,"-$44,310,724",,,,
27,M,2019-11-05 07:46:50,2019-11-01,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$94.44,"-509,953","19,321,842",-3%,"-$48,161,795",,,,
28,M,2019-11-01 09:58:35,2019-10-30,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$93.92,"-411,428","19,831,795",-2%,"-$38,641,282",,,,
29,DM,2019-11-01 09:25:39,2019-10-30,GRMN,Pemble Clifton A,"Pres, CEO",S - Sale+OE,$93.75,"-7,430","139,909",-5%,"-$696,562",,,,
30,M,2019-10-22 06:16:32,2019-10-18,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$87.29,"-172,121","20,243,223",-1%,"-$15,024,244",,,,
31,,2019-10-18 11:22:49,2019-10-17,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$87.32,"-85,229","20,415,344",0%,"-$7,442,145",,,,
32,,2019-10-15 08:00:17,2019-10-11,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$87.39,"-98,347","20,500,573",0%,"-$8,594,417",,,,
33,,2019-08-28 08:19:43,2019-08-26,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$79.06,"-53,985","20,733,920",0%,"-$4,268,266",,,,
34,,2019-08-26 07:25:06,2019-08-22,GRMN,Biddlecombe Sean,"MD, EMEA",S - Sale,$80.39,-316,"9,111",-3%,"-$25,403",,,,
35,M,2019-08-16 06:02:12,2019-08-14,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$76.81,"-241,179","20,787,905",-1%,"-$18,525,577",,,,
36,M,2019-08-14 09:02:40,2019-08-12,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$78.41,"-448,427","21,029,084",-2%,"-$35,162,834",,,,
37,M,2019-08-12 08:21:52,2019-08-08,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$78.23,"-199,486","21,477,511",-1%,"-$15,605,722",,,,
38,M,2019-08-08 06:08:11,2019-08-06,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$76.51,"-414,102","21,676,997",-2%,"-$31,681,626",,,,
39,M,2019-08-06 07:22:23,2019-08-02,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$75.42,"-430,636","22,091,099",-2%,"-$32,478,728",,,,
40,M,2019-08-02 06:42:01,2019-07-31,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$78.37,"-842,410","22,521,735",-4%,"-$66,020,644",,,,
41,,2019-07-31 07:18:36,2019-07-30,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$77.11,"-333,421","23,404,145",-1%,"-$25,710,744",,,,
42,M,2019-07-30 06:25:16,2019-07-26,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$78.61,"-397,826","23,737,566",-2%,"-$31,271,301",,,,
43,M,2019-07-26 06:04:32,2019-07-24,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$79.16,"-392,310","24,135,392",-2%,"-$31,054,245",,,,
44,M,2019-07-24 06:01:38,2019-07-22,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$80.58,"-312,265","24,527,702",-1%,"-$25,161,252",,,,
45,M,2019-07-22 06:40:26,2019-07-18,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$81.57,"-371,981","24,839,967",-1%,"-$30,343,746",,,,
46,M,2019-07-17 17:54:23,2019-07-16,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$81.04,"-354,299","25,211,948",-1%,"-$28,712,673",,,,
47,M,2019-07-15 17:31:37,2019-07-11,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$79.51,"-416,769","25,698,747",-2%,"-$33,137,885",,,,
48,M,2019-07-10 19:01:19,2019-07-08,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$79.09,"-362,080","26,115,516",-1%,"-$28,636,579",,,,
49,,2019-07-08 07:58:55,2019-07-05,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$79.40,"-103,767","26,477,596",0%,"-$8,238,884",,,,
50,M,2019-07-05 06:01:36,2019-07-02,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$80.05,"-200,469","26,581,363",-1%,"-$16,048,523",,,,
51,M,2019-07-02 07:06:40,2019-06-28,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$79.62,"-312,960","26,781,832",-1%,"-$24,918,226",,,,
52,,2019-03-29 11:08:33,2019-03-27,GRMN,Desbois Patrick,"EVP, Operations",S - Sale,$86.00,"-1,749","34,773",-5%,"-$150,414",,,,
53,,2019-02-26 06:59:06,2019-02-22,GRMN,Biddlecombe Sean,"MD, EMEA",S - Sale,$83.51,"-1,500","9,427",-14%,"-$125,266",,,,
54,D,2019-02-22 09:52:52,2019-02-21,GRMN,Pemble Clifton A,"Pres, CEO",S - Sale+OE,$82.38,"-2,683","132,875",-2%,"-$221,024",,,,
55,M,2018-11-07 08:11:29,2018-11-05,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$64.82,"-479,645","27,314,792",-2%,"-$31,092,490",,,,
56,M,2018-11-02 16:19:19,2018-10-31,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$66.13,"-678,401","27,794,437",-2%,"-$44,862,190",,,,
57,M,2018-10-31 09:38:38,2018-10-29,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$62.41,"-200,000","28,472,838",-1%,"-$12,482,718",,,,
58,M,2018-10-24 09:07:58,2018-10-22,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$62.21,"-146,758","28,672,838",-1%,"-$9,129,196",,,,
59,M,2018-10-22 10:35:42,2018-10-18,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$62.45,"-175,428","28,819,596",-1%,"-$10,955,601",,,,
60,M,2018-10-18 10:21:04,2018-10-16,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$62.89,"-250,000","28,995,024",-1%,"-$15,722,691",,,,
61,M,2018-10-16 09:35:10,2018-10-12,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$62.69,"-200,000","29,245,024",-1%,"-$12,538,074",,,,
62,M,2018-10-12 08:17:06,2018-10-10,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$64.60,"-246,628","29,572,024",-1%,"-$15,933,180",,,,
63,,2018-10-02 08:30:28,2018-09-28,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$69.69,"-18,316","29,818,652",0%,"-$1,276,422",,,,
64,,2018-09-26 08:32:04,2018-09-24,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$69.70,"-95,814","29,836,968",0%,"-$6,678,552",,,,
65,D,2018-09-24 07:33:16,2018-09-20,GRMN,Pemble Clifton A,"Pres, CEO",S - Sale+OE,$70.00,"-15,637","125,392",-11%,"-$1,094,623",,,,
66,,2018-09-04 09:37:06,2018-08-30,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$67.92,"-9,010","29,932,782",0%,"-$611,966",,,,
67,M,2018-08-28 07:54:55,2018-08-24,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$64.93,"-222,766","29,941,792",-1%,"-$14,464,263",,,,
68,M,2018-08-24 06:42:47,2018-08-22,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$65.02,"-670,361","30,164,558",-2%,"-$43,589,768",,,,
69,M,2018-08-22 08:23:43,2018-08-20,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$65.10,"-606,873","30,834,919",-2%,"-$39,507,437",,,,
70,M,2018-08-17 06:29:15,2018-08-15,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$63.70,"-156,617","31,441,792",0%,"-$9,977,113",,,,
71,M,2018-08-15 09:47:05,2018-08-13,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$63.89,"-358,798","31,598,409",-1%,"-$22,924,185",,,,
72,M,2018-08-13 08:57:02,2018-08-09,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$64.36,"-392,951","31,957,207",-1%,"-$25,290,092",,,,
73,M,2018-08-09 09:03:42,2018-08-07,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$64.49,"-419,893","32,350,158",-1%,"-$27,079,240",,,,
74,,2018-08-08 11:52:50,2018-08-06,GRMN,Straub Philip,"EVP, Man. Dir - Aviation",S - Sale,$65.09,"-5,846","52,389",-10%,"-$380,520",,,,
75,M,2018-08-07 07:38:24,2018-08-03,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$64.89,"-495,515","32,770,051",-1%,"-$32,155,407",,,,
76,,2018-08-06 08:19:27,2018-08-03,GRMN,Biddlecombe Sean,"MD, EMEA",S - Sale,$64.89,"-1,308","9,200",-12%,"-$84,871",,,,
77,M,2018-08-03 08:44:02,2018-08-01,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$64.11,"-400,000","33,265,566",-1%,"-$25,645,620",,,,
78,M,2018-08-01 13:02:38,2018-07-30,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$62.02,"-200,701","33,665,566",-1%,"-$12,447,808",,,,
79,M,2018-07-30 12:23:42,2018-07-26,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$63.22,"-150,000","33,866,267",0%,"-$9,483,500",,,,
80,,2018-07-24 17:22:04,2018-07-24,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$63.54,"-132,762","34,016,267",0%,"-$8,435,392",,,,
81,,2018-07-23 17:40:18,2018-07-19,GRMN,Desbois Patrick,"EVP, Operations",S - Sale,$65.00,"-3,884","27,874",-12%,"-$252,460",,,,
82,,2018-07-23 17:31:09,2018-07-23,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$64.07,"-150,360","34,149,029",0%,"-$9,634,106",,,,
83,M,2018-07-19 17:43:01,2018-07-17,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$63.94,"-111,551","34,299,389",0%,"-$7,132,028",,,,
84,M,2018-07-16 17:17:48,2018-07-12,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$63.01,"-235,881","34,410,940",-1%,"-$14,863,367",,,,
85,M,2018-07-11 16:37:39,2018-07-09,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$62.48,"-370,832","34,646,821",-1%,"-$23,169,980",,,,
86,M,2018-07-06 16:26:38,2018-07-03,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$61.04,"-63,852","35,017,653",0%,"-$3,897,430",,,,
87,M,2018-07-02 16:42:12,2018-06-28,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$61.04,"-70,183","35,081,505",0%,"-$4,283,769",,,,
88,,2018-06-25 16:49:44,2018-06-21,GRMN,Kao Min H,"Exec COB, 10%",S - Sale,$61.24,"-10,385","35,160,813",0%,"-$635,945",,,,
