,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-16 16:34:55,2021-08-13,GS,Waldron John E.,"Pres, COO",S - Sale,$412.82,"-20,000","70,631",-22%,"-$8,256,372",,,,
2,,2021-08-11 16:30:18,2021-08-09,GS,Viniar David A,Dir,S - Sale,$402.49,"-10,000","850,304",-1%,"-$4,024,938",,,,
3,,2021-08-02 16:30:25,2021-07-30,GS,Viniar David A,Dir,S - Sale,$375.73,"-5,064","860,304",-1%,"-$1,902,685",,,,
4,,2021-07-16 16:31:08,2021-07-14,GS,Lee Brian J,Chief Risk Officer,S - Sale,$376.68,"-6,240","34,694",-15%,"-$2,350,498",,,,
5,,2021-07-16 16:30:54,2021-07-14,GS,Solomon David M,"COB, CEO",S - Sale,$376.43,"-13,700","132,137",-9%,"-$5,157,018",,,,
6,,2021-05-12 16:30:24,2021-05-10,GS,Viniar David A,Dir,S - Sale,$372.46,"-5,000","865,368",-1%,"-$1,862,300",,,,
7,,2021-02-19 17:11:32,2021-02-19,GS,Solomon David M,"COB, CEO",S - Sale,$312.60,"-10,000","127,098",-7%,"-$3,126,012",,,,
8,,2021-02-19 17:09:32,2021-02-19,GS,Waldron John E.,"Pres, COO",S - Sale,$312.55,"-20,000","90,631",-18%,"-$6,251,014",,,,
9,,2021-02-19 17:06:09,2021-02-19,GS,Rogers John F.W.,EVP,S - Sale,$313.25,"-10,000","107,525",-9%,"-$3,132,500",,,,
10,,2021-02-19 17:02:29,2021-02-19,GS,Scherr Stephen M,CFO,S - Sale,$312.61,"-20,000","97,786",-17%,"-$6,252,201",,,,
11,,2021-02-12 18:35:44,2021-02-10,GS,Viniar David A,Dir,S - Sale,$303.30,"-10,000","870,368",-1%,"-$3,032,949",,,,
12,,2021-02-04 16:35:25,2021-02-02,GS,Fredman Sheara J,Chief Accounting Officer,S - Sale,$285.68,"-2,645","7,375",-26%,"-$755,624",,,,
13,M,2021-02-02 17:25:27,2021-01-29,GS,Stein Laurence,Chief Administrative Officer,S - Sale,$277.93,"-10,748","23,623",-31%,"-$2,987,233",,,,
14,D,2021-01-27 16:30:25,2021-01-25,GS,Hammack Elizabeth M,Global Treasurer,S - Sale+OE,$282.14,"-4,733","14,857",-24%,"-$1,335,371",,,,
15,D,2021-01-22 16:30:49,2021-01-20,GS,Fredman Sheara J,Chief Accounting Officer,S - Sale+OE,$294.03,"-3,304","7,224",-31%,"-$971,475",,,,
16,D,2021-01-22 16:30:45,2021-01-20,GS,Lee Brian J,Chief Risk Officer,S - Sale+OE,$290.13,"-13,738","35,191",-28%,"-$3,985,770",,,,
17,D,2021-01-22 16:30:44,2021-01-20,GS,Hammack Elizabeth M,Global Treasurer,S - Sale+OE,$290.51,"-6,762","14,741",-31%,"-$1,964,456",,,,
18,M,2020-02-04 18:18:07,2020-01-31,GS,Viniar David A,Dir,S - Sale,$242.36,"-25,000","885,368",-3%,"-$6,059,087",,,,
19,,2020-02-04 18:13:42,2020-01-31,GS,Stein Laurence,Chief Administrative Officer,S - Sale,$239.26,"-9,533","28,474",-25%,"-$2,280,866",,,,
20,,2019-07-19 14:00:18,2019-07-18,GS,Holmes Dane E,"EVP, Global Head of HCM",S - Sale,$212.15,"-3,165","7,839",-29%,"-$671,446",,,,
21,,2019-02-22 14:00:31,2019-02-20,GS,Holmes Dane E,"EVP, Global Head of HCM",S - Sale,$198.31,"-1,489","11,004",-12%,"-$295,284",,,,
22,DM,2018-12-28 14:04:05,2018-12-26,GS,Palm Gregory K,EVP - GC,S - Sale+OE,$158.41,"-16,451","1,033,922",-2%,"-$2,606,021",,,,
23,D,2018-08-03 14:01:03,2018-08-01,GS,Solomon David M,"Pres, COO",S - Sale+OE,$237.93,"-8,488","222,625",-4%,"-$2,019,505",,,,
24,D,2018-07-20 14:32:17,2018-07-18,GS,Solomon David M,"Pres, COO",S - Sale+OE,$232.08,"-8,382","222,625",-4%,"-$1,945,314",,,,
25,DM,2018-05-16 14:00:15,2018-05-14,GS,Solomon David M,"Pres, COO",S - Sale+OE,$244.40,"-3,497","222,625",-2%,"-$854,665",,,,
26,,2018-02-27 14:00:18,2018-02-23,GS,Rogers John F.W.,"EVP-Chief of Staff, Secretary",S - Sale,$265.37,"-4,400","89,382",-5%,"-$1,167,610",,,,
27,,2018-02-23 14:00:16,2018-02-21,GS,Lee Brian J,Principal Accounting Officer,S - Sale,$263.92,"-6,738","36,249",-16%,"-$1,778,293",,,,
28,,2018-02-09 14:01:58,2018-02-07,GS,Chavez R. Martin,EVP - CFO,S - Sale,$259.23,"-11,829","76,829",-13%,"-$3,066,371",,,,
29,,2018-02-02 14:02:51,2018-02-01,GS,Salame Pablo J,Vice COB,S - Sale,$270.42,"-10,000","221,447",-4%,"-$2,704,214",,,,
30,,2018-02-02 14:00:49,2018-01-31,GS,Chavez R. Martin,EVP - CFO,S - Sale,$268.73,"-11,829","88,658",-12%,"-$3,178,826",,,,
31,D,2018-01-31 14:00:17,2018-01-29,GS,Solomon David M,"Pres, Co-COO",S - Sale+OE,$271.65,"-21,252","224,030",-9%,"-$5,773,059",,,,
32,D,2018-01-22 14:09:56,2018-01-18,GS,Viniar David A,Dir,S - Sale+OE,$251.19,"-17,500","918,868",-2%,"-$4,395,795",,,,
33,D,2017-11-28 14:01:03,2017-11-24,GS,Solomon David M,"Pres, Co-COO",S - Sale+OE,$237.94,"-12,707","194,354",-6%,"-$3,023,533",,,,
34,D,2017-11-24 14:04:32,2017-11-22,GS,Palm Gregory K,EVP - GC,S - Sale+OE,$237.92,"-20,959","1,014,054",-2%,"-$4,986,533",,,,
35,,2017-11-22 14:30:22,2017-11-21,GS,Viniar David A,Dir,S - Sale,$238.02,"-25,000","945,368",-3%,"-$5,950,508",,,,
36,,2017-11-22 14:20:41,2017-11-21,GS,Rogers John F.W.,"EVP-Chief of Staff, Secretary",S - Sale,$238.01,"-20,490","68,414",-23%,"-$4,876,794",,,,
37,DM,2017-11-22 14:14:28,2017-11-20,GS,Solomon David M,"Pres, Co-COO",S - Sale+OE,$238.99,"-6,104","194,354",-3%,"-$1,458,765",,,,
38,DM,2017-11-22 14:09:16,2017-11-20,GS,Palm Gregory K,EVP - GC,S - Sale+OE,$238.99,"-4,620","1,024,679",0%,"-$1,104,111",,,,
39,DM,2017-11-22 14:03:38,2017-11-20,GS,Gnodde Richard J,Vice COB,S - Sale+OE,$238.99,"-5,718","195,153",-3%,"-$1,366,517",,,,
40,DM,2017-11-22 13:48:00,2017-11-20,GS,Blankfein Lloyd C,"COB, CEO",S - Sale+OE,$238.38,"-20,794","2,298,210",-1%,"-$4,956,950",,,,
41,,2017-11-15 14:00:15,2017-11-13,GS,Solomon David M,"Pres, Co-COO",S - Sale,$238.49,"-2,400","194,354",-1%,"-$572,385",,,,
42,D,2017-10-24 14:02:08,2017-10-20,GS,Viniar David A,Dir,S - Sale+OE,$245.18,"-7,393","980,368",-1%,"-$1,812,617",,,,
43,,2017-10-24 14:00:22,2017-10-20,GS,Schwartz Harvey M,"Pres, Co-COO",S - Sale,$245.00,"-25,000","281,547",-8%,"-$6,125,000",,,,
44,D,2017-10-20 14:00:41,2017-10-18,GS,Gnodde Richard J,Vice COB,S - Sale+OE,$239.95,"-4,951","195,153",-2%,"-$1,187,993",,,,
45,,2017-08-10 14:00:23,2017-08-08,GS,Rogers John F.W.,"EVP-Chief of Staff, Secretary",S - Sale,$235.02,"-17,685","102,342",-15%,"-$4,156,302",,,,
46,,2017-08-09 14:00:16,2017-08-07,GS,Solomon David M,"Pres, Co-COO",S - Sale,$231.59,"-3,260","196,754",-2%,"-$754,997",,,,
47,D,2017-08-03 13:59:19,2017-08-01,GS,Viniar David A,Dir,S - Sale+OE,$227.79,"-4,590","980,368",0%,"-$1,045,562",,,,
48,,2017-02-23 14:01:01,2017-02-21,GS,Salame Pablo J,Vice COB,S - Sale,$251.80,"-10,000","185,747",-5%,"-$2,518,039",0,+1,-8,
49,D,2017-02-23 14:00:21,2017-02-21,GS,Solomon David M,"Pres, Co-COO",S - Sale+OE,$252.18,"-7,954","200,014",-4%,"-$2,005,839",0,+1,-8,
50,D,2017-02-21 14:00:33,2017-02-16,GS,Cohen Alan M,"EVP, Global Head of Compliance",S - Sale+OE,$250.16,"-5,599","67,719",-8%,"-$1,400,649",+1,0,-7,
51,M,2017-02-16 14:00:21,2017-02-14,GS,Rogers John F.W.,"EVP-Chief of Staff, Secretary",S - Sale,$250.06,"-32,325","120,027",-21%,"-$8,083,193",0,0,-2,
52,D,2017-02-15 14:00:15,2017-02-13,GS,Viniar David A,Dir,S - Sale+OE,$246.93,"-5,954","980,368",-1%,"-$1,470,213",0,+1,0,
53,,2017-02-09 14:01:23,2017-02-07,GS,Solomon David M,"Pres, Co-COO",S - Sale,$240.08,"-6,250","200,014",-3%,"-$1,500,511",+2,+5,+5,
54,,2017-02-09 14:00:15,2017-02-07,GS,Salame Pablo J,Vice COB,S - Sale,$240.19,"-16,185","195,747",-8%,"-$3,887,397",+2,+5,+5,
55,D,2017-02-07 14:03:51,2017-02-03,GS,Rogers John F.W.,"EVP-Chief of Staff, Secretary",S - Sale+OE,$240.15,"-8,338","152,352",-5%,"-$2,002,334",0,+3,+5,
56,D,2017-02-07 14:01:43,2017-02-03,GS,Cohen Alan M,"EVP, Global Head of Compliance",S - Sale+OE,$239.84,"-2,384","67,719",-3%,"-$571,767",0,+3,+5,
57,D,2017-02-07 14:00:18,2017-02-03,GS,Smith Sarah G,Principal Accounting Officer,S - Sale+OE,$234.89,"-10,691","46,684",-19%,"-$2,511,242",0,+3,+5,
58,,2017-02-03 14:00:14,2017-02-01,GS,Cooper Edith W,"EVP, Global Head of HCM",S - Sale,$230.82,"-2,336","44,781",-5%,"-$539,184",+5,+5,+10,
59,,2017-01-31 14:00:19,2017-01-27,GS,Cooper Edith W,"EVP, Global Head of HCM",S - Sale,$236.75,"-4,186","47,117",-8%,"-$991,013",-2,+3,+8,
60,D,2017-01-26 14:08:47,2017-01-25,GS,Cooper Edith W,"EVP, Global Head of HCM",S - Sale+OE,$236.00,"-8,416","51,303",-14%,"-$1,986,176",+1,-3,+4,
61,D,2017-01-23 14:11:21,2017-01-19,GS,Spar Debora L,Dir,S - Sale+OE,$234.07,-200,0,-100%,"-$46,814",0,+2,+8,
62,D,2017-01-23 14:03:58,2017-01-19,GS,Johnson James A /dc/,Dir,S - Sale+OE,$233.99,"-11,600",0,-100%,"-$2,714,243",0,+2,+8,
63,,2017-01-20 14:16:02,2017-01-19,GS,Schwartz Harvey M,"Pres, Co-COO; CFO",S - Sale,$233.99,"-25,000","281,256",-8%,"-$5,849,718",0,+4,+8,
64,D,2016-11-22 14:31:20,2016-11-18,GS,Smith Sarah G,Principal Accounting Officer,S - Sale+OE,$211.47,-218,"40,287",-1%,"-$46,099",0,+1,+15,
65,D,2016-11-22 14:27:39,2016-11-18,GS,Blankfein Lloyd C,"COB, CEO",S - Sale+OE,$211.32,"-2,504","2,270,504",0%,"-$529,134",0,+1,+15,
66,,2016-11-18 15:09:25,2016-11-16,GS,Sherwood Michael S,Vice COB,S - Sale,$206.87,"-42,317","319,661",-12%,"-$8,753,915",0,+1,+14,
